"survey","tmean_year","tmean_winter","tmean_breeding","prec_year","prec_winter","prec_breeding","hh","unique","LULC_0","LULC_11","LULC_22","LULC_33","LULC_44","LULC_55","LULC_66","LULC_77"
"FG62_3",9.75848675545747,2.27104830937646,9.6187371307291,524.499361138143,130.070622402831,195.434676092449,0.373545918498039,4,0,0.146369941865916,0.77419192044446,0.00290825221053945,0.00173293802800595,0.0747969474510791,0,0
"FG63_3",9.70670450097595,2.20742030210258,9.58198102610684,522.625271844,129.766710750948,194.113267281975,0.341151746714846,4,0,0.146128018855242,0.796694171922566,0,0.00472888699283101,0.0524489222293612,0,0
"FG64_3",9.56774644001007,2.07487305953135,9.447761294682,536.256736679555,134.520083647379,197.958297969957,0.3145767961234,3,0,0,0.813273751986978,0,0.036023511359091,0.150702736653931,0,0
"FG65_3",9.51412872064412,2.01924342071187,9.40210724578622,521.097388945513,130.359150662606,192.526693086531,0.52414488840867,5,0,0.188990614033993,0.655931927090463,0.0606544484327515,0.0734514114780774,0.0209715989647152,0,0
"FG66_3",9.5987535259624,2.0756499574809,9.49969531223937,498.032947467688,124.47795318117,184.430460471973,0.608457591761087,5,0,0.0487093396176904,0.575200633509029,0.0489415656781061,0.175777946683677,0.151370514511497,0,0
"FG67_3",9.6069358476817,2.06761566418411,9.51649202963889,500.706199560572,125.829656841821,184.80141792988,0,1,0,0,1,0,0,0,0,0
"FG68_3",9.5571019277236,2.00926764458775,9.47581137809359,509.821922219622,128.730317949006,187.920630064475,0,1,0,0,1,0,0,0,0,0
"FG69_3",9.52509863320276,1.96567959457814,9.46097616732856,508.288674592915,127.939300738615,187.629970199203,0.273802235331757,3,0,0,0.841137474836428,0,0.13450785535661,0.024354669806962,0,0
"FG70_3",9.79443709728344,2.33413410210614,9.63850603223676,518.722514901722,127.70778686887,194.69694284016,0.693756800760727,5,0,0.243782750940715,0.466772903161581,0.106996586925497,0.0974186608690436,0.0850290981031634,0,0
"FG71_3",9.66158795262177,2.18707391955842,9.5132094171601,542.214338934685,134.078714254988,202.374747145084,0.32956353812132,3,0,0,0.80615604750265,0,0.126596460184269,0.0672474923130809,0,0
"FG72_3",9.68158710721371,2.18595549327395,9.54331792571839,511.359193197583,126.338793519256,191.102399496167,0.34439160181571,4,0,0.0243546652168798,0.796995547017865,0,0.113679559099512,0.0649702286657427,0,0
"FG73_3",9.60627793059381,2.09191471083501,9.47903976039651,526.123455418136,130.566489098586,196.142952840369,0.0475230310011083,2,0,0.0243546652184571,0.975645334781543,0,0,0,0,0
"FG74_3",9.29089011239257,1.78403276605231,9.17104912745191,576.595765976945,144.445811081287,212.837629303025,0.620847167719655,4,0,0.097418660865633,0.551907801618357,0,0.133062365442951,0.217611172073058,0,0
"FG75_3",9.26886057013669,1.76053773764312,9.15611103706993,538.526969134821,133.374908824278,200.497610259561,0.576150985262841,4,0,0.0243546652174375,0.477030841439521,0.00291619188737989,0.43861013871532,0.0570881627403415,0,0
"FG76_3",9.49941949121913,1.94789147313515,9.40334655659715,518.778208733092,128.275852700783,192.95167320912,0.522909910167234,4,0,0.21138968847319,0.648498278077861,0,0.101983918404843,0.0381281150441054,0,0
"FG77_3",9.53798134571138,1.96577731212389,9.45658333765485,521.676342354287,130.315660164346,192.855466812653,0.324817927322728,3,0,0.116885726850038,0.810050277498539,0,0.0730639956514234,0,0,0
"FG78_3",9.50144433517861,1.91973845172462,9.42780814805387,524.435097607539,131.435888090239,193.511341087055,0.131264427482984,3,0,0,0.93065475360327,0,0.0449905811780632,0.0243546652186669,0,0
