atlas,period,survey,site,X,Y,variable,variable_label,n_species_contributing,expected_richness,positive_importance,negative_importance,total_importance,net_score,direction_balance,total_site_importance,relative_importance_at_site
1,1970s,CC63_1,CC63,532499.8104598847,6317499.769646129,hh,Land-use heterogeneity,157,42.95613314397962,0.004092273943895893,3.860585051832318e-5,0.0041308797944142155,0.004053668093377571,0.9813086546016057,0.03268769235447756,0.1263741640008542
1,1970s,CC63_1,CC63,532499.8104598847,6317499.769646129,perc_cropland,Cropland (% coverage),157,42.95613314397962,0.002464731496779016,0.007327651924425141,0.009792383421204158,-0.004862920427646128,-0.4966023304516543,0.03268769235447756,0.2995740205521971
1,1970s,CC63_1,CC63,532499.8104598847,6317499.769646129,perc_forest,Forest (% coverage),157,42.95613314397962,0.0018958735727186485,0.0029107856673842173,0.004806659240102867,-0.0010149120946655677,-0.21114708656647932,0.03268769235447756,0.14704798331976623
1,1970s,CC63_1,CC63,532499.8104598847,6317499.769646129,perc_grass_shrub,Grass/Shrubland (% coverage),157,42.95613314397962,1.1137033238631128e-4,3.367495382749008e-4,4.481198706612119e-4,-2.2537920588858962e-4,-0.5029440126277754,0.03268769235447756,0.013709131430926122
1,1970s,CC63_1,CC63,532499.8104598847,6317499.769646129,perc_pasture,Pasture (% coverage),157,42.95613314397962,1.493214975992075e-4,8.621560330701372e-5,2.3553710090622128e-4,6.31058942921937e-5,0.2679233719418123,0.03268769235447756,0.007205681525387869
1,1970s,CC63_1,CC63,532499.8104598847,6317499.769646129,perc_urban,Urban (% coverage),157,42.95613314397962,0.002094376634289398,0.0019668707828964464,0.004061247417185844,1.27505851392953e-4,0.03139573591438699,0.03268769235447756,0.1242439317264785
1,1970s,CC63_1,CC63,532499.8104598847,6317499.769646129,prec_breeding,Precipitation,157,42.95613314397962,4.0775455476738406e-5,0.003429207323243961,0.0034699827787207003,-0.0033884318677672226,-0.9764981799179004,0.03268769235447756,0.10615563622818365
1,1970s,CC63_1,CC63,532499.8104598847,6317499.769646129,tmean_breeding,Temperature,157,42.95613314397962,0.005651336563274004,9.154616800833272e-5,0.005742882731282341,0.005559790395265668,0.9681183920020965,0.03268769235447756,0.17568945121620616
1,1970s,CC64_1,CC64,532499.8388375221,6322499.6503872825,hh,Land-use heterogeneity,157,59.030369955390384,0.0030647930553942544,3.2184688309356806e-5,0.0030969777437036125,0.0030326083670848963,0.9792154216317557,0.027483720156149142,0.11268408083432992
1,1970s,CC64_1,CC64,532499.8388375221,6322499.6503872825,perc_cropland,Cropland (% coverage),157,59.030369955390384,0.0021577333175714815,0.005217516004222993,0.007375249321794478,-0.003059782686651511,-0.4148717627225967,0.027483720156149142,0.2683497459547651
1,1970s,CC64_1,CC64,532499.8388375221,6322499.6503872825,perc_forest,Forest (% coverage),157,59.030369955390384,0.0024839744509404706,0.002082962237019165,0.004566936687959634,4.010122139213047e-4,0.08780770159974881,0.027483720156149142,0.16616879600041476
