response,trait,trait_group,period_or_comparison,model_set,predictor_set,n_rows,bandwidth_value,aicc,rss,local_r2_mean,local_r2_median,local_r2_min,local_r2_max,local_cn_mean,local_cn_max,local_cn_over_30,status
group_probability,Foraging guild,Rails,1990s,period,full_period,1850,100000,-14152.255818859045,0.04730049883174352,0.4774237274177513,0.4890344940906545,0.17807461016016823,0.7981053699574352,5.7616856146537145,30.076958257090944,0.002702702702702703,ok
group_probability,Foraging guild,Rails,2010s,period,full_period,1904,100000,-13840.750576630704,0.07141983308370492,0.5507887384477156,0.5498527213464929,0.26915901896464006,0.8487787842888587,6.500891822585518,31.16218270994191,0.014180672268907563,ok
group_probability,Foraging guild,Scolopacids,1970s,period,full_period,1776,100000,-10883.148265597662,0.2072763436321893,0.5152689015536348,0.5223973301934164,0.28069680364836913,0.8697009956896546,7.13812255478484,30.045599628205167,5.630630630630631e-4,ok
group_probability,Foraging guild,Scolopacids,1990s,period,full_period,1850,100000,-13142.084337581979,0.08165960755969445,0.6399246665033366,0.6594104322640244,0.43313102667124853,0.7929160949840665,5.7616856146537145,30.076958257090944,0.002702702702702703,ok
group_probability,Foraging guild,Scolopacids,2010s,period,full_period,1904,100000,-14862.291276492182,0.04176472685900916,0.7651367554646954,0.7719413520828815,0.6071258626199321,0.9727465061102559,6.500891822585518,31.16218270994191,0.014180672268907563,ok
group_probability,Foraging guild,Terns,1970s,period,full_period,1776,100000,-13052.463629524736,0.061104868434580455,0.5893175343152827,0.5916394102931506,0.3779521586985874,0.9570618102241496,7.13812255478484,30.045599628205167,5.630630630630631e-4,ok
group_probability,Foraging guild,Terns,1990s,period,full_period,1850,100000,-15504.23600762911,0.022776304962530886,0.5190624378607936,0.49470663199640896,0.34019058005953295,0.6953951156795154,5.7616856146537145,30.076958257090944,0.002702702702702703,ok
group_probability,Foraging guild,Terns,2010s,period,full_period,1904,100000,-17090.43258074231,0.012959250359150177,0.5661327886696037,0.5464821086284206,0.4286298358941734,0.8788153510492808,6.500891822585518,31.16218270994191,0.014180672268907563,ok
group_probability,Foraging guild,Tit-like birds,1970s,period,full_period,1776,100000,-9252.132346309976,0.5192667476448538,0.45204517352534307,0.4440835229620795,0.3636136781640534,0.5945355524400857,7.13812255478484,30.045599628205167,5.630630630630631e-4,ok
group_probability,Foraging guild,Tit-like birds,1990s,period,full_period,1850,100000,-10292.122655631325,0.38110666942181054,0.5034254245041306,0.5187491274606839,0.24594546942312337,0.7857380371785568,5.7616856146537145,30.076958257090944,0.002702702702702703,ok
group_probability,Foraging guild,Tit-like birds,2010s,period,full_period,1904,100000,-10496.89325910517,0.4135602403075831,0.5112843763841621,0.4918312039100181,0.3218069308202908,0.9002695619145736,6.500891822585518,31.16218270994191,0.014180672268907563,ok
group_probability,Foraging guild,Woodpeckers,1970s,period,full_period,1776,100000,-13339.368698288872,0.051989714240941155,0.6637360640589236,0.6561959826577897,0.5507292895068742,0.9140893821521694,7.13812255478484,30.045599628205167,5.630630630630631e-4,ok
group_probability,Foraging guild,Woodpeckers,1990s,period,full_period,1850,100000,-14636.654581957877,0.03640418251592368,0.7244141847419584,0.721017867088595,0.6091274574294085,0.9007999351820154,5.7616856146537145,30.076958257090944,0.002702702702702703,ok
group_probability,Foraging guild,Woodpeckers,2010s,period,full_period,1904,100000,-15519.819372307345,0.02956856316695783,0.7300982161263565,0.7494609638488056,0.5310728723540618,0.9138236223222531,6.500891822585518,31.16218270994191,0.014180672268907563,ok
