atlas,period,base_site,survey,trait_family,trait_value,n_species,trait_probability,expected_group_richness,expected_total_richness,site,X,Y
1,1970s,DC04,DC04_1,Thermal,CWM STI,157,11.973776085585087,NA,65.16296886701736,DC04,552499.7262227507,6322499.847153073
1,1970s,DC05,DC05_1,Thermal,CWM STI,157,11.812072677522869,NA,48.52800526661009,DC05,552499.6892463007,6327499.779825433
1,1970s,DC10,DC10_1,Thermal,CWM STI,157,12.094269127350854,NA,53.15756109144478,DC10,557499.8206087413,6302499.8354761265
1,1970s,DC11,DC11_1,Thermal,CWM STI,157,12.089455576060633,NA,70.52925117697141,DC11,557499.7664055785,6307499.841569215
1,1970s,DC12,DC12_1,Thermal,CWM STI,157,12.143110563893433,NA,42.68162783925574,DC12,557499.7547180243,6312499.886004784
1,1970s,DC13,DC13_1,Thermal,CWM STI,157,12.1276624613437,NA,37.02442399664777,DC13,557499.7253695964,6317499.856604637
1,1970s,DC14,DC14_1,Thermal,CWM STI,157,12.085474122347613,NA,49.22722622393066,DC14,557499.73675981,6322499.865488209
1,1970s,DC15,DC15_1,Thermal,CWM STI,157,12.000092449093463,NA,54.72262774551837,DC15,557499.7273178204,6327499.9117859565
1,1970s,BD28,BD28_1,Thermal,CWM STI,157,12.044063255364147,NA,58.04962780770294,BD28,462500.04522956035,6292499.758577253
1,1970s,DC16,DC16_1,Thermal,CWM STI,157,12.124135303859818,NA,44.94090006460996,DC16,557499.6978451451,6332499.884155993
1,1970s,DC17,DC17_1,Thermal,CWM STI,157,12.084830455603262,NA,46.679104776704605,DC17,557499.7080623058,6337499.783408084
1,1970s,DC18,DC18_1,Thermal,CWM STI,157,12.029695662668903,NA,53.89506356811818,DC18,557499.693518839,6342499.831295908
1,1970s,DC19,DC19_1,Thermal,CWM STI,157,12.065760869326908,NA,54.17614178185614,DC19,557499.6565704292,6347499.805162802
1,1970s,DC20,DC20_1,Thermal,CWM STI,157,12.101366582958171,NA,41.93004515272562,DC20,562499.7978840575,6302499.938668321
1,1970s,DC21,DC21_1,Thermal,CWM STI,157,12.094525152656631,NA,47.94068890569161,DC21,562499.7828758188,6307499.956366545
1,1970s,DC22,DC22_1,Thermal,CWM STI,157,12.1056926922618,NA,42.57998846412048,DC22,562499.7944753097,6312499.901183143
1,1970s,DC23,DC23_1,Thermal,CWM STI,157,12.084998529169066,NA,71.3608670407537,DC23,562499.7692934149,6317499.883481737
1,1970s,DC24,DC24_1,Thermal,CWM STI,157,11.93414934655394,NA,41.26767740171656,DC24,562499.7065775642,6322499.903231546
1,1970s,DC25,DC25_1,Thermal,CWM STI,157,11.844860428431025,NA,49.02525024894309,DC25,562499.7284663095,6327499.850920295
1,1970s,BD29,BD29_1,Thermal,CWM STI,157,12.13450512847557,NA,43.23723051249929,BD29,462500.0292985126,6297499.752303558
