trait_family,trait_value,base_site,survey_start,site_start,X_start,Y_start,value_start,survey_end,site_end,X,Y,value_end,delta,direction,delta_sd,standardized_change,abs_standardized_change
Thermal,CWM STI,BD29,BD29_1,BD29,462500.0292985126,6297499.752303558,12.13450512847557,BD29_3,BD29,462500.0292985126,6297499.752303558,12.100564290484805,-0.03394083799076597,Decrease,0.07804363974178909,-0.43489563150899635,0.43489563150899635
Thermal,CWM STI,DC26,DC26_1,DC26,562499.7110273131,6332499.835998577,12.076012383679126,DC26_3,DC26,562499.7110273131,6332499.835998577,12.056147175251256,-0.019865208427869874,Decrease,0.07804363974178909,-0.25453974844836574,0.25453974844836574
Thermal,CWM STI,DC27,DC27_1,DC27,562499.653506505,6337499.858435164,12.056669921196914,DC27_3,DC27,562499.653506505,6337499.858435164,12.10467895551695,0.048009034320037,Increase,0.07804363974178909,0.6151562699904446,0.6151562699904446
Thermal,CWM STI,DC28,DC28_1,DC28,562499.677609729,6342499.808717862,12.047449604265962,DC28_3,DC28,562499.677609729,6342499.808717862,12.113446005297966,0.06599640103200421,Increase,0.07804363974178909,0.8456345866281518,0.8456345866281518
Thermal,CWM STI,DC30,DC30_1,DC30,567499.8116184272,6302499.909548791,12.124186743166275,DC30_3,DC30,567499.8116184272,6302499.909548791,12.089678649758124,-0.0345080934081512,Decrease,0.07804363974178909,-0.44216407028583987,0.44216407028583987
Thermal,CWM STI,DC31,DC31_1,DC31,567499.7755507686,6307499.948179211,12.13271376692027,DC31_3,DC31,567499.7755507686,6307499.948179211,12.106222909778145,-0.02649085714212518,Decrease,0.07804363974178909,-0.3394364643905817,0.3394364643905817
Thermal,CWM STI,DC32,DC32_1,DC32,567499.8096190846,6312499.914980982,12.101053100469771,DC32_3,DC32,567499.8096190846,6312499.914980982,12.111072062465981,0.010018961996209441,Increase,0.07804363974178909,0.12837640619219748,0.12837640619219748
Thermal,CWM STI,DC33,DC33_1,DC33,567499.7285674406,6317499.918270218,11.993664025004877,DC33_3,DC33,567499.7285674406,6317499.918270218,12.111235525918438,0.11757150091356117,Increase,0.07804363974178909,1.506484081246746,1.506484081246746
Thermal,CWM STI,DC34,DC34_1,DC34,567499.7138947316,6322499.9609747855,11.77073775224015,DC34_3,DC34,567499.7138947316,6322499.9609747855,12.0289579866192,0.25822023437905095,Increase,0.07804363974178909,3.308664680855279,3.308664680855279
Thermal,CWM STI,DC35,DC35_1,DC35,567499.7056084871,6327499.930768742,12.109628546647093,DC35_3,DC35,567499.7056084871,6327499.930768742,12.098932845773705,-0.010695700873387892,Decrease,0.07804363974178909,-0.1370476941974401,0.1370476941974401
Thermal,CWM STI,DC36,DC36_1,DC36,567499.7009201018,6332499.938928539,12.119979276769847,DC36_3,DC36,567499.7009201018,6332499.938928539,12.099604271082963,-0.02037500568688344,Decrease,0.07804363974178909,-0.2610719560786128,0.2610719560786128
Thermal,CWM STI,DC37,DC37_1,DC37,567499.6402083595,6337499.873123914,12.134954179882955,DC37_3,DC37,567499.6402083595,6337499.873123914,12.132351487744792,-0.0026026921381632206,Decrease,0.07804363974178909,-0.03334918959154577,0.03334918959154577
Thermal,CWM STI,DC39,DC39_1,DC39,567499.6437902323,6347499.858365299,12.191546881039791,DC39_3,DC39,567499.6437902323,6347499.858365299,12.098895819642578,-0.09265106139721269,Decrease,0.07804363974178909,-1.1871699180580624,1.1871699180580624
Thermal,CWM STI,DC40,DC40_1,DC40,572499.8148650045,6302499.969526697,12.016656680663443,DC40_3,DC40,572499.8148650045,6302499.969526697,12.030875321101364,0.014218640437920982,Increase,0.07804363974178909,0.18218833059252487,0.18218833059252487
Thermal,CWM STI,DC41,DC41_1,DC41,572499.821296516,6307499.929013042,11.938241018396898,DC41_3,DC41,572499.821296516,6307499.929013042,11.98305622442546,0.044815206028562926,Increase,0.07804363974178909,0.5742326495385923,0.5742326495385923
Thermal,CWM STI,DC42,DC42_1,DC42,572499.8176624437,6312499.927039073,12.100020614176875,DC42_3,DC42,572499.8176624437,6312499.927039073,12.085160988100037,-0.014859626076837884,Decrease,0.07804363974178909,-0.19040150005819345,0.19040150005819345
Thermal,CWM STI,DC43,DC43_1,DC43,572499.74222273,6317499.962513002,11.991052817081188,DC43_3,DC43,572499.74222273,6317499.962513002,12.02763487861226,0.03658206153107102,Increase,0.07804363974178909,0.46873853720949493,0.46873853720949493
Thermal,CWM STI,DC45,DC45_1,DC45,572499.6797881541,6327499.928359153,12.071726729597057,DC45_3,DC45,572499.6797881541,6327499.928359153,12.11519938153048,0.04347265193342409,Increase,0.07804363974178909,0.5570300421309837,0.5570300421309837
Thermal,CWM STI,BD31,BD31_1,BD31,467500.0543298067,6257499.600372754,12.021213720605614,BD31_3,BD31,467500.0543298067,6257499.600372754,12.027745686007679,0.006531965402064799,Increase,0.07804363974178909,0.08369631943968915,0.08369631943968915
Thermal,CWM STI,DC48,DC48_1,DC48,572499.603288505,6342499.944623605,12.137986868430117,DC48_3,DC48,572499.603288505,6342499.944623605,12.105915511095008,-0.03207135733510924,Decrease,0.07804363974178909,-0.4109413328391497,0.4109413328391497
Thermal,CWM STI,DC49,DC49_1,DC49,572499.6280012622,6347499.879714389,12.145446639607512,DC49_3,DC49,572499.6280012622,6347499.879714389,12.082269264361924,-0.06317737524558709,Decrease,0.07804363974178909,-0.8095134395911351,0.8095134395911351
Thermal,CWM STI,DC50,DC50_1,DC50,577499.8267759397,6302500.006971771,12.086905700958699,DC50_3,DC50,577499.8267759397,6302500.006971771,11.99879899929833,-0.08810670166036871,Decrease,0.07804363974178909,-1.1289414736661914,1.1289414736661914
Thermal,CWM STI,DC51,DC51_1,DC51,577499.8137447787,6307500.007805302,11.834718797353862,DC51_3,DC51,577499.8137447787,6307500.007805302,12.00698278410146,0.17226398674759835,Increase,0.07804363974178909,2.2072777143344613,2.2072777143344613
Thermal,CWM STI,DC52,DC52_1,DC52,577499.834045176,6312500.04834203,11.963297172434862,DC52_3,DC52,577499.834045176,6312500.04834203,11.994954307322487,0.03165713488762556,Increase,0.07804363974178909,0.40563375814306746,0.40563375814306746
Thermal,CWM STI,DC53,DC53_1,DC53,577499.7670313121,6317500.014979401,11.9318690220877,DC53_3,DC53,577499.7670313121,6317500.014979401,12.015420016825148,0.08355099473744865,Increase,0.07804363974178909,1.0705676338761352,1.0705676338761352
Thermal,CWM STI,BD32,BD32_1,BD32,467500.06232946395,6262499.710226541,12.007068333586226,BD32_3,BD32,467500.06232946395,6262499.710226541,12.08902449558193,0.08195616199570388,Increase,0.07804363974178909,1.0501324933954843,1.0501324933954843
