atlas,period,response,survey,site,base_site,X,Y,value
1,1970s,richness,DD42_1,DD42,DD42,572499.8594056569,6262499.798046281,46.468292101198536
1,1970s,richness,DD43_1,DD43,DD43,572499.8414943474,6267499.892215765,53.3382023390179
1,1970s,richness,DD46_1,DD46,DD46,572499.840314927,6282499.96321855,44.03890696892225
1,1970s,richness,DD47_1,DD47,DD47,572499.8119906547,6287499.989774233,55.64591613415093
1,1970s,richness,DD48_1,DD48,DD48,572499.8407176494,6292499.944752331,50.616183172795346
1,1970s,richness,DD49_1,DD49,DD49,572499.8623283049,6297499.938366378,47.74984407671917
1,1970s,richness,DD50_1,DD50,DD50,577499.9397466873,6252499.812573781,44.63144111685954
1,1970s,richness,DD51_1,DD51,DD51,577499.8911025693,6257499.866573606,65.14850215750462
1,1970s,richness,BD39_1,BD39,BD39,467500.0473273079,6297499.729633846,62.35458655987677
1,1970s,richness,DD52_1,DD52,DD52,577499.8890167333,6262499.849300526,48.693742507152464
1,1970s,richness,DD53_1,DD53,DD53,577499.8687690438,6267499.87089236,54.273324218587135
1,1970s,richness,DD54_1,DD54,DD54,577499.8907825949,6272499.932445059,42.176822206061765
1,1970s,richness,DD57_1,DD57,DD57,577499.8373202452,6287500.015885937,59.75685046434253
1,1970s,richness,DD59_1,DD59,DD59,577499.8764129576,6297499.934571228,37.29858761389249
1,1970s,richness,DD61_1,DD61,DD61,582499.9243567707,6257499.87675696,55.07524552527321
1,1970s,richness,BD40_1,BD40,BD40,472500.0931846446,6252499.686959085,34.22505290946093
1,1970s,richness,DD62_1,DD62,DD62,582499.9358377454,6262499.908196272,54.35638664426581
1,1970s,richness,DD63_1,DD63,DD63,582499.9142568866,6267499.867230073,52.07376338971928
1,1970s,richness,DD64_1,DD64,DD64,582499.9156895869,6272499.97761661,55.42549871509769
1,1970s,richness,DD65_1,DD65,DD65,582499.8841101133,6277499.904232946,49.690788068068905
1,1970s,richness,DD70_1,DD70,DD70,587499.9756611895,6252499.834294763,65.5217683287033
1,1970s,richness,DD71_1,DD71,DD71,587499.9294289971,6257499.883005279,47.013150381233054
1,1970s,richness,DD72_1,DD72,DD72,587499.9576007758,6262499.861898324,47.95927834684171
1,1970s,richness,BD41_1,BD41,BD41,472500.0753691514,6257499.700065501,35.632828947141014
1,1970s,richness,DD80_1,DD80,DD80,592499.9965185599,6252499.880145047,63.53118320842364
1,1970s,richness,DD81_1,DD81,DD81,592499.9849260056,6257499.886210558,52.54626072408818
1,1970s,richness,DD90_1,DD90,DD90,597499.9603299614,6252499.909862781,41.34354395820957
1,1970s,richness,DD91_1,DD91,DD91,597499.9845591482,6257499.88334208,57.5805357629907
1,1970s,richness,DD92_1,DD92,DD92,597499.985225495,6262499.8971402,45.71763522511606
1,1970s,richness,DE00_1,DE00,DE00,552500.0397736444,6202499.815031244,61.82730568180908
1,1970s,richness,DE01_1,DE01,DE01,552500.0522177635,6207499.735317095,76.7865076343626
1,1970s,richness,DE02_1,DE02,DE02,552500.0156842017,6212499.692870375,55.27536737691545
1,1970s,richness,BD42_1,BD42,BD42,472500.0892348051,6262499.638397401,46.30602888787784
1,1970s,richness,DE03_1,DE03,DE03,552499.9918704326,6217499.688423337,55.62972949547326
1,1970s,richness,DE04_1,DE04,DE04,552500.0421838384,6222499.722709725,34.65487816063676
1,1970s,richness,DE05_1,DE05,DE05,552499.9808522139,6227499.682127924,44.01057220676566
1,1970s,richness,DE07_1,DE07,DE07,552499.9514282229,6237499.715456871,67.42303443395173
1,1970s,richness,DE10_1,DE10,DE10,557499.9926700045,6202499.753927617,58.41914505123921
1,1970s,richness,DE11_1,DE11,DE11,557500.0121679712,6207499.781346942,60.105586101837574
1,1970s,richness,DE12_1,DE12,DE12,557500.0298874964,6212499.735544217,28.63935060705824
1,1970s,richness,BD43_1,BD43,BD43,472500.0750117887,6267499.724942416,42.0589271889529
1,1970s,richness,DE13_1,DE13,DE13,557499.9814049272,6217499.726953041,36.66996170935454
1,1970s,richness,DE14_1,DE14,DE14,557499.9919643814,6222499.645914316,46.26159357616007
1,1970s,richness,DE15_1,DE15,DE15,557499.9955708939,6227499.714159249,54.580863041995094
1,1970s,richness,DE16_1,DE16,DE16,557499.9944713496,6232499.709069772,52.53654958385696
1,1970s,richness,DE17_1,DE17,DE17,557499.9260181622,6237499.629782909,53.35772500656307
1,1970s,richness,DE18_1,DE18,DE18,557499.9103897591,6242499.700531681,61.8075779341181
1,1970s,richness,DE19_1,DE19,DE19,557499.8878559844,6247499.697860005,40.294143310084294
1,1970s,richness,DE20_1,DE20,DE20,562500.0084597974,6202499.807410175,63.716428788533925
1,1970s,richness,DE21_1,DE21,DE21,562499.9761553103,6207499.728242607,54.52278608631882
1,1970s,richness,DE22_1,DE22,DE22,562499.9864572511,6212499.688075669,45.47717451072356
1,1970s,richness,BD44_1,BD44,BD44,472500.09313145553,6272499.736661749,37.82619086345997
1,1970s,richness,DE23_1,DE23,DE23,562499.9761974189,6217499.685978896,63.07102876775038
1,1970s,richness,DE24_1,DE24,DE24,562500.0067694888,6222499.722828891,79.84487341125073
1,1970s,richness,DE25_1,DE25,DE25,562499.9547079823,6227499.685494073,62.69440761573782
1,1970s,richness,DE26_1,DE26,DE26,562499.9418520522,6232499.687049095,35.796536238916744
1,1970s,richness,DE27_1,DE27,DE27,562499.9672399207,6237499.727467009,43.28839023898593
1,1970s,richness,DE29_1,DE29,DE29,562499.8850704462,6247499.698559415,46.87797669608881
1,1970s,richness,DE30_1,DE30,DE30,567499.9818457006,6202499.750937081,73.24465396203388
1,1970s,richness,DE31_1,DE31,DE31,567499.95756106,6207499.79836426,52.42276454348486
1,1970s,richness,DE32_1,DE32,DE32,567499.9610612297,6212499.773586951,48.263876020972276
1,1970s,richness,BD45_1,BD45,BD45,472500.082515051,6277499.673930096,49.39722512433694
1,1970s,richness,DE33_1,DE33,DE33,567499.991388455,6217499.67657536,40.042541616132795
1,1970s,richness,DE34_1,DE34,DE34,567499.981947577,6222499.728908503,83.81966912402098
1,1970s,richness,DE35_1,DE35,DE35,567499.9354850466,6227499.707971843,42.31434890515879
1,1970s,richness,DE36_1,DE36,DE36,567499.9734866512,6232499.726984239,57.26593536267097
1,1970s,richness,DE37_1,DE37,DE37,567499.910766697,6237499.671688164,65.03797783803985
1,1970s,richness,DE38_1,DE38,DE38,567499.9288161611,6242499.767579349,59.339816754598615
1,1970s,richness,DE39_1,DE39,DE39,567499.9064195943,6247499.790080435,32.836863095482855
1,1970s,richness,DE40_1,DE40,DE40,572499.9259428019,6202499.806681671,75.44823905285739
1,1970s,richness,DE41_1,DE41,DE41,572499.9762135199,6207499.768940775,48.01771163773481
1,1970s,richness,DE42_1,DE42,DE42,572499.9735447941,6212499.769307227,50.74764427599645
1,1970s,richness,BD46_1,BD46,BD46,472500.04509961524,6282499.759338391,51.316581356752216
1,1970s,richness,DE43_1,DE43,DE43,572499.9812662832,6217499.697508556,53.87392203988799
1,1970s,richness,DE44_1,DE44,DE44,572499.9325161695,6222499.7750477465,82.78903584727182
1,1970s,richness,DE45_1,DE45,DE45,572499.9563057558,6227499.670118789,37.95860409037936
1,1970s,richness,DE46_1,DE46,DE46,572499.9838101824,6232499.715519001,38.0520154685193
1,1970s,richness,DE47_1,DE47,DE47,572499.9559022341,6237499.687581973,50.408668208388235
1,1970s,richness,DE49_1,DE49,DE49,572499.9104865338,6247499.748605974,39.15027184519711
1,1970s,richness,DE50_1,DE50,DE50,577499.9212493428,6202499.864100323,55.27482468874939
1,1970s,richness,DE51_1,DE51,DE51,577499.9222648653,6207499.748870433,81.56657529342935
1,1970s,richness,DE52_1,DE52,DE52,577499.9764963645,6212499.785257158,68.77763423958281
1,1970s,richness,BD47_1,BD47,BD47,472500.0410912281,6287499.769842108,64.21813688275931
1,1970s,richness,DE53_1,DE53,DE53,577499.9623265731,6217499.7484121,67.94211896786169
