"survey","site","atlas","period","group","species_pool_size","group_richness","hotspot_threshold","is_hotspot"
"DD14_1","DD14","1","1970s","Dabbling ducks",8,0,3,FALSE
"DD15_1","DD15","1","1970s","Dabbling ducks",8,2,3,FALSE
"DD16_1","DD16","1","1970s","Dabbling ducks",8,2,3,FALSE
"DD17_1","DD17","1","1970s","Dabbling ducks",8,2,3,FALSE
"DD18_1","DD18","1","1970s","Dabbling ducks",8,1,3,FALSE
"DD19_1","DD19","1","1970s","Dabbling ducks",8,0,3,FALSE
"DD20_1","DD20","1","1970s","Dabbling ducks",8,2,3,FALSE
"DD21_1","DD21","1","1970s","Dabbling ducks",8,1,3,FALSE
"BD36_1","BD36","1","1970s","Dabbling ducks",8,3,3,TRUE
"DD22_1","DD22","1","1970s","Dabbling ducks",8,0,3,FALSE
"DD23_1","DD23","1","1970s","Dabbling ducks",8,1,3,FALSE
"DD24_1","DD24","1","1970s","Dabbling ducks",8,1,3,FALSE
"DD25_1","DD25","1","1970s","Dabbling ducks",8,0,3,FALSE
"DD26_1","DD26","1","1970s","Dabbling ducks",8,2,3,FALSE
"DD27_1","DD27","1","1970s","Dabbling ducks",8,0,3,FALSE
"DD28_1","DD28","1","1970s","Dabbling ducks",8,1,3,FALSE
"DD29_1","DD29","1","1970s","Dabbling ducks",8,1,3,FALSE
"DD30_1","DD30","1","1970s","Dabbling ducks",8,3,3,TRUE
"DD31_1","DD31","1","1970s","Dabbling ducks",8,4,3,TRUE
"BD37_1","BD37","1","1970s","Dabbling ducks",8,2,3,FALSE
"DD32_1","DD32","1","1970s","Dabbling ducks",8,1,3,FALSE
"DD33_1","DD33","1","1970s","Dabbling ducks",8,0,3,FALSE
"DD34_1","DD34","1","1970s","Dabbling ducks",8,0,3,FALSE
"DD35_1","DD35","1","1970s","Dabbling ducks",8,0,3,FALSE
"DD36_1","DD36","1","1970s","Dabbling ducks",8,0,3,FALSE
"DD37_1","DD37","1","1970s","Dabbling ducks",8,0,3,FALSE
"DD38_1","DD38","1","1970s","Dabbling ducks",8,0,3,FALSE
"DD39_1","DD39","1","1970s","Dabbling ducks",8,0,3,FALSE
"DD40_1","DD40","1","1970s","Dabbling ducks",8,3,3,TRUE
"DD41_1","DD41","1","1970s","Dabbling ducks",8,1,3,FALSE
"BD38_1","BD38","1","1970s","Dabbling ducks",8,1,3,FALSE
"DD42_1","DD42","1","1970s","Dabbling ducks",8,1,3,FALSE
"DD43_1","DD43","1","1970s","Dabbling ducks",8,2,3,FALSE
"DD44_1","DD44","1","1970s","Dabbling ducks",8,0,3,FALSE
"DD45_1","DD45","1","1970s","Dabbling ducks",8,0,3,FALSE
"DD46_1","DD46","1","1970s","Dabbling ducks",8,0,3,FALSE
"DD47_1","DD47","1","1970s","Dabbling ducks",8,1,3,FALSE
"DD48_1","DD48","1","1970s","Dabbling ducks",8,0,3,FALSE
"DD49_1","DD49","1","1970s","Dabbling ducks",8,0,3,FALSE
"DD50_1","DD50","1","1970s","Dabbling ducks",8,1,3,FALSE
"DD51_1","DD51","1","1970s","Dabbling ducks",8,5,3,TRUE
"BD39_1","BD39","1","1970s","Dabbling ducks",8,4,3,TRUE
"DD52_1","DD52","1","1970s","Dabbling ducks",8,2,3,FALSE
"DD53_1","DD53","1","1970s","Dabbling ducks",8,3,3,TRUE
"DD54_1","DD54","1","1970s","Dabbling ducks",8,2,3,FALSE
"DD55_1","DD55","1","1970s","Dabbling ducks",8,0,3,FALSE
"DD56_1","DD56","1","1970s","Dabbling ducks",8,0,3,FALSE
"DD57_1","DD57","1","1970s","Dabbling ducks",8,3,3,TRUE
"DD58_1","DD58","1","1970s","Dabbling ducks",8,0,3,FALSE
"DD59_1","DD59","1","1970s","Dabbling ducks",8,0,3,FALSE
"DD60_1","DD60","1","1970s","Dabbling ducks",8,0,3,FALSE
"DD61_1","DD61","1","1970s","Dabbling ducks",8,1,3,FALSE
"AE91_1","AE91","1","1970s","Dabbling ducks",8,0,3,FALSE
"BD40_1","BD40","1","1970s","Dabbling ducks",8,0,3,FALSE
"DD62_1","DD62","1","1970s","Dabbling ducks",8,2,3,FALSE
"DD63_1","DD63","1","1970s","Dabbling ducks",8,2,3,FALSE
"DD64_1","DD64","1","1970s","Dabbling ducks",8,2,3,FALSE
"DD65_1","DD65","1","1970s","Dabbling ducks",8,0,3,FALSE
"DD66_1","DD66","1","1970s","Dabbling ducks",8,0,3,FALSE
"DD67_1","DD67","1","1970s","Dabbling ducks",8,3,3,TRUE
"DD70_1","DD70","1","1970s","Dabbling ducks",8,2,3,FALSE
"DD71_1","DD71","1","1970s","Dabbling ducks",8,3,3,TRUE
"DD72_1","DD72","1","1970s","Dabbling ducks",8,1,3,FALSE
"DD73_1","DD73","1","1970s","Dabbling ducks",8,2,3,FALSE
"BD41_1","BD41","1","1970s","Dabbling ducks",8,0,3,FALSE
"DD80_1","DD80","1","1970s","Dabbling ducks",8,1,3,FALSE
"DD81_1","DD81","1","1970s","Dabbling ducks",8,0,3,FALSE
"DD82_1","DD82","1","1970s","Dabbling ducks",8,0,3,FALSE
"DD90_1","DD90","1","1970s","Dabbling ducks",8,1,3,FALSE
"DD91_1","DD91","1","1970s","Dabbling ducks",8,3,3,TRUE
"DD92_1","DD92","1","1970s","Dabbling ducks",8,0,3,FALSE
"DD93_1","DD93","1","1970s","Dabbling ducks",8,0,3,FALSE
"DE00_1","DE00","1","1970s","Dabbling ducks",8,2,3,FALSE
"DE01_1","DE01","1","1970s","Dabbling ducks",8,2,3,FALSE
"DE02_1","DE02","1","1970s","Dabbling ducks",8,1,3,FALSE
"BD42_1","BD42","1","1970s","Dabbling ducks",8,2,3,FALSE
"DE03_1","DE03","1","1970s","Dabbling ducks",8,2,3,FALSE
"DE04_1","DE04","1","1970s","Dabbling ducks",8,0,3,FALSE
"DE05_1","DE05","1","1970s","Dabbling ducks",8,1,3,FALSE
"DE06_1","DE06","1","1970s","Dabbling ducks",8,0,3,FALSE
"DE07_1","DE07","1","1970s","Dabbling ducks",8,2,3,FALSE
"DE08_1","DE08","1","1970s","Dabbling ducks",8,0,3,FALSE
"DE09_1","DE09","1","1970s","Dabbling ducks",8,0,3,FALSE
"DE10_1","DE10","1","1970s","Dabbling ducks",8,2,3,FALSE
"DE11_1","DE11","1","1970s","Dabbling ducks",8,3,3,TRUE
"DE12_1","DE12","1","1970s","Dabbling ducks",8,2,3,FALSE
"BD43_1","BD43","1","1970s","Dabbling ducks",8,0,3,FALSE
"DE13_1","DE13","1","1970s","Dabbling ducks",8,1,3,FALSE
"DE14_1","DE14","1","1970s","Dabbling ducks",8,1,3,FALSE
"DE15_1","DE15","1","1970s","Dabbling ducks",8,0,3,FALSE
"DE16_1","DE16","1","1970s","Dabbling ducks",8,2,3,FALSE
"DE17_1","DE17","1","1970s","Dabbling ducks",8,0,3,FALSE
"DE18_1","DE18","1","1970s","Dabbling ducks",8,2,3,FALSE
"DE19_1","DE19","1","1970s","Dabbling ducks",8,1,3,FALSE
"DE20_1","DE20","1","1970s","Dabbling ducks",8,1,3,FALSE
"DE21_1","DE21","1","1970s","Dabbling ducks",8,2,3,FALSE
"DE22_1","DE22","1","1970s","Dabbling ducks",8,2,3,FALSE
"BD44_1","BD44","1","1970s","Dabbling ducks",8,2,3,FALSE
"DE23_1","DE23","1","1970s","Dabbling ducks",8,1,3,FALSE
"DE24_1","DE24","1","1970s","Dabbling ducks",8,2,3,FALSE
"DE25_1","DE25","1","1970s","Dabbling ducks",8,1,3,FALSE
"DE26_1","DE26","1","1970s","Dabbling ducks",8,1,3,FALSE
"DE27_1","DE27","1","1970s","Dabbling ducks",8,0,3,FALSE
"DE28_1","DE28","1","1970s","Dabbling ducks",8,0,3,FALSE
"DE29_1","DE29","1","1970s","Dabbling ducks",8,2,3,FALSE
"DE30_1","DE30","1","1970s","Dabbling ducks",8,1,3,FALSE
"DE31_1","DE31","1","1970s","Dabbling ducks",8,1,3,FALSE
"DE32_1","DE32","1","1970s","Dabbling ducks",8,2,3,FALSE
"BD45_1","BD45","1","1970s","Dabbling ducks",8,2,3,FALSE
"DE33_1","DE33","1","1970s","Dabbling ducks",8,0,3,FALSE
"DE34_1","DE34","1","1970s","Dabbling ducks",8,3,3,TRUE
"DE35_1","DE35","1","1970s","Dabbling ducks",8,2,3,FALSE
"DE36_1","DE36","1","1970s","Dabbling ducks",8,2,3,FALSE
"DE37_1","DE37","1","1970s","Dabbling ducks",8,1,3,FALSE
"DE38_1","DE38","1","1970s","Dabbling ducks",8,1,3,FALSE
"DE39_1","DE39","1","1970s","Dabbling ducks",8,0,3,FALSE
"DE40_1","DE40","1","1970s","Dabbling ducks",8,2,3,FALSE
"DE41_1","DE41","1","1970s","Dabbling ducks",8,1,3,FALSE
"DE42_1","DE42","1","1970s","Dabbling ducks",8,1,3,FALSE
"BD46_1","BD46","1","1970s","Dabbling ducks",8,2,3,FALSE
"DE43_1","DE43","1","1970s","Dabbling ducks",8,1,3,FALSE
"DE44_1","DE44","1","1970s","Dabbling ducks",8,4,3,TRUE
"DE45_1","DE45","1","1970s","Dabbling ducks",8,0,3,FALSE
"DE46_1","DE46","1","1970s","Dabbling ducks",8,0,3,FALSE
"DE47_1","DE47","1","1970s","Dabbling ducks",8,0,3,FALSE
"DE48_1","DE48","1","1970s","Dabbling ducks",8,0,3,FALSE
"DE49_1","DE49","1","1970s","Dabbling ducks",8,1,3,FALSE
"DE50_1","DE50","1","1970s","Dabbling ducks",8,2,3,FALSE
"DE51_1","DE51","1","1970s","Dabbling ducks",8,4,3,TRUE
"DE52_1","DE52","1","1970s","Dabbling ducks",8,1,3,FALSE
"BD47_1","BD47","1","1970s","Dabbling ducks",8,5,3,TRUE
"DE53_1","DE53","1","1970s","Dabbling ducks",8,1,3,FALSE
"DE54_1","DE54","1","1970s","Dabbling ducks",8,1,3,FALSE
"DE55_1","DE55","1","1970s","Dabbling ducks",8,1,3,FALSE
"DE56_1","DE56","1","1970s","Dabbling ducks",8,1,3,FALSE
"DE57_1","DE57","1","1970s","Dabbling ducks",8,1,3,FALSE
"DE58_1","DE58","1","1970s","Dabbling ducks",8,0,3,FALSE
"DE59_1","DE59","1","1970s","Dabbling ducks",8,0,3,FALSE
"DE65_1","DE65","1","1970s","Dabbling ducks",8,1,3,FALSE
"DE66_1","DE66","1","1970s","Dabbling ducks",8,2,3,FALSE
"DE67_1","DE67","1","1970s","Dabbling ducks",8,0,3,FALSE
"BD48_1","BD48","1","1970s","Dabbling ducks",8,5,3,TRUE
"DE68_1","DE68","1","1970s","Dabbling ducks",8,2,3,FALSE
"DE69_1","DE69","1","1970s","Dabbling ducks",8,3,3,TRUE
"DE70_1","DE70","1","1970s","Dabbling ducks",8,3,3,TRUE
"DE75_1","DE75","1","1970s","Dabbling ducks",8,2,3,FALSE
"DE76_1","DE76","1","1970s","Dabbling ducks",8,1,3,FALSE
"DE77_1","DE77","1","1970s","Dabbling ducks",8,1,3,FALSE
"DE78_1","DE78","1","1970s","Dabbling ducks",8,0,3,FALSE
"DE79_1","DE79","1","1970s","Dabbling ducks",8,2,3,FALSE
"DE80_1","DE80","1","1970s","Dabbling ducks",8,1,3,FALSE
"DE83_1","DE83","1","1970s","Dabbling ducks",8,1,3,FALSE
"BD49_1","BD49","1","1970s","Dabbling ducks",8,2,3,FALSE
"DE84_1","DE84","1","1970s","Dabbling ducks",8,2,3,FALSE
"DE85_1","DE85","1","1970s","Dabbling ducks",8,1,3,FALSE
"DE86_1","DE86","1","1970s","Dabbling ducks",8,2,3,FALSE
"DE87_1","DE87","1","1970s","Dabbling ducks",8,2,3,FALSE
"DE88_1","DE88","1","1970s","Dabbling ducks",8,1,3,FALSE
"DE89_1","DE89","1","1970s","Dabbling ducks",8,2,3,FALSE
"DE90_1","DE90","1","1970s","Dabbling ducks",8,0,3,FALSE
"DE91_1","DE91","1","1970s","Dabbling ducks",8,1,3,FALSE
"DE93_1","DE93","1","1970s","Dabbling ducks",8,0,3,FALSE
"DE94_1","DE94","1","1970s","Dabbling ducks",8,0,3,FALSE
"AE92_1","AE92","1","1970s","Dabbling ducks",8,2,3,FALSE
"BD50_1","BD50","1","1970s","Dabbling ducks",8,1,3,FALSE
"DE95_1","DE95","1","1970s","Dabbling ducks",8,0,3,FALSE
"DE96_1","DE96","1","1970s","Dabbling ducks",8,2,3,FALSE
"DE97_1","DE97","1","1970s","Dabbling ducks",8,1,3,FALSE
"DE98_1","DE98","1","1970s","Dabbling ducks",8,2,3,FALSE
"DE99_1","DE99","1","1970s","Dabbling ducks",8,1,3,FALSE
"DF00_1","DF00","1","1970s","Dabbling ducks",8,2,3,FALSE
"DF01_1","DF01","1","1970s","Dabbling ducks",8,2,3,FALSE
"DF02_1","DF02","1","1970s","Dabbling ducks",8,0,3,FALSE
"DF04_1","DF04","1","1970s","Dabbling ducks",8,0,3,FALSE
"DF05_1","DF05","1","1970s","Dabbling ducks",8,1,3,FALSE
"BD51_1","BD51","1","1970s","Dabbling ducks",8,1,3,FALSE
"DF06_1","DF06","1","1970s","Dabbling ducks",8,0,3,FALSE
"DF07_1","DF07","1","1970s","Dabbling ducks",8,2,3,FALSE
"DF08_1","DF08","1","1970s","Dabbling ducks",8,0,3,FALSE
"DF09_1","DF09","1","1970s","Dabbling ducks",8,1,3,FALSE
"DF10_1","DF10","1","1970s","Dabbling ducks",8,2,3,FALSE
"DF14_1","DF14","1","1970s","Dabbling ducks",8,2,3,FALSE
"DF15_1","DF15","1","1970s","Dabbling ducks",8,1,3,FALSE
"DF16_1","DF16","1","1970s","Dabbling ducks",8,1,3,FALSE
"DF17_1","DF17","1","1970s","Dabbling ducks",8,1,3,FALSE
"DF18_1","DF18","1","1970s","Dabbling ducks",8,3,3,TRUE
"BD52_1","BD52","1","1970s","Dabbling ducks",8,1,3,FALSE
"DF19_1","DF19","1","1970s","Dabbling ducks",8,2,3,FALSE
"DF20_1","DF20","1","1970s","Dabbling ducks",8,1,3,FALSE
"DF21_1","DF21","1","1970s","Dabbling ducks",8,0,3,FALSE
"DF24_1","DF24","1","1970s","Dabbling ducks",8,1,3,FALSE
"DF25_1","DF25","1","1970s","Dabbling ducks",8,2,3,FALSE
"DF26_1","DF26","1","1970s","Dabbling ducks",8,1,3,FALSE
"DF27_1","DF27","1","1970s","Dabbling ducks",8,0,3,FALSE
"DF28_1","DF28","1","1970s","Dabbling ducks",8,2,3,FALSE
"DF29_1","DF29","1","1970s","Dabbling ducks",8,0,3,FALSE
"DF30_1","DF30","1","1970s","Dabbling ducks",8,2,3,FALSE
"BD53_1","BD53","1","1970s","Dabbling ducks",8,1,3,FALSE
"DF31_1","DF31","1","1970s","Dabbling ducks",8,2,3,FALSE
"DF32_1","DF32","1","1970s","Dabbling ducks",8,0,3,FALSE
"DF36_1","DF36","1","1970s","Dabbling ducks",8,0,3,FALSE
"DF37_1","DF37","1","1970s","Dabbling ducks",8,2,3,FALSE
"DF38_1","DF38","1","1970s","Dabbling ducks",8,2,3,FALSE
