"atlas","period","species","occupied_surveys","total_surveys","occupancy_proportion"
"1","1970s","Periparus_ater",1264,2165,0.583833718244804
"1","1970s","Phoenicurus_ochruros",122,2165,0.05635103926097
"1","1970s","Phoenicurus_phoenicurus",941,2165,0.434642032332563
"1","1970s","Phylloscopus_collybita",1146,2165,0.52933025404157
"1","1970s","Phylloscopus_sibilatrix",784,2165,0.362124711316397
"1","1970s","Phylloscopus_trochilus",1913,2165,0.883602771362587
"1","1970s","Pica_pica",1641,2165,0.75796766743649
"1","1970s","Poecile_palustris",946,2165,0.436951501154734
"1","1970s","Prunella_modularis",1658,2165,0.765819861431871
"1","1970s","Pyrrhula_pyrrhula",692,2165,0.319630484988453
"1","1970s","Regulus_ignicapilla",45,2165,0.0207852193995381
"1","1970s","Regulus_regulus",1391,2165,0.642494226327945
"1","1970s","Remiz_pendulinus",11,2165,0.00508083140877598
"1","1970s","Riparia_riparia",1007,2165,0.465127020785219
"1","1970s","Saxicola_rubetra",1052,2165,0.485912240184757
"1","1970s","Saxicola_rubicola",2,2165,0.00092378752886836
"1","1970s","Serinus_serinus",11,2165,0.00508083140877598
"1","1970s","Sitta_europaea",738,2165,0.340877598152425
"1","1970s","Spinus_spinus",129,2165,0.0595842956120092
"1","1970s","Sturnus_vulgaris",1970,2165,0.909930715935335
"1","1970s","Sylvia_atricapilla",1564,2165,0.722401847575058
"1","1970s","Sylvia_borin",1701,2165,0.78568129330254
"1","1970s","Troglodytes_troglodytes",1769,2165,0.817090069284065
"1","1970s","Turdus_iliacus",18,2165,0.00831408775981524
"1","1970s","Turdus_merula",2055,2165,0.94919168591224
"1","1970s","Turdus_philomelos",1848,2165,0.853579676674365
"1","1970s","Turdus_pilaris",70,2165,0.0323325635103926
"1","1970s","Turdus_viscivorus",454,2165,0.209699769053118
"1","1970s","Ardea_cinerea",108,2165,0.0498845265588915
"1","1970s","Botaurus_stellaris",34,2165,0.0157043879907621
"1","1970s","Dendrocopos_major",1169,2165,0.539953810623557
"1","1970s","Dryobates_minor",7,2165,0.00323325635103926
"1","1970s","Dryocopus_martius",64,2165,0.0295612009237875
"1","1970s","Jynx_torquilla",144,2165,0.066512702078522
"1","1970s","Picus_viridis",360,2165,0.166281755196305
"1","1970s","Podiceps_cristatus",438,2165,0.202309468822171
"1","1970s","Podiceps_grisegena",280,2165,0.12933025404157
"1","1970s","Podiceps_nigricollis",31,2165,0.0143187066974596
"1","1970s","Tachybaptus_ruficollis",337,2165,0.155658198614319
"1","1970s","Asio_flammeus",45,2165,0.0207852193995381
"1","1970s","Asio_otus",427,2165,0.197228637413395
"1","1970s","Athene_noctua",338,2165,0.156120092378753
"1","1970s","Strix_aluco",826,2165,0.381524249422633
"1","1970s","Tyto_alba",72,2165,0.033256351039261
"1","1970s","Phalacrocorax_carbo",4,2165,0.00184757505773672
"2","1990s","Accipiter_nisus",1188,2165,0.548729792147806
"2","1990s","Astur_gentilis",614,2165,0.283602771362587
"2","1990s","Buteo_buteo",1541,2165,0.711778290993072
"2","1990s","Circus_aeruginosus",416,2165,0.192147806004619
"2","1990s","Circus_cyaneus",7,2165,0.00323325635103926
"2","1990s","Circus_pygargus",34,2165,0.0157043879907621
"2","1990s","Haliaeetus_albicilla",3,2165,0.00138568129330254
"2","1990s","Milvus_milvus",42,2165,0.0193995381062356
"2","1990s","Pandion_haliaetus",1,2165,0.00046189376443418
"2","1990s","Pernis_apivorus",274,2165,0.126558891454965
"2","1990s","Anas_acuta",58,2165,0.0267898383371824
"2","1990s","Anas_crecca",191,2165,0.0882217090069284
"2","1990s","Anas_platyrhynchos",1866,2165,0.86189376443418
"2","1990s","Anser_anser",474,2165,0.218937644341801
"2","1990s","Aythya_ferina",227,2165,0.104849884526559
"2","1990s","Aythya_fuligula",371,2165,0.171362586605081
"2","1990s","Branta_leucopsis",7,2165,0.00323325635103926
"2","1990s","Bucephala_clangula",20,2165,0.0092378752886836
"2","1990s","Cygnus_cygnus",2,2165,0.00092378752886836
"2","1990s","Cygnus_olor",999,2165,0.461431870669746
"2","1990s","Mareca_penelope",9,2165,0.00415704387990762
"2","1990s","Mareca_strepera",95,2165,0.0438799076212471
"2","1990s","Mergus_merganser",37,2165,0.0170900692840647
"2","1990s","Mergus_serrator",359,2165,0.165819861431871
"2","1990s","Somateria_mollissima",186,2165,0.0859122401847575
"2","1990s","Spatula_clypeata",251,2165,0.115935334872979
"2","1990s","Spatula_querquedula",109,2165,0.0503464203233256
"2","1990s","Tadorna_tadorna",1222,2165,0.564434180138568
"2","1990s","Apus_apus",620,2165,0.286374133949192
"2","1990s","Caprimulgus_europaeus",123,2165,0.0568129330254042
"2","1990s","Actitis_hypoleucos",4,2165,0.00184757505773672
"2","1990s","Alca_torda",2,2165,0.00092378752886836
"2","1990s","Anarhynchus_alexandrinus",11,2165,0.00508083140877598
"2","1990s","Arenaria_interpres",10,2165,0.0046189376443418
"2","1990s","Calidris_alpina",77,2165,0.0355658198614319
"2","1990s","Calidris_pugnax",45,2165,0.0207852193995381
"2","1990s","Cepphus_grylle",20,2165,0.0092378752886836
"2","1990s","Charadrius_dubius",232,2165,0.10715935334873
"2","1990s","Charadrius_hiaticula",572,2165,0.264203233256351
"2","1990s","Chlidonias_niger",13,2165,0.00600461893764434
"2","1990s","Chroicocephalus_ridibundus",419,2165,0.193533487297921
"2","1990s","Gallinago_gallinago",690,2165,0.318706697459584
"2","1990s","Gelochelidon_nilotica",5,2165,0.0023094688221709
"2","1990s","Haematopus_ostralegus",862,2165,0.398152424942263
"2","1990s","Ichthyaetus_melanocephalus",1,2165,0.00046189376443418
"2","1990s","Larus_argentatus",240,2165,0.110854503464203
"2","1990s","Larus_canus",311,2165,0.14364896073903
"2","1990s","Larus_fuscus",50,2165,0.023094688221709
"2","1990s","Larus_marinus",119,2165,0.0549653579676674
"2","1990s","Limosa_limosa",54,2165,0.0249422632794457
"2","1990s","Numenius_arquata",130,2165,0.0600461893764434
"2","1990s","Pluvialis_apricaria",5,2165,0.0023094688221709
"2","1990s","Recurvirostra_avosetta",219,2165,0.101154734411085
"2","1990s","Rissa_tridactyla",5,2165,0.0023094688221709
"2","1990s","Scolopax_rusticola",359,2165,0.165819861431871
"2","1990s","Sterna_hirundo",106,2165,0.0489607390300231
"2","1990s","Sterna_paradisaea",207,2165,0.0956120092378753
"2","1990s","Sternula_albifrons",80,2165,0.0369515011547344
"2","1990s","Thalasseus_sandvicensis",29,2165,0.0133949191685912
"2","1990s","Tringa_glareola",28,2165,0.012933025404157
"2","1990s","Tringa_ochropus",38,2165,0.0175519630484988
"2","1990s","Tringa_totanus",653,2165,0.30161662817552
"2","1990s","Uria_aalge",1,2165,0.00046189376443418
"2","1990s","Vanellus_vanellus",1909,2165,0.88175519630485
"2","1990s","Ciconia_ciconia",8,2165,0.00369515011547344
"2","1990s","Columba_oenas",264,2165,0.121939953810624
"2","1990s","Columba_palumbus",2054,2165,0.948729792147806
"2","1990s","Streptopelia_decaocto",1547,2165,0.714549653579677
"2","1990s","Streptopelia_turtur",32,2165,0.0147806004618938
"2","1990s","Alcedo_atthis",160,2165,0.0739030023094688
"2","1990s","Cuculus_canorus",1839,2165,0.849422632794457
"2","1990s","Falco_subbuteo",4,2165,0.00184757505773672
"2","1990s","Falco_tinnunculus",1258,2165,0.581062355658199
"2","1990s","Coturnix_coturnix",116,2165,0.0535796766743649
"2","1990s","Lyrurus_tetrix",1,2165,0.00046189376443418
"2","1990s","Perdix_perdix",1535,2165,0.709006928406467
"2","1990s","Crex_crex",12,2165,0.00554272517321016
"2","1990s","Fulica_atra",1699,2165,0.784757505773672
"2","1990s","Gallinula_chloropus",1405,2165,0.648960739030023
"2","1990s","Grus_grus",14,2165,0.00646651270207852
"2","1990s","Porzana_porzana",25,2165,0.0115473441108545
"2","1990s","Rallus_aquaticus",429,2165,0.198152424942263
"2","1990s","Acanthis_flammea",864,2165,0.399076212471132
