species,variable,variable_label,period_from,weighted_beta_from,standardized_beta_from,prob_positive_from,support_state_from,period_to,weighted_beta_to,standardized_beta_to,prob_positive_to,support_state_to,atlas_from,atlas_to,transition,delta_weighted_beta,abs_delta_weighted_beta,delta_standardized_beta,abs_delta_standardized_beta,support_state_switch,supported_sign_flip,large_jump_cutoff,predictor_large_jump
Tringa_glareola,perc_cropland,Cropland,1970s,0.15504414236196343,0.1786222838271468,0.934,Unsupported,1990s,-0.0013104945858224179,-0.012363156470022812,0.447,Unsupported,1,2,1970s to 1990s,-0.15635463694778584,0.15635463694778584,-0.1909854402971696,0.1909854402971696,FALSE,FALSE,0.1398968467719789,TRUE
Tringa_glareola,perc_pasture,Pasture,1970s,0.30619309557289415,0.30619309557289415,1,Supported positive,1990s,0.22123616504549581,0.22123616504549581,1,Supported positive,1,2,1970s to 1990s,-0.08495693052739833,0.08495693052739833,-0.08495693052739833,0.08495693052739833,FALSE,FALSE,0.1398968467719789,FALSE
Tringa_glareola,perc_forest,Forest,1970s,0.3066352576591649,0.3066352576591649,1,Supported positive,1990s,0.14981238050867363,0.162134610940123,0.962,Supported positive,1,2,1970s to 1990s,-0.15682287715049126,0.15682287715049126,-0.1445006467190419,0.1445006467190419,FALSE,FALSE,0.1398968467719789,TRUE
Tringa_glareola,perc_grass_shrub,Grass/Shrubland,1970s,0.1901971779731084,0.1901971779731084,1,Supported positive,1990s,0.21304975863814976,0.2139053801587849,0.998,Supported positive,1,2,1970s to 1990s,0.022852580665041367,0.022852580665041367,0.023708202185676513,0.023708202185676513,FALSE,FALSE,0.1398968467719789,FALSE
Tringa_ochropus,tmean_breeding,Temperature,1970s,-0.19820473284092927,-0.2018378134836347,0.009,Supported negative,1990s,-0.20827602402075499,-0.2108056923286994,0.006,Supported negative,1,2,1970s to 1990s,-0.01007129117982572,0.01007129117982572,-0.008967878845064697,0.008967878845064697,FALSE,FALSE,0.1398968467719789,FALSE
Tringa_ochropus,prec_breeding,Precipitation,1970s,0.02631250960368995,0.06480913695490137,0.703,Unsupported,1990s,-0.006919783459138892,-0.027459458171186082,0.374,Unsupported,1,2,1970s to 1990s,-0.03323229306282884,0.03323229306282884,-0.09226859512608745,0.09226859512608745,FALSE,FALSE,0.1398968467719789,FALSE
Tringa_ochropus,hh,Land-use heterogeneity,1970s,0.06094997228843245,0.0995914579876347,0.806,Unsupported,1990s,0.09242270593134817,0.12097212818239289,0.882,Unsupported,1,2,1970s to 1990s,0.03147273364291572,0.03147273364291572,0.021380670194758186,0.021380670194758186,FALSE,FALSE,0.1398968467719789,FALSE
Tringa_ochropus,perc_urban,Urban,1970s,-0.02163594448487963,-0.058161141088386104,0.314,Unsupported,1990s,-0.013074989487216065,-0.04190701758723097,0.344,Unsupported,1,2,1970s to 1990s,0.008560954997663565,0.008560954997663565,0.016254123501155134,0.016254123501155134,FALSE,FALSE,0.1398968467719789,FALSE
Tringa_ochropus,perc_cropland,Cropland,1970s,0.0860503016105025,0.1438968254356229,0.799,Unsupported,1990s,0.04953310822110971,0.09789151822353698,0.753,Unsupported,1,2,1970s to 1990s,-0.03651719338939279,0.03651719338939279,-0.04600530721208593,0.04600530721208593,FALSE,FALSE,0.1398968467719789,FALSE
Tringa_ochropus,perc_pasture,Pasture,1970s,0.14721579942756757,0.15761862893743853,0.967,Supported positive,1990s,0.1191954257025431,0.13243936189171457,0.95,Supported positive,1,2,1970s to 1990s,-0.028020373725024472,0.028020373725024472,-0.025179267045723958,0.025179267045723958,FALSE,FALSE,0.1398968467719789,FALSE
Tringa_ochropus,perc_forest,Forest,1970s,0.48318584783245905,0.48318584783245905,1,Supported positive,1990s,0.40287641532087937,0.40287641532087937,1,Supported positive,1,2,1970s to 1990s,-0.08030943251157968,0.08030943251157968,-0.08030943251157968,0.08030943251157968,FALSE,FALSE,0.1398968467719789,FALSE
Tringa_ochropus,perc_grass_shrub,Grass/Shrubland,1970s,0.12475947956115326,0.1424194972159284,0.938,Unsupported,1990s,0.1568933640369208,0.16480395382029497,0.976,Supported positive,1,2,1970s to 1990s,0.03213388447576755,0.03213388447576755,0.02238445660436658,0.02238445660436658,TRUE,FALSE,0.1398968467719789,FALSE
Tringa_totanus,tmean_breeding,Temperature,1970s,0.5058200485742876,0.5058200485742876,1,Supported positive,1990s,0.5932810183710383,0.5932810183710383,1,Supported positive,1,2,1970s to 1990s,0.08746096979675066,0.08746096979675066,0.08746096979675066,0.08746096979675066,FALSE,FALSE,0.1398968467719789,FALSE
Tringa_totanus,prec_breeding,Precipitation,1970s,-0.4389724063099277,-0.4389724063099277,0,Supported negative,1990s,-0.38244189459270433,-0.38244189459270433,0,Supported negative,1,2,1970s to 1990s,0.05653051171722334,0.05653051171722334,0.05653051171722334,0.05653051171722334,FALSE,FALSE,0.1398968467719789,FALSE
