transition,trait_value,n_species,median_total_jump,mean_total_jump,iqr_total_jump,stable_species_share,extreme_species_share,share_with_any_state_switch,share_with_supported_sign_flip,median_predictor_jumps,trait_family,reliable_group,group_stability_rank,group_jump_rank
1990s to 2010s,Woodpeckers,5,0.37995313611785786,0.4316884583366668,0.1302356796121027,0.4,0.4,1,0.4,3,Foraging guild,TRUE,21,14
1970s to 1990s,long-distance,44,0.30399933927980205,0.354736784854006,0.12855655290878115,0.25,0.25,0.9772727272727273,0.09090909090909091,2,Migratory strategy,TRUE,2,4
1970s to 1990s,sedentary,35,0.35055924227558294,0.38000103515442296,0.20182224371427576,0.2571428571428571,0.2571428571428571,1,0.14285714285714285,2,Migratory strategy,TRUE,4,2
1970s to 1990s,sedentary and short-distance,31,0.3026086817993512,0.31626444010734484,0.15520146934961196,0.25806451612903225,0.25806451612903225,0.9354838709677419,0,1,Migratory strategy,TRUE,1,5
1970s to 1990s,short-and long-distance,8,0.3797854397833185,0.39763960147062793,0.23418528672611044,0.25,0.25,0.875,0,2,Migratory strategy,TRUE,5,1
1970s to 1990s,short-distance,39,0.3470823192086863,0.36084435908519646,0.2041327410666276,0.2564102564102564,0.2564102564102564,0.8461538461538461,0.02564102564102564,2,Migratory strategy,TRUE,3,3
1990s to 2010s,long-distance,44,0.3567285266046152,0.38758221311100755,0.1983759438943759,0.25,0.25,0.9318181818181818,0.045454545454545456,2,Migratory strategy,TRUE,4,2
1990s to 2010s,sedentary,35,0.3444215889176118,0.3642952809913757,0.21091496832865725,0.2571428571428571,0.2571428571428571,0.9428571428571428,0.05714285714285714,2,Migratory strategy,TRUE,1,5
1990s to 2010s,sedentary and short-distance,31,0.3472458358338361,0.34854242465519714,0.1494243240666039,0.25806451612903225,0.25806451612903225,0.967741935483871,0.03225806451612903,2,Migratory strategy,TRUE,2,4
1990s to 2010s,short-and long-distance,8,0.3612787986359769,0.38089174207542603,0.16692983976670833,0.25,0.25,0.875,0.125,1.5,Migratory strategy,TRUE,5,1
1990s to 2010s,short-distance,39,0.35021137111723544,0.36165452584326974,0.18837626181286682,0.2564102564102564,0.2564102564102564,0.8717948717948718,0.02564102564102564,2,Migratory strategy,TRUE,3,3
1970s to 1990s,very cold,32,0.3570709673948891,0.35043130521422894,0.15995109122405687,0.25,0.25,0.875,0.03125,2,Thermal affinity,TRUE,4,2
1970s to 1990s,cold,31,0.32397163288338476,0.36101143754427006,0.2064235051536315,0.25806451612903225,0.25806451612903225,0.9354838709677419,0.0967741935483871,2,Thermal affinity,TRUE,3,3
1970s to 1990s,medium,31,0.2947575509048985,0.31569575691588475,0.14499206966146228,0.25806451612903225,0.25806451612903225,0.967741935483871,0.06451612903225806,1,Thermal affinity,TRUE,1,5
1970s to 1990s,warm,31,0.3026086817993512,0.32208523447708615,0.08971358934023033,0.25806451612903225,0.25806451612903225,0.967741935483871,0.06451612903225806,1,Thermal affinity,TRUE,2,4
1970s to 1990s,very warm,32,0.39983621844358563,0.43094787998395767,0.22313246340045556,0.25,0.25,0.9375,0.0625,2,Thermal affinity,TRUE,5,1
1990s to 2010s,very cold,32,0.3766095401817602,0.4038279497434001,0.19865484188455174,0.25,0.25,0.8125,0.09375,2,Thermal affinity,TRUE,4,2
1990s to 2010s,cold,31,0.3547201417961986,0.35871240064660737,0.1649227628357472,0.25806451612903225,0.25806451612903225,0.9354838709677419,0.06451612903225806,2,Thermal affinity,TRUE,3,3
1990s to 2010s,medium,31,0.3472458358338361,0.3689650842235846,0.11620889733121609,0.25806451612903225,0.25806451612903225,0.9354838709677419,0.03225806451612903,2,Thermal affinity,TRUE,2,4
1990s to 2010s,warm,31,0.28448840694344124,0.29598777514110214,0.10446539290740986,0.25806451612903225,0.25806451612903225,1,0.03225806451612903,1,Thermal affinity,TRUE,1,5
1990s to 2010s,very warm,32,0.3847279175985525,0.40950969900767503,0.1942303682552795,0.25,0.25,0.9375,0,2.5,Thermal affinity,TRUE,5,1
