species,transition,atlas_from,atlas_to,period_from,period_to,total_beta_jump,mean_abs_predictor_jump,max_abs_predictor_jump,dominant_driver,n_support_state_switches,n_supported_sign_flips,n_predictors_with_large_jump,n_predictors,migratory_strategy,foraging_guild,species_thermal_index,thermal_group,jump_percentile,species_stability_rank,species_jump_rank
Remiz_pendulinus,1970s to 1990s,1,2,1970s,1990s,0.5490799926435066,0.17992858956537702,0.28137808558368144,Urban,7,0,5,8,short-distance,Tit-like birds,13.7399153521,very warm,0.8910256410256411,140,18
Remiz_pendulinus,1990s to 2010s,2,3,1990s,2010s,0.4300748111520948,0.12204970909552618,0.25942354771262593,Temperature,4,0,3,8,short-distance,Tit-like birds,13.7399153521,very warm,0.717948717948718,113,45
Riparia_riparia,1970s to 1990s,1,2,1970s,1990s,0.2410016142090256,0.07071538785849246,0.17799859966726292,Precipitation,4,0,1,8,long-distance,Aerial insectivores,11.9550761988,medium,0.19230769230769232,31,127
Riparia_riparia,1990s to 2010s,2,3,1990s,2010s,0.2773231840292794,0.07331928444417438,0.22941965486659488,Cropland,4,0,1,8,long-distance,Aerial insectivores,11.9550761988,medium,0.2692307692307692,43,115
Saxicola_rubetra,1970s to 1990s,1,2,1970s,1990s,0.2906134811572743,0.0801555715111267,0.16575401651492705,Grass/Shrubland,2,0,3,8,long-distance,Low flycatching feeders,11.2990488425,cold,0.36538461538461536,58,100
Saxicola_rubetra,1990s to 2010s,2,3,1990s,2010s,0.21642910284962938,0.052864317719281115,0.1828833775499909,Forest,0,0,1,8,long-distance,Low flycatching feeders,11.2990488425,cold,0.1282051282051282,21,137
Scolopax_rusticola,1970s to 1990s,1,2,1970s,1990s,0.17298911581618565,0.04838375642159733,0.14375124223883334,Land-use heterogeneity,2,0,1,8,sedentary and short-distance,Scolopacids,10.6010955955,very cold,0.05128205128205128,9,149
Scolopax_rusticola,1990s to 2010s,2,3,1990s,2010s,0.41876326962246807,0.13735560970995603,0.22362191386276292,Grass/Shrubland,4,0,4,8,sedentary and short-distance,Scolopacids,10.6010955955,very cold,0.6923076923076923,109,49
Serinus_serinus,1970s to 1990s,1,2,1970s,1990s,0.4751817180664804,0.13942175798079257,0.36328774479458764,Cropland,2,0,2,8,short-distance,Passerine seedeaters,13.8814196118,very warm,0.8141025641025641,128,30
Serinus_serinus,1990s to 2010s,2,3,1990s,2010s,0.5073824891956561,0.14928422150404644,0.28796219883985935,Urban,4,0,3,8,short-distance,Passerine seedeaters,13.8814196118,very warm,0.8333333333333334,131,27
Sitta_europaea,1970s to 1990s,1,2,1970s,1990s,0.24320457671216697,0.07171454590565698,0.18397304526417735,Pasture,2,0,1,8,sedentary,Tit-like birds,12.7946675987,warm,0.21153846153846154,34,124
Sitta_europaea,1990s to 2010s,2,3,1990s,2010s,0.2871638673915131,0.08511924489088239,0.15865652388037377,Cropland,3,0,1,8,sedentary,Tit-like birds,12.7946675987,warm,0.28846153846153844,46,112
Somateria_mollissima,1970s to 1990s,1,2,1970s,1990s,0.5621307266776809,0.17118825065222545,0.3342935506035123,Grass/Shrubland,3,0,4,8,short-distance,Diving ducks,8.1688294838,very cold,0.9294871794871795,146,12
Somateria_mollissima,1990s to 2010s,2,3,1990s,2010s,0.5574868051991304,0.17292554957093947,0.3575356614250737,Forest,0,0,4,8,short-distance,Diving ducks,8.1688294838,very cold,0.8910256410256411,140,18
Spatula_clypeata,1970s to 1990s,1,2,1970s,1990s,0.23413484954826425,0.07636908284661602,0.1158145888608205,Precipitation,2,0,0,8,short-distance,Dabbling ducks,11.7556216717,cold,0.17307692307692307,28,130
Spatula_clypeata,1990s to 2010s,2,3,1990s,2010s,0.4090153507957079,0.11101170470266089,0.32740844807184605,Grass/Shrubland,2,0,1,8,short-distance,Dabbling ducks,11.7556216717,cold,0.6858974358974359,108,50
Spatula_querquedula,1970s to 1990s,1,2,1970s,1990s,0.3342420136641075,0.09698934605113892,0.21135135921024953,Precipitation,3,0,2,8,long-distance,Dabbling ducks,12.389627827,warm,0.5192307692307693,82,76
Spatula_querquedula,1990s to 2010s,2,3,1990s,2010s,0.4265667369375993,0.11437886196868788,0.2787600368651407,Pasture,2,0,2,8,long-distance,Dabbling ducks,12.389627827,warm,0.7115384615384616,112,46
Spinus_spinus,1970s to 1990s,1,2,1970s,1990s,0.14297826173598674,0.039649964422677195,0.10909654701003627,Forest,0,0,0,8,sedentary and short-distance,Passerine seedeaters,10.2425165856,very cold,0.01282051282051282,3,155
Spinus_spinus,1990s to 2010s,2,3,1990s,2010s,0.18307540120834156,0.05653680793219484,0.11112733986650264,Land-use heterogeneity,2,0,0,8,sedentary and short-distance,Passerine seedeaters,10.2425165856,very cold,0.07051282051282051,12,146
Sterna_hirundo,1970s to 1990s,1,2,1970s,1990s,0.4793813837485249,0.15916156220891034,0.24681683204835225,Cropland,6,0,4,8,long-distance,Terns,11.4396148713,cold,0.8205128205128205,129,29
Sterna_hirundo,1990s to 2010s,2,3,1990s,2010s,0.36787896728555086,0.10095771244257322,0.279265864449941,Cropland,3,0,2,8,long-distance,Terns,11.4396148713,cold,0.5833333333333334,92,66
Sterna_paradisaea,1970s to 1990s,1,2,1970s,1990s,0.3032272021335941,0.07875291285399962,0.23443618065523586,Forest,1,0,2,8,long-distance,Terns,6.7214988279,very cold,0.4230769230769231,67,91
Sterna_paradisaea,1990s to 2010s,2,3,1990s,2010s,0.37186761342057106,0.11347200670587533,0.18756557902049414,Precipitation,1,0,3,8,long-distance,Terns,6.7214988279,very cold,0.6089743589743589,96,62
Sternula_albifrons,1970s to 1990s,1,2,1970s,1990s,0.35648091607308563,0.09813385669298495,0.2818674338172791,Cropland,1,0,2,8,long-distance,Terns,13.6554594356,very warm,0.5769230769230769,91,67
Sternula_albifrons,1990s to 2010s,2,3,1990s,2010s,0.2266375733389057,0.06983788538392019,0.11148567659794835,Pasture,2,0,0,8,long-distance,Terns,13.6554594356,very warm,0.15384615384615385,25,133
Streptopelia_decaocto,1970s to 1990s,1,2,1970s,1990s,0.3112538086271325,0.09001208570003533,0.2198703938054497,Cropland,5,0,2,8,sedentary,Columbids,12.9162282666,warm,0.4551282051282051,72,86
Streptopelia_decaocto,1990s to 2010s,2,3,1990s,2010s,0.1358051488960145,0.03867799365661822,0.08678339858822531,Urban,1,0,0,8,sedentary,Columbids,12.9162282666,warm,0.02564102564102564,5,153
Streptopelia_turtur,1970s to 1990s,1,2,1970s,1990s,0.9384342529441825,0.28063235008093507,0.6165654375462513,Cropland,5,0,6,8,long-distance,Columbids,13.7662137901,very warm,1,157,1
Streptopelia_turtur,1990s to 2010s,2,3,1990s,2010s,0.6498932963464281,0.1890255069619616,0.41615969790580704,Cropland,3,0,5,8,long-distance,Columbids,13.7662137901,very warm,0.9487179487179487,149,9
Strix_aluco,1970s to 1990s,1,2,1970s,1990s,0.4944672654839487,0.13932984250486194,0.3416777586553687,Precipitation,5,0,4,8,sedentary,Owls,12.8738657057,warm,0.8525641025641025,134,24
Strix_aluco,1990s to 2010s,2,3,1990s,2010s,0.3128901964854224,0.07807334695533415,0.24638831947791803,Cropland,3,0,2,8,sedentary,Owls,12.8738657057,warm,0.3782051282051282,60,98
Sturnus_vulgaris,1970s to 1990s,1,2,1970s,1990s,0.5359351019912333,0.15529763674211824,0.3595112146976973,Urban,3,0,2,8,short-distance,Starlings,11.8027600322,cold,0.8846153846153846,139,19
Sturnus_vulgaris,1990s to 2010s,2,3,1990s,2010s,0.6252188535611898,0.18063398951337448,0.41802068626737876,Forest,4,0,5,8,short-distance,Starlings,11.8027600322,cold,0.9358974358974359,147,11
Sylvia_atricapilla,1970s to 1990s,1,2,1970s,1990s,0.19415749834625617,0.053004314669796035,0.15290871500610764,Land-use heterogeneity,1,0,1,8,short-distance,Foliage gleaners,12.6192368528,warm,0.08333333333333333,14,144
Sylvia_atricapilla,1990s to 2010s,2,3,1990s,2010s,0.2387270333703713,0.06562948266651386,0.16967702683064867,Pasture,2,0,1,8,short-distance,Foliage gleaners,12.6192368528,warm,0.1858974358974359,30,128
Sylvia_borin,1970s to 1990s,1,2,1970s,1990s,0.28626679295104657,0.09241297879681062,0.1591152572028196,Cropland,4,0,2,8,long-distance,Foliage gleaners,11.3163422901,cold,0.3525641025641026,56,102
Sylvia_borin,1990s to 2010s,2,3,1990s,2010s,0.3835216778290196,0.12428553965551592,0.2014923544080473,Cropland,5,0,3,8,long-distance,Foliage gleaners,11.3163422901,cold,0.6410256410256411,101,57
Tachybaptus_ruficollis,1970s to 1990s,1,2,1970s,1990s,0.1569938880386091,0.04663859226114908,0.09549525716266802,Land-use heterogeneity,3,0,0,8,sedentary and short-distance,Aquatic pursuers,13.4633891991,very warm,0.02564102564102564,5,153
Tachybaptus_ruficollis,1990s to 2010s,2,3,1990s,2010s,0.19255748225704314,0.05086965409987697,0.1479527115025848,Precipitation,3,0,0,8,sedentary and short-distance,Aquatic pursuers,13.4633891991,very warm,0.08974358974358974,15,143
Tadorna_tadorna,1970s to 1990s,1,2,1970s,1990s,0.24333260771871787,0.07011536771117663,0.14740734299030306,Cropland,1,0,1,8,short-distance,Dabbling ducks,12.0434493446,medium,0.21794871794871795,35,123
Tadorna_tadorna,1990s to 2010s,2,3,1990s,2010s,0.19768909108817323,0.06371450771412977,0.11996063609370085,Pasture,3,0,0,8,short-distance,Dabbling ducks,12.0434493446,medium,0.10256410256410256,17,141
Thalasseus_sandvicensis,1970s to 1990s,1,2,1970s,1990s,0.5326063066417186,0.1560056188152428,0.3733990334134957,Forest,1,0,4,8,short-and long-distance,Terns,12.309341223,medium,0.8717948717948718,137,21
Thalasseus_sandvicensis,1990s to 2010s,2,3,1990s,2010s,0.2643300939462825,0.0790789729131563,0.15398950898017189,Pasture,0,0,1,8,short-and long-distance,Terns,12.309341223,medium,0.24358974358974358,39,119
Tringa_glareola,1970s to 1990s,1,2,1970s,1990s,0.6204937173043399,0.1612123849827924,0.4978661102219555,Precipitation,2,0,4,8,long-distance,Scolopacids,7.6706167812,very cold,0.9615384615384616,151,7
Tringa_glareola,1990s to 2010s,2,3,1990s,2010s,0.46469056468482084,0.12045745397370221,0.38481215576529426,Cropland,2,0,2,8,long-distance,Scolopacids,7.6706167812,very cold,0.7564102564102564,119,39
Tringa_ochropus,1970s to 1990s,1,2,1970s,1990s,0.10895172031792255,0.03253976962312479,0.08030943251157968,Forest,1,0,0,8,short-and long-distance,Scolopacids,9.8785200822,very cold,0,1,157
Tringa_ochropus,1990s to 2010s,2,3,1990s,2010s,0.38135146694294925,0.0917058062993215,0.3291253839043235,Cropland,4,0,1,8,short-and long-distance,Scolopacids,9.8785200822,very cold,0.6346153846153846,100,58
Tringa_totanus,1970s to 1990s,1,2,1970s,1990s,0.21401225475572924,0.0695712608687273,0.12772518253259557,Cropland,2,0,0,8,short-distance,Scolopacids,11.0359375128,cold,0.11538461538461539,19,139
Tringa_totanus,1990s to 2010s,2,3,1990s,2010s,0.3513624994866505,0.11050052995333787,0.1690827609059089,Temperature,2,0,4,8,short-distance,Scolopacids,11.0359375128,cold,0.48717948717948717,77,81
Troglodytes_troglodytes,1970s to 1990s,1,2,1970s,1990s,0.1706044523104506,0.05520155182982906,0.10958483183792242,Cropland,2,0,0,8,sedentary,Low flycatching feeders,12.2368253494,medium,0.04487179487179487,8,150
Troglodytes_troglodytes,1990s to 2010s,2,3,1990s,2010s,0.40722647484024266,0.11216969222802171,0.28058207341983765,Urban,3,0,2,8,sedentary,Low flycatching feeders,12.2368253494,medium,0.6794871794871795,107,51
Turdus_merula,1970s to 1990s,1,2,1970s,1990s,0.5199182494002793,0.14359444054337062,0.38129099405150235,Temperature,3,0,4,8,sedentary,Thrushes,12.5843398181,warm,0.8653846153846154,136,22
Turdus_merula,1990s to 2010s,2,3,1990s,2010s,0.6706881440337423,0.1992982971755418,0.4117239397165736,Urban,3,0,4,8,sedentary,Thrushes,12.5843398181,warm,0.9615384615384616,151,7
Turdus_philomelos,1970s to 1990s,1,2,1970s,1990s,0.3744486211782409,0.10086993464964365,0.24528456445674962,Urban,2,0,2,8,short-distance,Thrushes,11.3956704897,cold,0.6282051282051282,99,59
Turdus_philomelos,1990s to 2010s,2,3,1990s,2010s,0.3487266494092278,0.10380878671636874,0.19527229740584018,Pasture,3,0,3,8,short-distance,Thrushes,11.3956704897,cold,0.46794871794871795,74,84
Turdus_pilaris,1970s to 1990s,1,2,1970s,1990s,0.48401309798948544,0.12819565537981914,0.3130780447035276,Temperature,6,0,3,8,short-distance,Thrushes,10.0287125382,very cold,0.8333333333333334,131,27
Turdus_pilaris,1990s to 2010s,2,3,1990s,2010s,0.30535527367316906,0.09467420970372996,0.16297432046470373,Pasture,0,0,2,8,short-distance,Thrushes,10.0287125382,very cold,0.36538461538461536,58,100
Turdus_viscivorus,1970s to 1990s,1,2,1970s,1990s,0.2336909190768844,0.06946870004232382,0.14169716062526055,Forest,2,0,1,8,short-distance,Thrushes,11.9147042629,medium,0.16666666666666666,27,131
Turdus_viscivorus,1990s to 2010s,2,3,1990s,2010s,0.2571554796310627,0.07144360421208443,0.2033444884756485,Precipitation,5,0,1,8,short-distance,Thrushes,11.9147042629,medium,0.23717948717948717,38,120
Tyto_alba,1970s to 1990s,1,2,1970s,1990s,0.3426013579209973,0.10500073102037727,0.20393702368367533,Temperature,2,0,2,8,sedentary,Owls,13.9906366009,very warm,0.5448717948717948,86,72
Tyto_alba,1990s to 2010s,2,3,1990s,2010s,0.5122922659403027,0.15555452845044365,0.3731954582625677,Precipitation,6,0,3,8,sedentary,Owls,13.9906366009,very warm,0.8589743589743589,135,23
Vanellus_vanellus,1970s to 1990s,1,2,1970s,1990s,0.32397163288338476,0.09105318252453998,0.2095909133617172,Temperature,3,0,3,8,short-distance,Plovers,11.532605723,cold,0.48717948717948717,77,81
Vanellus_vanellus,1990s to 2010s,2,3,1990s,2010s,0.37840941388231075,0.11994476911581294,0.2190911341908383,Land-use heterogeneity,5,0,2,8,short-distance,Plovers,11.532605723,cold,0.6217948717948718,98,60
