species,transition,atlas_from,atlas_to,period_from,period_to,total_beta_jump,mean_abs_predictor_jump,max_abs_predictor_jump,dominant_driver,n_support_state_switches,n_supported_sign_flips,n_predictors_with_large_jump,n_predictors,migratory_strategy,foraging_guild,species_thermal_index,thermal_group,jump_percentile,species_stability_rank,species_jump_rank
Corvus_cornix,1990s to 2010s,2,3,1990s,2010s,0.3971924443248268,0.09400193444110899,0.3395591094560111,Forest,2,0,1,8,sedentary,Omnivorous corvids,12.1293990446,medium,0.6602564102564102,104,54
Corvus_corone,1970s to 1990s,1,2,1970s,1990s,0.43556745169413047,0.12360511236310816,0.27825690799110225,Temperature,2,0,3,8,sedentary,Omnivorous corvids,12.1293990446,medium,0.75,118,40
Corvus_corone,1990s to 2010s,2,3,1990s,2010s,0.508611717047698,0.1330968911087448,0.3543341012708001,Precipitation,1,0,3,8,sedentary,Omnivorous corvids,12.1293990446,medium,0.8397435897435898,132,26
Corvus_frugilegus,1970s to 1990s,1,2,1970s,1990s,0.23652770428289316,0.061000849967774794,0.17603293662350633,Urban,1,0,1,8,sedentary,Omnivorous corvids,12.7340640684,warm,0.1794871794871795,29,129
Corvus_frugilegus,1990s to 2010s,2,3,1990s,2010s,0.30210085966992895,0.07769307407446127,0.22305993250337391,Urban,1,0,2,8,sedentary,Omnivorous corvids,12.7340640684,warm,0.3525641025641026,56,102
Coturnix_coturnix,1970s to 1990s,1,2,1970s,1990s,0.3391720035991885,0.09528995270468396,0.25239886017253077,Cropland,4,0,1,8,short-and long-distance,Gallinaceous birds,13.6002736383,very warm,0.5384615384615384,85,73
Coturnix_coturnix,1990s to 2010s,2,3,1990s,2010s,0.18317517244019427,0.051080253005522075,0.13105742025727185,Precipitation,2,0,0,8,short-and long-distance,Gallinaceous birds,13.6002736383,very warm,0.07692307692307693,13,145
Crex_crex,1970s to 1990s,1,2,1970s,1990s,0.2631960695370771,0.06919283343572306,0.18920270957978924,Land-use heterogeneity,3,0,2,8,long-distance,Rails,11.9688491073,medium,0.25,40,118
Crex_crex,1990s to 2010s,2,3,1990s,2010s,0.31915613303641677,0.09226890009606051,0.19939336383021683,Cropland,5,0,2,8,long-distance,Rails,11.9688491073,medium,0.3974358974358974,63,95
Cuculus_canorus,1970s to 1990s,1,2,1970s,1990s,0.25949625283013766,0.07691117288622001,0.16465078656393203,Grass/Shrubland,4,0,1,8,long-distance,Cuckoos,12.1394391784,medium,0.23076923076923078,37,121
Cuculus_canorus,1990s to 2010s,2,3,1990s,2010s,0.4978085016440398,0.15184145863468548,0.35069418343451686,Pasture,3,0,4,8,long-distance,Cuckoos,12.1394391784,medium,0.8141025641025641,128,30
Curruca_communis,1970s to 1990s,1,2,1970s,1990s,0.2402857383676868,0.06705965544998772,0.1397491956681501,Pasture,1,0,0,8,long-distance,Foliage gleaners,12.6535890847,warm,0.1858974358974359,30,128
Curruca_communis,1990s to 2010s,2,3,1990s,2010s,0.2959315585704154,0.08226480491857285,0.20004761158045944,Temperature,2,0,2,8,long-distance,Foliage gleaners,12.6535890847,warm,0.3269230769230769,52,106
Curruca_curruca,1970s to 1990s,1,2,1970s,1990s,0.3721143605875072,0.11355075400454814,0.2564002847694423,Land-use heterogeneity,4,0,2,8,long-distance,Foliage gleaners,11.6399285102,cold,0.6217948717948718,98,60
Curruca_curruca,1990s to 2010s,2,3,1990s,2010s,0.3567101704905731,0.09612857593366848,0.24760661233003933,Pasture,2,1,2,8,long-distance,Foliage gleaners,11.6399285102,cold,0.5384615384615384,85,73
Cyanistes_caeruleus,1970s to 1990s,1,2,1970s,1990s,0.300802367445424,0.0783816955952659,0.17417380586635908,Land-use heterogeneity,2,0,3,8,sedentary,Tit-like birds,12.7367473555,warm,0.41025641025641024,65,93
Cyanistes_caeruleus,1990s to 2010s,2,3,1990s,2010s,0.3444215889176118,0.10954960817995528,0.1812306329057773,Urban,3,0,2,8,sedentary,Tit-like birds,12.7367473555,warm,0.4551282051282051,72,86
Cygnus_olor,1970s to 1990s,1,2,1970s,1990s,0.18688317636951923,0.05694395240804958,0.12809794731336632,Cropland,0,0,0,8,sedentary and short-distance,Grazing waterfowl,12.1899516659,medium,0.07051282051282051,12,146
Cygnus_olor,1990s to 2010s,2,3,1990s,2010s,0.3472458358338361,0.09136384435643209,0.2860914683598448,Temperature,4,0,1,8,sedentary and short-distance,Grazing waterfowl,12.1899516659,medium,0.46153846153846156,73,85
Delichon_urbicum,1970s to 1990s,1,2,1970s,1990s,0.2997687631185842,0.0869637951175751,0.22327539586164144,Land-use heterogeneity,4,1,1,8,long-distance,Aerial insectivores,12.3470551373,warm,0.391025641025641,62,96
Delichon_urbicum,1990s to 2010s,2,3,1990s,2010s,0.26947339980949514,0.08240984074298181,0.16581535961453236,Forest,4,0,1,8,long-distance,Aerial insectivores,12.3470551373,warm,0.26282051282051283,42,116
Dendrocopos_major,1970s to 1990s,1,2,1970s,1990s,0.35055924227558294,0.11426309845710458,0.19219864495393785,Cropland,3,0,2,8,sedentary,Woodpeckers,12.1154284266,medium,0.5641025641025641,89,69
Dendrocopos_major,1990s to 2010s,2,3,1990s,2010s,0.37995313611785786,0.1124935260130423,0.22950611360368553,Temperature,3,0,3,8,sedentary,Woodpeckers,12.1154284266,medium,0.6282051282051282,99,59
Dryobates_minor,1970s to 1990s,1,2,1970s,1990s,0.5684886035810702,0.17282073984805674,0.36802312192823883,Cropland,4,0,5,8,sedentary and short-distance,Woodpeckers,11.5509643269,cold,0.9423076923076923,148,10
Dryobates_minor,1990s to 2010s,2,3,1990s,2010s,0.37523740843193243,0.10268697912423681,0.23254536930286843,Pasture,2,0,3,8,sedentary and short-distance,Woodpeckers,11.5509643269,cold,0.6153846153846154,97,61
Dryocopus_martius,1970s to 1990s,1,2,1970s,1990s,0.4816518616384637,0.11243123939699848,0.42478465228348256,Precipitation,3,1,2,8,sedentary,Woodpeckers,11.1193962821,cold,0.8269230769230769,130,28
Dryocopus_martius,1990s to 2010s,2,3,1990s,2010s,0.5697429756432636,0.12319396041184005,0.4236257480526559,Precipitation,2,1,2,8,sedentary,Woodpeckers,11.1193962821,cold,0.9102564102564102,143,15
Emberiza_calandra,1970s to 1990s,1,2,1970s,1990s,0.41530429152689113,0.12121900546145566,0.2734217141185177,Forest,4,1,2,8,sedentary,Buntings,14.2313581317,very warm,0.717948717948718,113,45
Emberiza_calandra,1990s to 2010s,2,3,1990s,2010s,0.1704446878233533,0.0505075867667412,0.12572060070996785,Pasture,2,0,0,8,sedentary,Buntings,14.2313581317,very warm,0.0641025641025641,11,147
Emberiza_citrinella,1970s to 1990s,1,2,1970s,1990s,0.4455210089139099,0.14223927063519215,0.2490562822344905,Forest,3,0,5,8,sedentary,Buntings,11.5528442066,cold,0.7564102564102564,119,39
Emberiza_citrinella,1990s to 2010s,2,3,1990s,2010s,0.4542847848562005,0.10943432908762925,0.32077779266265305,Forest,2,0,3,8,sedentary,Buntings,11.5528442066,cold,0.75,118,40
