thermal_group,variable_clean,atlas,atlas_label,n_species,mean_vp,median_vp,signed_vp_mean,supported_species,supported_vp,total_vp,direction_score,positive_species,negative_species,supported_vp_share,effect_direction
cold,Grass/Shrubland,2,1990s,31,0.0049965381768871464,0.0022431035989197846,0.00969031129446602,13,0.12902160495011072,0.15489268348350152,0.9763794744048417,13,2,0.8329741731400343,Higher at max
cold,Grass/Shrubland,3,2010s,31,0.0048727504892955445,0.0021823921822895272,0.0037224172843638996,13,0.11757508859307386,0.1510552651681619,0.4115788920577632,10,5,0.7783580960397751,Higher at max
cold,Land-use heterogeneity,1,1970s,31,0.004792529728687476,0.0026871075284549332,0.010104229660522233,9,0.0909380669447001,0.14856842158931172,1,10,1,0.6120955312837647,Higher at max
cold,Land-use heterogeneity,2,1990s,31,0.008019997464689744,0.006192189551913186,0.010765556535335197,20,0.21531113070670393,0.24861992140538208,1,21,1,0.8660252544913036,Higher at max
cold,Land-use heterogeneity,3,2010s,31,0.006558731664159396,0.0055960540311961885,0.008834065959071576,21,0.1855153851405031,0.20332068158894123,1,22,1,0.9124275193783012,Higher at max
cold,Pasture,1,1970s,31,0.002037187168175209,0.0015834268300981063,0.003183876010889888,9,0.03393102676311426,0.0631528022134315,0.8445038901433757,9,2,0.537284579209024,Higher at max
cold,Pasture,2,1990s,31,0.004231932708842993,0.002648779621415992,0.005789015925420781,12,0.0869550029518977,0.1311899139741328,0.7988981513056609,11,3,0.6628177450367332,Higher at max
cold,Pasture,3,2010s,31,0.006981283551314948,0.004721305460843393,0.010199756654217362,19,0.19379537643012984,0.2164197900907634,1,20,1,0.8954605137952255,Higher at max
cold,Precipitation,1,1970s,31,0.01455223246587278,0.004424467282198167,-0.004648595956066474,18,0.4257796579415348,0.4511192064420562,-0.19652119505597937,6,14,0.9438295950634145,Lower at max
cold,Precipitation,2,1990s,31,0.008087244221358572,0.005455429280856688,-0.009460278424761983,19,0.21526057446912888,0.2507045708621158,-0.8350125911991164,4,17,0.8586224564191108,Lower at max
cold,Precipitation,3,2010s,31,0.014475777415430989,0.007261634456762532,-0.014782987597197053,20,0.41301218043706617,0.44874909987836065,-0.7158620639978752,6,16,0.920363250977035,Lower at max
cold,Temperature,1,1970s,31,0.010865011097848305,0.003996308201482984,0.0046043368977212625,20,0.323167377639329,0.3368153440332975,0.2849505993677331,14,8,0.9594793805099947,Higher at max
