"survey","site","atlas","period","guild_richness","species_richness"
"FD02_2","FD02","2","1990s",26,64
"FD03_2","FD03","2","1990s",11,20
"FE10_2","FE10","2","1990s",22,65
"FE20_2","FE20","2","1990s",26,74
"FE30_2","FE30","2","1990s",28,108
"FE40_2","FE40","2","1990s",23,76
"FE41_2","FE41","2","1990s",27,77
"FE50_2","FE50","2","1990s",20,57
"FE51_2","FE51","2","1990s",21,72
"FE60_2","FE60","2","1990s",26,95
"FE61_2","FE61","2","1990s",27,88
"FE62_2","FE62","2","1990s",15,49
"FE70_2","FE70","2","1990s",25,90
"FE80_2","FE80","2","1990s",25,77
"FE82_2","FE82","2","1990s",25,80
"FE83_2","FE83","2","1990s",26,74
"FE90_2","FE90","2","1990s",25,69
"FE91_2","FE91","2","1990s",25,82
"FF02_2","FF02","2","1990s",27,86
"FF04_2","FF04","2","1990s",22,57
"FF07_2","FF07","2","1990s",21,55
"FF08_2","FF08","2","1990s",17,36
"FF10_2","FF10","2","1990s",29,99
"FF12_2","FF12","2","1990s",27,86
"FF13_2","FF13","2","1990s",23,56
"FF14_2","FF14","2","1990s",23,71
"FF17_2","FF17","2","1990s",22,63
"FF18_2","FF18","2","1990s",24,71
"FF19_2","FF19","2","1990s",23,55
"FF22_2","FF22","2","1990s",27,88
"FF23_2","FF23","2","1990s",22,60
"FF24_2","FF24","2","1990s",23,60
"FF25_2","FF25","2","1990s",22,57
"FF27_2","FF27","2","1990s",24,67
"FF29_2","FF29","2","1990s",22,56
"FF30_2","FF30","2","1990s",25,71
"FF31_2","FF31","2","1990s",24,65
"FF32_2","FF32","2","1990s",23,62
"FF33_2","FF33","2","1990s",23,54
"FF35_2","FF35","2","1990s",23,61
"FF36_2","FF36","2","1990s",24,58
"FF38_2","FF38","2","1990s",19,60
"FF39_2","FF39","2","1990s",26,76
"FF40_2","FF40","2","1990s",27,76
"FF41_2","FF41","2","1990s",22,59
"FF42_2","FF42","2","1990s",23,52
"FF43_2","FF43","2","1990s",23,56
"FF46_2","FF46","2","1990s",22,52
"FF49_2","FF49","2","1990s",23,64
"FF50_2","FF50","2","1990s",22,66
"FF53_2","FF53","2","1990s",24,57
"FF54_2","FF54","2","1990s",29,90
"FF55_2","FF55","2","1990s",20,54
"FF57_2","FF57","2","1990s",26,65
"FF61_2","FF61","2","1990s",26,67
"FF62_2","FF62","2","1990s",25,81
"FF67_2","FF67","2","1990s",26,89
"FF68_2","FF68","2","1990s",14,26
"FF69_2","FF69","2","1990s",25,85
"FF70_2","FF70","2","1990s",25,78
"FF72_2","FF72","2","1990s",24,65
"FF73_2","FF73","2","1990s",24,69
"FF74_2","FF74","2","1990s",25,71
"FF75_2","FF75","2","1990s",25,64
"FF76_2","FF76","2","1990s",27,79
"FF78_2","FF78","2","1990s",26,82
"FF79_2","FF79","2","1990s",29,99
"FF80_2","FF80","2","1990s",27,88
"FF81_2","FF81","2","1990s",26,73
"FF82_2","FF82","2","1990s",22,51
"FF83_2","FF83","2","1990s",24,66
"FF84_2","FF84","2","1990s",27,81
"FF85_2","FF85","2","1990s",21,47
"FF86_2","FF86","2","1990s",27,96
"FF87_2","FF87","2","1990s",25,72
"FF88_2","FF88","2","1990s",21,60
"FF89_2","FF89","2","1990s",23,59
"FF90_2","FF90","2","1990s",24,79
"FF91_2","FF91","2","1990s",21,52
"FF92_2","FF92","2","1990s",22,50
"FF93_2","FF93","2","1990s",21,56
"FF95_2","FF95","2","1990s",26,79
"FF97_2","FF97","2","1990s",22,61
"FF98_2","FF98","2","1990s",23,67
"FF99_2","FF99","2","1990s",23,65
"FG00_2","FG00","2","1990s",21,48
"FG03_2","FG03","2","1990s",22,56
"FG04_2","FG04","2","1990s",23,61
"FG08_2","FG08","2","1990s",26,75
"FG09_2","FG09","2","1990s",21,51
"FG13_2","FG13","2","1990s",27,73
"FG14_2","FG14","2","1990s",26,71
"FG18_2","FG18","2","1990s",26,71
"FG19_2","FG19","2","1990s",24,72
"FG27_2","FG27","2","1990s",24,67
"FG28_2","FG28","2","1990s",26,82
"FG29_2","FG29","2","1990s",27,79
"FG31_2","FG31","2","1990s",22,56
"FG37_2","FG37","2","1990s",30,83
"FG38_2","FG38","2","1990s",26,76
"FG41_2","FG41","2","1990s",22,50
"FG43_2","FG43","2","1990s",29,101
"FG45_2","FG45","2","1990s",25,80
"FG47_2","FG47","2","1990s",25,70
"FG48_2","FG48","2","1990s",22,59
"FG50_2","FG50","2","1990s",26,65
"FG51_2","FG51","2","1990s",24,61
"FG53_2","FG53","2","1990s",26,83
"FG54_2","FG54","2","1990s",25,75
"FG56_2","FG56","2","1990s",26,76
"FG58_2","FG58","2","1990s",23,66
"FG59_2","FG59","2","1990s",20,51
"FG60_2","FG60","2","1990s",24,58
"FG62_2","FG62","2","1990s",21,59
"FG63_2","FG63","2","1990s",24,66
"FG68_2","FG68","2","1990s",24,67
"FG69_2","FG69","2","1990s",26,78
"FG70_2","FG70","2","1990s",23,74
"FG74_2","FG74","2","1990s",26,69
"FG75_2","FG75","2","1990s",26,75
"FG76_2","FG76","2","1990s",26,80
"FG79_2","FG79","2","1990s",22,64
"FG80_2","FG80","2","1990s",26,69
"FG82_2","FG82","2","1990s",24,55
"FG83_2","FG83","2","1990s",21,37
"FG84_2","FG84","2","1990s",21,57
"FG85_2","FG85","2","1990s",25,71
"FG86_2","FG86","2","1990s",28,88
"FG92_2","FG92","2","1990s",29,88
"FG93_2","FG93","2","1990s",25,78
"FG97_2","FG97","2","1990s",23,77
"FG99_2","FG99","2","1990s",25,63
"FH01_2","FH01","2","1990s",25,69
"FH04_2","FH04","2","1990s",20,61
"FH05_2","FH05","2","1990s",25,62
"FH07_2","FH07","2","1990s",24,66
"FH08_2","FH08","2","1990s",24,57
"FH10_2","FH10","2","1990s",17,31
"FH11_2","FH11","2","1990s",25,76
"FH12_2","FH12","2","1990s",23,56
"FH13_2","FH13","2","1990s",21,52
"FH14_2","FH14","2","1990s",24,57
"FH15_2","FH15","2","1990s",22,58
"FH16_2","FH16","2","1990s",25,61
"FH18_2","FH18","2","1990s",17,36
"FH20_2","FH20","2","1990s",15,27
"FH21_2","FH21","2","1990s",28,76
"FH22_2","FH22","2","1990s",19,52
"FH23_2","FH23","2","1990s",28,92
"FH24_2","FH24","2","1990s",28,86
"FH25_2","FH25","2","1990s",23,64
"FH28_2","FH28","2","1990s",23,58
"FH29_2","FH29","2","1990s",24,59
"FH31_2","FH31","2","1990s",17,29
"FH32_2","FH32","2","1990s",26,76
"FH33_2","FH33","2","1990s",28,91
"FH34_2","FH34","2","1990s",25,63
"FH35_2","FH35","2","1990s",23,53
"FH36_2","FH36","2","1990s",22,61
"FH42_2","FH42","2","1990s",26,74
"FH43_2","FH43","2","1990s",25,72
"FH44_2","FH44","2","1990s",25,72
"FH45_2","FH45","2","1990s",19,49
"FH46_2","FH46","2","1990s",22,59
"FH48_2","FH48","2","1990s",27,69
"FH51_2","FH51","2","1990s",10,18
"FH52_2","FH52","2","1990s",24,71
"FH54_2","FH54","2","1990s",27,75
"FH55_2","FH55","2","1990s",23,63
"FH56_2","FH56","2","1990s",24,55
"FH58_2","FH58","2","1990s",26,75
"FH60_2","FH60","2","1990s",5,10
"FH62_2","FH62","2","1990s",25,73
"FH63_2","FH63","2","1990s",28,77
"FH64_2","FH64","2","1990s",28,83
"FH65_2","FH65","2","1990s",24,68
"FH67_2","FH67","2","1990s",21,62
"FH69_2","FH69","2","1990s",24,55
"FH70_2","FH70","2","1990s",22,57
"FH71_2","FH71","2","1990s",25,67
"FH72_2","FH72","2","1990s",24,52
"FH74_2","FH74","2","1990s",24,75
"FH75_2","FH75","2","1990s",23,67
"FH76_2","FH76","2","1990s",21,64
"FH77_2","FH77","2","1990s",24,64
"FH79_2","FH79","2","1990s",25,60
"FH80_2","FH80","2","1990s",21,62
"FH81_2","FH81","2","1990s",22,67
"FH83_2","FH83","2","1990s",23,69
"FH84_2","FH84","2","1990s",22,59
"FH85_2","FH85","2","1990s",25,78
"FH86_2","FH86","2","1990s",24,75
"FH87_2","FH87","2","1990s",23,65
"FH88_2","FH88","2","1990s",25,61
"FH89_2","FH89","2","1990s",25,77
"FG91_2","FG91","2","1990s",25,75
"FH94_2","FH94","2","1990s",23,48
"FH95_2","FH95","2","1990s",25,69
"FH96_2","FH96","2","1990s",19,52
"FH97_2","FH97","2","1990s",24,62
"FH98_2","FH98","2","1990s",23,57
"FH99_2","FH99","2","1990s",24,66
"GE00_2","GE00","2","1990s",25,74
"GE01_2","GE01","2","1990s",28,108
"GE02_2","GE02","2","1990s",26,86
"GE03_2","GE03","2","1990s",26,76
"GE04_2","GE04","2","1990s",24,74
"GE10_2","GE10","2","1990s",26,86
"GE11_2","GE11","2","1990s",26,88
"GE12_2","GE12","2","1990s",27,78
"GE13_2","GE13","2","1990s",25,84
"GE14_2","GE14","2","1990s",22,64
"GE20_2","GE20","2","1990s",25,75
"GE21_2","GE21","2","1990s",25,75
"GE22_2","GE22","2","1990s",25,72
"GE23_2","GE23","2","1990s",25,84
"GE24_2","GE24","2","1990s",21,66
"GE30_2","GE30","2","1990s",27,86
"GE32_2","GE32","2","1990s",29,94
"GE33_2","GE33","2","1990s",27,87
"GE34_2","GE34","2","1990s",21,58
"GE40_2","GE40","2","1990s",24,74
"GE41_2","GE41","2","1990s",17,46
"GE42_2","GE42","2","1990s",19,54
"GE43_2","GE43","2","1990s",27,85
"GE44_2","GE44","2","1990s",14,30
"GF00_2","GF00","2","1990s",28,82
"GF01_2","GF01","2","1990s",24,67
"GF02_2","GF02","2","1990s",25,70
"GF03_2","GF03","2","1990s",22,63
"GF04_2","GF04","2","1990s",23,61
"GF05_2","GF05","2","1990s",24,68
"GF06_2","GF06","2","1990s",27,78
"GF07_2","GF07","2","1990s",23,69
"GF08_2","GF08","2","1990s",24,78
"GF09_2","GF09","2","1990s",26,76
"GF12_2","GF12","2","1990s",21,54
"GF13_2","GF13","2","1990s",21,55
"GF15_2","GF15","2","1990s",25,75
"GF16_2","GF16","2","1990s",23,67
"GF17_2","GF17","2","1990s",25,83
"GF18_2","GF18","2","1990s",29,89
"GF19_2","GF19","2","1990s",26,76
"GF23_2","GF23","2","1990s",29,79
"GF24_2","GF24","2","1990s",24,60
"GF25_2","GF25","2","1990s",24,75
"GF26_2","GF26","2","1990s",26,79
"GF27_2","GF27","2","1990s",28,79
"GF28_2","GF28","2","1990s",25,76
"GF29_2","GF29","2","1990s",27,84
"GF33_2","GF33","2","1990s",23,64
"GF34_2","GF34","2","1990s",23,61
"GF36_2","GF36","2","1990s",25,72
"GF37_2","GF37","2","1990s",25,74
"GF38_2","GF38","2","1990s",24,71
"GF42_2","GF42","2","1990s",24,74
