"comparison_id","comparison_label","start_period","end_period","site","richness_1970s","richness_1990s","delta_richness_1990s_minus_1970s","delta_richness","pct_lnd","richness_2010s","delta_richness_2010s_minus_1990s"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC25",45,57,12,12,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC35",43,78,35,35,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC36",59,72,13,13,81.1049903598051,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC41",52,58,6,6,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC46",72,82,10,10,99.4126900796323,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC53",71,78,7,7,89.0326125016613,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC54",62,73,11,11,57.8198622032521,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC61",75,75,0,0,99.0996831886711,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC64",57,73,16,16,48.267872939201,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC65",48,72,24,24,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC68",43,55,12,12,57.5382109369765,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC75",96,91,-5,-5,79.0514381705116,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC77",61,83,22,22,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC80",82,81,-1,-1,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC85",84,87,3,3,88.0171803414787,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC86",50,72,22,22,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC92",58,67,9,9,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CC93",62,58,-4,-4,100,,
