"comparison_id","comparison_label","start_period","end_period","site","start_richness","end_richness","delta_richness"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE05",52,42,-10
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE06",26,76,50
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE07",61,78,17
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE08",60,78,18
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE09",51,48,-3
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE11",61,69,8
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE12",40,67,27
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE13",41,61,20
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE14",46,63,17
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE15",45,57,12
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE16",44,63,19
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE17",71,71,0
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE18",59,28,-31
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE19",41,55,14
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE20",58,63,5
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE21",41,57,16
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE22",52,57,5
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE23",54,52,-2
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE24",37,67,30
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE25",63,53,-10
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE26",36,51,15
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE27",43,54,11
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE30",58,57,-1
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE31",58,56,-2
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE32",49,56,7
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE33",57,51,-6
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE34",61,69,8
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE35",36,57,21
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE36",38,62,24
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE37",32,68,36
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE38",41,49,8
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE39",36,29,-7
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE40",61,40,-21
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE41",49,43,-6
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE42",33,41,8
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE43",46,37,-9
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE44",39,56,17
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE45",47,52,5
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE46",33,58,25
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE47",30,60,30
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE48",41,51,10
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE50",59,57,-2
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE51",41,53,12
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE52",49,49,0
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE53",52,45,-7
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE54",46,57,11
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE55",54,47,-7
