"site","survey","atlas","period","species_richness","modelled_species_pool_size"
"EG15","EG15_1","1","1970s",54,157
"EG16","EG16_1","1","1970s",48,157
"EG17","EG17_1","1","1970s",68,157
"EG18","EG18_1","1","1970s",65,157
"EG19","EG19_1","1","1970s",45,157
"EG21","EG21_1","1","1970s",60,157
"EG22","EG22_1","1","1970s",66,157
"EG23","EG23_1","1","1970s",67,157
"EG24","EG24_1","1","1970s",64,157
"EG25","EG25_1","1","1970s",90,157
"EG26","EG26_1","1","1970s",88,157
"EG30","EG30_1","1","1970s",38,157
"EG40","EG40_1","1","1970s",44,157
"EG41","EG41_1","1","1970s",65,157
"EG42","EG42_1","1","1970s",59,157
"EG76","EG76_1","1","1970s",76,157
"EG77","EG77_1","1","1970s",82,157
"EG84","EG84_1","1","1970s",76,157
"EG85","EG85_1","1","1970s",53,157
"EG86","EG86_1","1","1970s",55,157
"EG87","EG87_1","1","1970s",66,157
"EG88","EG88_1","1","1970s",66,157
"EG89","EG89_1","1","1970s",48,157
"EG94","EG94_1","1","1970s",90,157
"EG95","EG95_1","1","1970s",51,157
"EG96","EG96_1","1","1970s",47,157
"EG97","EG97_1","1","1970s",56,157
"EG98","EG98_1","1","1970s",48,157
"EG99","EG99_1","1","1970s",52,157
"EH08","EH08_1","1","1970s",79,157
"EH09","EH09_1","1","1970s",62,157
"EH13","EH13_1","1","1970s",60,157
"EH14","EH14_1","1","1970s",69,157
"EH15","EH15_1","1","1970s",62,157
"EH16","EH16_1","1","1970s",51,157
"EH17","EH17_1","1","1970s",46,157
"EH23","EH23_1","1","1970s",50,157
"EH24","EH24_1","1","1970s",66,157
"EH25","EH25_1","1","1970s",54,157
"EH26","EH26_1","1","1970s",61,157
"EH27","EH27_1","1","1970s",81,157
"EH28","EH28_1","1","1970s",27,157
"EH37","EH37_1","1","1970s",37,157
"EH38","EH38_1","1","1970s",63,157
"EH39","EH39_1","1","1970s",51,157
"EH49","EH49_1","1","1970s",39,157
"EH54","EH54_1","1","1970s",34,157
"EH64","EH64_1","1","1970s",48,157
"EH66","EH66_1","1","1970s",47,157
"EH67","EH67_1","1","1970s",56,157
"EH73","EH73_1","1","1970s",47,157
"EH74","EH74_1","1","1970s",39,157
"EH75","EH75_1","1","1970s",48,157
"EH77","EH77_1","1","1970s",44,157
"EH78","EH78_1","1","1970s",49,157
"EH83","EH83_1","1","1970s",50,157
"EH84","EH84_1","1","1970s",44,157
"EH85","EH85_1","1","1970s",34,157
"EH87","EH87_1","1","1970s",43,157
"EH88","EH88_1","1","1970s",47,157
"EH92","EH92_1","1","1970s",32,157
"EH93","EH93_1","1","1970s",40,157
"EH94","EH94_1","1","1970s",31,157
"EH95","EH95_1","1","1970s",37,157
"EH96","EH96_1","1","1970s",71,157
"EH97","EH97_1","1","1970s",54,157
"FE00","FE00_1","1","1970s",51,157
"FE10","FE10_1","1","1970s",82,157
"FE20","FE20_1","1","1970s",75,157
"FE30","FE30_1","1","1970s",101,157
"FE40","FE40_1","1","1970s",92,157
"FE60","FE60_1","1","1970s",69,157
"FE61","FE61_1","1","1970s",59,157
"FE71","FE71_1","1","1970s",61,157
"FE72","FE72_1","1","1970s",78,157
"FE80","FE80_1","1","1970s",77,157
"FE81","FE81_1","1","1970s",69,157
"FE82","FE82_1","1","1970s",87,157
"FE83","FE83_1","1","1970s",74,157
"FE90","FE90_1","1","1970s",47,157
"FE91","FE91_1","1","1970s",63,157
"FE92","FE92_1","1","1970s",52,157
"FE93","FE93_1","1","1970s",60,157
"FE94","FE94_1","1","1970s",62,157
"FF00","FF00_1","1","1970s",59,157
"FF01","FF01_1","1","1970s",57,157
"FF02","FF02_1","1","1970s",35,157
"FF03","FF03_1","1","1970s",67,157
"FF04","FF04_1","1","1970s",52,157
"FF05","FF05_1","1","1970s",51,157
"FF06","FF06_1","1","1970s",41,157
"FF07","FF07_1","1","1970s",36,157
"FF08","FF08_1","1","1970s",55,157
"FF10","FF10_1","1","1970s",83,157
"FF12","FF12_1","1","1970s",39,157
"FF13","FF13_1","1","1970s",62,157
"FF14","FF14_1","1","1970s",61,157
"FF15","FF15_1","1","1970s",45,157
"FF16","FF16_1","1","1970s",36,157
"FF17","FF17_1","1","1970s",36,157
"FF18","FF18_1","1","1970s",73,157
"FF19","FF19_1","1","1970s",67,157
"FF21","FF21_1","1","1970s",66,157
"FF22","FF22_1","1","1970s",66,157
"FF23","FF23_1","1","1970s",62,157
"FF24","FF24_1","1","1970s",58,157
"FF25","FF25_1","1","1970s",51,157
"FF26","FF26_1","1","1970s",60,157
"FF27","FF27_1","1","1970s",58,157
"FF29","FF29_1","1","1970s",55,157
"FF30","FF30_1","1","1970s",60,157
"FF31","FF31_1","1","1970s",63,157
"FF32","FF32_1","1","1970s",47,157
"FF33","FF33_1","1","1970s",62,157
"FF34","FF34_1","1","1970s",35,157
"FF35","FF35_1","1","1970s",44,157
"FF36","FF36_1","1","1970s",53,157
"FF37","FF37_1","1","1970s",50,157
"FF38","FF38_1","1","1970s",42,157
"FF39","FF39_1","1","1970s",42,157
"FF40","FF40_1","1","1970s",71,157
"FF41","FF41_1","1","1970s",74,157
"FF42","FF42_1","1","1970s",67,157
"FF43","FF43_1","1","1970s",70,157
"FF44","FF44_1","1","1970s",65,157
"FF45","FF45_1","1","1970s",47,157
"FF46","FF46_1","1","1970s",53,157
"FF50","FF50_1","1","1970s",63,157
"FF51","FF51_1","1","1970s",62,157
"FF52","FF52_1","1","1970s",61,157
"FF53","FF53_1","1","1970s",53,157
"FF54","FF54_1","1","1970s",70,157
"FF55","FF55_1","1","1970s",53,157
"FF57","FF57_1","1","1970s",59,157
"FF60","FF60_1","1","1970s",85,157
"FF61","FF61_1","1","1970s",32,157
"FF62","FF62_1","1","1970s",78,157
"FF63","FF63_1","1","1970s",70,157
"FF64","FF64_1","1","1970s",72,157
"FF65","FF65_1","1","1970s",45,157
"FF66","FF66_1","1","1970s",55,157
"FF67","FF67_1","1","1970s",48,157
"FF69","FF69_1","1","1970s",54,157
"FF70","FF70_1","1","1970s",92,157
"FF71","FF71_1","1","1970s",70,157
"FF72","FF72_1","1","1970s",56,157
"FF73","FF73_1","1","1970s",74,157
"FF74","FF74_1","1","1970s",66,157
"FF75","FF75_1","1","1970s",78,157
"FF76","FF76_1","1","1970s",79,157
"FF77","FF77_1","1","1970s",51,157
"FF78","FF78_1","1","1970s",68,157
"FF79","FF79_1","1","1970s",70,157
"FF80","FF80_1","1","1970s",72,157
"FF81","FF81_1","1","1970s",62,157
"FF82","FF82_1","1","1970s",60,157
"FF83","FF83_1","1","1970s",50,157
"FF84","FF84_1","1","1970s",57,157
"FF86","FF86_1","1","1970s",75,157
"FF87","FF87_1","1","1970s",62,157
"FF88","FF88_1","1","1970s",41,157
"FF89","FF89_1","1","1970s",71,157
"FF90","FF90_1","1","1970s",61,157
"FF91","FF91_1","1","1970s",41,157
"FF92","FF92_1","1","1970s",37,157
"FF93","FF93_1","1","1970s",47,157
"FF94","FF94_1","1","1970s",41,157
"FF95","FF95_1","1","1970s",60,157
"FF96","FF96_1","1","1970s",68,157
"FF97","FF97_1","1","1970s",44,157
"FF98","FF98_1","1","1970s",48,157
"FF99","FF99_1","1","1970s",47,157
"FG04","FG04_1","1","1970s",68,157
"FG06","FG06_1","1","1970s",29,157
"FG07","FG07_1","1","1970s",41,157
"FG08","FG08_1","1","1970s",68,157
"FG09","FG09_1","1","1970s",57,157
"FG14","FG14_1","1","1970s",40,157
"FG18","FG18_1","1","1970s",65,157
"FG19","FG19_1","1","1970s",56,157
"FG24","FG24_1","1","1970s",38,157
"FG26","FG26_1","1","1970s",52,157
"FG27","FG27_1","1","1970s",68,157
"FG28","FG28_1","1","1970s",81,157
"FG29","FG29_1","1","1970s",77,157
"FG33","FG33_1","1","1970s",57,157
"FG34","FG34_1","1","1970s",65,157
"FG35","FG35_1","1","1970s",44,157
"FG37","FG37_1","1","1970s",79,157
"FG38","FG38_1","1","1970s",46,157
"FG39","FG39_1","1","1970s",40,157
"FG43","FG43_1","1","1970s",89,157
"FG44","FG44_1","1","1970s",74,157
"FG45","FG45_1","1","1970s",64,157
"FG47","FG47_1","1","1970s",66,157
"FG48","FG48_1","1","1970s",48,157
"FG49","FG49_1","1","1970s",46,157
"FG51","FG51_1","1","1970s",30,157
"FG52","FG52_1","1","1970s",40,157
"FG53","FG53_1","1","1970s",63,157
"FG54","FG54_1","1","1970s",64,157
"FG55","FG55_1","1","1970s",72,157
"FG56","FG56_1","1","1970s",50,157
"FG57","FG57_1","1","1970s",38,157
"FG58","FG58_1","1","1970s",44,157
"FG59","FG59_1","1","1970s",55,157
"FG60","FG60_1","1","1970s",56,157
"FG62","FG62_1","1","1970s",42,157
"FG63","FG63_1","1","1970s",47,157
"FG64","FG64_1","1","1970s",34,157
"FG65","FG65_1","1","1970s",67,157
"FG66","FG66_1","1","1970s",80,157
"FG68","FG68_1","1","1970s",50,157
"FG69","FG69_1","1","1970s",46,157
"FG70","FG70_1","1","1970s",53,157
"FG71","FG71_1","1","1970s",58,157
"FG72","FG72_1","1","1970s",41,157
"FG73","FG73_1","1","1970s",48,157
"FG74","FG74_1","1","1970s",37,157
"FG75","FG75_1","1","1970s",64,157
"FG76","FG76_1","1","1970s",72,157
"FG77","FG77_1","1","1970s",60,157
"FG78","FG78_1","1","1970s",63,157
"FG79","FG79_1","1","1970s",70,157
"FG80","FG80_1","1","1970s",32,157
"FG81","FG81_1","1","1970s",62,157
"FG82","FG82_1","1","1970s",59,157
"FG83","FG83_1","1","1970s",46,157
"FG84","FG84_1","1","1970s",35,157
"FG85","FG85_1","1","1970s",54,157
"FG86","FG86_1","1","1970s",73,157
"FG87","FG87_1","1","1970s",70,157
"FG88","FG88_1","1","1970s",44,157
"FG89","FG89_1","1","1970s",69,157
"FG92","FG92_1","1","1970s",59,157
"FG93","FG93_1","1","1970s",82,157
"FG94","FG94_1","1","1970s",43,157
"FG95","FG95_1","1","1970s",59,157
"FG97","FG97_1","1","1970s",51,157
"FG98","FG98_1","1","1970s",56,157
"FG99","FG99_1","1","1970s",60,157
"FH01","FH01_1","1","1970s",31,157
"FH02","FH02_1","1","1970s",25,157
"FH04","FH04_1","1","1970s",35,157
"FH05","FH05_1","1","1970s",52,157
"FH06","FH06_1","1","1970s",40,157
"FH07","FH07_1","1","1970s",31,157
"FH08","FH08_1","1","1970s",35,157
"FH11","FH11_1","1","1970s",62,157
"FH12","FH12_1","1","1970s",55,157
"FH13","FH13_1","1","1970s",30,157
"FH14","FH14_1","1","1970s",52,157
"FH15","FH15_1","1","1970s",54,157
"FH16","FH16_1","1","1970s",49,157
"FH18","FH18_1","1","1970s",36,157
"FH21","FH21_1","1","1970s",74,157
"FH22","FH22_1","1","1970s",49,157
"FH23","FH23_1","1","1970s",78,157
"FH24","FH24_1","1","1970s",73,157
"FH25","FH25_1","1","1970s",76,157
"FH29","FH29_1","1","1970s",41,157
"FH32","FH32_1","1","1970s",84,157
"FH33","FH33_1","1","1970s",74,157
"FH34","FH34_1","1","1970s",55,157
"FH35","FH35_1","1","1970s",68,157
"FH36","FH36_1","1","1970s",59,157
"FH42","FH42_1","1","1970s",81,157
"FH43","FH43_1","1","1970s",64,157
"FH44","FH44_1","1","1970s",83,157
"FH45","FH45_1","1","1970s",73,157
"FH46","FH46_1","1","1970s",69,157
"FH52","FH52_1","1","1970s",72,157
"FH53","FH53_1","1","1970s",37,157
"FH54","FH54_1","1","1970s",63,157
"FH55","FH55_1","1","1970s",36,157
"FH56","FH56_1","1","1970s",86,157
"FH57","FH57_1","1","1970s",46,157
"FH58","FH58_1","1","1970s",85,157
"FH62","FH62_1","1","1970s",59,157
"FH63","FH63_1","1","1970s",48,157
"FH64","FH64_1","1","1970s",58,157
"FH65","FH65_1","1","1970s",15,157
"FH71","FH71_1","1","1970s",45,157
"FH72","FH72_1","1","1970s",48,157
"FH73","FH73_1","1","1970s",46,157
"FH74","FH74_1","1","1970s",59,157
"FH75","FH75_1","1","1970s",62,157
"FH76","FH76_1","1","1970s",54,157
"FH79","FH79_1","1","1970s",48,157
"FH80","FH80_1","1","1970s",65,157
"FH81","FH81_1","1","1970s",54,157
"FH83","FH83_1","1","1970s",31,157
"FH84","FH84_1","1","1970s",45,157
"FH85","FH85_1","1","1970s",54,157
"FH86","FH86_1","1","1970s",55,157
"FH87","FH87_1","1","1970s",57,157
"FH88","FH88_1","1","1970s",53,157
"FH89","FH89_1","1","1970s",49,157
"FG90","FG90_1","1","1970s",38,157
"FG91","FG91_1","1","1970s",62,157
"FH95","FH95_1","1","1970s",64,157
"FH96","FH96_1","1","1970s",51,157
"FH98","FH98_1","1","1970s",78,157
"FH99","FH99_1","1","1970s",48,157
"GE00","GE00_1","1","1970s",61,157
"GE01","GE01_1","1","1970s",69,157
"GE02","GE02_1","1","1970s",63,157
"GE03","GE03_1","1","1970s",68,157
"GE04","GE04_1","1","1970s",53,157
"GE10","GE10_1","1","1970s",74,157
"GE11","GE11_1","1","1970s",86,157
"GE12","GE12_1","1","1970s",65,157
"GE13","GE13_1","1","1970s",71,157
"GE14","GE14_1","1","1970s",44,157
"GE20","GE20_1","1","1970s",62,157
"GE21","GE21_1","1","1970s",68,157
"GE22","GE22_1","1","1970s",45,157
"GE23","GE23_1","1","1970s",53,157
"GE24","GE24_1","1","1970s",60,157
"GE30","GE30_1","1","1970s",89,157
"GE31","GE31_1","1","1970s",54,157
"GE32","GE32_1","1","1970s",68,157
"GE33","GE33_1","1","1970s",48,157
"GE34","GE34_1","1","1970s",42,157
"GE42","GE42_1","1","1970s",54,157
"GE43","GE43_1","1","1970s",68,157
"GF00","GF00_1","1","1970s",74,157
"GF01","GF01_1","1","1970s",60,157
"GF02","GF02_1","1","1970s",52,157
"GF03","GF03_1","1","1970s",38,157
"GF04","GF04_1","1","1970s",54,157
"GF05","GF05_1","1","1970s",37,157
"GF06","GF06_1","1","1970s",67,157
"GF07","GF07_1","1","1970s",66,157
"GF08","GF08_1","1","1970s",67,157
"GF09","GF09_1","1","1970s",65,157
"GF12","GF12_1","1","1970s",37,157
"GF13","GF13_1","1","1970s",44,157
"GF14","GF14_1","1","1970s",48,157
"GF15","GF15_1","1","1970s",59,157
"GF16","GF16_1","1","1970s",53,157
"GF17","GF17_1","1","1970s",72,157
"GF18","GF18_1","1","1970s",58,157
"GF19","GF19_1","1","1970s",63,157
"GF23","GF23_1","1","1970s",62,157
"GF24","GF24_1","1","1970s",41,157
"GF25","GF25_1","1","1970s",50,157
"GF26","GF26_1","1","1970s",59,157
"GF27","GF27_1","1","1970s",72,157
"GF28","GF28_1","1","1970s",58,157
"GF29","GF29_1","1","1970s",72,157
"GF33","GF33_1","1","1970s",51,157
"GF34","GF34_1","1","1970s",56,157
"GF35","GF35_1","1","1970s",61,157
"GF36","GF36_1","1","1970s",65,157
"GF37","GF37_1","1","1970s",67,157
"GF38","GF38_1","1","1970s",80,157
"GF39","GF39_1","1","1970s",73,157
"GF43","GF43_1","1","1970s",58,157
"GF44","GF44_1","1","1970s",60,157
"GF45","GF45_1","1","1970s",52,157
"GF46","GF46_1","1","1970s",61,157
"GF47","GF47_1","1","1970s",93,157
"GF48","GF48_1","1","1970s",70,157
"GF49","GF49_1","1","1970s",69,157
"GF52","GF52_1","1","1970s",75,157
"GF53","GF53_1","1","1970s",68,157
"GF54","GF54_1","1","1970s",57,157
"GF55","GF55_1","1","1970s",36,157
"GF63","GF63_1","1","1970s",41,157
"GF74","GF74_1","1","1970s",46,157
"GG00","GG00_1","1","1970s",28,157
"GG02","GG02_1","1","1970s",31,157
"GG05","GG05_1","1","1970s",60,157
"GG06","GG06_1","1","1970s",60,157
"GG07","GG07_1","1","1970s",42,157
"GG08","GG08_1","1","1970s",63,157
"GG09","GG09_1","1","1970s",81,157
"GG10","GG10_1","1","1970s",73,157
"GG15","GG15_1","1","1970s",55,157
"GG16","GG16_1","1","1970s",59,157
"GG17","GG17_1","1","1970s",36,157
"GG18","GG18_1","1","1970s",45,157
"GG20","GG20_1","1","1970s",42,157
"GG25","GG25_1","1","1970s",65,157
"GG26","GG26_1","1","1970s",34,157
"GG27","GG27_1","1","1970s",53,157
"GG28","GG28_1","1","1970s",71,157
"GG30","GG30_1","1","1970s",57,157
"GG36","GG36_1","1","1970s",56,157
"GG37","GG37_1","1","1970s",46,157
"GG40","GG40_1","1","1970s",54,157
"GH06","GH06_1","1","1970s",59,157
"GH07","GH07_1","1","1970s",65,157
"GH08","GH08_1","1","1970s",62,157
"GH09","GH09_1","1","1970s",52,157
"GH17","GH17_1","1","1970s",54,157
"GH18","GH18_1","1","1970s",50,157
"GH19","GH19_1","1","1970s",52,157
"GH29","GH29_1","1","1970s",47,157
"GH39","GH39_1","1","1970s",52,157
"GH49","GH49_1","1","1970s",83,157
"GH59","GH59_1","1","1970s",79,157
"HA03","HA03_1","1","1970s",52,157
"HA04","HA04_1","1","1970s",67,157
"HA05","HA05_1","1","1970s",50,157
"HA06","HA06_1","1","1970s",45,157
"HA07","HA07_1","1","1970s",58,157
"HA13","HA13_1","1","1970s",51,157
"HA14","HA14_1","1","1970s",49,157
"HA15","HA15_1","1","1970s",41,157
"HA16","HA16_1","1","1970s",30,157
"HA17","HA17_1","1","1970s",51,157
"HA22","HA22_1","1","1970s",31,157
"HA23","HA23_1","1","1970s",35,157
"HA24","HA24_1","1","1970s",66,157
"HA25","HA25_1","1","1970s",68,157
"HA26","HA26_1","1","1970s",67,157
"HA32","HA32_1","1","1970s",53,157
"HA33","HA33_1","1","1970s",49,157
"HA34","HA34_1","1","1970s",68,157
"HA35","HA35_1","1","1970s",57,157
"HA36","HA36_1","1","1970s",65,157
"HA42","HA42_1","1","1970s",43,157
"HA43","HA43_1","1","1970s",57,157
"HA44","HA44_1","1","1970s",62,157
"HA45","HA45_1","1","1970s",41,157
"HA52","HA52_1","1","1970s",68,157
"HA53","HA53_1","1","1970s",71,157
"HA54","HA54_1","1","1970s",67,157
"AD90","AD90_2","2","1990s",40,157
"AD92","AD92_2","2","1990s",30,157
"AD93","AD93_2","2","1990s",64,157
"AD94","AD94_2","2","1990s",56,157
"AD95","AD95_2","2","1990s",66,157
"AE93","AE93_2","2","1990s",54,157
"AE94","AE94_2","2","1990s",50,157
"AE95","AE95_2","2","1990s",39,157
"AE96","AE96_2","2","1990s",38,157
"AE97","AE97_2","2","1990s",58,157
"AE98","AE98_2","2","1990s",76,157
"AF81","AF81_2","2","1990s",51,157
"AF82","AF82_2","2","1990s",34,157
"AF91","AF91_2","2","1990s",68,157
"AF92","AF92_2","2","1990s",67,157
"AF93","AF93_2","2","1990s",70,157
"AF94","AF94_2","2","1990s",67,157
"AF97","AF97_2","2","1990s",42,157
"AF98","AF98_2","2","1990s",50,157
"AF99","AF99_2","2","1990s",38,157
"BC20","BC20_2","2","1990s",60,157
"BC21","BC21_2","2","1990s",59,157
"BC30","BC30_2","2","1990s",49,157
"BC31","BC31_2","2","1990s",65,157
"BC32","BC32_2","2","1990s",75,157
"BC33","BC33_2","2","1990s",70,157
"BC34","BC34_2","2","1990s",48,157
"BC41","BC41_2","2","1990s",42,157
"BC43","BC43_2","2","1990s",28,157
"BC44","BC44_2","2","1990s",72,157
"BC45","BC45_2","2","1990s",19,157
"BC50","BC50_2","2","1990s",59,157
"BC51","BC51_2","2","1990s",31,157
"BC52","BC52_2","2","1990s",43,157
"BC53","BC53_2","2","1990s",24,157
"BC54","BC54_2","2","1990s",84,157
"BC55","BC55_2","2","1990s",80,157
"BC60","BC60_2","2","1990s",56,157
"BC62","BC62_2","2","1990s",27,157
"BC64","BC64_2","2","1990s",71,157
"BC65","BC65_2","2","1990s",67,157
"BC70","BC70_2","2","1990s",37,157
"BC71","BC71_2","2","1990s",40,157
"BC72","BC72_2","2","1990s",56,157
"BC73","BC73_2","2","1990s",44,157
"BC74","BC74_2","2","1990s",28,157
"BC75","BC75_2","2","1990s",66,157
"BC81","BC81_2","2","1990s",53,157
"BC82","BC82_2","2","1990s",62,157
"BC83","BC83_2","2","1990s",88,157
"BC84","BC84_2","2","1990s",86,157
"BC85","BC85_2","2","1990s",52,157
"BC93","BC93_2","2","1990s",56,157
"BC94","BC94_2","2","1990s",95,157
"BC95","BC95_2","2","1990s",62,157
"BC96","BC96_2","2","1990s",67,157
"BD00","BD00_2","2","1990s",51,157
"BD02","BD02_2","2","1990s",42,157
"BD03","BD03_2","2","1990s",45,157
"BD04","BD04_2","2","1990s",60,157
"BD05","BD05_2","2","1990s",63,157
"BD06","BD06_2","2","1990s",46,157
"BD07","BD07_2","2","1990s",60,157
"BD08","BD08_2","2","1990s",70,157
"BD10","BD10_2","2","1990s",56,157
"BD11","BD11_2","2","1990s",64,157
"BD12","BD12_2","2","1990s",48,157
"BD13","BD13_2","2","1990s",72,157
"BD17","BD17_2","2","1990s",27,157
"BD18","BD18_2","2","1990s",47,157
"BD19","BD19_2","2","1990s",49,157
"BD21","BD21_2","2","1990s",63,157
"BD22","BD22_2","2","1990s",55,157
"BD26","BD26_2","2","1990s",33,157
"BD27","BD27_2","2","1990s",43,157
"BD28","BD28_2","2","1990s",35,157
"BD31","BD31_2","2","1990s",56,157
"BD32","BD32_2","2","1990s",67,157
"BD35","BD35_2","2","1990s",62,157
"BD36","BD36_2","2","1990s",62,157
"BD37","BD37_2","2","1990s",49,157
"BD38","BD38_2","2","1990s",39,157
"BD39","BD39_2","2","1990s",76,157
"BD40","BD40_2","2","1990s",48,157
"BD41","BD41_2","2","1990s",51,157
"BD42","BD42_2","2","1990s",86,157
"BD43","BD43_2","2","1990s",62,157
"BD44","BD44_2","2","1990s",65,157
"BD45","BD45_2","2","1990s",71,157
"BD46","BD46_2","2","1990s",50,157
"BD47","BD47_2","2","1990s",52,157
"BD48","BD48_2","2","1990s",42,157
"BD49","BD49_2","2","1990s",58,157
"BD50","BD50_2","2","1990s",42,157
"BD51","BD51_2","2","1990s",65,157
"BD55","BD55_2","2","1990s",53,157
"BD56","BD56_2","2","1990s",51,157
"BD57","BD57_2","2","1990s",65,157
"BD58","BD58_2","2","1990s",57,157
"BD59","BD59_2","2","1990s",60,157
"BD60","BD60_2","2","1990s",63,157
"BD61","BD61_2","2","1990s",77,157
"BD64","BD64_2","2","1990s",56,157
"BD66","BD66_2","2","1990s",57,157
"BD67","BD67_2","2","1990s",49,157
"BD68","BD68_2","2","1990s",57,157
"BD69","BD69_2","2","1990s",40,157
"BD70","BD70_2","2","1990s",65,157
"BD71","BD71_2","2","1990s",60,157
"BD72","BD72_2","2","1990s",63,157
"BD73","BD73_2","2","1990s",96,157
"BD74","BD74_2","2","1990s",51,157
"BD75","BD75_2","2","1990s",57,157
"BD76","BD76_2","2","1990s",59,157
"BD77","BD77_2","2","1990s",73,157
"BD78","BD78_2","2","1990s",57,157
"BD80","BD80_2","2","1990s",64,157
"BD81","BD81_2","2","1990s",70,157
"BD82","BD82_2","2","1990s",80,157
"BD83","BD83_2","2","1990s",81,157
"BD85","BD85_2","2","1990s",44,157
"BD86","BD86_2","2","1990s",63,157
"BD87","BD87_2","2","1990s",40,157
"BD88","BD88_2","2","1990s",66,157
"BD89","BD89_2","2","1990s",47,157
"BD90","BD90_2","2","1990s",58,157
"BD91","BD91_2","2","1990s",58,157
"BD92","BD92_2","2","1990s",62,157
"BD93","BD93_2","2","1990s",40,157
"BD94","BD94_2","2","1990s",24,157
"BD95","BD95_2","2","1990s",40,157
"BD97","BD97_2","2","1990s",38,157
"BD98","BD98_2","2","1990s",39,157
"BE03","BE03_2","2","1990s",68,157
"BE04","BE04_2","2","1990s",68,157
"BE05","BE05_2","2","1990s",42,157
"BE06","BE06_2","2","1990s",76,157
"BE07","BE07_2","2","1990s",78,157
"BE08","BE08_2","2","1990s",78,157
"BE09","BE09_2","2","1990s",48,157
"BE11","BE11_2","2","1990s",69,157
"BE12","BE12_2","2","1990s",67,157
"BE13","BE13_2","2","1990s",61,157
"BE14","BE14_2","2","1990s",63,157
"BE15","BE15_2","2","1990s",57,157
"BE16","BE16_2","2","1990s",63,157
"BE17","BE17_2","2","1990s",71,157
"BE18","BE18_2","2","1990s",28,157
"BE19","BE19_2","2","1990s",55,157
"BE20","BE20_2","2","1990s",63,157
"BE21","BE21_2","2","1990s",57,157
"BE22","BE22_2","2","1990s",57,157
"BE23","BE23_2","2","1990s",52,157
"BE24","BE24_2","2","1990s",67,157
"BE25","BE25_2","2","1990s",53,157
"BE26","BE26_2","2","1990s",51,157
"BE27","BE27_2","2","1990s",54,157
"BE30","BE30_2","2","1990s",57,157
"BE31","BE31_2","2","1990s",56,157
"BE32","BE32_2","2","1990s",56,157
"BE33","BE33_2","2","1990s",51,157
"BE34","BE34_2","2","1990s",69,157
"BE35","BE35_2","2","1990s",57,157
"BE36","BE36_2","2","1990s",62,157
"BE37","BE37_2","2","1990s",68,157
"BE38","BE38_2","2","1990s",49,157
"BE39","BE39_2","2","1990s",29,157
"BE40","BE40_2","2","1990s",40,157
"BE41","BE41_2","2","1990s",43,157
"BE42","BE42_2","2","1990s",41,157
"BE43","BE43_2","2","1990s",37,157
"BE44","BE44_2","2","1990s",56,157
"BE45","BE45_2","2","1990s",52,157
"BE46","BE46_2","2","1990s",58,157
"BE47","BE47_2","2","1990s",60,157
"BE48","BE48_2","2","1990s",51,157
"BE50","BE50_2","2","1990s",57,157
"BE51","BE51_2","2","1990s",53,157
"BE52","BE52_2","2","1990s",49,157
"BE53","BE53_2","2","1990s",45,157
"BE54","BE54_2","2","1990s",57,157
"BE55","BE55_2","2","1990s",47,157
"BE56","BE56_2","2","1990s",51,157
"BE57","BE57_2","2","1990s",46,157
"BE58","BE58_2","2","1990s",74,157
"BE59","BE59_2","2","1990s",54,157
"BE60","BE60_2","2","1990s",52,157
"BE61","BE61_2","2","1990s",49,157
"BE62","BE62_2","2","1990s",55,157
"BE63","BE63_2","2","1990s",63,157
"BE64","BE64_2","2","1990s",43,157
"BE65","BE65_2","2","1990s",57,157
"BE66","BE66_2","2","1990s",54,157
"BE67","BE67_2","2","1990s",36,157
"BE68","BE68_2","2","1990s",55,157
"BE69","BE69_2","2","1990s",76,157
"BE70","BE70_2","2","1990s",47,157
"BE71","BE71_2","2","1990s",47,157
"BE73","BE73_2","2","1990s",62,157
"BE74","BE74_2","2","1990s",43,157
"BE75","BE75_2","2","1990s",37,157
"BE76","BE76_2","2","1990s",54,157
"BE77","BE77_2","2","1990s",63,157
"BE78","BE78_2","2","1990s",58,157
"BE79","BE79_2","2","1990s",49,157
"BE80","BE80_2","2","1990s",79,157
"BE81","BE81_2","2","1990s",55,157
"BE82","BE82_2","2","1990s",72,157
"BE83","BE83_2","2","1990s",66,157
"BE84","BE84_2","2","1990s",57,157
"BE85","BE85_2","2","1990s",28,157
"BE86","BE86_2","2","1990s",56,157
"BE87","BE87_2","2","1990s",66,157
"BE88","BE88_2","2","1990s",73,157
"BE89","BE89_2","2","1990s",48,157
"BE90","BE90_2","2","1990s",48,157
"BE91","BE91_2","2","1990s",49,157
"BE92","BE92_2","2","1990s",70,157
"BE93","BE93_2","2","1990s",49,157
"BE94","BE94_2","2","1990s",68,157
"BE95","BE95_2","2","1990s",55,157
"BE96","BE96_2","2","1990s",56,157
"BE97","BE97_2","2","1990s",55,157
"BE98","BE98_2","2","1990s",68,157
"BE99","BE99_2","2","1990s",80,157
"BF00","BF00_2","2","1990s",51,157
"BF01","BF01_2","2","1990s",58,157
"BF02","BF02_2","2","1990s",83,157
"BF03","BF03_2","2","1990s",85,157
"BF04","BF04_2","2","1990s",91,157
"BF05","BF05_2","2","1990s",91,157
"BF06","BF06_2","2","1990s",64,157
"BF07","BF07_2","2","1990s",59,157
"BF08","BF08_2","2","1990s",58,157
"BF11","BF11_2","2","1990s",77,157
