"site","survey","atlas","period","species_richness","modelled_species_pool_size"
"BE84","BE84_1","1","1970s",51,157
"BE85","BE85_1","1","1970s",42,157
"BE86","BE86_1","1","1970s",50,157
"BE87","BE87_1","1","1970s",55,157
"BE88","BE88_1","1","1970s",41,157
"BE89","BE89_1","1","1970s",72,157
"BE90","BE90_1","1","1970s",57,157
"BE91","BE91_1","1","1970s",62,157
"BE92","BE92_1","1","1970s",55,157
"BE93","BE93_1","1","1970s",33,157
"BE94","BE94_1","1","1970s",56,157
"BE95","BE95_1","1","1970s",47,157
"BE96","BE96_1","1","1970s",38,157
"BE97","BE97_1","1","1970s",41,157
"BE98","BE98_1","1","1970s",43,157
"BE99","BE99_1","1","1970s",62,157
"BF00","BF00_1","1","1970s",57,157
"BF01","BF01_1","1","1970s",43,157
"BF02","BF02_1","1","1970s",54,157
"BF03","BF03_1","1","1970s",63,157
"BF04","BF04_1","1","1970s",48,157
"BF05","BF05_1","1","1970s",59,157
"BF06","BF06_1","1","1970s",54,157
"BF07","BF07_1","1","1970s",52,157
"BF08","BF08_1","1","1970s",44,157
"BF11","BF11_1","1","1970s",58,157
"BF12","BF12_1","1","1970s",61,157
"BF14","BF14_1","1","1970s",43,157
"BF15","BF15_1","1","1970s",38,157
"BF16","BF16_1","1","1970s",43,157
"BF17","BF17_1","1","1970s",30,157
"BF18","BF18_1","1","1970s",33,157
"BF21","BF21_1","1","1970s",50,157
"BF24","BF24_1","1","1970s",24,157
"BF27","BF27_1","1","1970s",39,157
"BF28","BF28_1","1","1970s",44,157
"BF29","BF29_1","1","1970s",58,157
"BF31","BF31_1","1","1970s",54,157
"BF32","BF32_1","1","1970s",71,157
"BF33","BF33_1","1","1970s",63,157
"BF34","BF34_1","1","1970s",27,157
"BF35","BF35_1","1","1970s",40,157
"BF36","BF36_1","1","1970s",45,157
"BF37","BF37_1","1","1970s",40,157
"BF38","BF38_1","1","1970s",47,157
"BF40","BF40_1","1","1970s",55,157
"BF41","BF41_1","1","1970s",57,157
"BF43","BF43_1","1","1970s",48,157
"BF46","BF46_1","1","1970s",44,157
"BF47","BF47_1","1","1970s",33,157
"BF48","BF48_1","1","1970s",36,157
"BF49","BF49_1","1","1970s",66,157
"BF50","BF50_1","1","1970s",55,157
"BF51","BF51_1","1","1970s",45,157
"BF53","BF53_1","1","1970s",43,157
"BF55","BF55_1","1","1970s",45,157
"BF56","BF56_1","1","1970s",20,157
"BF57","BF57_1","1","1970s",42,157
