"survey","site","atlas","period","species_richness","retained_species_pool_size"
"DE03_1","DE03","1","1970s",57,156
"DE05_1","DE05","1","1970s",42,156
"DE07_1","DE07","1","1970s",69,156
"DE10_1","DE10","1","1970s",60,156
"DE11_1","DE11","1","1970s",59,156
"DE15_1","DE15","1","1970s",55,156
"DE16_1","DE16","1","1970s",53,156
"DE18_1","DE18","1","1970s",64,156
"DE20_1","DE20","1","1970s",65,156
"DE21_1","DE21","1","1970s",55,156
"DE23_1","DE23","1","1970s",63,156
"DE24_1","DE24","1","1970s",83,156
"DE25_1","DE25","1","1970s",64,156
"DE30_1","DE30","1","1970s",78,156
"DE31_1","DE31","1","1970s",53,156
"DE34_1","DE34","1","1970s",87,156
"DE35_1","DE35","1","1970s",41,156
"DE36_1","DE36","1","1970s",59,156
"DE37_1","DE37","1","1970s",69,156
"DE38_1","DE38","1","1970s",60,156
"DE40_1","DE40","1","1970s",80,156
"DE43_1","DE43","1","1970s",54,156
"DE44_1","DE44","1","1970s",86,156
"DE50_1","DE50","1","1970s",54,156
"DE51_1","DE51","1","1970s",83,156
"DE52_1","DE52","1","1970s",69,156
"DE53_1","DE53","1","1970s",69,156
"DE55_1","DE55","1","1970s",45,156
"DE66_1","DE66","1","1970s",67,156
"DE67_1","DE67","1","1970s",63,156
"DE68_1","DE68","1","1970s",61,156
"DE78_1","DE78","1","1970s",54,156
"DE79_1","DE79","1","1970s",75,156
"DE84_1","DE84","1","1970s",62,156
"DE86_1","DE86","1","1970s",43,156
"DE87_1","DE87","1","1970s",84,156
"DE90_1","DE90","1","1970s",44,156
"DE94_1","DE94","1","1970s",47,156
"DE96_1","DE96","1","1970s",64,156
"DE97_1","DE97","1","1970s",75,156
"DE98_1","DE98","1","1970s",61,156
"DE99_1","DE99","1","1970s",48,156
"DF00_1","DF00","1","1970s",57,156
"DF01_1","DF01","1","1970s",49,156
"DF05_1","DF05","1","1970s",45,156
"DF07_1","DF07","1","1970s",71,156
"DF08_1","DF08","1","1970s",37,156
"DF10_1","DF10","1","1970s",48,156
"DF14_1","DF14","1","1970s",71,156
"DF15_1","DF15","1","1970s",65,156
"DF16_1","DF16","1","1970s",67,156
"DF17_1","DF17","1","1970s",65,156
"DF18_1","DF18","1","1970s",76,156
"DF19_1","DF19","1","1970s",56,156
"DF20_1","DF20","1","1970s",58,156
"DF24_1","DF24","1","1970s",52,156
"DF25_1","DF25","1","1970s",79,156
"DF26_1","DF26","1","1970s",46,156
"DF28_1","DF28","1","1970s",76,156
"DF29_1","DF29","1","1970s",54,156
"DF30_1","DF30","1","1970s",60,156
"DF31_1","DF31","1","1970s",64,156
"DF37_1","DF37","1","1970s",79,156
"DF38_1","DF38","1","1970s",93,156
"DF39_1","DF39","1","1970s",71,156
"DF40_1","DF40","1","1970s",62,156
"DF41_1","DF41","1","1970s",55,156
"DF48_1","DF48","1","1970s",60,156
"DF49_1","DF49","1","1970s",46,156
"DF51_1","DF51","1","1970s",54,156
"DF59_1","DF59","1","1970s",74,156
"DF61_1","DF61","1","1970s",62,156
"DF62_1","DF62","1","1970s",62,156
"DF71_1","DF71","1","1970s",52,156
"DF80_1","DF80","1","1970s",63,156
"DF81_1","DF81","1","1970s",63,156
"DF96_1","DF96","1","1970s",64,156
"DF97_1","DF97","1","1970s",40,156
"DG00_1","DG00","1","1970s",45,156
"DG07_1","DG07","1","1970s",74,156
"DG08_1","DG08","1","1970s",49,156
"DG09_1","DG09","1","1970s",68,156
"DG14_1","DG14","1","1970s",60,156
"DG15_1","DG15","1","1970s",51,156
"DG16_1","DG16","1","1970s",55,156
"DG17_1","DG17","1","1970s",40,156
"DG22_1","DG22","1","1970s",50,156
"DG23_1","DG23","1","1970s",58,156
"DG24_1","DG24","1","1970s",52,156
"DG25_1","DG25","1","1970s",52,156
"DG27_1","DG27","1","1970s",51,156
"DG28_1","DG28","1","1970s",63,156
"DG29_1","DG29","1","1970s",60,156
"DG33_1","DG33","1","1970s",58,156
"DG34_1","DG34","1","1970s",46,156
"DG35_1","DG35","1","1970s",65,156
"DG38_1","DG38","1","1970s",52,156
"DG41_1","DG41","1","1970s",44,156
"DG42_1","DG42","1","1970s",73,156
"DG43_1","DG43","1","1970s",49,156
"DG44_1","DG44","1","1970s",54,156
"DG46_1","DG46","1","1970s",61,156
"DG47_1","DG47","1","1970s",52,156
"DG48_1","DG48","1","1970s",57,156
"DG49_1","DG49","1","1970s",53,156
"DG51_1","DG51","1","1970s",81,156
"DG52_1","DG52","1","1970s",73,156
"DG53_1","DG53","1","1970s",56,156
"DG56_1","DG56","1","1970s",55,156
"DG57_1","DG57","1","1970s",76,156
"DG58_1","DG58","1","1970s",72,156
"DG59_1","DG59","1","1970s",60,156
"DG61_1","DG61","1","1970s",87,156
"DG62_1","DG62","1","1970s",89,156
"DG63_1","DG63","1","1970s",55,156
"DG64_1","DG64","1","1970s",70,156
"DG67_1","DG67","1","1970s",62,156
"DG69_1","DG69","1","1970s",62,156
"DG71_1","DG71","1","1970s",68,156
"DG72_1","DG72","1","1970s",71,156
"DG73_1","DG73","1","1970s",65,156
"DG74_1","DG74","1","1970s",48,156
"DG75_1","DG75","1","1970s",74,156
"DG76_1","DG76","1","1970s",48,156
"DG77_1","DG77","1","1970s",54,156
"DG78_1","DG78","1","1970s",68,156
"DG79_1","DG79","1","1970s",51,156
"DG81_1","DG81","1","1970s",48,156
"DG83_1","DG83","1","1970s",49,156
"DG85_1","DG85","1","1970s",55,156
"DG86_1","DG86","1","1970s",57,156
"DG87_1","DG87","1","1970s",54,156
"DG88_1","DG88","1","1970s",71,156
"DG89_1","DG89","1","1970s",67,156
"DG90_1","DG90","1","1970s",56,156
"DG91_1","DG91","1","1970s",55,156
"DG92_1","DG92","1","1970s",55,156
"DG94_1","DG94","1","1970s",73,156
"DG95_1","DG95","1","1970s",66,156
"DG96_1","DG96","1","1970s",59,156
"DG97_1","DG97","1","1970s",72,156
"DG98_1","DG98","1","1970s",62,156
"DG99_1","DG99","1","1970s",43,156
"DH06_1","DH06","1","1970s",76,156
"DH07_1","DH07","1","1970s",73,156
"DH08_1","DH08","1","1970s",39,156
"DH16_1","DH16","1","1970s",86,156
"DH17_1","DH17","1","1970s",83,156
"DH18_1","DH18","1","1970s",60,156
"DH19_1","DH19","1","1970s",64,156
"DH26_1","DH26","1","1970s",53,156
"DH27_1","DH27","1","1970s",69,156
"DH28_1","DH28","1","1970s",61,156
"DH36_1","DH36","1","1970s",67,156
"DH37_1","DH37","1","1970s",45,156
"DH67_1","DH67","1","1970s",41,156
"DH75_1","DH75","1","1970s",38,156
"DH76_1","DH76","1","1970s",59,156
"DH85_1","DH85","1","1970s",44,156
"DH86_1","DH86","1","1970s",66,156
"DH98_1","DH98","1","1970s",61,156
"DH99_1","DH99","1","1970s",65,156
"EB03_1","EB03","1","1970s",65,156
"EB04_1","EB04","1","1970s",50,156
"EB06_1","EB06","1","1970s",29,156
"EB07_1","EB07","1","1970s",62,156
"EB08_1","EB08","1","1970s",48,156
"EB10_1","EB10","1","1970s",48,156
"ED00_1","ED00","1","1970s",71,156
"ED01_1","ED01","1","1970s",92,156
"ED13_1","ED13","1","1970s",58,156
"ED23_1","ED23","1","1970s",64,156
"ED30_1","ED30","1","1970s",55,156
"EE05_1","EE05","1","1970s",55,156
"EE07_1","EE07","1","1970s",57,156
"EE08_1","EE08","1","1970s",59,156
"EE09_1","EE09","1","1970s",50,156
"EE15_1","EE15","1","1970s",37,156
"EE16_1","EE16","1","1970s",67,156
"EE17_1","EE17","1","1970s",69,156
"EE19_1","EE19","1","1970s",56,156
"EE27_1","EE27","1","1970s",63,156
"EE39_1","EE39","1","1970s",55,156
"EF00_1","EF00","1","1970s",43,156
"EF01_1","EF01","1","1970s",73,156
"EF02_1","EF02","1","1970s",71,156
"EF06_1","EF06","1","1970s",56,156
"EF07_1","EF07","1","1970s",53,156
"EF08_1","EF08","1","1970s",47,156
"EF09_1","EF09","1","1970s",58,156
"EF10_1","EF10","1","1970s",52,156
"EF11_1","EF11","1","1970s",70,156
"EF45_1","EF45","1","1970s",43,156
"EF54_1","EF54","1","1970s",52,156
"EF55_1","EF55","1","1970s",53,156
"EF63_1","EF63","1","1970s",43,156
"EF64_1","EF64","1","1970s",56,156
"EF69_1","EF69","1","1970s",41,156
"EF70_1","EF70","1","1970s",55,156
"EF71_1","EF71","1","1970s",72,156
"EF74_1","EF74","1","1970s",71,156
"EF75_1","EF75","1","1970s",83,156
"EF81_1","EF81","1","1970s",70,156
"EF82_1","EF82","1","1970s",56,156
"EF83_1","EF83","1","1970s",61,156
"EF84_1","EF84","1","1970s",71,156
"EF85_1","EF85","1","1970s",45,156
"EF90_1","EF90","1","1970s",58,156
"EF91_1","EF91","1","1970s",70,156
"EF92_1","EF92","1","1970s",75,156
"EF93_1","EF93","1","1970s",80,156
"EF94_1","EF94","1","1970s",63,156
"EF95_1","EF95","1","1970s",63,156
"EG00_1","EG00","1","1970s",62,156
"EG01_1","EG01","1","1970s",50,156
"EG02_1","EG02","1","1970s",52,156
"EG04_1","EG04","1","1970s",88,156
"EG05_1","EG05","1","1970s",59,156
"EG06_1","EG06","1","1970s",57,156
"EG07_1","EG07","1","1970s",59,156
"EG08_1","EG08","1","1970s",58,156
"EG09_1","EG09","1","1970s",51,156
"EG10_1","EG10","1","1970s",52,156
"EG11_1","EG11","1","1970s",67,156
"EG13_1","EG13","1","1970s",75,156
"EG14_1","EG14","1","1970s",47,156
"EG15_1","EG15","1","1970s",54,156
"EG16_1","EG16","1","1970s",48,156
"EG17_1","EG17","1","1970s",68,156
"EG18_1","EG18","1","1970s",65,156
"EG19_1","EG19","1","1970s",45,156
"EG21_1","EG21","1","1970s",60,156
"EG22_1","EG22","1","1970s",66,156
"EG23_1","EG23","1","1970s",67,156
"EG24_1","EG24","1","1970s",64,156
"EG25_1","EG25","1","1970s",90,156
"EG26_1","EG26","1","1970s",88,156
"EG27_1","EG27","1","1970s",68,156
"EG30_1","EG30","1","1970s",38,156
"EG40_1","EG40","1","1970s",44,156
"EG41_1","EG41","1","1970s",65,156
"EG42_1","EG42","1","1970s",59,156
"EG76_1","EG76","1","1970s",76,156
"EG77_1","EG77","1","1970s",82,156
"EG84_1","EG84","1","1970s",76,156
"EG85_1","EG85","1","1970s",53,156
"EG86_1","EG86","1","1970s",55,156
"EG87_1","EG87","1","1970s",66,156
"EG88_1","EG88","1","1970s",66,156
"EG89_1","EG89","1","1970s",48,156
"EG94_1","EG94","1","1970s",90,156
"EG95_1","EG95","1","1970s",51,156
"EG96_1","EG96","1","1970s",47,156
"EG97_1","EG97","1","1970s",56,156
"EG99_1","EG99","1","1970s",52,156
"EH08_1","EH08","1","1970s",79,156
"EH09_1","EH09","1","1970s",62,156
"EH13_1","EH13","1","1970s",60,156
"EH14_1","EH14","1","1970s",69,156
"EH15_1","EH15","1","1970s",62,156
"EH16_1","EH16","1","1970s",51,156
"EH17_1","EH17","1","1970s",46,156
"EH23_1","EH23","1","1970s",50,156
"EH24_1","EH24","1","1970s",66,156
"EH25_1","EH25","1","1970s",54,156
"EH26_1","EH26","1","1970s",61,156
"EH27_1","EH27","1","1970s",81,156
"EH37_1","EH37","1","1970s",37,156
"EH38_1","EH38","1","1970s",63,156
"EH39_1","EH39","1","1970s",51,156
"EH49_1","EH49","1","1970s",39,156
"EH54_1","EH54","1","1970s",34,156
"EH64_1","EH64","1","1970s",48,156
"EH73_1","EH73","1","1970s",47,156
"EH75_1","EH75","1","1970s",48,156
"EH88_1","EH88","1","1970s",47,156
"EH92_1","EH92","1","1970s",32,156
"EH96_1","EH96","1","1970s",71,156
"FE00_1","FE00","1","1970s",51,156
"FE10_1","FE10","1","1970s",82,156
"FE20_1","FE20","1","1970s",75,156
"FE30_1","FE30","1","1970s",101,156
"FE40_1","FE40","1","1970s",92,156
"FE60_1","FE60","1","1970s",69,156
"FE61_1","FE61","1","1970s",59,156
"FE71_1","FE71","1","1970s",61,156
"FE72_1","FE72","1","1970s",78,156
"FE80_1","FE80","1","1970s",77,156
"FE81_1","FE81","1","1970s",69,156
"FE82_1","FE82","1","1970s",87,156
"FE83_1","FE83","1","1970s",74,156
"FE90_1","FE90","1","1970s",47,156
"FE91_1","FE91","1","1970s",63,156
"FE92_1","FE92","1","1970s",52,156
"FE93_1","FE93","1","1970s",60,156
"FE94_1","FE94","1","1970s",62,156
"FF00_1","FF00","1","1970s",59,156
"FF01_1","FF01","1","1970s",57,156
"FF03_1","FF03","1","1970s",67,156
"FF08_1","FF08","1","1970s",55,156
"FF10_1","FF10","1","1970s",83,156
"FF11_1","FF11","1","1970s",60,156
"FF13_1","FF13","1","1970s",62,156
"FF14_1","FF14","1","1970s",61,156
"FF16_1","FF16","1","1970s",36,156
"FF18_1","FF18","1","1970s",73,156
"FF19_1","FF19","1","1970s",67,156
"FF20_1","FF20","1","1970s",55,156
"FF21_1","FF21","1","1970s",66,156
"FF22_1","FF22","1","1970s",66,156
"FF23_1","FF23","1","1970s",62,156
"FF24_1","FF24","1","1970s",58,156
"FF25_1","FF25","1","1970s",51,156
"FF26_1","FF26","1","1970s",60,156
"FF27_1","FF27","1","1970s",58,156
"FF28_1","FF28","1","1970s",53,156
"FF29_1","FF29","1","1970s",55,156
"FF30_1","FF30","1","1970s",60,156
"FF31_1","FF31","1","1970s",63,156
"FF33_1","FF33","1","1970s",62,156
"FF34_1","FF34","1","1970s",35,156
"FF36_1","FF36","1","1970s",53,156
"FF37_1","FF37","1","1970s",50,156
"FF40_1","FF40","1","1970s",71,156
"FF41_1","FF41","1","1970s",74,156
"FF42_1","FF42","1","1970s",67,156
"FF43_1","FF43","1","1970s",70,156
"FF44_1","FF44","1","1970s",65,156
"FF45_1","FF45","1","1970s",47,156
"FF46_1","FF46","1","1970s",53,156
"FF50_1","FF50","1","1970s",63,156
"FF51_1","FF51","1","1970s",62,156
"FF52_1","FF52","1","1970s",61,156
"FF53_1","FF53","1","1970s",53,156
"FF54_1","FF54","1","1970s",70,156
"FF55_1","FF55","1","1970s",53,156
"FF57_1","FF57","1","1970s",59,156
"FF60_1","FF60","1","1970s",85,156
"FF62_1","FF62","1","1970s",78,156
"FF63_1","FF63","1","1970s",70,156
"FF64_1","FF64","1","1970s",72,156
"FF65_1","FF65","1","1970s",45,156
"FF66_1","FF66","1","1970s",55,156
"FF67_1","FF67","1","1970s",48,156
"FF69_1","FF69","1","1970s",54,156
"FF70_1","FF70","1","1970s",92,156
"FF71_1","FF71","1","1970s",70,156
"FF72_1","FF72","1","1970s",56,156
"FF73_1","FF73","1","1970s",74,156
"FF74_1","FF74","1","1970s",66,156
"FF75_1","FF75","1","1970s",78,156
"FF76_1","FF76","1","1970s",79,156
"FF77_1","FF77","1","1970s",51,156
"FF78_1","FF78","1","1970s",68,156
"FF79_1","FF79","1","1970s",70,156
"FF80_1","FF80","1","1970s",72,156
"FF81_1","FF81","1","1970s",62,156
"FF82_1","FF82","1","1970s",60,156
"FF83_1","FF83","1","1970s",50,156
"FF84_1","FF84","1","1970s",57,156
"FF86_1","FF86","1","1970s",75,156
"FF87_1","FF87","1","1970s",62,156
"FF89_1","FF89","1","1970s",71,156
"FF90_1","FF90","1","1970s",61,156
"FF91_1","FF91","1","1970s",41,156
"FF92_1","FF92","1","1970s",37,156
"FF93_1","FF93","1","1970s",47,156
"FF94_1","FF94","1","1970s",41,156
"FF95_1","FF95","1","1970s",60,156
"FF96_1","FF96","1","1970s",68,156
"FF98_1","FF98","1","1970s",48,156
"FF99_1","FF99","1","1970s",47,156
"FG04_1","FG04","1","1970s",68,156
"FG05_1","FG05","1","1970s",59,156
"FG08_1","FG08","1","1970s",68,156
"FG09_1","FG09","1","1970s",57,156
"FG14_1","FG14","1","1970s",40,156
"FG15_1","FG15","1","1970s",48,156
"FG18_1","FG18","1","1970s",65,156
"FG19_1","FG19","1","1970s",56,156
"FG26_1","FG26","1","1970s",52,156
"FG27_1","FG27","1","1970s",68,156
"FG28_1","FG28","1","1970s",81,156
"FG29_1","FG29","1","1970s",77,156
"FG33_1","FG33","1","1970s",57,156
"FG34_1","FG34","1","1970s",65,156
"FG36_1","FG36","1","1970s",71,156
"FG37_1","FG37","1","1970s",79,156
"FG43_1","FG43","1","1970s",89,156
"FG44_1","FG44","1","1970s",74,156
"FG45_1","FG45","1","1970s",64,156
"FG46_1","FG46","1","1970s",78,156
"FG47_1","FG47","1","1970s",66,156
"FG48_1","FG48","1","1970s",48,156
"FG49_1","FG49","1","1970s",46,156
"FG53_1","FG53","1","1970s",63,156
"FG54_1","FG54","1","1970s",64,156
"FG55_1","FG55","1","1970s",72,156
"FG56_1","FG56","1","1970s",50,156
"FG59_1","FG59","1","1970s",55,156
"FG60_1","FG60","1","1970s",56,156
"FG65_1","FG65","1","1970s",67,156
"FG66_1","FG66","1","1970s",80,156
"FG68_1","FG68","1","1970s",50,156
"FG70_1","FG70","1","1970s",53,156
"FG73_1","FG73","1","1970s",48,156
"FG75_1","FG75","1","1970s",64,156
"FG76_1","FG76","1","1970s",72,156
"FG77_1","FG77","1","1970s",60,156
"FG78_1","FG78","1","1970s",63,156
"FG79_1","FG79","1","1970s",70,156
"FG81_1","FG81","1","1970s",62,156
"FG82_1","FG82","1","1970s",59,156
"FG85_1","FG85","1","1970s",54,156
"FG86_1","FG86","1","1970s",73,156
"FG87_1","FG87","1","1970s",70,156
"FG89_1","FG89","1","1970s",69,156
"FG91_1","FG91","1","1970s",62,156
"FG92_1","FG92","1","1970s",59,156
"FG93_1","FG93","1","1970s",82,156
"FG95_1","FG95","1","1970s",59,156
"FG96_1","FG96","1","1970s",65,156
"FG98_1","FG98","1","1970s",56,156
"FG99_1","FG99","1","1970s",60,156
"FH01_1","FH01","1","1970s",31,156
"FH07_1","FH07","1","1970s",31,156
"FH08_1","FH08","1","1970s",35,156
"FH11_1","FH11","1","1970s",62,156
"FH12_1","FH12","1","1970s",55,156
"FH14_1","FH14","1","1970s",52,156
"FH15_1","FH15","1","1970s",54,156
"FH18_1","FH18","1","1970s",36,156
"FH21_1","FH21","1","1970s",74,156
"FH22_1","FH22","1","1970s",49,156
"FH23_1","FH23","1","1970s",78,156
"FH24_1","FH24","1","1970s",73,156
"FH25_1","FH25","1","1970s",76,156
"FH29_1","FH29","1","1970s",41,156
"FH32_1","FH32","1","1970s",84,156
"FH33_1","FH33","1","1970s",74,156
"FH34_1","FH34","1","1970s",55,156
"FH35_1","FH35","1","1970s",68,156
"FH36_1","FH36","1","1970s",59,156
"FH42_1","FH42","1","1970s",81,156
"FH43_1","FH43","1","1970s",64,156
"FH44_1","FH44","1","1970s",83,156
"FH45_1","FH45","1","1970s",73,156
"FH46_1","FH46","1","1970s",69,156
"FH52_1","FH52","1","1970s",72,156
"FH54_1","FH54","1","1970s",63,156
"FH55_1","FH55","1","1970s",36,156
"FH56_1","FH56","1","1970s",86,156
"FH58_1","FH58","1","1970s",85,156
"FH62_1","FH62","1","1970s",59,156
"FH65_1","FH65","1","1970s",15,156
"FH66_1","FH66","1","1970s",77,156
"FH68_1","FH68","1","1970s",71,156
"FH71_1","FH71","1","1970s",45,156
"FH72_1","FH72","1","1970s",48,156
"FH73_1","FH73","1","1970s",46,156
"FH74_1","FH74","1","1970s",59,156
"FH75_1","FH75","1","1970s",62,156
"FH76_1","FH76","1","1970s",54,156
"FH79_1","FH79","1","1970s",48,156
"FH80_1","FH80","1","1970s",65,156
"FH81_1","FH81","1","1970s",54,156
"FH83_1","FH83","1","1970s",31,156
"FH84_1","FH84","1","1970s",45,156
"FH85_1","FH85","1","1970s",54,156
"FH86_1","FH86","1","1970s",55,156
"FH87_1","FH87","1","1970s",57,156
"FH95_1","FH95","1","1970s",64,156
"FH96_1","FH96","1","1970s",51,156
"FH98_1","FH98","1","1970s",78,156
"GE00_1","GE00","1","1970s",61,156
"GE01_1","GE01","1","1970s",69,156
"GE02_1","GE02","1","1970s",63,156
"GE03_1","GE03","1","1970s",68,156
"GE04_1","GE04","1","1970s",53,156
"GE10_1","GE10","1","1970s",74,156
"GE11_1","GE11","1","1970s",86,156
"GE12_1","GE12","1","1970s",65,156
"GE13_1","GE13","1","1970s",71,156
"GE14_1","GE14","1","1970s",44,156
"GE20_1","GE20","1","1970s",62,156
"GE21_1","GE21","1","1970s",68,156
"GE24_1","GE24","1","1970s",60,156
"GE30_1","GE30","1","1970s",89,156
"GE31_1","GE31","1","1970s",54,156
"GE32_1","GE32","1","1970s",68,156
"GE34_1","GE34","1","1970s",42,156
"GE43_1","GE43","1","1970s",68,156
"GF00_1","GF00","1","1970s",74,156
"GF01_1","GF01","1","1970s",60,156
"GF02_1","GF02","1","1970s",52,156
"GF03_1","GF03","1","1970s",38,156
"GF04_1","GF04","1","1970s",54,156
"GF06_1","GF06","1","1970s",67,156
"GF07_1","GF07","1","1970s",66,156
"GF08_1","GF08","1","1970s",67,156
"GF09_1","GF09","1","1970s",65,156
"GF12_1","GF12","1","1970s",37,156
"GF13_1","GF13","1","1970s",44,156
"GF14_1","GF14","1","1970s",48,156
"GF15_1","GF15","1","1970s",59,156
"GF16_1","GF16","1","1970s",53,156
"GF17_1","GF17","1","1970s",72,156
"GF18_1","GF18","1","1970s",58,156
"GF19_1","GF19","1","1970s",63,156
"GF23_1","GF23","1","1970s",62,156
"GF25_1","GF25","1","1970s",50,156
"GF26_1","GF26","1","1970s",59,156
"GF27_1","GF27","1","1970s",72,156
"GF28_1","GF28","1","1970s",58,156
"GF29_1","GF29","1","1970s",72,156
"GF33_1","GF33","1","1970s",51,156
"GF34_1","GF34","1","1970s",56,156
"GF35_1","GF35","1","1970s",61,156
"GF36_1","GF36","1","1970s",65,156
"GF37_1","GF37","1","1970s",67,156
"GF38_1","GF38","1","1970s",80,156
"GF39_1","GF39","1","1970s",73,156
"GF43_1","GF43","1","1970s",58,156
"GF44_1","GF44","1","1970s",60,156
"GF45_1","GF45","1","1970s",52,156
"GF46_1","GF46","1","1970s",61,156
"GF47_1","GF47","1","1970s",93,156
"GF48_1","GF48","1","1970s",70,156
"GF49_1","GF49","1","1970s",69,156
"GF52_1","GF52","1","1970s",75,156
"GF53_1","GF53","1","1970s",68,156
"GF54_1","GF54","1","1970s",57,156
"GF55_1","GF55","1","1970s",36,156
"GF63_1","GF63","1","1970s",41,156
"GF74_1","GF74","1","1970s",46,156
"GG05_1","GG05","1","1970s",60,156
"GG06_1","GG06","1","1970s",60,156
"GG08_1","GG08","1","1970s",63,156
"GG09_1","GG09","1","1970s",81,156
"GG10_1","GG10","1","1970s",73,156
"GG15_1","GG15","1","1970s",55,156
"GG16_1","GG16","1","1970s",59,156
"GG20_1","GG20","1","1970s",42,156
"GG25_1","GG25","1","1970s",65,156
"GG27_1","GG27","1","1970s",53,156
"GG28_1","GG28","1","1970s",71,156
"GG30_1","GG30","1","1970s",57,156
"GG36_1","GG36","1","1970s",56,156
"GG37_1","GG37","1","1970s",46,156
"GG40_1","GG40","1","1970s",54,156
"GH06_1","GH06","1","1970s",59,156
"GH07_1","GH07","1","1970s",65,156
"GH08_1","GH08","1","1970s",62,156
"GH09_1","GH09","1","1970s",52,156
"GH17_1","GH17","1","1970s",54,156
"GH18_1","GH18","1","1970s",50,156
"GH19_1","GH19","1","1970s",52,156
"GH29_1","GH29","1","1970s",47,156
"GH39_1","GH39","1","1970s",52,156
"GH49_1","GH49","1","1970s",82,156
"GH59_1","GH59","1","1970s",78,156
"HA03_1","HA03","1","1970s",52,156
"HA04_1","HA04","1","1970s",67,156
"HA05_1","HA05","1","1970s",50,156
"HA06_1","HA06","1","1970s",45,156
"HA07_1","HA07","1","1970s",58,156
"HA13_1","HA13","1","1970s",51,156
"HA14_1","HA14","1","1970s",49,156
"HA15_1","HA15","1","1970s",41,156
"HA17_1","HA17","1","1970s",51,156
"HA22_1","HA22","1","1970s",31,156
"HA23_1","HA23","1","1970s",35,156
"HA24_1","HA24","1","1970s",66,156
"HA25_1","HA25","1","1970s",68,156
"HA26_1","HA26","1","1970s",67,156
"HA32_1","HA32","1","1970s",53,156
"HA33_1","HA33","1","1970s",49,156
"HA34_1","HA34","1","1970s",68,156
"HA35_1","HA35","1","1970s",57,156
"HA36_1","HA36","1","1970s",64,156
"HA42_1","HA42","1","1970s",43,156
"HA43_1","HA43","1","1970s",57,156
"HA44_1","HA44","1","1970s",62,156
"HA45_1","HA45","1","1970s",41,156
"HA52_1","HA52","1","1970s",67,156
"HA53_1","HA53","1","1970s",71,156
"HA54_1","HA54","1","1970s",67,156
"AD93_2","AD93","2","1990s",63,156
"AD94_2","AD94","2","1990s",56,156
"AD95_2","AD95","2","1990s",65,156
"AE93_2","AE93","2","1990s",54,156
"AE97_2","AE97","2","1990s",58,156
"AE98_2","AE98","2","1990s",75,156
"AF91_2","AF91","2","1990s",68,156
"AF92_2","AF92","2","1990s",67,156
"AF93_2","AF93","2","1990s",70,156
"AF94_2","AF94","2","1990s",67,156
"AF95_2","AF95","2","1990s",59,156
"AF98_2","AF98","2","1990s",50,156
"AF99_2","AF99","2","1990s",38,156
"BC20_2","BC20","2","1990s",60,156
"BC21_2","BC21","2","1990s",59,156
"BC22_2","BC22","2","1990s",84,156
"BC32_2","BC32","2","1990s",75,156
"BC33_2","BC33","2","1990s",70,156
"BC42_2","BC42","2","1990s",69,156
"BC44_2","BC44","2","1990s",72,156
"BC54_2","BC54","2","1990s",84,156
"BC55_2","BC55","2","1990s",80,156
"BC60_2","BC60","2","1990s",56,156
"BC64_2","BC64","2","1990s",71,156
"BC65_2","BC65","2","1990s",67,156
"BC72_2","BC72","2","1990s",56,156
"BC75_2","BC75","2","1990s",66,156
"BC82_2","BC82","2","1990s",62,156
"BC83_2","BC83","2","1990s",88,156
"BC84_2","BC84","2","1990s",86,156
"BC85_2","BC85","2","1990s",52,156
"BC94_2","BC94","2","1990s",95,156
"BC95_2","BC95","2","1990s",62,156
"BC96_2","BC96","2","1990s",67,156
"BD02_2","BD02","2","1990s",42,156
"BD04_2","BD04","2","1990s",60,156
"BD05_2","BD05","2","1990s",62,156
"BD06_2","BD06","2","1990s",46,156
"BD07_2","BD07","2","1990s",60,156
"BD08_2","BD08","2","1990s",70,156
"BD11_2","BD11","2","1990s",64,156
"BD12_2","BD12","2","1990s",48,156
"BD13_2","BD13","2","1990s",72,156
"BD19_2","BD19","2","1990s",49,156
"BD21_2","BD21","2","1990s",63,156
"BD22_2","BD22","2","1990s",55,156
"BD23_2","BD23","2","1990s",43,156
"BD30_2","BD30","2","1990s",50,156
"BD31_2","BD31","2","1990s",56,156
"BD32_2","BD32","2","1990s",67,156
"BD33_2","BD33","2","1990s",50,156
"BD35_2","BD35","2","1990s",62,156
"BD36_2","BD36","2","1990s",62,156
"BD39_2","BD39","2","1990s",76,156
"BD40_2","BD40","2","1990s",48,156
"BD42_2","BD42","2","1990s",86,156
"BD43_2","BD43","2","1990s",62,156
"BD44_2","BD44","2","1990s",65,156
"BD45_2","BD45","2","1990s",71,156
"BD46_2","BD46","2","1990s",50,156
"BD49_2","BD49","2","1990s",58,156
"BD50_2","BD50","2","1990s",42,156
"BD51_2","BD51","2","1990s",65,156
"BD56_2","BD56","2","1990s",51,156
"BD57_2","BD57","2","1990s",65,156
"BD60_2","BD60","2","1990s",63,156
"BD61_2","BD61","2","1990s",77,156
"BD64_2","BD64","2","1990s",56,156
"BD66_2","BD66","2","1990s",57,156
"BD68_2","BD68","2","1990s",57,156
"BD70_2","BD70","2","1990s",65,156
"BD71_2","BD71","2","1990s",60,156
"BD72_2","BD72","2","1990s",63,156
"BD73_2","BD73","2","1990s",96,156
"BD74_2","BD74","2","1990s",51,156
"BD75_2","BD75","2","1990s",57,156
"BD76_2","BD76","2","1990s",59,156
"BD77_2","BD77","2","1990s",73,156
