"survey","site","atlas","period","species_richness","retained_species_pool_size"
"CF60_1","CF60","1","1970s",74,156
"CF61_1","CF61","1","1970s",61,156
"CF62_1","CF62","1","1970s",51,156
"CF64_1","CF64","1","1970s",67,156
"CF65_1","CF65","1","1970s",61,156
"CF69_1","CF69","1","1970s",65,156
"CF70_1","CF70","1","1970s",67,156
"CF71_1","CF71","1","1970s",55,156
"CF73_1","CF73","1","1970s",50,156
"CF75_1","CF75","1","1970s",52,156
"CF76_1","CF76","1","1970s",52,156
"CF78_1","CF78","1","1970s",79,156
"CF79_1","CF79","1","1970s",58,156
"CF82_1","CF82","1","1970s",76,156
"CF84_1","CF84","1","1970s",67,156
"CF85_1","CF85","1","1970s",62,156
"CF86_1","CF86","1","1970s",63,156
"CF87_1","CF87","1","1970s",65,156
"CF88_1","CF88","1","1970s",55,156
"CF89_1","CF89","1","1970s",68,156
"CF90_1","CF90","1","1970s",56,156
"CF91_1","CF91","1","1970s",52,156
"CF92_1","CF92","1","1970s",67,156
"CF94_1","CF94","1","1970s",55,156
"CF95_1","CF95","1","1970s",70,156
"CF96_1","CF96","1","1970s",65,156
"CF97_1","CF97","1","1970s",66,156
"CF98_1","CF98","1","1970s",65,156
"CF99_1","CF99","1","1970s",69,156
"CG02_1","CG02","1","1970s",59,156
"CG05_1","CG05","1","1970s",61,156
"CG06_1","CG06","1","1970s",60,156
"CG07_1","CG07","1","1970s",67,156
"CG08_1","CG08","1","1970s",66,156
"CG09_1","CG09","1","1970s",72,156
"CG13_1","CG13","1","1970s",55,156
"CG15_1","CG15","1","1970s",58,156
"CG18_1","CG18","1","1970s",71,156
"CG19_1","CG19","1","1970s",60,156
"CG22_1","CG22","1","1970s",61,156
"CG23_1","CG23","1","1970s",53,156
"CG25_1","CG25","1","1970s",53,156
"CG27_1","CG27","1","1970s",75,156
"CG28_1","CG28","1","1970s",65,156
"CG29_1","CG29","1","1970s",60,156
"CG33_1","CG33","1","1970s",45,156
"CG37_1","CG37","1","1970s",53,156
"CG38_1","CG38","1","1970s",63,156
"CG39_1","CG39","1","1970s",68,156
"CG40_1","CG40","1","1970s",71,156
"CG41_1","CG41","1","1970s",58,156
"CG42_1","CG42","1","1970s",59,156
"CG44_1","CG44","1","1970s",65,156
"CG45_1","CG45","1","1970s",52,156
"CG46_1","CG46","1","1970s",68,156
"CG47_1","CG47","1","1970s",65,156
"CG48_1","CG48","1","1970s",82,156
"CG49_1","CG49","1","1970s",64,156
"CG50_1","CG50","1","1970s",58,156
"CG51_1","CG51","1","1970s",79,156
"CG53_1","CG53","1","1970s",65,156
"CG54_1","CG54","1","1970s",52,156
"CG56_1","CG56","1","1970s",50,156
"CG57_1","CG57","1","1970s",53,156
"CG58_1","CG58","1","1970s",86,156
"CG59_1","CG59","1","1970s",76,156
"CG60_1","CG60","1","1970s",51,156
"CG61_1","CG61","1","1970s",67,156
"CG62_1","CG62","1","1970s",53,156
"CG64_1","CG64","1","1970s",51,156
"CG65_1","CG65","1","1970s",62,156
"CG66_1","CG66","1","1970s",54,156
"CG67_1","CG67","1","1970s",67,156
"CG68_1","CG68","1","1970s",69,156
