"site","survey","atlas","period","species_richness","retained_species_pool_size","pct_lnd"
"CG73","CG73_1","1","1970s",57,154,78.9572195756507
"CG75","CG75_1","1","1970s",54,154,94.8473016073833
"CG78","CG78_1","1","1970s",54,154,74.9055871154747
"CG79","CG79_1","1","1970s",72,154,95.1023000414998
"CG80","CG80_1","1","1970s",50,154,39.7331943091669
"CG83","CG83_1","1","1970s",60,154,68.6251113675168
"CG84","CG84_1","1","1970s",44,154,97.1407759693279
"CG85","CG85_1","1","1970s",35,154,36.0798460262285
"CG89","CG89_1","1","1970s",75,154,62.2756970943883
"CG90","CG90_1","1","1970s",38,154,84.3733515730968
"CH06","CH06_1","1","1970s",53,154,100
"CH34","CH34_1","1","1970s",60,154,100
"CH35","CH35_1","1","1970s",60,154,100
"CH45","CH45_1","1","1970s",57,154,100
"CH46","CH46_1","1","1970s",75,154,100
"CH48","CH48_1","1","1970s",70,154,100
"CH55","CH55_1","1","1970s",87,154,78.6857584092008
"CH56","CH56_1","1","1970s",87,154,100
"CH57","CH57_1","1","1970s",68,154,100
"CH58","CH58_1","1","1970s",72,154,100
"CH59","CH59_1","1","1970s",63,154,72.5486638212771
"CH66","CH66_1","1","1970s",71,154,86.6698695097351
"CH76","CH76_1","1","1970s",49,154,38.0357494214593
"CH77","CH77_1","1","1970s",102,154,90.3801940405882
"CH86","CH86_1","1","1970s",72,154,79.2983993075616
"CH87","CH87_1","1","1970s",49,154,77.0862822775507
"CH88","CH88_1","1","1970s",62,154,94.6629726327992
"CH95","CH95_1","1","1970s",77,154,35.9861429734359
"CH96","CH96_1","1","1970s",81,154,45.0894004803143
"CH97","CH97_1","1","1970s",75,154,88.9759729646184
"CH99","CH99_1","1","1970s",46,154,68.4978793406965
"DC07","DC07_1","1","1970s",91,154,100
"DC09","DC09_1","1","1970s",46,154,100
"DB14","DB14_1","1","1970s",37,154,100
"DB16","DB16_1","1","1970s",53,154,68.4738489270936
"DB24","DB24_1","1","1970s",51,154,100
"DB34","DB34_1","1","1970s",63,154,100
"DB35","DB35_1","1","1970s",48,154,100
"DB40","DB40_1","1","1970s",64,154,100
"DB45","DB45_1","1","1970s",47,154,100
"DB54","DB54_1","1","1970s",53,154,100
"DB55","DB55_1","1","1970s",60,154,100
"DB62","DB62_1","1","1970s",44,154,100
"DB64","DB64_1","1","1970s",53,154,100
"DB65","DB65_1","1","1970s",46,154,100
"DB68","DB68_1","1","1970s",27,154,44.8797192716513
"DB72","DB72_1","1","1970s",55,154,100
"DB74","DB74_1","1","1970s",46,154,97.711342876688
"DB78","DB78_1","1","1970s",50,154,80.5128080431074
"DB79","DB79_1","1","1970s",35,154,37.3209101112595
"DB82","DB82_1","1","1970s",54,154,27.7590016723747
"DB83","DB83_1","1","1970s",64,154,51.5230378670245
"DB89","DB89_1","1","1970s",60,154,62.4383355345561
"DC00","DC00_1","1","1970s",74,154,100
"DC01","DC01_1","1","1970s",52,154,100
