"comparison_id","comparison_label","start_period","end_period","species","occupied_grid_cells_start","occupied_grid_cells_end","n_shared_grid_cells","records_1970s","records_1990s","records_2010s","prop_occupied_start","prop_occupied_end","delta_occupied_grid_cells","delta_occupancy_proportion","delta_occupancy_percentage_points","change_class","migratory_strategy","foraging_guild_consensus","species_thermal_index","thermal_group"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Perdix_perdix",660,712,895,660,712,353,0.737430167597765,0.795530726256983,52,0.0581005586592179,5.81005586592179,"Stable","sedentary","Gallinaceous birds",12.8463889005,"warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Saxicola_rubetra",499,447,895,499,447,298,0.557541899441341,0.499441340782123,-52,-0.0581005586592179,-5.81005586592179,"Stable","long-distance","Low flycatching feeders",11.2990488425,"cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Tringa_totanus",362,312,895,362,312,253,0.404469273743017,0.348603351955307,-50,-0.0558659217877095,-5.58659217877095,"Stable","short-distance","Scolopacids",11.0359375128,"cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Spatula_clypeata",111,160,895,111,160,109,0.124022346368715,0.17877094972067,49,0.0547486033519553,5.47486033519553,"Stable","short-distance","Dabbling ducks",11.7556216717,"cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Poecile_palustris",544,593,895,544,593,644,0.607821229050279,0.662569832402235,49,0.0547486033519553,5.47486033519553,"Stable","sedentary","Tit-like birds",12.3251392514,"medium"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Calidris_pugnax",80,32,895,80,32,10,0.0893854748603352,0.0357541899441341,-48,-0.0536312849162011,-5.36312849162011,"Stable","long-distance","Scolopacids",7.9732949741,"very cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Crex_crex",55,7,895,55,7,72,0.0614525139664804,0.00782122905027933,-48,-0.0536312849162011,-5.36312849162011,"Stable","long-distance","Rails",11.9688491073,"medium"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Lophophanes_cristatus",361,409,895,361,409,373,0.403351955307263,0.456983240223464,48,0.0536312849162011,5.36312849162011,"Stable","sedentary","Tit-like birds",11.7118025203,"cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Corvus_corone",87,132,895,87,132,100,0.0972067039106145,0.147486033519553,45,0.0502793296089386,5.02793296089386,"Stable","sedentary","Omnivorous corvids",12.1293990446,"medium"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Mareca_strepera",11,56,895,11,56,109,0.0122905027932961,0.0625698324022346,45,0.0502793296089385,5.02793296089385,"Stable","short-distance","Dabbling ducks",12.5158986156,"warm"
