"site","survey","atlas","period","species_richness","retained_species_pool_size"
"CF84","CF84_1","1","1970s",67,156
"CF86","CF86_1","1","1970s",63,156
"CF87","CF87_1","1","1970s",65,156
"CF89","CF89_1","1","1970s",68,156
"CF90","CF90_1","1","1970s",56,156
"CF91","CF91_1","1","1970s",52,156
"CF92","CF92_1","1","1970s",67,156
"CF95","CF95_1","1","1970s",70,156
"CF98","CF98_1","1","1970s",65,156
"CG05","CG05_1","1","1970s",61,156
"CG07","CG07_1","1","1970s",67,156
"CG09","CG09_1","1","1970s",72,156
"CG13","CG13_1","1","1970s",55,156
"CG29","CG29_1","1","1970s",60,156
"CG39","CG39_1","1","1970s",68,156
"CG40","CG40_1","1","1970s",71,156
"CG42","CG42_1","1","1970s",59,156
"CG44","CG44_1","1","1970s",65,156
"CG47","CG47_1","1","1970s",65,156
"CG48","CG48_1","1","1970s",82,156
"CG49","CG49_1","1","1970s",64,156
"CG50","CG50_1","1","1970s",58,156
"CG51","CG51_1","1","1970s",79,156
"CG53","CG53_1","1","1970s",65,156
"CG54","CG54_1","1","1970s",52,156
"CG56","CG56_1","1","1970s",50,156
"CG57","CG57_1","1","1970s",53,156
"CG58","CG58_1","1","1970s",86,156
"CG59","CG59_1","1","1970s",76,156
"CG61","CG61_1","1","1970s",67,156
"CG65","CG65_1","1","1970s",62,156
"CG66","CG66_1","1","1970s",54,156
"CG68","CG68_1","1","1970s",69,156
"CG69","CG69_1","1","1970s",81,156
"CG73","CG73_1","1","1970s",57,156
"CG75","CG75_1","1","1970s",54,156
"CG78","CG78_1","1","1970s",54,156
"CG79","CG79_1","1","1970s",72,156
"CG80","CG80_1","1","1970s",50,156
"CG83","CG83_1","1","1970s",60,156
"CG84","CG84_1","1","1970s",44,156
"CG85","CG85_1","1","1970s",35,156
"CG89","CG89_1","1","1970s",75,156
"CG90","CG90_1","1","1970s",38,156
"CH06","CH06_1","1","1970s",53,156
"CH34","CH34_1","1","1970s",60,156
"CH35","CH35_1","1","1970s",60,156
"CH45","CH45_1","1","1970s",57,156
"CH46","CH46_1","1","1970s",76,156
"CH48","CH48_1","1","1970s",71,156
"CH55","CH55_1","1","1970s",87,156
"CH56","CH56_1","1","1970s",87,156
"CH57","CH57_1","1","1970s",68,156
"CH58","CH58_1","1","1970s",72,156
"CH59","CH59_1","1","1970s",63,156
"CH66","CH66_1","1","1970s",71,156
"CH76","CH76_1","1","1970s",49,156
"CH77","CH77_1","1","1970s",102,156
"CH86","CH86_1","1","1970s",72,156
"CH87","CH87_1","1","1970s",49,156
"CH88","CH88_1","1","1970s",62,156
"CH95","CH95_1","1","1970s",77,156
"CH96","CH96_1","1","1970s",81,156
"CH97","CH97_1","1","1970s",75,156
"CH99","CH99_1","1","1970s",46,156
"DC07","DC07_1","1","1970s",91,156
"DC09","DC09_1","1","1970s",46,156
"DB14","DB14_1","1","1970s",37,156
"DB16","DB16_1","1","1970s",53,156
"DB24","DB24_1","1","1970s",51,156
"DB34","DB34_1","1","1970s",63,156
"DB35","DB35_1","1","1970s",48,156
"DB40","DB40_1","1","1970s",64,156
"DB45","DB45_1","1","1970s",47,156
"DB54","DB54_1","1","1970s",53,156
"DB55","DB55_1","1","1970s",60,156
"DB62","DB62_1","1","1970s",44,156
"DB64","DB64_1","1","1970s",53,156
"DB65","DB65_1","1","1970s",46,156
"DB68","DB68_1","1","1970s",27,156
"DB72","DB72_1","1","1970s",55,156
"DB74","DB74_1","1","1970s",46,156
"DB78","DB78_1","1","1970s",50,156
"DB79","DB79_1","1","1970s",35,156
"DB82","DB82_1","1","1970s",54,156
"DB83","DB83_1","1","1970s",64,156
"DB89","DB89_1","1","1970s",60,156
"DC00","DC00_1","1","1970s",74,156
"DC01","DC01_1","1","1970s",52,156
"DC04","DC04_1","1","1970s",67,156
"DC10","DC10_1","1","1970s",53,156
"DC11","DC11_1","1","1970s",72,156
"DC15","DC15_1","1","1970s",55,156
"DC18","DC18_1","1","1970s",53,156
"DC19","DC19_1","1","1970s",55,156
"DC23","DC23_1","1","1970s",76,156
"DC25","DC25_1","1","1970s",49,156
"DC26","DC26_1","1","1970s",74,156
"DC27","DC27_1","1","1970s",54,156
"DC32","DC32_1","1","1970s",57,156
"DC33","DC33_1","1","1970s",63,156
"DC40","DC40_1","1","1970s",73,156
"DC41","DC41_1","1","1970s",58,156
"DC42","DC42_1","1","1970s",66,156
"DC53","DC53_1","1","1970s",58,156
"DC57","DC57_1","1","1970s",49,156
"DC89","DC89_1","1","1970s",42,156
"DD00","DD00_1","1","1970s",44,156
"DD01","DD01_1","1","1970s",68,156
"DD03","DD03_1","1","1970s",49,156
"DD05","DD05_1","1","1970s",66,156
"DD08","DD08_1","1","1970s",60,156
"DD09","DD09_1","1","1970s",80,156
"DD10","DD10_1","1","1970s",54,156
"DD11","DD11_1","1","1970s",78,156
"DD12","DD12_1","1","1970s",69,156
"DD13","DD13_1","1","1970s",42,156
"DD16","DD16_1","1","1970s",66,156
"DD17","DD17_1","1","1970s",65,156
"DD18","DD18_1","1","1970s",69,156
"DD19","DD19_1","1","1970s",63,156
"DD21","DD21_1","1","1970s",53,156
"DD26","DD26_1","1","1970s",70,156
"DD28","DD28_1","1","1970s",53,156
"DD29","DD29_1","1","1970s",67,156
"DD30","DD30_1","1","1970s",63,156
"DD37","DD37_1","1","1970s",57,156
"DD43","DD43_1","1","1970s",55,156
"DD47","DD47_1","1","1970s",56,156
"DD51","DD51_1","1","1970s",67,156
"DD52","DD52_1","1","1970s",47,156
"DD53","DD53_1","1","1970s",58,156
"DD57","DD57_1","1","1970s",61,156
"DD61","DD61_1","1","1970s",56,156
"DD63","DD63_1","1","1970s",52,156
"DD64","DD64_1","1","1970s",55,156
"DD70","DD70_1","1","1970s",63,156
"DD72","DD72_1","1","1970s",48,156
"DD80","DD80_1","1","1970s",63,156
"DD90","DD90_1","1","1970s",40,156
"DD91","DD91_1","1","1970s",59,156
"DE01","DE01_1","1","1970s",79,156
"DE03","DE03_1","1","1970s",57,156
"DE07","DE07_1","1","1970s",69,156
