"site","survey","atlas","period","species_richness","retained_species_pool_size"
"FE83","FE83_1","1","1970s",74,156
"FE90","FE90_1","1","1970s",47,156
"FE91","FE91_1","1","1970s",63,156
"FF08","FF08_1","1","1970s",55,156
"FF10","FF10_1","1","1970s",83,156
"FF13","FF13_1","1","1970s",62,156
"FF14","FF14_1","1","1970s",61,156
"FF18","FF18_1","1","1970s",73,156
"FF19","FF19_1","1","1970s",67,156
"FF22","FF22_1","1","1970s",66,156
"FF23","FF23_1","1","1970s",62,156
"FF24","FF24_1","1","1970s",58,156
"FF25","FF25_1","1","1970s",51,156
"FF27","FF27_1","1","1970s",58,156
"FF29","FF29_1","1","1970s",55,156
"FF30","FF30_1","1","1970s",60,156
"FF31","FF31_1","1","1970s",63,156
"FF33","FF33_1","1","1970s",62,156
"FF36","FF36_1","1","1970s",53,156
"FF40","FF40_1","1","1970s",71,156
"FF41","FF41_1","1","1970s",74,156
"FF42","FF42_1","1","1970s",67,156
"FF43","FF43_1","1","1970s",70,156
"FF46","FF46_1","1","1970s",53,156
"FF50","FF50_1","1","1970s",63,156
"FF53","FF53_1","1","1970s",53,156
"FF54","FF54_1","1","1970s",70,156
"FF55","FF55_1","1","1970s",53,156
"FF57","FF57_1","1","1970s",59,156
"FF62","FF62_1","1","1970s",78,156
"FF67","FF67_1","1","1970s",48,156
"FF69","FF69_1","1","1970s",54,156
"FF70","FF70_1","1","1970s",92,156
"FF72","FF72_1","1","1970s",56,156
"FF73","FF73_1","1","1970s",74,156
"FF74","FF74_1","1","1970s",66,156
"FF75","FF75_1","1","1970s",78,156
"FF76","FF76_1","1","1970s",79,156
"FF78","FF78_1","1","1970s",68,156
"FF79","FF79_1","1","1970s",70,156
"FF80","FF80_1","1","1970s",72,156
"FF81","FF81_1","1","1970s",62,156
"FF82","FF82_1","1","1970s",60,156
"FF83","FF83_1","1","1970s",50,156
"FF84","FF84_1","1","1970s",57,156
"FF86","FF86_1","1","1970s",75,156
"FF87","FF87_1","1","1970s",62,156
"FF89","FF89_1","1","1970s",71,156
"FF90","FF90_1","1","1970s",61,156
"FF91","FF91_1","1","1970s",41,156
"FF92","FF92_1","1","1970s",37,156
"FF93","FF93_1","1","1970s",47,156
"FF95","FF95_1","1","1970s",60,156
"FF98","FF98_1","1","1970s",48,156
"FF99","FF99_1","1","1970s",47,156
"FG04","FG04_1","1","1970s",68,156
"FG08","FG08_1","1","1970s",68,156
"FG09","FG09_1","1","1970s",57,156
"FG14","FG14_1","1","1970s",40,156
"FG18","FG18_1","1","1970s",65,156
"FG19","FG19_1","1","1970s",56,156
"FG27","FG27_1","1","1970s",68,156
"FG28","FG28_1","1","1970s",81,156
"FG29","FG29_1","1","1970s",77,156
"FG37","FG37_1","1","1970s",79,156
"FG43","FG43_1","1","1970s",89,156
"FG45","FG45_1","1","1970s",64,156
"FG47","FG47_1","1","1970s",66,156
"FG48","FG48_1","1","1970s",48,156
"FG53","FG53_1","1","1970s",63,156
"FG54","FG54_1","1","1970s",64,156
"FG56","FG56_1","1","1970s",50,156
"FG59","FG59_1","1","1970s",55,156
"FG60","FG60_1","1","1970s",56,156
"FG68","FG68_1","1","1970s",50,156
"FG70","FG70_1","1","1970s",53,156
"FG75","FG75_1","1","1970s",64,156
"FG76","FG76_1","1","1970s",72,156
"FG79","FG79_1","1","1970s",70,156
"FG82","FG82_1","1","1970s",59,156
"FG85","FG85_1","1","1970s",54,156
"FG86","FG86_1","1","1970s",73,156
"FG92","FG92_1","1","1970s",59,156
"FG93","FG93_1","1","1970s",82,156
"FG99","FG99_1","1","1970s",60,156
"FH01","FH01_1","1","1970s",31,156
"FH07","FH07_1","1","1970s",31,156
"FH08","FH08_1","1","1970s",35,156
"FH11","FH11_1","1","1970s",62,156
"FH12","FH12_1","1","1970s",55,156
"FH14","FH14_1","1","1970s",52,156
"FH15","FH15_1","1","1970s",54,156
"FH18","FH18_1","1","1970s",36,156
"FH21","FH21_1","1","1970s",74,156
"FH22","FH22_1","1","1970s",49,156
"FH23","FH23_1","1","1970s",78,156
"FH24","FH24_1","1","1970s",73,156
"FH25","FH25_1","1","1970s",76,156
"FH29","FH29_1","1","1970s",41,156
"FH32","FH32_1","1","1970s",84,156
"FH33","FH33_1","1","1970s",74,156
"FH34","FH34_1","1","1970s",55,156
"FH35","FH35_1","1","1970s",68,156
"FH36","FH36_1","1","1970s",59,156
"FH42","FH42_1","1","1970s",81,156
"FH43","FH43_1","1","1970s",64,156
"FH44","FH44_1","1","1970s",83,156
"FH45","FH45_1","1","1970s",73,156
"FH46","FH46_1","1","1970s",69,156
"FH52","FH52_1","1","1970s",72,156
"FH54","FH54_1","1","1970s",63,156
"FH55","FH55_1","1","1970s",36,156
"FH56","FH56_1","1","1970s",86,156
"FH58","FH58_1","1","1970s",85,156
"FH62","FH62_1","1","1970s",59,156
"FH65","FH65_1","1","1970s",15,156
"FH71","FH71_1","1","1970s",45,156
"FH72","FH72_1","1","1970s",48,156
"FH74","FH74_1","1","1970s",59,156
"FH75","FH75_1","1","1970s",62,156
"FH76","FH76_1","1","1970s",54,156
"FH79","FH79_1","1","1970s",48,156
"FH80","FH80_1","1","1970s",65,156
"FH81","FH81_1","1","1970s",54,156
"FH83","FH83_1","1","1970s",31,156
"FH84","FH84_1","1","1970s",45,156
"FH85","FH85_1","1","1970s",54,156
"FH86","FH86_1","1","1970s",55,156
"FH87","FH87_1","1","1970s",57,156
"FG91","FG91_1","1","1970s",62,156
"FH95","FH95_1","1","1970s",64,156
"FH96","FH96_1","1","1970s",51,156
"FH98","FH98_1","1","1970s",78,156
"GE00","GE00_1","1","1970s",61,156
"GE01","GE01_1","1","1970s",69,156
"GE02","GE02_1","1","1970s",63,156
"GE03","GE03_1","1","1970s",68,156
"GE04","GE04_1","1","1970s",53,156
"GE10","GE10_1","1","1970s",74,156
"GE11","GE11_1","1","1970s",86,156
"GE12","GE12_1","1","1970s",65,156
"GE13","GE13_1","1","1970s",71,156
"GE14","GE14_1","1","1970s",44,156
"GE20","GE20_1","1","1970s",62,156
"GE21","GE21_1","1","1970s",68,156
"GE24","GE24_1","1","1970s",60,156
"GE30","GE30_1","1","1970s",89,156
"GE32","GE32_1","1","1970s",68,156
"GE34","GE34_1","1","1970s",42,156
"GE43","GE43_1","1","1970s",68,156
"GF00","GF00_1","1","1970s",74,156
"GF01","GF01_1","1","1970s",60,156
"GF02","GF02_1","1","1970s",52,156
"GF03","GF03_1","1","1970s",38,156
"GF04","GF04_1","1","1970s",54,156
"GF06","GF06_1","1","1970s",67,156
"GF07","GF07_1","1","1970s",66,156
"GF08","GF08_1","1","1970s",67,156
"GF09","GF09_1","1","1970s",65,156
"GF12","GF12_1","1","1970s",37,156
"GF13","GF13_1","1","1970s",44,156
"GF15","GF15_1","1","1970s",59,156
"GF16","GF16_1","1","1970s",53,156
"GF17","GF17_1","1","1970s",72,156
"GF18","GF18_1","1","1970s",58,156
"GF19","GF19_1","1","1970s",63,156
"GF23","GF23_1","1","1970s",62,156
"GF25","GF25_1","1","1970s",50,156
"GF26","GF26_1","1","1970s",59,156
"GF27","GF27_1","1","1970s",72,156
"GF28","GF28_1","1","1970s",58,156
"GF29","GF29_1","1","1970s",72,156
"GF33","GF33_1","1","1970s",51,156
"GF34","GF34_1","1","1970s",56,156
"GF36","GF36_1","1","1970s",65,156
"GF37","GF37_1","1","1970s",67,156
"GF38","GF38_1","1","1970s",80,156
"GF43","GF43_1","1","1970s",58,156
"GF44","GF44_1","1","1970s",60,156
"GF45","GF45_1","1","1970s",52,156
"GF46","GF46_1","1","1970s",61,156
"GF47","GF47_1","1","1970s",93,156
"GF48","GF48_1","1","1970s",70,156
"GF49","GF49_1","1","1970s",69,156
"GF52","GF52_1","1","1970s",75,156
"GF53","GF53_1","1","1970s",68,156
"GF54","GF54_1","1","1970s",57,156
"GF55","GF55_1","1","1970s",36,156
"GF63","GF63_1","1","1970s",41,156
"GF74","GF74_1","1","1970s",46,156
"GG05","GG05_1","1","1970s",60,156
"GG06","GG06_1","1","1970s",60,156
"GG08","GG08_1","1","1970s",63,156
"GG09","GG09_1","1","1970s",81,156
"GG10","GG10_1","1","1970s",73,156
"GG15","GG15_1","1","1970s",55,156
"GG20","GG20_1","1","1970s",42,156
"GG25","GG25_1","1","1970s",65,156
"GG27","GG27_1","1","1970s",53,156
"GG28","GG28_1","1","1970s",71,156
"GG30","GG30_1","1","1970s",57,156
"GG36","GG36_1","1","1970s",56,156
"GG37","GG37_1","1","1970s",46,156
"GG40","GG40_1","1","1970s",54,156
"GH06","GH06_1","1","1970s",59,156
"GH07","GH07_1","1","1970s",65,156
"GH08","GH08_1","1","1970s",62,156
"GH09","GH09_1","1","1970s",52,156
"GH17","GH17_1","1","1970s",54,156
"GH18","GH18_1","1","1970s",50,156
"GH19","GH19_1","1","1970s",52,156
"GH39","GH39_1","1","1970s",52,156
"GH49","GH49_1","1","1970s",82,156
"GH59","GH59_1","1","1970s",78,156
"HA03","HA03_1","1","1970s",52,156
"HA04","HA04_1","1","1970s",67,156
"HA05","HA05_1","1","1970s",50,156
"HA06","HA06_1","1","1970s",45,156
"HA07","HA07_1","1","1970s",58,156
"HA13","HA13_1","1","1970s",51,156
"HA17","HA17_1","1","1970s",51,156
"HA22","HA22_1","1","1970s",31,156
"HA23","HA23_1","1","1970s",35,156
"HA24","HA24_1","1","1970s",66,156
"HA25","HA25_1","1","1970s",68,156
"HA26","HA26_1","1","1970s",67,156
"HA32","HA32_1","1","1970s",53,156
"HA33","HA33_1","1","1970s",49,156
"HA34","HA34_1","1","1970s",68,156
"HA35","HA35_1","1","1970s",57,156
"HA36","HA36_1","1","1970s",64,156
"HA43","HA43_1","1","1970s",57,156
"HA44","HA44_1","1","1970s",62,156
"HA45","HA45_1","1","1970s",41,156
"HA52","HA52_1","1","1970s",67,156
"HA53","HA53_1","1","1970s",71,156
"HA54","HA54_1","1","1970s",67,156
"AD93","AD93_2","2","1990s",63,156
"AD95","AD95_2","2","1990s",65,156
"AE98","AE98_2","2","1990s",75,156
"AF91","AF91_2","2","1990s",68,156
"AF92","AF92_2","2","1990s",67,156
"AF93","AF93_2","2","1990s",70,156
"AF94","AF94_2","2","1990s",67,156
"AF98","AF98_2","2","1990s",50,156
"AF99","AF99_2","2","1990s",38,156
"BC20","BC20_2","2","1990s",60,156
"BC32","BC32_2","2","1990s",75,156
"BC33","BC33_2","2","1990s",70,156
"BC44","BC44_2","2","1990s",72,156
"BC54","BC54_2","2","1990s",84,156
"BC60","BC60_2","2","1990s",56,156
"BC65","BC65_2","2","1990s",67,156
"BC72","BC72_2","2","1990s",56,156
"BC75","BC75_2","2","1990s",66,156
"BC82","BC82_2","2","1990s",62,156
"BC83","BC83_2","2","1990s",88,156
"BC84","BC84_2","2","1990s",86,156
"BC85","BC85_2","2","1990s",52,156
"BC94","BC94_2","2","1990s",95,156
"BC95","BC95_2","2","1990s",62,156
"BC96","BC96_2","2","1990s",67,156
"BD07","BD07_2","2","1990s",60,156
"BD08","BD08_2","2","1990s",70,156
"BD11","BD11_2","2","1990s",64,156
"BD12","BD12_2","2","1990s",48,156
"BD13","BD13_2","2","1990s",72,156
"BD19","BD19_2","2","1990s",49,156
"BD21","BD21_2","2","1990s",63,156
"BD35","BD35_2","2","1990s",62,156
"BD36","BD36_2","2","1990s",62,156
"BD39","BD39_2","2","1990s",76,156
"BD43","BD43_2","2","1990s",62,156
"BD45","BD45_2","2","1990s",71,156
"BD46","BD46_2","2","1990s",50,156
"BD49","BD49_2","2","1990s",58,156
"BD50","BD50_2","2","1990s",42,156
"BD51","BD51_2","2","1990s",65,156
"BD56","BD56_2","2","1990s",51,156
"BD57","BD57_2","2","1990s",65,156
"BD61","BD61_2","2","1990s",77,156
"BD66","BD66_2","2","1990s",57,156
"BD68","BD68_2","2","1990s",57,156
"BD70","BD70_2","2","1990s",65,156
"BD73","BD73_2","2","1990s",96,156
"BD76","BD76_2","2","1990s",59,156
"BD77","BD77_2","2","1990s",73,156
"BD80","BD80_2","2","1990s",64,156
"BD81","BD81_2","2","1990s",70,156
"BD82","BD82_2","2","1990s",80,156
"BD88","BD88_2","2","1990s",66,156
"BD91","BD91_2","2","1990s",58,156
"BE03","BE03_2","2","1990s",68,156
"BE07","BE07_2","2","1990s",78,156
"BE08","BE08_2","2","1990s",78,156
"BE09","BE09_2","2","1990s",48,156
"BE11","BE11_2","2","1990s",69,156
"BE12","BE12_2","2","1990s",67,156
"BE13","BE13_2","2","1990s",61,156
"BE14","BE14_2","2","1990s",63,156
"BE15","BE15_2","2","1990s",57,156
"BE16","BE16_2","2","1990s",63,156
"BE17","BE17_2","2","1990s",71,156
"BE20","BE20_2","2","1990s",63,156
"BE22","BE22_2","2","1990s",57,156
"BE27","BE27_2","2","1990s",54,156
"BE30","BE30_2","2","1990s",57,156
"BE32","BE32_2","2","1990s",56,156
"BE34","BE34_2","2","1990s",69,156
"BE36","BE36_2","2","1990s",62,156
"BE45","BE45_2","2","1990s",52,156
"BE55","BE55_2","2","1990s",47,156
"BE59","BE59_2","2","1990s",54,156
"BE62","BE62_2","2","1990s",55,156
"BE63","BE63_2","2","1990s",63,156
"BE78","BE78_2","2","1990s",58,156
"BE80","BE80_2","2","1990s",79,156
"BE82","BE82_2","2","1990s",72,156
"BE84","BE84_2","2","1990s",57,156
"BE86","BE86_2","2","1990s",56,156
"BE89","BE89_2","2","1990s",48,156
"BE92","BE92_2","2","1990s",70,156
"BE94","BE94_2","2","1990s",68,156
"BE95","BE95_2","2","1990s",55,156
"BE96","BE96_2","2","1990s",56,156
"BE99","BE99_2","2","1990s",80,156
"BF02","BF02_2","2","1990s",83,156
"BF03","BF03_2","2","1990s",85,156
"BF04","BF04_2","2","1990s",91,156
"BF05","BF05_2","2","1990s",91,156
"BF06","BF06_2","2","1990s",64,156
"BF07","BF07_2","2","1990s",59,156
"BF08","BF08_2","2","1990s",58,156
"BF11","BF11_2","2","1990s",77,156
"BF16","BF16_2","2","1990s",57,156
"BF18","BF18_2","2","1990s",48,156
"BF21","BF21_2","2","1990s",65,156
"BF31","BF31_2","2","1990s",61,156
"BF32","BF32_2","2","1990s",79,156
"BF33","BF33_2","2","1990s",73,156
"BF38","BF38_2","2","1990s",72,156
"BF49","BF49_2","2","1990s",69,156
"BF50","BF50_2","2","1990s",58,156
"BF58","BF58_2","2","1990s",44,156
"BF59","BF59_2","2","1990s",57,156
"BF60","BF60_2","2","1990s",68,156
"BF61","BF61_2","2","1990s",60,156
"BF72","BF72_2","2","1990s",69,156
"BF80","BF80_2","2","1990s",56,156
"BF81","BF81_2","2","1990s",60,156
"BF83","BF83_2","2","1990s",69,156
"BF97","BF97_2","2","1990s",64,156
"BG27","BG27_2","2","1990s",61,156
"BG28","BG28_2","2","1990s",69,156
"BG29","BG29_2","2","1990s",76,156
"BG30","BG30_2","2","1990s",28,156
"BG31","BG31_2","2","1990s",99,156
"BG32","BG32_2","2","1990s",85,156
"BG33","BG33_2","2","1990s",23,156
"BG41","BG41_2","2","1990s",68,156
"BG42","BG42_2","2","1990s",65,156
"BG43","BG43_2","2","1990s",38,156
"BG49","BG49_2","2","1990s",64,156
"BG55","BG55_2","2","1990s",78,156
"BG64","BG64_2","2","1990s",66,156
"BG65","BG65_2","2","1990s",73,156
"BG66","BG66_2","2","1990s",73,156
"BG70","BG70_2","2","1990s",57,156
"BG72","BG72_2","2","1990s",54,156
"BG73","BG73_2","2","1990s",71,156
"BG75","BG75_2","2","1990s",66,156
"BG76","BG76_2","2","1990s",68,156
"BG79","BG79_2","2","1990s",70,156
"BG86","BG86_2","2","1990s",61,156
"BG90","BG90_2","2","1990s",65,156
"BG92","BG92_2","2","1990s",63,156
"BG93","BG93_2","2","1990s",63,156
"BH57","BH57_2","2","1990s",64,156
"BH76","BH76_2","2","1990s",44,156
"BH77","BH77_2","2","1990s",95,156
"BH78","BH78_2","2","1990s",66,156
"BH79","BH79_2","2","1990s",77,156
"BH86","BH86_2","2","1990s",82,156
"BH87","BH87_2","2","1990s",86,156
"BH89","BH89_2","2","1990s",84,156
"BH99","BH99_2","2","1990s",101,156
"CC04","CC04_2","2","1990s",101,156
"CC05","CC05_2","2","1990s",89,156
"CC06","CC06_2","2","1990s",77,156
"CD03","CD03_2","2","1990s",77,156
"CD04","CD04_2","2","1990s",73,156
"CD09","CD09_2","2","1990s",56,156
"CE02","CE02_2","2","1990s",75,156
"CF07","CF07_2","2","1990s",41,156
"CC14","CC14_2","2","1990s",84,156
"CC16","CC16_2","2","1990s",63,156
"CC23","CC23_2","2","1990s",51,156
"CC24","CC24_2","2","1990s",54,156
"CC25","CC25_2","2","1990s",57,156
"CC35","CC35_2","2","1990s",78,156
"CC36","CC36_2","2","1990s",72,156
"CC41","CC41_2","2","1990s",58,156
"CC46","CC46_2","2","1990s",82,156
"CC53","CC53_2","2","1990s",78,156
"CC54","CC54_2","2","1990s",73,156
"CC61","CC61_2","2","1990s",75,156
"CC64","CC64_2","2","1990s",73,156
"CC65","CC65_2","2","1990s",72,156
"CC68","CC68_2","2","1990s",55,156
"CC75","CC75_2","2","1990s",91,156
"CC77","CC77_2","2","1990s",83,156
"CC80","CC80_2","2","1990s",81,156
"CC85","CC85_2","2","1990s",87,156
"CC86","CC86_2","2","1990s",72,156
"CC92","CC92_2","2","1990s",67,156
"CC93","CC93_2","2","1990s",58,156
"CC94","CC94_2","2","1990s",69,156
"CC95","CC95_2","2","1990s",68,156
"CC97","CC97_2","2","1990s",60,156
"CC98","CC98_2","2","1990s",53,156
"CD11","CD11_2","2","1990s",56,156
"CD17","CD17_2","2","1990s",68,156
"CD18","CD18_2","2","1990s",56,156
"CD21","CD21_2","2","1990s",78,156
"CD31","CD31_2","2","1990s",75,156
"CD32","CD32_2","2","1990s",73,156
"CD33","CD33_2","2","1990s",62,156
"CD40","CD40_2","2","1990s",70,156
"CD42","CD42_2","2","1990s",74,156
"CD43","CD43_2","2","1990s",69,156
"CD47","CD47_2","2","1990s",53,156
"CD50","CD50_2","2","1990s",80,156
"CD51","CD51_2","2","1990s",67,156
"CD54","CD54_2","2","1990s",66,156
"CD57","CD57_2","2","1990s",63,156
"CD60","CD60_2","2","1990s",66,156
"CD62","CD62_2","2","1990s",67,156
"CD63","CD63_2","2","1990s",73,156
"CD64","CD64_2","2","1990s",46,156
"CD67","CD67_2","2","1990s",81,156
"CD69","CD69_2","2","1990s",54,156
"CD70","CD70_2","2","1990s",49,156
"CD71","CD71_2","2","1990s",61,156
"CD74","CD74_2","2","1990s",69,156
"CD75","CD75_2","2","1990s",59,156
"CD80","CD80_2","2","1990s",45,156
"CD82","CD82_2","2","1990s",64,156
"CD83","CD83_2","2","1990s",64,156
"CD84","CD84_2","2","1990s",69,156
"CD90","CD90_2","2","1990s",69,156
"CD92","CD92_2","2","1990s",74,156
"CD95","CD95_2","2","1990s",75,156
"CD98","CD98_2","2","1990s",72,156
"CE11","CE11_2","2","1990s",69,156
"CE15","CE15_2","2","1990s",66,156
"CE17","CE17_2","2","1990s",64,156
"CE19","CE19_2","2","1990s",49,156
"CE20","CE20_2","2","1990s",77,156
"CE22","CE22_2","2","1990s",73,156
"CE27","CE27_2","2","1990s",39,156
"CE30","CE30_2","2","1990s",65,156
"CE31","CE31_2","2","1990s",71,156
"CE34","CE34_2","2","1990s",39,156
"CE35","CE35_2","2","1990s",47,156
"CE38","CE38_2","2","1990s",67,156
"CE42","CE42_2","2","1990s",64,156
"CE49","CE49_2","2","1990s",72,156
"CE51","CE51_2","2","1990s",76,156
"CE52","CE52_2","2","1990s",80,156
"CE60","CE60_2","2","1990s",72,156
"CE61","CE61_2","2","1990s",68,156
"CE62","CE62_2","2","1990s",72,156
"CE64","CE64_2","2","1990s",91,156
"CE67","CE67_2","2","1990s",57,156
"CE69","CE69_2","2","1990s",70,156
"CE72","CE72_2","2","1990s",77,156
"CE74","CE74_2","2","1990s",76,156
"CE75","CE75_2","2","1990s",74,156
"CE77","CE77_2","2","1990s",64,156
"CE78","CE78_2","2","1990s",84,156
"CE80","CE80_2","2","1990s",66,156
"CE81","CE81_2","2","1990s",58,156
"CE82","CE82_2","2","1990s",94,156
"CE84","CE84_2","2","1990s",76,156
"CE85","CE85_2","2","1990s",70,156
"CE86","CE86_2","2","1990s",60,156
"CE88","CE88_2","2","1990s",90,156
"CE89","CE89_2","2","1990s",77,156
"CE90","CE90_2","2","1990s",59,156
"CE91","CE91_2","2","1990s",65,156
"CE92","CE92_2","2","1990s",69,156
"CE99","CE99_2","2","1990s",82,156
"CF10","CF10_2","2","1990s",75,156
"CF13","CF13_2","2","1990s",78,156
"CF14","CF14_2","2","1990s",61,156
"CF15","CF15_2","2","1990s",64,156
"CF19","CF19_2","2","1990s",61,156
"CF23","CF23_2","2","1990s",63,156
"CF29","CF29_2","2","1990s",82,156
"CF32","CF32_2","2","1990s",88,156
"CF33","CF33_2","2","1990s",81,156
"CF34","CF34_2","2","1990s",75,156
"CF38","CF38_2","2","1990s",62,156
"CF40","CF40_2","2","1990s",75,156
"CF41","CF41_2","2","1990s",69,156
"CF42","CF42_2","2","1990s",56,156
"CF43","CF43_2","2","1990s",64,156
"CF44","CF44_2","2","1990s",74,156
"CF49","CF49_2","2","1990s",71,156
"CF50","CF50_2","2","1990s",90,156
"CF51","CF51_2","2","1990s",84,156
"CF52","CF52_2","2","1990s",69,156
"CF54","CF54_2","2","1990s",86,156
"CF55","CF55_2","2","1990s",80,156
"CF58","CF58_2","2","1990s",52,156
"CF59","CF59_2","2","1990s",60,156
"CF60","CF60_2","2","1990s",77,156
"CF61","CF61_2","2","1990s",79,156
"CF62","CF62_2","2","1990s",73,156
"CF64","CF64_2","2","1990s",87,156
"CF65","CF65_2","2","1990s",69,156
"CF69","CF69_2","2","1990s",73,156
"CF70","CF70_2","2","1990s",78,156
"CF71","CF71_2","2","1990s",52,156
"CF73","CF73_2","2","1990s",68,156
"CF75","CF75_2","2","1990s",55,156
"CF78","CF78_2","2","1990s",74,156
"CF79","CF79_2","2","1990s",56,156
"CF82","CF82_2","2","1990s",92,156
"CF84","CF84_2","2","1990s",50,156
"CF86","CF86_2","2","1990s",57,156
"CF87","CF87_2","2","1990s",66,156
"CF89","CF89_2","2","1990s",65,156
"CF90","CF90_2","2","1990s",53,156
"CF91","CF91_2","2","1990s",60,156
"CF92","CF92_2","2","1990s",58,156
"CF95","CF95_2","2","1990s",63,156
"CF98","CF98_2","2","1990s",68,156
"CG05","CG05_2","2","1990s",77,156
"CG07","CG07_2","2","1990s",74,156
"CG09","CG09_2","2","1990s",74,156
"CG13","CG13_2","2","1990s",55,156
"CG29","CG29_2","2","1990s",47,156
"CG39","CG39_2","2","1990s",81,156
"CG40","CG40_2","2","1990s",85,156
"CG42","CG42_2","2","1990s",64,156
"CG44","CG44_2","2","1990s",92,156
"CG47","CG47_2","2","1990s",74,156
"CG48","CG48_2","2","1990s",76,156
"CG49","CG49_2","2","1990s",67,156
"CG50","CG50_2","2","1990s",74,156
"CG51","CG51_2","2","1990s",89,156
"CG53","CG53_2","2","1990s",75,156
"CG54","CG54_2","2","1990s",94,156
"CG56","CG56_2","2","1990s",64,156
"CG57","CG57_2","2","1990s",71,156
"CG58","CG58_2","2","1990s",80,156
"CG59","CG59_2","2","1990s",80,156
"CG61","CG61_2","2","1990s",69,156
"CG65","CG65_2","2","1990s",54,156
"CG66","CG66_2","2","1990s",68,156
"CG68","CG68_2","2","1990s",74,156
"CG69","CG69_2","2","1990s",70,156
"CG73","CG73_2","2","1990s",66,156
"CG75","CG75_2","2","1990s",57,156
"CG78","CG78_2","2","1990s",72,156
"CG79","CG79_2","2","1990s",73,156
"CG80","CG80_2","2","1990s",56,156
"CG83","CG83_2","2","1990s",61,156
"CG84","CG84_2","2","1990s",75,156
"CG85","CG85_2","2","1990s",68,156
"CG89","CG89_2","2","1990s",73,156
"CG90","CG90_2","2","1990s",67,156
"CH06","CH06_2","2","1990s",59,156
"CH34","CH34_2","2","1990s",74,156
"CH35","CH35_2","2","1990s",81,156
"CH45","CH45_2","2","1990s",80,156
"CH46","CH46_2","2","1990s",67,156
"CH48","CH48_2","2","1990s",75,156
"CH55","CH55_2","2","1990s",61,156
"CH56","CH56_2","2","1990s",82,156
"CH57","CH57_2","2","1990s",92,156
"CH58","CH58_2","2","1990s",82,156
"CH59","CH59_2","2","1990s",81,156
"CH66","CH66_2","2","1990s",50,156
"CH76","CH76_2","2","1990s",33,156
"CH77","CH77_2","2","1990s",77,156
"CH86","CH86_2","2","1990s",51,156
"CH87","CH87_2","2","1990s",58,156
"CH88","CH88_2","2","1990s",60,156
"CH95","CH95_2","2","1990s",37,156
"CH96","CH96_2","2","1990s",47,156
"CH97","CH97_2","2","1990s",79,156
"CH99","CH99_2","2","1990s",66,156
"DC07","DC07_2","2","1990s",78,156
"DC09","DC09_2","2","1990s",58,156
"DB14","DB14_2","2","1990s",53,156
"DB16","DB16_2","2","1990s",46,156
"DB24","DB24_2","2","1990s",63,156
"DB34","DB34_2","2","1990s",74,156
"DB35","DB35_2","2","1990s",62,156
"DB40","DB40_2","2","1990s",72,156
"DB45","DB45_2","2","1990s",54,156
"DB54","DB54_2","2","1990s",69,156
"DB55","DB55_2","2","1990s",78,156
"DB62","DB62_2","2","1990s",47,156
"DB64","DB64_2","2","1990s",79,156
"DB65","DB65_2","2","1990s",60,156
"DB68","DB68_2","2","1990s",65,156
"DB72","DB72_2","2","1990s",66,156
"DB74","DB74_2","2","1990s",55,156
"DB78","DB78_2","2","1990s",68,156
"DB79","DB79_2","2","1990s",62,156
"DB82","DB82_2","2","1990s",46,156
"DB83","DB83_2","2","1990s",75,156
"DB89","DB89_2","2","1990s",61,156
"DC00","DC00_2","2","1990s",92,156
"DC01","DC01_2","2","1990s",73,156
"DC04","DC04_2","2","1990s",72,156
"DC10","DC10_2","2","1990s",60,156
"DC11","DC11_2","2","1990s",68,156
"DC15","DC15_2","2","1990s",75,156
"DC18","DC18_2","2","1990s",63,156
"DC19","DC19_2","2","1990s",59,156
"DC23","DC23_2","2","1990s",67,156
"DC25","DC25_2","2","1990s",63,156
"DC26","DC26_2","2","1990s",71,156
"DC27","DC27_2","2","1990s",63,156
"DC32","DC32_2","2","1990s",51,156
"DC33","DC33_2","2","1990s",57,156
"DC40","DC40_2","2","1990s",94,156
"DC41","DC41_2","2","1990s",71,156
"DC42","DC42_2","2","1990s",70,156
"DC53","DC53_2","2","1990s",68,156
"DC57","DC57_2","2","1990s",88,156
"DC89","DC89_2","2","1990s",68,156
"DD00","DD00_2","2","1990s",57,156
"DD01","DD01_2","2","1990s",88,156
"DD03","DD03_2","2","1990s",81,156
"DD05","DD05_2","2","1990s",73,156
"DD08","DD08_2","2","1990s",83,156
"DD09","DD09_2","2","1990s",70,156
"DD10","DD10_2","2","1990s",64,156
"DD11","DD11_2","2","1990s",73,156
"DD12","DD12_2","2","1990s",69,156
"DD13","DD13_2","2","1990s",54,156
"DD16","DD16_2","2","1990s",59,156
"DD17","DD17_2","2","1990s",62,156
"DD18","DD18_2","2","1990s",96,156
"DD19","DD19_2","2","1990s",73,156
"DD21","DD21_2","2","1990s",81,156
"DD26","DD26_2","2","1990s",68,156
"DD28","DD28_2","2","1990s",72,156
"DD29","DD29_2","2","1990s",65,156
"DD30","DD30_2","2","1990s",68,156
"DD37","DD37_2","2","1990s",76,156
"DD43","DD43_2","2","1990s",75,156
"DD47","DD47_2","2","1990s",88,156
"DD51","DD51_2","2","1990s",78,156
"DD52","DD52_2","2","1990s",76,156
"DD53","DD53_2","2","1990s",72,156
"DD57","DD57_2","2","1990s",66,156
"DD61","DD61_2","2","1990s",61,156
"DD63","DD63_2","2","1990s",65,156
"DD64","DD64_2","2","1990s",63,156
