"comparison_id","comparison_label","start_period","end_period","species","occupied_grid_cells_start","occupied_grid_cells_end","n_shared_grid_cells","records_1970s","records_1990s","records_2010s","prop_occupied_start","prop_occupied_end","delta_occupied_grid_cells","delta_occupancy_proportion","delta_occupancy_percentage_points","change_class","migratory_strategy","foraging_guild_consensus","species_thermal_index","thermal_group"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Oenanthe_oenanthe",259,137,895,259,137,65,0.289385474860335,0.153072625698324,-122,-0.136312849162011,-13.6312849162011,"Decrease","long-distance","Low flycatching feeders",11.6202368597,"cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Athene_noctua",159,32,895,159,32,6,0.177653631284916,0.0357541899441341,-127,-0.141899441340782,-14.1899441340782,"Decrease","sedentary","Owls",14.2083192272,"very warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Riparia_riparia",507,378,895,507,378,268,0.566480446927374,0.422346368715084,-129,-0.144134078212291,-14.4134078212291,"Decrease","long-distance","Aerial insectivores",11.9550761988,"medium"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Gallinago_gallinago",508,376,895,508,376,256,0.567597765363128,0.420111731843575,-132,-0.147486033519553,-14.7486033519553,"Decrease","short-distance","Scolopacids",10.2670472691,"very cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Emberiza_calandra",759,491,895,759,491,523,0.84804469273743,0.548603351955307,-268,-0.299441340782123,-29.9441340782123,"Decrease","sedentary","Buntings",14.2313581317,"very warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Acrocephalus_schoenobaenus",622,271,895,622,271,291,0.694972067039106,0.302793296089385,-351,-0.392178770949721,-39.2178770949721,"Decrease","long-distance","Marsh warblers",11.3913898283,"cold"
"2010s_minus_1990s","2010s minus 1990s","1990s","2010s","Corvus_corax",262,560,895,79,262,560,0.292737430167598,0.625698324022346,298,0.332960893854749,33.2960893854749,"Increase","sedentary","Omnivorous corvids",11.7378412998,"cold"
"2010s_minus_1990s","2010s minus 1990s","1990s","2010s","Anser_anser",301,589,895,150,301,589,0.336312849162011,0.658100558659218,288,0.321787709497207,32.1787709497207,"Increase","sedentary and short-distance","Grazing waterfowl",11.1956416463,"cold"
"2010s_minus_1990s","2010s minus 1990s","1990s","2010s","Coturnix_coturnix",64,281,895,20,64,281,0.0715083798882682,0.313966480446927,217,0.242458100558659,24.2458100558659,"Increase","short-and long-distance","Gallinaceous birds",13.6002736383,"very warm"
"2010s_minus_1990s","2010s minus 1990s","1990s","2010s","Columba_oenas",173,386,895,34,173,386,0.193296089385475,0.431284916201117,213,0.237988826815642,23.7988826815642,"Increase","short-distance","Columbids",12.4358174295,"warm"
"2010s_minus_1990s","2010s minus 1990s","1990s","2010s","Phoenicurus_phoenicurus",638,850,895,532,638,850,0.712849162011173,0.949720670391061,212,0.236871508379888,23.6871508379888,"Increase","long-distance","Low flycatching feeders",11.3098485667,"cold"
"2010s_minus_1990s","2010s minus 1990s","1990s","2010s","Certhia_brachydactyla",130,302,895,24,130,302,0.145251396648045,0.337430167597765,172,0.192178770949721,19.2178770949721,"Increase","sedentary","Tit-like birds",13.8972978687,"very warm"
"2010s_minus_1990s","2010s minus 1990s","1990s","2010s","Sitta_europaea",547,705,895,445,547,705,0.611173184357542,0.787709497206704,158,0.176536312849162,17.6536312849162,"Increase","sedentary","Tit-like birds",12.7946675987,"warm"
"2010s_minus_1990s","2010s minus 1990s","1990s","2010s","Corvus_frugilegus",304,411,895,180,304,411,0.339664804469274,0.459217877094972,107,0.119553072625698,11.9553072625698,"Increase","sedentary","Omnivorous corvids",12.7340640684,"warm"
"2010s_minus_1990s","2010s minus 1990s","1990s","2010s","Circus_aeruginosus",258,363,895,69,258,363,0.288268156424581,0.405586592178771,105,0.11731843575419,11.731843575419,"Increase","short-and long-distance","Diurnal raptors",13.2259231132,"very warm"
"2010s_minus_1990s","2010s minus 1990s","1990s","2010s","Regulus_ignicapilla",17,116,895,29,17,116,0.0189944134078212,0.129608938547486,99,0.110614525139665,11.0614525139665,"Increase","short-distance","Tit-like birds",13.1999439071,"very warm"
"2010s_minus_1990s","2010s minus 1990s","1990s","2010s","Acrocephalus_palustris",623,720,895,482,623,720,0.69608938547486,0.804469273743017,97,0.108379888268156,10.8379888268156,"Increase","long-distance","Marsh warblers",12.248077272,"medium"
"2010s_minus_1990s","2010s minus 1990s","1990s","2010s","Alcedo_atthis",98,190,895,77,98,190,0.109497206703911,0.212290502793296,92,0.102793296089385,10.2793296089385,"Increase","sedentary","Kingfishers",13.5319163712,"very warm"
"2010s_minus_1990s","2010s minus 1990s","1990s","2010s","Anas_crecca",128,36,895,117,128,36,0.143016759776536,0.0402234636871508,-92,-0.102793296089385,-10.2793296089385,"Decrease","short-distance","Dabbling ducks",10.071290709,"very cold"
"2010s_minus_1990s","2010s minus 1990s","1990s","2010s","Turdus_pilaris",235,138,895,38,235,138,0.262569832402235,0.154189944134078,-97,-0.108379888268156,-10.8379888268156,"Decrease","short-distance","Thrushes",10.0287125382,"very cold"
"2010s_minus_1990s","2010s minus 1990s","1990s","2010s","Regulus_regulus",758,657,895,684,758,657,0.846927374301676,0.734078212290503,-101,-0.112849162011173,-11.2849162011173,"Decrease","short-distance","Tit-like birds",10.8075146552,"very cold"
"2010s_minus_1990s","2010s minus 1990s","1990s","2010s","Riparia_riparia",378,268,895,507,378,268,0.422346368715084,0.299441340782123,-110,-0.122905027932961,-12.2905027932961,"Decrease","long-distance","Aerial insectivores",11.9550761988,"medium"
"2010s_minus_1990s","2010s minus 1990s","1990s","2010s","Gallinago_gallinago",376,256,895,508,376,256,0.420111731843575,0.286033519553073,-120,-0.134078212290503,-13.4078212290503,"Decrease","short-distance","Scolopacids",10.2670472691,"very cold"
"2010s_minus_1990s","2010s minus 1990s","1990s","2010s","Anas_platyrhynchos",866,742,895,759,866,742,0.967597765363128,0.829050279329609,-124,-0.13854748603352,-13.854748603352,"Decrease","sedentary and short-distance","Dabbling ducks",11.8110548425,"cold"
"2010s_minus_1990s","2010s minus 1990s","1990s","2010s","Linaria_cannabina",866,739,895,853,866,739,0.967597765363128,0.825698324022346,-127,-0.141899441340782,-14.1899441340782,"Decrease","short-distance","Passerine seedeaters",13.1603552715,"very warm"
"2010s_minus_1990s","2010s minus 1990s","1990s","2010s","Falco_tinnunculus",647,517,895,428,647,517,0.722905027932961,0.577653631284916,-130,-0.145251396648045,-14.5251396648045,"Decrease","sedentary and short-distance","Diurnal raptors",12.4263636442,"warm"
"2010s_minus_1990s","2010s minus 1990s","1990s","2010s","Tadorna_tadorna",579,431,895,501,579,431,0.646927374301676,0.481564245810056,-148,-0.16536312849162,-16.536312849162,"Decrease","short-distance","Dabbling ducks",12.0434493446,"medium"
"2010s_minus_1990s","2010s minus 1990s","1990s","2010s","Saxicola_rubetra",447,298,895,499,447,298,0.499441340782123,0.332960893854749,-149,-0.166480446927374,-16.6480446927374,"Decrease","long-distance","Low flycatching feeders",11.2990488425,"cold"
"2010s_minus_1990s","2010s minus 1990s","1990s","2010s","Gallinula_chloropus",744,577,895,686,744,577,0.831284916201117,0.644692737430168,-167,-0.18659217877095,-18.659217877095,"Decrease","sedentary and short-distance","Rails",13.3437206998,"very warm"
"2010s_minus_1990s","2010s minus 1990s","1990s","2010s","Fulica_atra",825,656,895,709,825,656,0.921787709497207,0.732960893854749,-169,-0.188826815642458,-18.8826815642458,"Decrease","sedentary and short-distance","Rails",12.9624637063,"warm"
"2010s_minus_1990s","2010s minus 1990s","1990s","2010s","Garrulus_glandarius",697,524,895,540,697,524,0.77877094972067,0.585474860335196,-173,-0.193296089385475,-19.3296089385475,"Decrease","sedentary","Omnivorous corvids",12.466780849,"warm"
"2010s_minus_1990s","2010s minus 1990s","1990s","2010s","Ficedula_hypoleuca",425,192,895,348,425,192,0.474860335195531,0.214525139664804,-233,-0.260335195530726,-26.0335195530726,"Decrease","long-distance","Flycatchers",10.4275102213,"very cold"
"2010s_minus_1990s","2010s minus 1990s","1990s","2010s","Accipiter_nisus",637,394,895,361,637,394,0.711731843575419,0.440223463687151,-243,-0.271508379888268,-27.1508379888268,"Decrease","sedentary and short-distance","Diurnal raptors",11.9162821341,"medium"
"2010s_minus_1990s","2010s minus 1990s","1990s","2010s","Perdix_perdix",712,353,895,660,712,353,0.795530726256983,0.394413407821229,-359,-0.401117318435754,-40.1117318435754,"Decrease","sedentary","Gallinaceous birds",12.8463889005,"warm"
