"comparison_id","comparison_label","start_period","end_period","site","start_richness","end_richness","delta_richness"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD04",60,73,13
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD09",55,56,1
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD11",61,56,-5
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD17",46,68,22
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD18",43,56,13
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD21",54,78,24
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD31",46,75,29
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD32",45,73,28
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD33",74,62,-12
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD40",68,70,2
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD42",59,74,15
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD43",59,69,10
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD47",60,53,-7
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD50",52,80,28
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD51",54,67,13
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD54",60,66,6
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD57",47,63,16
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD60",65,66,1
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD62",69,67,-2
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD63",55,73,18
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD64",50,46,-4
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD67",57,81,24
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD69",52,54,2
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD70",52,49,-3
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD71",61,61,0
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD74",70,69,-1
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD75",56,59,3
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD80",52,45,-7
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD82",56,64,8
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD83",68,64,-4
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD84",74,69,-5
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD90",62,69,7
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD92",63,74,11
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD95",70,75,5
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD98",56,72,16
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE02",57,75,18
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE11",41,69,28
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE15",41,66,25
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE17",67,64,-3
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE19",55,49,-6
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE20",51,77,26
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE22",59,73,14
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE27",47,39,-8
