"site","richness_1990s","richness_2010s","delta_raptor_richness"
"BG87",3,3,0
"BG88",0,2,2
"BG89",2,2,0
"BG90",3,3,0
"BG91",1,3,2
"BG92",2,3,1
"BG93",2,5,3
"BG94",1,4,3
"BG95",3,5,2
"BG96",2,2,0
"BG97",1,2,1
"BG98",2,4,2
"BG99",2,3,1
"BH49",0,0,0
"BH57",3,1,-2
"BH58",1,2,1
"BH59",2,2,0
"BH66",2,2,0
"BH67",4,0,-4
"BH68",4,4,0
"BH69",2,5,3
"BH76",2,1,-1
"BH77",6,3,-3
"BH78",3,3,0
"BH79",4,3,-1
"BH86",4,3,-1
"BH87",4,2,-2
"BH88",1,3,2
"BH89",5,4,-1
"BH96",0,1,1
"BH97",2,2,0
"BH98",4,1,-3
"BH99",6,4,-2
"CC01",1,2,1
"CC03",0,0,0
"CC04",4,4,0
"CC05",2,1,-1
"CC06",5,4,-1
"CD00",1,2,1
"CD01",0,3,3
"CD02",3,2,-1
"CD03",1,3,2
"CD04",2,3,1
"CD05",2,2,0
"CD06",1,3,2
"CD07",3,2,-1
"CD08",0,2,2
"CD09",0,1,1
"CE00",2,3,1
"CE01",3,5,2
"CE02",3,5,2
"CE03",3,2,-1
"CE04",1,0,-1
"CE05",3,3,0
"CE06",2,2,0
"CE07",2,1,-1
"CE08",0,1,1
"CE09",3,2,-1
"CF01",3,2,-1
"CF02",5,6,1
"CF03",4,3,-1
"CF04",1,2,1
"CF05",2,2,0
"CF06",2,1,-1
"CF07",1,2,1
"CF08",0,2,2
"CF09",3,1,-2
"CB70",1,2,1
"CB80",2,3,1
"CB81",1,3,2
"CB82",0,3,3
"CB90",3,2,-1
"CB91",3,3,0
"CB92",3,3,0
"CB93",4,3,-1
"CB94",1,2,1
"CC10",0,1,1
"CC11",1,4,3
"CC14",3,0,-3
"CC15",2,1,-1
"CC16",3,2,-1
"CC20",2,3,1
"CC21",0,3,3
"CC22",0,0,0
"CC23",1,1,0
"CC24",1,2,1
"CC25",2,1,-1
"CC26",1,1,0
"CC30",2,1,-1
"CC31",2,4,2
"CC32",2,1,-1
"CC33",2,2,0
"CC34",4,2,-2
"CC35",3,3,0
"CC36",5,2,-3
"CC40",1,2,1
"CC41",3,3,0
"CC42",1,1,0
"CC43",1,2,1
"CC44",1,1,0
"CC45",1,3,2
"CC46",3,5,2
"CC47",0,0,0
"CC50",3,1,-2
"CC51",2,2,0
"CC52",3,1,-2
"CC53",3,1,-2
"CC54",3,2,-1
"CC55",4,1,-3
"CC56",2,2,0
"CC57",2,2,0
"CC60",4,2,-2
"CC61",2,2,0
"CC62",2,1,-1
"CC63",1,1,0
"CC64",1,1,0
"CC65",2,2,0
"CC66",2,3,1
"CC67",4,2,-2
"CC68",1,0,-1
"CC70",3,4,1
"CC71",4,4,0
"CC72",1,3,2
"CC73",0,1,1
"CC74",1,0,-1
"CC75",5,3,-2
"CC76",3,1,-2
"CC77",5,2,-3
"CC78",2,1,-1
"CC79",2,1,-1
"CC80",4,7,3
"CC81",1,2,1
"CC82",1,2,1
"CC83",1,2,1
"CC84",0,1,1
"CC85",3,2,-1
"CC86",2,2,0
"CC87",2,3,1
"CC88",1,3,2
"CC89",2,1,-1
"CC90",2,5,3
"CC91",3,6,3
"CC92",1,2,1
"CC93",3,4,1
"CC94",3,2,-1
"CC95",3,2,-1
"CC96",3,3,0
"CC97",3,3,0
"CC98",3,6,3
"CC99",0,1,1
"CD10",3,2,-1
"CD11",3,1,-2
"CD12",0,2,2
"CD13",3,2,-1
"CD14",1,2,1
"CD15",0,2,2
"CD16",4,2,-2
"CD17",3,3,0
"CD18",2,1,-1
"CD20",1,2,1
"CD21",4,3,-1
"CD22",1,0,-1
"CD23",3,2,-1
"CD24",3,2,-1
"CD25",3,1,-2
"CD26",2,3,1
"CD27",0,1,1
"CD28",0,1,1
"CD29",3,1,-2
"CD30",0,1,1
"CD31",3,3,0
"CD32",3,4,1
"CD33",2,4,2
"CD34",3,3,0
"CD35",3,1,-2
"CD36",1,2,1
"CD37",3,2,-1
"CD38",3,2,-1
"CD39",2,4,2
"CD40",3,3,0
"CD41",3,3,0
"CD42",2,2,0
"CD43",3,4,1
"CD44",1,1,0
"CD45",2,3,1
"CD46",3,2,-1
"CD47",2,3,1
"CD48",2,1,-1
"CD49",1,2,1
"CD50",3,4,1
"CD51",0,1,1
"CD52",3,3,0
"CD53",2,2,0
"CD54",3,3,0
"CD55",3,2,-1
"CD56",3,1,-2
"CD57",4,3,-1
"CD58",1,0,-1
"CD59",1,2,1
"CD60",2,5,3
"CD61",1,2,1
"CD62",5,2,-3
