base_site,site_from,site_to,X,Y,predictor,predictor_label,coefficient,local_t,abs_local_t,direction,local_r2,trait_family,trait_value,n_species,model_set,supported,dominant_driver,dominant_direction
EB03,EB03,EB03,617499.4041724587,6347499.787013219,perc_pasture,Pasture,-0.0015132915988487774,-1.2362827660918305,1.2362827660918305,Negative,0.1682929844422263,Migratory strategy,sedentary and short-distance,31,single_predictor,FALSE,No supported driver,Not supported
EB04,EB04,EB04,617499.3770303854,6352499.760663346,prec_breeding,Precipitation,-0.0029865330330428007,-1.3210049300971713,1.3210049300971713,Negative,0.1988424669463001,Migratory strategy,sedentary and short-distance,31,single_predictor,FALSE,No supported driver,Not supported
EB06,EB06,EB06,622499.452476495,6342499.958876019,prec_breeding,Precipitation,-0.0029792450398455263,-1.3200718734971568,1.3200718734971568,Negative,0.18748499215327546,Migratory strategy,sedentary and short-distance,31,single_predictor,FALSE,No supported driver,Not supported
EB07,EB07,EB07,622499.340247113,6347499.802468584,prec_breeding,Precipitation,-0.0033594432728778108,-1.4433170307753977,1.4433170307753977,Negative,0.19331461530775523,Migratory strategy,sedentary and short-distance,31,single_predictor,FALSE,No supported driver,Not supported
EB08,EB08,EB08,622499.3295501823,6352499.804013868,prec_breeding,Precipitation,-0.0038411503969558915,-1.6015288672223376,1.6015288672223376,Negative,0.19877405720054256,Migratory strategy,sedentary and short-distance,31,single_predictor,FALSE,No supported driver,Not supported
EB10,EB10,EB10,627499.3598611797,6352499.809865731,prec_breeding,Precipitation,-0.004769406825412787,-1.86691298133474,1.86691298133474,Negative,0.1977887287217653,Migratory strategy,sedentary and short-distance,31,single_predictor,FALSE,No supported driver,Not supported
ED00,ED00,ED00,602500.0074655657,6252499.92582771,tmean_breeding,Temperature,0.018998343615741986,5.039173280540036,5.039173280540036,Positive,0.09383318847474537,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Temperature,Positive
ED01,ED01,ED01,602500.0069320137,6257499.875294123,tmean_breeding,Temperature,0.017348422715498607,4.101503173753229,4.101503173753229,Positive,0.091036625962261,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Temperature,Positive
ED02,ED02,ED02,602499.9632342183,6262499.97639951,tmean_breeding,Temperature,0.01503655776486601,3.202832121070838,3.202832121070838,Positive,0.08957566163064101,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Temperature,Positive
ED03,ED03,ED03,602500.0034894047,6267500.009511617,tmean_breeding,Temperature,0.012178411422220536,2.377694960263404,2.377694960263404,Positive,0.08925105956408572,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Temperature,Positive
ED12,ED12,ED12,607499.9846502618,6262499.948752708,tmean_breeding,Temperature,0.01784613134395928,3.9740282642926865,3.9740282642926865,Positive,0.08661532300422498,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Temperature,Positive
ED13,ED13,ED13,607500.0289460056,6267499.969510026,tmean_breeding,Temperature,0.015508611310984854,3.0658126020507948,3.0658126020507948,Positive,0.08566203690722116,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Temperature,Positive
ED21,ED21,ED21,612499.9999244057,6257499.948716197,tmean_breeding,Temperature,0.020911756502090775,5.706681444826051,5.706681444826051,Positive,0.09094927074661814,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Temperature,Positive
ED22,ED22,ED22,612500.0638923836,6262499.925191073,tmean_breeding,Temperature,0.020143319024426468,4.806374106194363,4.806374106194363,Positive,0.08690663893537644,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Temperature,Positive
ED23,ED23,ED23,612500.0489246127,6267500.053278171,tmean_breeding,Temperature,0.018595953887951933,3.8394266591197406,3.8394266591197406,Positive,0.08474236473919548,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Temperature,Positive
ED30,ED30,ED30,617500.0131436305,6252499.979232868,tmean_breeding,Temperature,0.02124362321163164,7.0434701702728875,7.0434701702728875,Positive,0.10512843415664724,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Temperature,Positive
