trait_family,trait_value,n_species,base_site,site_from,site_to,X,Y,local_r2,dominant_predictor,dominant_predictor_label,dominant_local_t,dominant_abs_local_t,supported,dominant_driver,dominant_direction
Foraging guild,Aquatic pursuers,6,DB33,DB33,DB33,567499.6483663965,6367499.730884405,0.11242564405513841,tmean_breeding,Temperature,2.498867026424176,2.498867026424176,TRUE,Temperature,Positive
Foraging guild,Aquatic pursuers,6,DB34,DB34,DB34,567499.6427126657,6372499.710880268,0.10969140042163462,tmean_breeding,Temperature,2.2631639938954224,2.2631639938954224,TRUE,Temperature,Positive
Foraging guild,Aquatic pursuers,6,DB35,DB35,DB35,567499.6318198992,6377499.728951592,0.10588160489452601,perc_forest,Forest,2.1057287505965507,2.1057287505965507,TRUE,Forest,Positive
Foraging guild,Aquatic pursuers,6,DB36,DB36,DB36,567499.676348217,6382499.674741831,0.10097045848613972,perc_forest,Forest,2.062181791968039,2.062181791968039,TRUE,Forest,Positive
Foraging guild,Aquatic pursuers,6,DB40,DB40,DB40,572499.6344654928,6352499.8530826,0.10569412393069708,tmean_breeding,Temperature,2.7996862710249752,2.7996862710249752,TRUE,Temperature,Positive
Foraging guild,Aquatic pursuers,6,DB41,DB41,DB41,572499.6216895938,6357499.864695008,0.1064067788799471,tmean_breeding,Temperature,2.640543847677045,2.640543847677045,TRUE,Temperature,Positive
Foraging guild,Aquatic pursuers,6,DB42,DB42,DB42,572499.5906535387,6362499.80320541,0.10558433130751925,tmean_breeding,Temperature,2.4439403635606665,2.4439403635606665,TRUE,Temperature,Positive
Foraging guild,Aquatic pursuers,6,DB43,DB43,DB43,572499.5984189146,6367499.780956781,0.1034985081871299,tmean_breeding,Temperature,2.2281997410455316,2.2281997410455316,TRUE,Temperature,Positive
Foraging guild,Aquatic pursuers,6,DB44,DB44,DB44,572499.5838254265,6372499.796851205,0.10065681822214138,perc_forest,Forest,2.0181311660276844,2.0181311660276844,TRUE,Forest,Positive
Foraging guild,Aquatic pursuers,6,DB45,DB45,DB45,572499.6077339851,6377499.740606079,0.09701830723248145,perc_forest,Forest,1.9876228070158932,1.9876228070158932,TRUE,Forest,Positive
Foraging guild,Aquatic pursuers,6,BD22,BD22,BD22,462500.04672205047,6262499.682150681,0.30716752973761496,perc_cropland,Cropland,-2.6828437901088846,2.6828437901088846,TRUE,Cropland,Negative
Foraging guild,Aquatic pursuers,6,DB46,DB46,DB46,572499.6071544627,6382499.722435604,0.09248193180027209,perc_forest,Forest,1.941166163888185,1.941166163888185,FALSE,No supported driver,Not supported
Foraging guild,Aquatic pursuers,6,DB52,DB52,DB52,577499.5523310879,6362499.807698655,0.09714468110717152,tmean_breeding,Temperature,2.1682535843376773,2.1682535843376773,TRUE,Temperature,Positive
Foraging guild,Aquatic pursuers,6,DB53,DB53,DB53,577499.5700187528,6367499.831857608,0.09505990052167654,tmean_breeding,Temperature,1.9607978543196738,1.9607978543196738,TRUE,Temperature,Positive
