trait_family,trait_value,n_species,model_set,predictor,n_rows,bandwidth_m,aicc,rss,local_r2_mean,local_r2_median,local_r2_max,max_abs_local_t,status
Foraging guild,Owls,5,single_predictor,Cropland,1776,100000,-13957.621883407262,0.03932330680785461,0.2685896861623648,0.21411239621594558,0.7522102567388698,4.974491341715518,ok
Foraging guild,Owls,5,single_predictor,Forest,1776,100000,-13909.324875063066,0.040378009195643154,0.25162679414603,0.18852146951350787,0.742423318335881,3.443826331411184,ok
Foraging guild,Owls,5,single_predictor,Grass/Shrubland,1776,100000,-13935.43826949479,0.0397838894754315,0.2593340116120873,0.19483468212760613,0.7573433877251754,3.9732080422324665,ok
Foraging guild,Owls,5,single_predictor,Pasture,1776,100000,-13914.882256458772,0.0402269626972276,0.2540464806695566,0.18631097066904828,0.78799270496626606,3.2570288858454024,ok
Foraging guild,Owls,5,single_predictor,Urban,1776,100000,-13911.72860193143,0.04034613923686786,0.25125656306054683,0.1840256895001403,0.7601975760480192,3.4270336139063047,ok
Foraging guild,Owls,5,single_predictor,Precipitation,1776,100000,-13939.82830371277,0.03977952808051005,0.25920894117571497,0.19248534016018592,0.8167423741209032,5.311259192088067,ok
Foraging guild,Owls,5,single_predictor,Temperature,1776,100000,-13927.644458936658,0.04017097245938395,0.25476165460868677,0.1918801919601117,0.7482188991976498,8.578214872979235,ok
Foraging guild,Passerine seedeaters,12,single_predictor,Land-use heterogeneity,1776,100000,-11404.521624356841,0.165547341179408,0.29026604089057534,0.27945007868854876,0.5887603031078303,5.601063909180346,ok
Foraging guild,Passerine seedeaters,12,single_predictor,Cropland,1776,100000,-11419.487109644297,0.16417736409468936,0.29725407699796724,0.2862227599223756,0.5983111695062401,6.697118181694592,ok
Foraging guild,Passerine seedeaters,12,single_predictor,Forest,1776,100000,-11366.555786468267,0.16902128633107671,0.27685866321905805,0.27000889436956876,0.5885700871734386,3.850293923279691,ok
