atlas,atlas_index,foraging_guild,n_species,mean_environment_explained,sd_environment_explained,mean_unexplained,sd_unexplained
1990s,2,Terns,5,0.4712600083518903,0.15172163521521959,0.5287399916481101,0.15172163521521964
2010s,3,Terns,5,0.6079391301971852,0.1695269078044763,0.3920608698028153,0.16952690780447624
1970s,1,Thrushes,4,0.2314731949809657,0.09552291339191864,0.768526805019035,0.09552291339191822
1990s,2,Thrushes,4,0.32955132251948055,0.19599900094660358,0.6704486774805197,0.19599900094660386
2010s,3,Thrushes,4,0.4174369909041312,0.10777237356278067,0.5825630090958689,0.10777237356278037
1970s,1,Tit-like birds,12,0.1735010779443975,0.0746943146314308,0.8264989220556027,0.07469431463143131
1990s,2,Tit-like birds,12,0.25129621073941505,0.14742702229485752,0.748703789260585,0.14742702229485766
2010s,3,Tit-like birds,12,0.29727177651282644,0.1155706820407194,0.7027282234871736,0.11557068204071913
1970s,1,Wading birds,2,0.37133417092780097,0.14364302652000183,0.6286658290721996,0.14364302652000244
1990s,2,Wading birds,2,0.3664313368644493,0.10136702241286734,0.6335686631355507,0.10136702241286746
2010s,3,Wading birds,2,0.43207908452983523,0.22145398145649392,0.5679209154701645,0.22145398145649528
1970s,1,Woodpeckers,5,0.3545440769455131,0.14149063716431257,0.645455923054487,0.14149063716431243
1990s,2,Woodpeckers,5,0.4167895700360465,0.22412513863458947,0.583210429963953,0.2241251386345898
2010s,3,Woodpeckers,5,0.37436459525293236,0.17305318042697598,0.6256354047470675,0.1730531804269763
