atlas,atlas_index,species,climate,land_use,environmental_variables,spatial_biotic_dependencies,total_explained,tjur_r2,scaling_check_abs_diff
1970s,1,Apus_apus,0.004234511814211378,0.06363416813006856,0.06786867994427993,0.18531305348652413,0.2531817334308041,0.253181733430804,5.551115123125783e-17
1970s,1,Caprimulgus_europaeus,0.01864545809087068,0.11855711215151366,0.13720257024238433,0.08564880184422195,0.22285137208660627,0.222851372086606,2.7755575615628914e-16
1970s,1,Anarhynchus_alexandrinus,0.0340327462068308,0.09801754498601621,0.132050291192847,0.07632484675354789,0.2083751379463949,0.208375137946395,1.1102230246251565e-16
1970s,1,Calidris_alpina,0.08714839211545239,0.08361529467702031,0.1707636867924727,0.267920752769087,0.43868443956155967,0.43868443956156,3.3306690738754696e-16
1970s,1,Calidris_pugnax,0.09907844248895098,0.058702501037514704,0.15778094352646568,0.31658013740152263,0.47436108092798834,0.474361080927988,3.3306690738754696e-16
1970s,1,Charadrius_dubius,0.002470031383673092,0.0377785539547075,0.04024858533838059,0.06154038579922043,0.10178897113760102,0.101788971137601,1.3877787807814457e-17
1970s,1,Charadrius_hiaticula,0.07006957904066038,0.250717317403409,0.32078689644406944,0.23560524533115978,0.5563921417752292,0.556392141775229,2.220446049250313e-16
1970s,1,Chlidonias_niger,0.02078560376030973,0.01663055198912103,0.03741615574943076,0.12486355799486515,0.1622797137442959,0.162279713744296,1.1102230246251565e-16
1970s,1,Chroicocephalus_ridibundus,0.004092862647936466,0.03215867151765288,0.03625153416558934,0.19639410126654164,0.232645635432131,0.232645635432131,0
1970s,1,Gallinago_gallinago,0.007939562211924132,0.028534637069726664,0.0364741992816508,0.2693053161168669,0.3057795153985177,0.305779515398518,2.7755575615628914e-16
1970s,1,Haematopus_ostralegus,0.10085461283813893,0.21907308878839865,0.3199277016265376,0.3197018774255814,0.639629579052119,0.639629579052119,0
1970s,1,Larus_argentatus,0.004434945876838628,0.11825999580651222,0.12269494168335085,0.181808409758047,0.30450335144139784,0.304503351441398,1.6653345369377348e-16
1970s,1,Larus_canus,0.005773108934873336,0.11880804351651787,0.1245811524513912,0.25237607862849676,0.376957231079888,0.376957231079888,0
1970s,1,Larus_fuscus,0.01175937520442056,0.08251216177284716,0.09427153697726773,0.03903242363731636,0.1333039606145841,0.133303960614584,1.1102230246251565e-16
1970s,1,Larus_marinus,0.006903869555809371,0.09361499073762465,0.10051886029343401,0.054809612360552,0.15532847265398603,0.155328472653986,2.7755575615628914e-17
1970s,1,Limosa_limosa,0.13833081837961655,0.06563359117602349,0.20396440955564005,0.26386087340835257,0.4678252829639926,0.467825282963993,3.885780586188048e-16
1970s,1,Numenius_arquata,0.07038835717944629,0.11284530330647657,0.18323366048592288,0.06931865099203703,0.2525523114779599,0.25255231147796,5.551115123125783e-17
1970s,1,Recurvirostra_avosetta,0.11303605433872801,0.15563040430791228,0.2686664586466403,0.2964197552326977,0.565086213879338,0.565086213879338,0
1970s,1,Scolopax_rusticola,0.03283662131289392,0.12636842163787806,0.15920504295077198,0.1308738608732197,0.2900789038239917,0.290078903823992,2.7755575615628914e-16
1970s,1,Sterna_hirundo,0.01673979453023198,0.10583786739559511,0.12257766192582709,0.17158793464388522,0.2941655965697123,0.294165596569712,3.3306690738754696e-16
1970s,1,Sterna_paradisaea,0.0390162260757113,0.2162009304793145,0.2552171565550258,0.2555598888627014,0.5107770454177272,0.510777045417727,2.220446049250313e-16
1970s,1,Sternula_albifrons,0.055981819368843555,0.15345818838614772,0.20944000775499128,0.12377984747706688,0.33321985523205816,0.333219855232058,1.6653345369377348e-16
1970s,1,Thalasseus_sandvicensis,0.02084607018468535,0.07895778095037469,0.09980385113506005,0.08580031011812114,0.1856041612531812,0.185604161253181,1.942890293094024e-16
