atlas,draw,trait_family,full_r2t_y,drop_r2t_y,contribution
1970s,18,Migratory strategy,0.2302067601561094,0.14197297936354555,0.08823378079256386
1970s,18,Foraging guild,0.2302067601561094,0.10391173647854149,0.12629502367756792
1970s,19,Species thermal index,0.17830600234766272,0.16000125206271587,0.018304750284946852
1970s,19,Migratory strategy,0.17830600234766272,0.10953177281596575,0.06877422953169697
1970s,19,Foraging guild,0.17830600234766272,0.08819243343413215,0.09011356891353058
1970s,20,Species thermal index,0.15448634109044915,0.12853688666822044,0.025949454422228707
1970s,20,Migratory strategy,0.15448634109044915,0.07390384281504897,0.08058249827540018
1970s,20,Foraging guild,0.15448634109044915,0.11836297866460382,0.03612336242584532
1970s,21,Species thermal index,0.18934500500813423,0.17800665431882065,0.011338350689313575
1970s,21,Migratory strategy,0.18934500500813423,0.07252419570261226,0.11682080930552197
1970s,21,Foraging guild,0.18934500500813423,0.1043532154036517,0.08499178960448253
1970s,22,Species thermal index,0.1319806705703515,0.12285918556138582,0.009121485008965688
1970s,22,Migratory strategy,0.1319806705703515,0.051124240480789264,0.08085643008956225
1970s,22,Foraging guild,0.1319806705703515,0.0993205009532576,0.032660169617093907
1970s,23,Species thermal index,0.09462736969819362,0.0662811754230928,0.028346194275100822
1970s,23,Migratory strategy,0.09462736969819362,0.03324881781686659,0.06137855188132703
1970s,23,Foraging guild,0.09462736969819362,0.13326095532283389,-0.03863358562464027
1970s,24,Species thermal index,0.1528800568269084,0.14394307888650157,0.00893697794040682
1970s,24,Migratory strategy,0.1528800568269084,0.07214551320625062,0.08073454362065777
1970s,24,Foraging guild,0.1528800568269084,0.0773452794704573,0.07553477735645109
1970s,25,Species thermal index,0.16660304837853523,0.15649550136067783,0.010107547017857405
1970s,25,Migratory strategy,0.16660304837853523,0.05895840162156366,0.10764464675697158
1970s,25,Foraging guild,0.16660304837853523,0.09184526783104921,0.07475778054748602
1970s,26,Species thermal index,0.15849913196328602,0.17280941899383404,-0.014310287030548013
1970s,26,Migratory strategy,0.15849913196328602,0.09128195686797769,0.06721717509530833
1970s,26,Foraging guild,0.15849913196328602,0.05207970403890676,0.10641942792437926
1970s,27,Species thermal index,0.02919224834206368,0.03235330208360626,-0.0031610537415425813
1970s,27,Migratory strategy,0.02919224834206368,0.010542683252084642,0.018649565089979038
1970s,27,Foraging guild,0.02919224834206368,0.03874863943422419,-0.009556391092160513
1970s,28,Species thermal index,0.14527786827710754,0.14399390767084494,0.0012839606062625963
1970s,28,Migratory strategy,0.14527786827710754,0.08144806557320543,0.06382980270390211
1970s,28,Foraging guild,0.14527786827710754,0.07745911860629727,0.06781874967081027
1970s,29,Species thermal index,0.19947267346985642,0.19319976085958512,0.006272912610271297
1970s,29,Migratory strategy,0.19947267346985642,0.1339572636215031,0.06551540984835333
1970s,29,Foraging guild,0.19947267346985642,0.09608735532081812,0.1033853181490383
1970s,30,Species thermal index,0.26826968137140655,0.248433484667929,0.019836196703477554
1970s,30,Migratory strategy,0.26826968137140655,0.15208055498084241,0.11618912639056414
1970s,30,Foraging guild,0.26826968137140655,0.11776925455133704,0.15050042682006953
1970s,31,Species thermal index,0.10764165695177687,0.09978904467371882,0.007852612278058044
1970s,31,Migratory strategy,0.10764165695177687,0.041269153993366746,0.06637250295841013
1970s,31,Foraging guild,0.10764165695177687,0.11905748704176626,-0.011415830089989393
1970s,32,Species thermal index,0.1863050275702592,0.1809340349922932,0.0053709925779659995
1970s,32,Migratory strategy,0.1863050275702592,0.0882826075349144,0.09802242003534481
1970s,32,Foraging guild,0.1863050275702592,0.10150304361668407,0.08480198395357515
1970s,33,Species thermal index,0.15731940968334018,0.15222420989511054,0.005095199788229643
1970s,33,Migratory strategy,0.15731940968334018,0.11111042754109542,0.04620898214224477
1970s,33,Foraging guild,0.15731940968334018,0.07820634907825605,0.07911306060508413
1970s,34,Species thermal index,0.12032062014014262,0.1093719454479782,0.010948674692164428
1970s,34,Migratory strategy,0.12032062014014262,0.03267103694763378,0.08764958319250885
1970s,34,Foraging guild,0.12032062014014262,0.10774709760884564,0.012573522531296982
1970s,35,Species thermal index,0.03886813726768394,0.029972039723859072,0.00889609754382487
1970s,35,Migratory strategy,0.03886813726768394,0.02059884417075702,0.01826929309692692
1970s,35,Foraging guild,0.03886813726768394,0.06794546841146333,-0.02907733114377939
1970s,36,Species thermal index,0.1529541623416084,0.15561926600376955,-0.0026651036621611335
1970s,36,Migratory strategy,0.1529541623416084,0.08907803472807459,0.06387612761353383
1970s,36,Foraging guild,0.1529541623416084,0.1136571098019158,0.03929705253969261
1970s,37,Species thermal index,0.0745038642232753,0.06880969324656803,0.005694170976707269
1970s,37,Migratory strategy,0.0745038642232753,0.058163154680163046,0.01634070954311226
1970s,37,Foraging guild,0.0745038642232753,0.034710985845717586,0.03979287837755772
1970s,38,Species thermal index,0.169182430878718,0.15304793098421862,0.016134499894499388
1970s,38,Migratory strategy,0.169182430878718,0.10655998129503645,0.06262244958368156
1970s,38,Foraging guild,0.169182430878718,0.09344493414784051,0.0757374967308775
1970s,39,Species thermal index,0.12370106930171053,0.10723834351068712,0.01646272579102341
1970s,39,Migratory strategy,0.12370106930171053,0.059687945660314344,0.06401312364139619
1970s,39,Foraging guild,0.12370106930171053,0.09352406933811208,0.030176999963598447
