atlas,period,survey,site,X,Y,bioregion,nearest_distance,second_distance,assignment_margin
1,1970,DB35_1,DB35,567499.6318198992,6377499.728951592,Cluster 2,0.04767972622473096,0.17363457364437893,0.12595484741964796
1,1970,DB36_1,DB36,567499.676348217,6382499.674741831,Cluster 2,0.13751065872913373,0.18048830609506497,0.04297764736593124
1,1970,DB40_1,DB40,572499.6344654928,6352499.8530826,Cluster 3,0.10808316747214422,0.1468407312127331,0.03875756374058889
1,1970,DB41_1,DB41,572499.6216895938,6357499.864695008,Cluster 2,0.13230092269365423,0.23015136965610586,0.09785044696245163
1,1970,DB42_1,DB42,572499.5906535387,6362499.80320541,Cluster 2,0.11280278328092494,0.19062206885194596,0.07781928557102102
1,1970,DB43_1,DB43,572499.5984189146,6367499.780956781,Cluster 2,0.06640212457174188,0.13657092013182753,0.07016879556008565
1,1970,DB44_1,DB44,572499.5838254265,6372499.796851205,Cluster 3,0.11793609413574588,0.11996442960192698,0.0020283354661811
1,1970,DB45_1,DB45,572499.6077339851,6377499.740606079,Cluster 2,0.09226226532944702,0.15664238451379298,0.06438011918434595
1,1970,BD22_1,BD22,462500.04672205047,6262499.682150681,Cluster 2,0.14366111382812724,0.2575832884060621,0.11392217457793485
1,1970,DB46_1,DB46,572499.6071544627,6382499.722435604,Cluster 1,0.3742977596086899,0.3787237553042438,0.004425995695553908
1,1970,DB52_1,DB52,577499.5523310879,6362499.807698655,Cluster 2,0.11759538182875746,0.1602202111183768,0.042624829289619345
1,1970,DB53_1,DB53,577499.5700187528,6367499.831857608,Cluster 2,0.07426616261462005,0.19161181530930418,0.11734565269468414
1,1970,DB54_1,DB54,577499.5493575014,6372499.782863706,Cluster 2,0.12996516320817117,0.17267247409821274,0.04270731089004157
1,1970,DB55_1,DB55,577499.5492296974,6377499.66181914,Cluster 2,0.13049891716496298,0.14023560622824438,0.0097366890632814
1,1970,DB56_1,DB56,577499.5641771164,6382499.691316109,Cluster 1,0.10779006752400883,0.12003473752873081,0.012244670004721986
1,1970,DB57_1,DB57,577499.537492288,6387499.64755162,Cluster 2,0.13616132285527852,0.15696938708409836,0.02080806422881984
1,1970,DB60_1,DB60,582499.5631405126,6352499.870773819,Cluster 2,0.04608935770350133,0.15072438412798497,0.10463502642448363
1,1970,DB62_1,DB62,582499.4927491389,6362499.801014301,Cluster 2,0.035636330945274415,0.16392605368647292,0.12828972274119851
1,1970,DB63_1,DB63,582499.5234498292,6367499.770816479,Cluster 2,0.07539136255543152,0.20593888797236526,0.13054752541693374
1,1970,DB64_1,DB64,582499.4955886239,6372499.778775646,Cluster 2,0.10886268555541662,0.15549886312315472,0.04663617756773811
1,1970,DB65_1,DB65,582499.4702860015,6377499.714756137,Cluster 1,0.10949339128794107,0.17339956010844293,0.06390616882050186
1,1970,DB66_1,DB66,582499.5038627629,6382499.691246823,Cluster 2,0.13935605835770531,0.19029746548756837,0.05094140712986306
1,1970,DB67_1,DB67,582499.4776775325,6387499.594470724,Cluster 1,0.11120338328545287,0.1981062653634252,0.08690288207797234
1,1970,DB68_1,DB68,582499.4481154357,6392499.536917151,Cluster 1,0.3094223572904745,0.4069807308017652,0.09755837351129071
1,1970,DB70_1,DB70,587499.5384229121,6352499.942973814,Cluster 1,0.16022113127114357,0.17979904531907845,0.01957791404793488
1,1970,DB71_1,DB71,587499.4899705768,6357499.898755164,Cluster 2,0.1849919069768238,0.2671488720451829,0.0821569650683591
1,1970,DB72_1,DB72,587499.4900431393,6362499.784009084,Cluster 2,0.09068783237216728,0.10560948702749938,0.0149216546553321
