variable,trait_family,trait_value,n,n_species,r_squared,slope,direction,p_value,significance,variable_clean,sig_label
hh,Migratory strategy,sedentary and short-distance,93,31,0.01601708648965902,0.0010758694844432268,increasing,0.22672121103295925,ns,"Habitat
heterogeneity",
hh,Migratory strategy,sedentary,105,35,0.02295543155185147,0.0010072792013726267,increasing,0.12286534809645912,ns,"Habitat
heterogeneity",
perc_urban,Migratory strategy,long-distance,132,44,0.012724768492970006,0.0018822260935541168,increasing,0.19781262161884094,ns,Urban,
perc_urban,Migratory strategy,short-and long-distance,24,8,0.048824017230908096,-0.0019681903358228768,decreasing,0.29945875541293043,ns,Urban,
perc_urban,Migratory strategy,short-distance,117,39,0.020924344091760645,0.0022596756372455042,increasing,0.1196955606503415,ns,Urban,
perc_urban,Migratory strategy,sedentary and short-distance,93,31,0.023500063415130338,0.0027894621055043877,increasing,0.14236575242008473,ns,Urban,
perc_urban,Migratory strategy,sedentary,105,35,0.052497871277853825,0.005948744691643035,increasing,0.01871863942639923,*,Urban,*
perc_cropland,Migratory strategy,long-distance,132,44,0.00688224011149001,0.001948203263978006,increasing,0.34430396916324835,ns,Cropland,
perc_cropland,Migratory strategy,short-and long-distance,24,8,0.0867903963891568,0.006826932864418078,increasing,0.16227985627157368,ns,Cropland,
perc_cropland,Migratory strategy,short-distance,117,39,0.002763533100326761,0.0014950581163072026,increasing,0.5734972325619352,ns,Cropland,
perc_cropland,Migratory strategy,sedentary and short-distance,93,31,0.0019745515487900075,0.001129106470734321,increasing,0.6723405732426893,ns,Cropland,
perc_cropland,Migratory strategy,sedentary,105,35,0.037032871890249064,0.0036205990318599513,increasing,0.04921379727818638,*,Cropland,*
perc_pasture,Migratory strategy,long-distance,132,44,0.081668736540269,0.002171502876698416,increasing,8.948443673406352e-4,***,Pasture,***
perc_pasture,Migratory strategy,short-and long-distance,24,8,0.1955973715012716,0.001981751896358116,increasing,0.030465623985806427,*,Pasture,*
perc_pasture,Migratory strategy,short-distance,117,39,0.08546700749070628,0.003721677716962413,increasing,0.0013817026712085855,**,Pasture,**
perc_pasture,Migratory strategy,sedentary and short-distance,93,31,0.09675596087343025,0.0021425586995214253,increasing,0.002406863137376593,**,Pasture,**
perc_pasture,Migratory strategy,sedentary,105,35,0.003758672694082734,1.4445786056742598e-4,increasing,0.5344121515556198,ns,Pasture,
perc_forest,Migratory strategy,long-distance,132,44,0.015697509887426374,0.004431532287802402,increasing,0.1523084648118146,ns,Forest,
perc_forest,Migratory strategy,short-and long-distance,24,8,0.025622494606450993,0.0036929658033323736,increasing,0.45496910050030015,ns,Forest,
perc_forest,Migratory strategy,short-distance,117,39,0.04754761981446288,0.008132986435125706,increasing,0.018187078634062777,*,Forest,*
perc_forest,Migratory strategy,sedentary and short-distance,93,31,0.010355079977339308,0.004035177936593233,increasing,0.33175390150475204,ns,Forest,
perc_forest,Migratory strategy,sedentary,105,35,0.02883589222170756,0.006952751000078268,increasing,0.08330551466885375,.,Forest,.
perc_grass_shrub,Migratory strategy,long-distance,132,44,0.030715269577895055,8.307050321073695e-4,increasing,0.0444320989885274,*,"Grass/
shrubland",*
perc_grass_shrub,Migratory strategy,short-and long-distance,24,8,0.06602222450566615,0.0012799494671131546,increasing,0.2254881480767523,ns,"Grass/
shrubland",
perc_grass_shrub,Migratory strategy,short-distance,117,39,0.0075910121886990515,6.872819335323604e-4,increasing,0.35026485844882094,ns,"Grass/
shrubland",
perc_grass_shrub,Migratory strategy,sedentary and short-distance,93,31,0.07002764606225094,0.0011279875567840594,increasing,0.010367362086347068,*,"Grass/
shrubland",*
perc_grass_shrub,Migratory strategy,sedentary,105,35,0.018225020222698455,6.661557232561962e-4,increasing,0.16972919111310966,ns,"Grass/
shrubland",
tmean_breeding,Foraging guild,Passerine seedeaters,36,12,0.005686345456180143,4.7473097080644655e-4,increasing,0.6620367948553989,ns,Temperature,
tmean_breeding,Foraging guild,Tit-like birds,36,12,2.3840194813178512e-4,-4.105190868544071e-4,decreasing,0.9287820310435648,ns,Temperature,
tmean_breeding,Foraging guild,Foliage gleaners,27,9,0.03743894305966653,7.465532213809963e-4,increasing,0.33353583871781467,ns,Temperature,
tmean_breeding,Foraging guild,Low flycatching feeders,27,9,0.0011106687894094026,-4.379632276800111e-4,decreasing,0.8689267531807101,ns,Temperature,
tmean_breeding,Foraging guild,Scolopacids,27,9,0.0791583786296213,-0.011895081716824688,decreasing,0.15512158462296102,ns,Temperature,
tmean_breeding,Foraging guild,Dabbling ducks,21,7,0.0010295642472397323,0.0010175025237434924,increasing,0.890183897968911,ns,Temperature,
tmean_breeding,Foraging guild,Diurnal raptors,21,7,0.033200642652564914,-0.007523712776652739,decreasing,0.4292268109196574,ns,Temperature,
tmean_breeding,Foraging guild,Omnivorous corvids,21,7,4.0092402858896675e-5,-4.1069718924093555e-4,decreasing,0.9782686452652074,ns,Temperature,
tmean_breeding,Foraging guild,Aquatic pursuers,18,6,0.27880458800533187,0.0013105292801870003,increasing,0.024299001652227734,*,Temperature,*
tmean_breeding,Foraging guild,Marsh warblers,18,6,0.18838983301554696,0.007993280088165624,increasing,0.0719095932997255,.,Temperature,.
