variable,species,vp_from,vp_to,from_atlas,to_atlas,comparison,vp_delta,delta_direction,species_label,species_thermal_index,thermal_group,migratory_strategy,foraging_guild,variable_clean
tmean_breeding,Aythya_ferina,0.001993933836968068,0.004745428693167333,1,3,1970s to 2010s,0.002751494856199265,increase,Aythya ferina,12.445391892,warm,short-distance,Diving ducks,Temperature
tmean_breeding,Aythya_fuligula,0.0012477186800056526,0.002041000110104449,1,3,1970s to 2010s,7.932814300987963e-4,increase,Aythya fuligula,10.1385920012,very cold,short-distance,Diving ducks,Temperature
tmean_breeding,Cygnus_olor,0.019610522759694507,0.0032806401653290487,1,3,1970s to 2010s,-0.016329882594365457,decrease,Cygnus olor,12.1899516659,medium,sedentary and short-distance,Grazing waterfowl,Temperature
tmean_breeding,Mareca_strepera,0.0023153691765016166,0.0336132826550956,1,3,1970s to 2010s,0.03129791347859398,increase,Mareca strepera,12.5158986156,warm,short-distance,Dabbling ducks,Temperature
tmean_breeding,Mergus_merganser,5.894596549761776e-4,0.0022635018904386683,1,3,1970s to 2010s,0.0016740422354624908,increase,Mergus merganser,7.9118621485,very cold,short-distance,Aquatic pursuers,Temperature
tmean_breeding,Mergus_serrator,0.003438548889027368,0.006160124092161117,1,3,1970s to 2010s,0.002721575203133749,increase,Mergus serrator,7.3724850113,very cold,short-distance,Aquatic pursuers,Temperature
tmean_breeding,Somateria_mollissima,0.0014322721205574335,0.010683907018662451,1,3,1970s to 2010s,0.009251634898105017,increase,Somateria mollissima,8.1688294838,very cold,short-distance,Diving ducks,Temperature
tmean_breeding,Spatula_clypeata,0.03608764726450749,0.02762419408361494,1,3,1970s to 2010s,-0.008463453180892554,decrease,Spatula clypeata,11.7556216717,cold,short-distance,Dabbling ducks,Temperature
tmean_breeding,Spatula_querquedula,0.031410536006295196,0.05146127102733305,1,3,1970s to 2010s,0.020050735021037852,increase,Spatula querquedula,12.389627827,warm,long-distance,Dabbling ducks,Temperature
tmean_breeding,Tadorna_tadorna,0.009935465843530653,0.007781674693329468,1,3,1970s to 2010s,-0.0021537911502011843,decrease,Tadorna tadorna,12.0434493446,medium,short-distance,Dabbling ducks,Temperature
tmean_breeding,Apus_apus,0.002404784108854153,0.0017841605201601993,1,3,1970s to 2010s,-6.206235886939539e-4,decrease,Apus apus,12.4470483242,warm,long-distance,Aerial insectivores,Temperature
tmean_breeding,Caprimulgus_europaeus,0.0016166620004945441,0.007311092291296176,1,3,1970s to 2010s,0.005694430290801632,increase,Caprimulgus europaeus,13.110333547,very warm,long-distance,Nigthjars,Temperature
tmean_breeding,Anarhynchus_alexandrinus,0.015055206733636006,0.039223365085788164,1,3,1970s to 2010s,0.024168158352152157,increase,Anarhynchus alexandrinus,16.3071703744,very warm,short-and long-distance,Plovers,Temperature
tmean_breeding,Calidris_alpina,0.048626576336386514,0.015822307365412867,1,3,1970s to 2010s,-0.032804268970973646,decrease,Calidris alpina,7.0663752664,very cold,long-distance,Scolopacids,Temperature
tmean_breeding,Calidris_pugnax,0.08501006733164458,0.014185173557202302,1,3,1970s to 2010s,-0.07082489377444227,decrease,Calidris pugnax,7.9732949741,very cold,long-distance,Scolopacids,Temperature
tmean_breeding,Charadrius_dubius,0.0016653703642519866,5.999855114954468e-4,1,3,1970s to 2010s,-0.0010653848527565398,decrease,Charadrius dubius,12.7729324864,warm,short-and long-distance,Plovers,Temperature
tmean_breeding,Charadrius_hiaticula,0.04322254070227566,0.017308661763004125,1,3,1970s to 2010s,-0.025913878939271533,decrease,Charadrius hiaticula,8.2214626932,very cold,short-distance,Plovers,Temperature
tmean_breeding,Chlidonias_niger,0.014234825212339557,0.02287440381501613,1,3,1970s to 2010s,0.008639578602676572,increase,Chlidonias niger,13.0082465521,very warm,long-distance,Terns,Temperature
tmean_breeding,Chroicocephalus_ridibundus,0.0021535377564325443,0.006030134380906114,1,3,1970s to 2010s,0.00387659662447357,increase,Chroicocephalus ridibundus,11.0679667544,cold,short-distance,Gulls,Temperature
tmean_breeding,Gallinago_gallinago,0.005313618550863673,0.004980690450166001,1,3,1970s to 2010s,-3.329281006976721e-4,decrease,Gallinago gallinago,10.2670472691,very cold,short-distance,Scolopacids,Temperature
tmean_breeding,Haematopus_ostralegus,0.07330089635763573,0.029949382028676058,1,3,1970s to 2010s,-0.04335151432895967,decrease,Haematopus ostralegus,10.4739718085,very cold,short-distance,Plovers,Temperature
tmean_breeding,Larus_argentatus,0.0024686887261305868,0.003741467645157907,1,3,1970s to 2010s,0.0012727789190273204,increase,Larus argentatus,9.0583381929,very cold,sedentary and short-distance,Gulls,Temperature
tmean_breeding,Larus_canus,0.0019926524240080363,0.006940933471729684,1,3,1970s to 2010s,0.0049482810477216475,increase,Larus canus,8.5740563147,very cold,sedentary and short-distance,Gulls,Temperature
tmean_breeding,Larus_fuscus,0.004308955993953674,0.0016982959611751536,1,3,1970s to 2010s,-0.0026106600327785207,decrease,Larus fuscus,8.9178677716,very cold,short-and long-distance,Gulls,Temperature
tmean_breeding,Larus_marinus,0.002370209974946562,0.008655342504968399,1,3,1970s to 2010s,0.006285132530021836,increase,Larus marinus,8.3694639418,very cold,sedentary and short-distance,Gulls,Temperature
tmean_breeding,Limosa_limosa,0.13530329978425,0.06848601161060887,1,3,1970s to 2010s,-0.06681728817364112,decrease,Limosa limosa,12.0468335512,medium,long-distance,Scolopacids,Temperature
tmean_breeding,Numenius_arquata,0.023450560663436284,0.018064131927212967,1,3,1970s to 2010s,-0.005386428736223317,decrease,Numenius arquata,10.0493203009,very cold,short-distance,Scolopacids,Temperature
tmean_breeding,Recurvirostra_avosetta,0.06416440744879795,0.06510161679519726,1,3,1970s to 2010s,9.372093463993064e-4,increase,Recurvirostra avosetta,14.5831200661,very warm,short-and long-distance,Plovers,Temperature
tmean_breeding,Scolopax_rusticola,0.018192785781183038,0.0020781097875671403,1,3,1970s to 2010s,-0.016114675993615896,decrease,Scolopax rusticola,10.6010955955,very cold,sedentary and short-distance,Scolopacids,Temperature
tmean_breeding,Sterna_hirundo,0.014864689376272892,0.01971074978053673,1,3,1970s to 2010s,0.004846060404263837,increase,Sterna hirundo,11.4396148713,cold,long-distance,Terns,Temperature
tmean_breeding,Sterna_paradisaea,0.029797531830676245,0.022368166944293548,1,3,1970s to 2010s,-0.007429364886382697,decrease,Sterna paradisaea,6.7214988279,very cold,long-distance,Terns,Temperature
tmean_breeding,Sternula_albifrons,0.039271447475312554,0.016120461695546352,1,3,1970s to 2010s,-0.023150985779766202,decrease,Sternula albifrons,13.6554594356,very warm,long-distance,Terns,Temperature
tmean_breeding,Thalasseus_sandvicensis,0.016978069257396814,0.003676331409747228,1,3,1970s to 2010s,-0.013301737847649587,decrease,Thalasseus sandvicensis,12.309341223,medium,short-and long-distance,Terns,Temperature
tmean_breeding,Tringa_glareola,0.018970012712995362,0.009797076628646548,1,3,1970s to 2010s,-0.009172936084348814,decrease,Tringa glareola,7.6706167812,very cold,long-distance,Scolopacids,Temperature
tmean_breeding,Tringa_ochropus,0.010436475050824569,0.010794891754384878,1,3,1970s to 2010s,3.5841670356030926e-4,increase,Tringa ochropus,9.8785200822,very cold,short-and long-distance,Scolopacids,Temperature
tmean_breeding,Tringa_totanus,0.06426743661115486,0.051250968838692984,1,3,1970s to 2010s,-0.013016467772461876,decrease,Tringa totanus,11.0359375128,cold,short-distance,Scolopacids,Temperature
tmean_breeding,Vanellus_vanellus,0.011159789260819002,6.402728894300637e-4,1,3,1970s to 2010s,-0.010519516371388938,decrease,Vanellus vanellus,11.532605723,cold,short-distance,Plovers,Temperature
tmean_breeding,Columba_oenas,0.006882581994703141,0.00203560063482738,1,3,1970s to 2010s,-0.0048469813598757605,decrease,Columba oenas,12.4358174295,warm,short-distance,Columbids,Temperature
tmean_breeding,Columba_palumbus,8.749182097273144e-4,0.0026946361595627934,1,3,1970s to 2010s,0.001819717949835479,increase,Columba palumbus,12.2214205187,medium,sedentary and short-distance,Columbids,Temperature
tmean_breeding,Streptopelia_decaocto,0.0024009679981254707,6.865194306397206e-4,1,3,1970s to 2010s,-0.0017144485674857502,decrease,Streptopelia decaocto,12.9162282666,warm,sedentary,Columbids,Temperature
tmean_breeding,Streptopelia_turtur,0.014634154972280756,0.06880183728526677,1,3,1970s to 2010s,0.05416768231298602,increase,Streptopelia turtur,13.7662137901,very warm,long-distance,Columbids,Temperature
tmean_breeding,Alcedo_atthis,0.003827371786394517,0.003478796741368646,1,3,1970s to 2010s,-3.485750450258713e-4,decrease,Alcedo atthis,13.5319163712,very warm,sedentary,Kingfishers,Temperature
tmean_breeding,Cuculus_canorus,0.003805672449208518,0.014663072856261119,1,3,1970s to 2010s,0.0108574004070526,increase,Cuculus canorus,12.1394391784,medium,long-distance,Cuckoos,Temperature
tmean_breeding,Falco_tinnunculus,0.0026060212804847665,0.0010797613064099834,1,3,1970s to 2010s,-0.0015262599740747832,decrease,Falco tinnunculus,12.4263636442,warm,sedentary and short-distance,Diurnal raptors,Temperature
tmean_breeding,Coturnix_coturnix,9.942437929910267e-4,0.013279800147979953,1,3,1970s to 2010s,0.012285556354988927,increase,Coturnix coturnix,13.6002736383,very warm,short-and long-distance,Gallinaceous birds,Temperature
tmean_breeding,Perdix_perdix,5.141378867047246e-4,9.439406087085754e-4,1,3,1970s to 2010s,4.2980272200385077e-4,increase,Perdix perdix,12.8463889005,warm,sedentary,Gallinaceous birds,Temperature
tmean_breeding,Crex_crex,4.795209375851967e-4,0.003641226494983818,1,3,1970s to 2010s,0.003161705557398621,increase,Crex crex,11.9688491073,medium,long-distance,Rails,Temperature
tmean_breeding,Fulica_atra,6.021122460996469e-4,0.003260003928646251,1,3,1970s to 2010s,0.002657891682546604,increase,Fulica atra,12.9624637063,warm,sedentary and short-distance,Rails,Temperature
tmean_breeding,Gallinula_chloropus,4.410697978137719e-4,8.201752169517298e-4,1,3,1970s to 2010s,3.791054191379579e-4,increase,Gallinula chloropus,13.3437206998,very warm,sedentary and short-distance,Rails,Temperature
tmean_breeding,Porzana_porzana,0.010708610975365735,0.015550001073108182,1,3,1970s to 2010s,0.004841390097742447,increase,Porzana porzana,12.4064941754,warm,long-distance,Rails,Temperature
tmean_breeding,Rallus_aquaticus,9.611519057713733e-4,0.011177288861842691,1,3,1970s to 2010s,0.010216136956071318,increase,Rallus aquaticus,13.3215188918,very warm,sedentary and short-distance,Rails,Temperature
tmean_breeding,Acanthis_flammea,0.005632849101742157,0.025512412494358837,1,3,1970s to 2010s,0.019879563392616678,increase,Acanthis flammea,8.1923087262,very cold,short-distance,Passerine seedeaters,Temperature
tmean_breeding,Acrocephalus_arundinaceus,0.0011527416356949636,0.003359540065536724,1,3,1970s to 2010s,0.0022067984298417605,increase,Acrocephalus arundinaceus,13.8793523116,very warm,long-distance,Marsh warblers,Temperature
tmean_breeding,Acrocephalus_palustris,0.0029960796452138333,0.018072348382414297,1,3,1970s to 2010s,0.015076268737200464,increase,Acrocephalus palustris,12.248077272,medium,long-distance,Marsh warblers,Temperature
tmean_breeding,Acrocephalus_schoenobaenus,0.01244985100657366,0.036185202412960506,1,3,1970s to 2010s,0.023735351406386846,increase,Acrocephalus schoenobaenus,11.3913898283,cold,long-distance,Marsh warblers,Temperature
tmean_breeding,Acrocephalus_scirpaceus,0.013789388750068136,0.05253440207314617,1,3,1970s to 2010s,0.03874501332307803,increase,Acrocephalus scirpaceus,13.1524057431,very warm,long-distance,Marsh warblers,Temperature
tmean_breeding,Aegithalos_caudatus,0.01278433905582197,0.00949885010415391,1,3,1970s to 2010s,-0.00328548895166806,decrease,Aegithalos caudatus,12.6607518772,warm,sedentary,Tit-like birds,Temperature
tmean_breeding,Alauda_arvensis,0.0033881614091418964,0.0025684681842786028,1,3,1970s to 2010s,-8.196932248632936e-4,decrease,Alauda arvensis,12.1983199326,medium,sedentary and short-distance,Open-land insectivores,Temperature
tmean_breeding,Anthus_pratensis,0.036534877114990795,0.025750071542075297,1,3,1970s to 2010s,-0.010784805572915498,decrease,Anthus pratensis,9.9487726902,very cold,short-distance,Open-land insectivores,Temperature
tmean_breeding,Anthus_trivialis,8.268597768968262e-4,0.001181667193320005,1,3,1970s to 2010s,3.5480741642317877e-4,increase,Anthus trivialis,11.2439352645,cold,long-distance,Low flycatching feeders,Temperature
tmean_breeding,Carduelis_carduelis,0.0016687487561872075,0.004788000747604222,1,3,1970s to 2010s,0.0031192519914170144,increase,Carduelis carduelis,13.4542440183,very warm,sedentary and short-distance,Passerine seedeaters,Temperature
tmean_breeding,Carpodacus_erythrinus,0.011937734458680262,0.0017768521982366183,1,3,1970s to 2010s,-0.010160882260443644,decrease,Carpodacus erythrinus,10.348256227,very cold,long-distance,Passerine seedeaters,Temperature
tmean_breeding,Certhia_brachydactyla,0.04349030877200937,0.04888380054758768,1,3,1970s to 2010s,0.00539349177557831,increase,Certhia brachydactyla,13.8972978687,very warm,sedentary,Tit-like birds,Temperature
tmean_breeding,Certhia_familiaris,0.008607944813543267,0.001992637336734613,1,3,1970s to 2010s,-0.006615307476808654,decrease,Certhia familiaris,11.119463211,cold,sedentary,Tit-like birds,Temperature
tmean_breeding,Chloris_chloris,0.003466030583184388,7.804250549657722e-4,1,3,1970s to 2010s,-0.0026856055282186157,decrease,Chloris chloris,12.6006224966,warm,sedentary and short-distance,Passerine seedeaters,Temperature
tmean_breeding,Cinclus_cinclus,0.003996308201482984,0.0013209592513134937,1,3,1970s to 2010s,-0.00267534895016949,decrease,Cinclus cinclus,11.0150016531,cold,short-distance,Dippers,Temperature
tmean_breeding,Coccothraustes_coccothraustes,8.723054883543676e-4,0.005549489188322893,1,3,1970s to 2010s,0.0046771836999685255,increase,Coccothraustes coccothraustes,12.9763477132,warm,sedentary,Passerine seedeaters,Temperature
tmean_breeding,Coloeus_monedula,0.006700826889924877,0.004620438117804619,1,3,1970s to 2010s,-0.002080388772120258,decrease,Coloeus monedula,12.9581704982,warm,sedentary and short-distance,Omnivorous corvids,Temperature
tmean_breeding,Corvus_corax,0.024460640162787668,0.008343721288200365,1,3,1970s to 2010s,-0.016116918874587303,decrease,Corvus corax,11.7378412998,cold,sedentary,Omnivorous corvids,Temperature
tmean_breeding,Corvus_cornix,7.117966362382253e-4,0.008206120108008653,1,3,1970s to 2010s,0.007494323471770428,increase,Corvus cornix,12.1293990446,medium,sedentary,Omnivorous corvids,Temperature
tmean_breeding,Corvus_corone,0.1191398640858368,0.12906834237760456,1,3,1970s to 2010s,0.009928478291767767,increase,Corvus corone,12.1293990446,medium,sedentary,Omnivorous corvids,Temperature
tmean_breeding,Corvus_frugilegus,0.026544461043781897,0.017600985491374153,1,3,1970s to 2010s,-0.008943475552407744,decrease,Corvus frugilegus,12.7340640684,warm,sedentary,Omnivorous corvids,Temperature
tmean_breeding,Curruca_communis,0.003431114043389481,0.00319170256599481,1,3,1970s to 2010s,-2.3941147739467124e-4,decrease,Curruca communis,12.6535890847,warm,long-distance,Foliage gleaners,Temperature
tmean_breeding,Curruca_curruca,9.491183438369357e-4,0.0016846541336160874,1,3,1970s to 2010s,7.355357897791517e-4,increase,Curruca curruca,11.6399285102,cold,long-distance,Foliage gleaners,Temperature
tmean_breeding,Cyanistes_caeruleus,0.0011077536320191822,0.0012684845989631237,1,3,1970s to 2010s,1.6073096694394157e-4,increase,Cyanistes caeruleus,12.7367473555,warm,sedentary,Tit-like birds,Temperature
tmean_breeding,Delichon_urbicum,7.293051537452189e-4,9.118757866388783e-4,1,3,1970s to 2010s,1.8257063289365942e-4,increase,Delichon urbicum,12.3470551373,warm,long-distance,Aerial insectivores,Temperature
tmean_breeding,Emberiza_calandra,0.013317435181017839,0.0021667003249939087,1,3,1970s to 2010s,-0.01115073485602393,decrease,Emberiza calandra,14.2313581317,very warm,sedentary,Buntings,Temperature
tmean_breeding,Emberiza_citrinella,7.692554303159237e-4,0.002509425461491506,1,3,1970s to 2010s,0.0017401700311755824,increase,Emberiza citrinella,11.5528442066,cold,sedentary,Buntings,Temperature
tmean_breeding,Emberiza_schoeniclus,0.00884745392861526,0.04725314364684788,1,3,1970s to 2010s,0.03840568971823262,increase,Emberiza schoeniclus,11.2704483494,cold,sedentary and short-distance,Buntings,Temperature
tmean_breeding,Erithacus_rubecula,0.003664374860766327,0.0016908918749733036,1,3,1970s to 2010s,-0.001973482985793023,decrease,Erithacus rubecula,11.998445823500001,medium,sedentary,Low flycatching feeders,Temperature
tmean_breeding,Ficedula_hypoleuca,0.017950817485542007,0.003611531253480813,1,3,1970s to 2010s,-0.014339286232061193,decrease,Ficedula hypoleuca,10.4275102213,very cold,long-distance,Flycatchers,Temperature
tmean_breeding,Ficedula_parva,0.0011736998614013806,0.00625709984164416,1,3,1970s to 2010s,0.00508339998024278,increase,Ficedula parva,11.5985667049,cold,long-distance,Flycatchers,Temperature
tmean_breeding,Fringilla_coelebs,0.0011870748145481316,0.0029108509200875257,1,3,1970s to 2010s,0.001723776105539394,increase,Fringilla coelebs,12.2951633877,medium,sedentary and short-distance,Foliage gleaners,Temperature
tmean_breeding,Garrulus_glandarius,0.005554265510216213,0.0017131749960212874,1,3,1970s to 2010s,-0.0038410905141949255,decrease,Garrulus glandarius,12.466780849,warm,sedentary,Omnivorous corvids,Temperature
tmean_breeding,Hippolais_icterina,0.0021834943204706646,0.010875579534735755,1,3,1970s to 2010s,0.00869208521426509,increase,Hippolais icterina,11.3916568563,cold,long-distance,Foliage gleaners,Temperature
tmean_breeding,Hirundo_rustica,9.579501125234002e-4,9.632665885745688e-4,1,3,1970s to 2010s,5.316476051168647e-6,increase,Hirundo rustica,12.4305273248,warm,long-distance,Aerial insectivores,Temperature
tmean_breeding,Lanius_collurio,0.006979533788794066,0.011434533845522812,1,3,1970s to 2010s,0.004455000056728746,increase,Lanius collurio,12.6238867722,warm,long-distance,Shrikes,Temperature
tmean_breeding,Lanius_excubitor,0.011602861190011462,0.00113467201377444,1,3,1970s to 2010s,-0.010468189176237023,decrease,Lanius excubitor,11.2044136127,cold,sedentary,Shrikes,Temperature
tmean_breeding,Linaria_cannabina,0.003226429693323142,8.339036887186164e-4,1,3,1970s to 2010s,-0.0023925260046045254,decrease,Linaria cannabina,13.1603552715,very warm,short-distance,Passerine seedeaters,Temperature
tmean_breeding,Locustella_luscinioides,0.013775456563424694,0.017586954237399827,1,3,1970s to 2010s,0.003811497673975133,increase,Locustella luscinioides,13.5908101527,very warm,long-distance,Marsh warblers,Temperature
tmean_breeding,Locustella_naevia,0.0037103764002323148,0.016054807887737586,1,3,1970s to 2010s,0.012344431487505272,increase,Locustella naevia,11.7684221003,cold,long-distance,Marsh warblers,Temperature
tmean_breeding,Lophophanes_cristatus,0.003485616184706543,0.007261824943119837,1,3,1970s to 2010s,0.0037762087584132936,increase,Lophophanes cristatus,11.7118025203,cold,sedentary,Tit-like birds,Temperature
tmean_breeding,Loxia_curvirostra,0.002304375779527033,0.00295423894249052,1,3,1970s to 2010s,6.49863162963487e-4,increase,Loxia curvirostra,10.4943181045,very cold,sedentary and short-distance,Passerine seedeaters,Temperature
tmean_breeding,Lullula_arborea,0.007923962355593506,0.003850730920896047,1,3,1970s to 2010s,-0.004073231434697459,decrease,Lullula arborea,13.4719748078,very warm,short-distance,Open-land insectivores,Temperature
tmean_breeding,Luscinia_luscinia,0.01700058125796429,0.0016498139020402838,1,3,1970s to 2010s,-0.015350767355924005,decrease,Luscinia luscinia,11.8425102806,cold,long-distance,Low flycatching feeders,Temperature
tmean_breeding,Motacilla_alba,0.0018149471422149494,7.467847185667515e-4,1,3,1970s to 2010s,-0.0010681624236481978,decrease,Motacilla alba,11.9859302219,medium,short-distance,Open-land insectivores,Temperature
tmean_breeding,Motacilla_cinerea,0.0021009728110042325,0.0036491594884924873,1,3,1970s to 2010s,0.0015481866774882547,increase,Motacilla cinerea,12.9122079488,warm,sedentary and short-distance,Open-land insectivores,Temperature
tmean_breeding,Motacilla_flava,0.04293295954942295,0.07159006393240334,1,3,1970s to 2010s,0.028657104382980393,increase,Motacilla flava,12.136968586,medium,long-distance,Open-land insectivores,Temperature
tmean_breeding,Muscicapa_striata,0.002161888822351638,0.00345448473049354,1,3,1970s to 2010s,0.001292595908141902,increase,Muscicapa striata,12.1492223917,medium,long-distance,Flycatchers,Temperature
tmean_breeding,Oenanthe_oenanthe,0.003995857349514107,0.0011222131271535585,1,3,1970s to 2010s,-0.0028736442223605487,decrease,Oenanthe oenanthe,11.6202368597,cold,long-distance,Low flycatching feeders,Temperature
tmean_breeding,Oriolus_oriolus,0.017335027269720322,0.02676283476353362,1,3,1970s to 2010s,0.0094278074938132991,increase,Oriolus oriolus,13.4707159049,very warm,long-distance,Orioles,Temperature
tmean_breeding,Panurus_biarmicus,0.044360236043725736,0.08013907531541012,1,3,1970s to 2010s,0.03577883927168438,increase,Panurus biarmicus,13.8780278318,very warm,sedentary,Reedlings,Temperature
tmean_breeding,Parus_major,0.004002226035805672,0.002698166104413404,1,3,1970s to 2010s,-0.0013040599313922682,decrease,Parus major,12.343727765,medium,sedentary and short-distance,Tit-like birds,Temperature
tmean_breeding,Passer_domesticus,0.0026756488864285192,0.0025762870305410888,1,3,1970s to 2010s,-9.936185588743044e-5,decrease,Passer domesticus,12.2628071769,medium,sedentary,Passerine seedeaters,Temperature
tmean_breeding,Passer_montanus,5.448607082111892e-4,0.0034763839370284574,1,3,1970s to 2010s,0.002931523228817268,increase,Passer montanus,13.070887931,very warm,sedentary,Passerine seedeaters,Temperature
tmean_breeding,Periparus_ater,0.011156465868059691,0.0025031007410619,1,3,1970s to 2010s,-0.00865336512699779,decrease,Periparus ater,11.9045668053,medium,sedentary,Tit-like birds,Temperature
tmean_breeding,Phoenicurus_ochruros,0.003054087794058024,0.009441328942816565,1,3,1970s to 2010s,0.006387241148758541,increase,Phoenicurus ochruros,13.2394438706,very warm,sedentary and short-distance,Low flycatching feeders,Temperature
tmean_breeding,Phoenicurus_phoenicurus,0.004617120299624275,0.003582028051355091,1,3,1970s to 2010s,-0.001035092248269184,decrease,Phoenicurus phoenicurus,11.3098485667,cold,long-distance,Low flycatching feeders,Temperature
tmean_breeding,Phylloscopus_collybita,9.913757704416905e-4,0.0027418807474617886,1,3,1970s to 2010s,0.001750504977020098,increase,Phylloscopus collybita,11.9465889491,medium,short-distance,Foliage gleaners,Temperature
tmean_breeding,Phylloscopus_sibilatrix,0.00746248090828781,0.01263023214722834,1,3,1970s to 2010s,0.0051677512389405305,increase,Phylloscopus sibilatrix,11.3755910555,cold,long-distance,Foliage gleaners,Temperature
tmean_breeding,Phylloscopus_trochilus,0.004516510571201034,5.952813476210435e-4,1,3,1970s to 2010s,-0.0039212292235799905,decrease,Phylloscopus trochilus,10.4596695622,very cold,long-distance,Foliage gleaners,Temperature
tmean_breeding,Pica_pica,0.00118496608844252,0.00899427738884155,1,3,1970s to 2010s,0.00780931130039903,increase,Pica pica,12.155826028,medium,sedentary,Omnivorous corvids,Temperature
tmean_breeding,Poecile_palustris,0.0026759724405865074,0.0016844187969477637,1,3,1970s to 2010s,-9.915536436387437e-4,decrease,Poecile palustris,12.3251392514,medium,sedentary,Tit-like birds,Temperature
tmean_breeding,Prunella_modularis,0.0016389101008093675,0.0010313479644553215,1,3,1970s to 2010s,-6.07562136354046e-4,decrease,Prunella modularis,10.9083374064,very cold,sedentary and short-distance,Low flycatching feeders,Temperature
tmean_breeding,Pyrrhula_pyrrhula,0.007126061617689441,0.0010859926030144951,1,3,1970s to 2010s,-0.006040069014674946,decrease,Pyrrhula pyrrhula,10.756294956,very cold,short-distance,Passerine seedeaters,Temperature
tmean_breeding,Regulus_ignicapilla,0.0028586003886148536,0.001414019608789423,1,3,1970s to 2010s,-0.0014445807798254306,decrease,Regulus ignicapilla,13.1999439071,very warm,short-distance,Tit-like birds,Temperature
tmean_breeding,Regulus_regulus,0.005803467362523175,9.563029583012753e-4,1,3,1970s to 2010s,-0.0048471644042219,decrease,Regulus regulus,10.8075146552,very cold,short-distance,Tit-like birds,Temperature
tmean_breeding,Remiz_pendulinus,0.0015595751135168714,0.009002631646431558,1,3,1970s to 2010s,0.007443056532914686,increase,Remiz pendulinus,13.7399153521,very warm,short-distance,Tit-like birds,Temperature
tmean_breeding,Riparia_riparia,4.0955609985547913e-4,5.376452500497153e-4,1,3,1970s to 2010s,1.2808915019423618e-4,increase,Riparia riparia,11.9550761988,medium,long-distance,Aerial insectivores,Temperature
tmean_breeding,Saxicola_rubetra,8.157169659465325e-4,0.0018860117302539824,1,3,1970s to 2010s,0.00107029476430745,increase,Saxicola rubetra,11.2990488425,cold,long-distance,Low flycatching feeders,Temperature
tmean_breeding,Serinus_serinus,0.0017617250808564132,0.0015309616375762964,1,3,1970s to 2010s,-2.3076344328011675e-4,decrease,Serinus serinus,13.8814196118,very warm,short-distance,Passerine seedeaters,Temperature
tmean_breeding,Sitta_europaea,0.001487497458973815,0.0020030716551706464,1,3,1970s to 2010s,5.155741961968313e-4,increase,Sitta europaea,12.7946675987,warm,sedentary,Tit-like birds,Temperature
tmean_breeding,Spinus_spinus,0.0017488381511283396,0.0034942040818093534,1,3,1970s to 2010s,0.0017453659306810138,increase,Spinus spinus,10.2425165856,very cold,sedentary and short-distance,Passerine seedeaters,Temperature
tmean_breeding,Sturnus_vulgaris,0.0010940965848088206,0.001154080214591404,1,3,1970s to 2010s,5.9983629782583286e-5,increase,Sturnus vulgaris,11.8027600322,cold,short-distance,Starlings,Temperature
