"model_name","atlas","covariate","effect","gradient_min","gradient_max","n_gradient_points","n_posterior_draws","n_species","richness_low_median","richness_high_median","delta_median","delta_q025","delta_q975","pr_delta_positive","slope_median","slope_pr_positive","direction","supported_direction"
"2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage","Atlas1","perc_pasture","total",0,0.701720201338416,30,100,157,63.5182197946662,79.9343036326345,16.2468970740724,8.12978734275514,24.2412393059407,1,23.1498583482995,1,"positive","positive"
"2026-03-13_06-58-56_Atlas2_MinOccs5_CoverageGoodAverage","Atlas2","perc_pasture","total",0,0.680441748193146,30,100,157,54.544914702851,64.8591892166335,10.8473436556322,0.793126009808097,17.7263789379393,0.98,15.456701479984,0.98,"positive","positive"
"2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage","Atlas3","perc_pasture","total",0,0.739063360937982,30,100,157,64.857516612922,92.3896679443081,27.1767222903895,20.884441347277,33.8791886120398,1,37.3280208278171,1,"positive","positive"
"2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage","Atlas1","perc_urban","total",0,1,30,100,157,62.0443882484114,65.6251097311061,4.17134237725613,-0.66000308179206,9.19084906144616,0.91,4.28732785615288,0.92,"positive","uncertain"
"2026-03-13_06-58-56_Atlas2_MinOccs5_CoverageGoodAverage","Atlas2","perc_urban","total",0,1,30,100,157,54.7361410069316,62.1412653622073,8.87060163126703,4.08302270089139,13.6183473827042,1,8.99046302745058,1,"positive","positive"
"2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage","Atlas3","perc_urban","total",0,1,30,100,157,64.9547537153342,76.2882785252092,11.7454493049894,7.31520517961568,15.8130163983666,1,11.8870938443287,1,"positive","positive"
"2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage","Atlas1","prec_breeding","total",103.895091550868,161.706972370637,30,100,157,67.5290145617679,59.5485873547651,-7.3742324696397,-14.9409089005373,-0.819839944655637,0.02,-0.130485999912217,0.02,"negative","negative"
"2026-03-13_06-58-56_Atlas2_MinOccs5_CoverageGoodAverage","Atlas2","prec_breeding","total",153.525520594147,238.243571298387,30,100,157,60.9457314368303,51.9801002187902,-9.34627587477922,-17.6567938599506,-2.23940076249981,0,-0.105716086095873,0,"negative","negative"
"2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage","Atlas3","prec_breeding","total",146.65715163698,264.45084747612,30,100,157,71.4765354318263,62.6579186709935,-9.02406609244422,-13.9243548930492,-4.02856497814051,0,-0.0742185986999512,0,"negative","negative"
"2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage","Atlas1","tmean_breeding","total",7.13013713761208,8.82186048856267,30,100,157,65.1820635587998,64.5189965716455,-0.618277494048137,-11.5281582767676,7.16465032232676,0.46,-0.925739061412744,0.42,"negative","uncertain"
"2026-03-13_06-58-56_Atlas2_MinOccs5_CoverageGoodAverage","Atlas2","tmean_breeding","total",7.26776662030571,8.86089304576419,30,100,157,59.3227116600694,56.2093278180998,-1.67866727493309,-11.976322356673,7.73750841579264,0.41,-1.4655867982107,0.32,"negative","uncertain"
"2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage","Atlas3","tmean_breeding","total",8.48662092784028,10.07246739392,30,100,157,66.4210279501444,68.0663033439158,1.18150581252112,-9.14629070973599,9.52793485733501,0.57,0.320622044556926,0.53,"positive","uncertain"
