grouping_type,display_name,group_pair_type,group_1,group_2,group_pair,n_group_pairs,support_class,n_periods,mean_observed_minus_null,min_observed_minus_null,max_observed_minus_null,min_abs_null_z,max_abs_observed_minus_null,n_fdr_0_05,all_above_null,all_below_null,excess_1970s,excess_1990s,excess_2010s,delta_2010s_minus_1970s,sign_flip_1970s_to_2010s,temporal_pattern,unstable_small_pair_count
foraging_guild,Foraging guild,Between group,Diurnal raptors,Shrikes,Diurnal raptors | Shrikes,14,Supported positive,3,-0.10627293960627261,-0.16237666237666265,0.004647504647505074,0.02720456817835507,0.16237666237666265,0,FALSE,FALSE,0.004647504647505074,-0.16108966108966027,-0.16237666237666265,-0.16702416702416772,TRUE,Direction flip,FALSE
foraging_guild,Foraging guild,Within group,Thrushes,Thrushes,Thrushes,6,Supported positive,3,0.0025025025025025805,-0.08391725058391686,0.08541875208541805,0.025200688917217426,0.08541875208541805,0,FALSE,FALSE,0.08541875208541805,0.006006006006006537,-0.08391725058391686,-0.1693360026693349,TRUE,Direction flip,TRUE
foraging_guild,Foraging guild,Between group,Cuckoos,Flycatchers,Cuckoos | Flycatchers,3,Supported positive,3,0.17039261483705936,0.008008008008008494,0.4247580914247583,0.025056829164630187,0.4247580914247583,0,TRUE,FALSE,0.4247580914247583,0.008008008008008494,0.07841174507841131,-0.346346346346347,FALSE,Consistently above null,TRUE
foraging_guild,Foraging guild,Between group,Diurnal raptors,Rails,Diurnal raptors | Rails,35,Supported positive,3,0.13299966633300028,0.0030030030030038235,0.25005005005005077,0.0235981966977761,0.25005005005005077,0,TRUE,FALSE,0.14594594594594623,0.0030030030030038235,0.25005005005005077,0.10410410410410453,FALSE,Consistently above null,FALSE
foraging_guild,Foraging guild,Between group,Open-land insectivores,Orioles,Open-land insectivores | Orioles,6,Supported positive,3,-0.32721610499388304,-0.5872539205872543,0.005839172505838985,0.022910704782939304,0.5872539205872543,0,FALSE,FALSE,-0.4002335669002337,0.005839172505838985,-0.5872539205872543,-0.18702035368702064,FALSE,Mixed direction,TRUE
foraging_guild,Foraging guild,Between group,Aerial insectivores,Flycatchers,Aerial insectivores | Flycatchers,12,Supported positive,3,0.17242242242242284,0.003920587253921304,0.4312645979312647,0.021518031817813678,0.4312645979312647,0,TRUE,FALSE,0.4312645979312647,0.003920587253921304,0.08208208208208245,-0.34918251584918225,FALSE,Consistently above null,FALSE
foraging_guild,Foraging guild,Between group,Dippers,Foliage gleaners,Dippers | Foliage gleaners,9,Supported positive,3,-0.4047751455158877,-0.6436436436436459,0.004115226337447764,0.01828720076474577,0.6436436436436459,0,FALSE,FALSE,0.004115226337447764,-0.6436436436436459,-0.574797019241465,-0.5789122455789127,TRUE,Direction flip,TRUE
foraging_guild,Foraging guild,Between group,Nigthjars,Omnivorous corvids,Nigthjars | Omnivorous corvids,7,Supported positive,3,-0.17255350588683807,-0.3675103675103657,0.00443300443300465,0.017957694230763082,0.3675103675103657,0,FALSE,FALSE,0.00443300443300465,-0.3675103675103657,-0.15458315458315314,-0.1590161590161578,TRUE,Direction flip,TRUE
foraging_guild,Foraging guild,Between group,Columbids,Rails,Columbids | Rails,20,Supported positive,3,-0.03306639973306628,-0.08078078078077988,-0.0026526526526532423,0.01752107057473229,0.08078078078077988,0,FALSE,TRUE,-0.015765765765765716,-0.0026526526526532423,-0.08078078078077988,-0.06501501501501417,FALSE,Consistently below null,FALSE
foraging_guild,Foraging guild,Between group,Open-land insectivores,Thrushes,Open-land insectivores | Thrushes,24,Supported positive,3,0.07884273162050959,-0.0025859192525858887,0.22080413747080452,0.016643970803680706,0.22080413747080452,0,FALSE,FALSE,0.22080413747080452,0.018309976643310133,-0.0025859192525858887,-0.2233900567233904,TRUE,Direction flip,FALSE
foraging_guild,Foraging guild,Between group,Owls,Starlings,Owls | Starlings,5,Supported positive,3,-0.14114114114114204,-0.25305305305305337,0.0044044044044029285,0.015527195029122445,0.25305305305305337,0,FALSE,FALSE,-0.17477477477477565,-0.25305305305305337,0.0044044044044029285,0.17917917917917858,TRUE,Direction flip,TRUE
foraging_guild,Foraging guild,Between group,Diurnal raptors,Woodpeckers,Diurnal raptors | Woodpeckers,35,Supported positive,3,0.006396873063540554,-0.10979550979550995,0.12706992706992748,0.015233361824423412,0.12706992706992748,0,FALSE,FALSE,-0.10979550979550995,0.0019162019162041188,0.12706992706992748,0.23686543686543743,TRUE,Direction flip,FALSE
foraging_guild,Foraging guild,Between group,Buntings,Diurnal raptors,Buntings | Diurnal raptors,21,Supported positive,3,0.047650825428604215,0.0019543352876695286,0.10334143667477069,0.013256654822661997,0.10334143667477069,0,TRUE,FALSE,0.0019543352876695286,0.10334143667477069,0.037656704323372425,0.0357023690357029,FALSE,Consistently above null,FALSE
foraging_guild,Foraging guild,Between group,Flycatchers,Starlings,Flycatchers | Starlings,3,Supported positive,3,0.16082749416082737,-0.004004004004003359,0.41708375041708323,0.01276410319331614,0.41708375041708323,0,FALSE,FALSE,0.41708375041708323,-0.004004004004003359,0.06940273606940228,-0.34768101434768095,FALSE,Mixed direction,TRUE
foraging_guild,Foraging guild,Between group,Flycatchers,Kingfishers,Flycatchers | Kingfishers,3,Supported positive,3,-0.057168279390501786,-0.2562562562562564,0.08108108108108125,0.011693662442653631,0.2562562562562564,0,FALSE,FALSE,-0.2562562562562564,0.00367033700366981,0.08108108108108125,0.3373373373373377,TRUE,Direction flip,TRUE
