site,atlas,year,easting,northing,n_top_negative_species_present,top_negative_species_present,any_top_negative_species_present
BD07,3,2014,452500.0058695333,6287499.746381921,1,Limosa limosa,TRUE
BD08,3,2014,452499.9871680592,6292499.764766518,3,Tringa glareola; Limosa limosa; Calidris pugnax,TRUE
BD10,3,2014,457500.0642796085,6252499.626853711,1,Periparus ater,TRUE
BD11,3,2014,457500.03424585843,6257499.62756949,2,Periparus ater; Regulus regulus,TRUE
BD12,3,2014,457500.0261392312,6262499.665304576,3,Caprimulgus europaeus; Periparus ater; Regulus regulus,TRUE
BD13,3,2014,457500.03933642176,6267499.628727978,0,,FALSE
BD17,3,2014,457500.0192793853,6287499.743606095,0,,FALSE
BD18,3,2014,457500.0290933364,6292499.781524262,0,,FALSE
BD19,3,2014,457500.063487968,6297499.744964002,3,Caprimulgus europaeus; Periparus ater; Regulus regulus,TRUE
BD20,3,2014,462500.0521724849,6252499.692892568,2,Periparus ater; Regulus regulus,TRUE
BD21,3,2014,462500.04652625887,6257499.613366459,3,Caprimulgus europaeus; Periparus ater; Regulus regulus,TRUE
BD22,3,2014,462500.04672205047,6262499.682150681,3,Caprimulgus europaeus; Periparus ater; Regulus regulus,TRUE
BD23,3,2014,462500.05127489346,6267499.676611281,0,,FALSE
BD26,3,2014,462500.0396707308,6282499.770858137,1,Regulus regulus,TRUE
BD27,3,2014,462500.0084153306,6287499.80222181,2,Periparus ater; Regulus regulus,TRUE
BD28,3,2014,462500.04522956035,6292499.758577253,2,Periparus ater; Regulus regulus,TRUE
BD29,3,2014,462500.0292985126,6297499.752303558,2,Periparus ater; Regulus regulus,TRUE
BD30,3,2014,467500.09666782786,6252499.638327593,2,Periparus ater; Regulus regulus,TRUE
BD31,3,2014,467500.0543298067,6257499.600372754,3,Caprimulgus europaeus; Periparus ater; Regulus regulus,TRUE
BD32,3,2014,467500.06232946395,6262499.710226541,2,Periparus ater; Regulus regulus,TRUE
BD33,3,2014,467500.0568793725,6267499.634422292,1,Periparus ater,TRUE
BD35,3,2014,467500.0749060298,6277499.704398919,2,Periparus ater; Regulus regulus,TRUE
BD36,3,2014,467500.0370856172,6282499.739297631,2,Periparus ater; Regulus regulus,TRUE
BD37,3,2014,467500.0506595336,6287499.810571126,2,Periparus ater; Regulus regulus,TRUE
BD38,3,2014,467500.0539126969,6292499.807359152,0,,FALSE
BD39,3,2014,467500.0473273079,6297499.729633846,2,Periparus ater; Regulus regulus,TRUE
BD40,3,2014,472500.0931846446,6252499.686959085,2,Periparus ater; Regulus regulus,TRUE
BD41,3,2014,472500.0753691514,6257499.700065501,2,Periparus ater; Regulus regulus,TRUE
BD42,3,2014,472500.0892348051,6262499.638397401,1,Regulus regulus,TRUE
BD43,3,2014,472500.0750117887,6267499.724942416,1,Regulus regulus,TRUE
BD44,3,2014,472500.09313145553,6272499.736661749,1,Periparus ater,TRUE
BD45,3,2014,472500.082515051,6277499.673930096,2,Periparus ater; Regulus regulus,TRUE
BD46,3,2014,472500.04509961524,6282499.759338391,2,Periparus ater; Regulus regulus,TRUE
BD47,3,2014,472500.0410912281,6287499.769842108,1,Somateria mollissima,TRUE
BD48,3,2014,472500.0707461879,6292499.705413405,0,,FALSE
BD49,3,2014,472500.07474827545,6297499.789050161,1,Regulus regulus,TRUE
BD50,3,2014,477500.11881933274,6252499.615843311,2,Periparus ater; Regulus regulus,TRUE
BD51,3,2014,477500.0634254692,6257499.690373675,3,Periparus ater; Regulus regulus; Columba oenas,TRUE
BD55,3,2014,477500.05691394093,6277499.685499792,1,Regulus regulus,TRUE
BD56,3,2014,477500.0801616678,6282499.719876353,1,Periparus ater,TRUE
BD57,3,2014,477500.05835724296,6287499.679689139,0,,FALSE
BD58,3,2014,477500.0542861005,6292499.787203539,2,Periparus ater; Regulus regulus,TRUE
BD59,3,2014,477500.06639862224,6297499.708461465,2,Periparus ater; Regulus regulus,TRUE
BD60,3,2014,482500.06846866757,6252499.64834874,0,,FALSE
BD61,3,2014,482500.09796961857,6257499.682375004,2,Periparus ater; Regulus regulus,TRUE
BD64,3,2014,482500.05279373936,6272499.67016245,1,Regulus regulus,TRUE
BD66,3,2014,482500.0376611929,6282499.732977217,1,Periparus ater,TRUE
BD67,3,2014,482500.0596615541,6287499.763232267,2,Periparus ater; Regulus regulus,TRUE
BD68,3,2014,482500.01980244165,6292499.718820099,2,Periparus ater; Regulus regulus,TRUE
BD69,3,2014,482500.0410989809,6297499.710512316,0,,FALSE
BD70,3,2014,487500.0817826781,6252499.672654292,2,Periparus ater; Regulus regulus,TRUE
BD71,3,2014,487500.07274000347,6257499.676720983,2,Periparus ater; Regulus regulus,TRUE
BD72,3,2014,487500.10657854204,6262499.717117674,2,Periparus ater; Lullula arborea,TRUE
BD73,3,2014,487500.0600253826,6267499.6828794535,2,Periparus ater; Regulus regulus,TRUE
BD74,3,2014,487500.05668077216,6272499.684921809,1,Regulus regulus,TRUE
BD75,3,2014,487500.09656343656,6277499.723220508,2,Periparus ater; Regulus regulus,TRUE
BD76,3,2014,487500.05683605693,6282499.686808519,2,Periparus ater; Regulus regulus,TRUE
BD77,3,2014,487500.0606638972,6287499.686602905,3,Periparus ater; Regulus regulus; Columba oenas,TRUE
BD78,3,2014,487500.04695056047,6292499.722763024,2,Periparus ater; Regulus regulus,TRUE
BD79,3,2014,487500.0155984107,6297499.6839520885,0,,FALSE
BD80,3,2014,492500.052342845,6252499.689303762,2,Periparus ater; Regulus regulus,TRUE
BD81,3,2014,492500.0663517555,6257499.67318747,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BD82,3,2014,492500.0446139241,6262499.693544938,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BD83,3,2014,492500.04863837245,6267499.638934148,2,Periparus ater; Regulus regulus,TRUE
BD84,3,2014,492500.0788364224,6272499.731946048,0,,FALSE
BD85,3,2014,492500.0734845984,6277499.750050906,0,,FALSE
BD86,3,2014,492500.0328117953,6282499.693222406,1,Periparus ater,TRUE
BD87,3,2014,492500.0796249006,6287499.672523582,3,Periparus ater; Lullula arborea; Regulus regulus,TRUE
BD88,3,2014,492500.0303709486,6292499.688262614,2,Periparus ater; Regulus regulus,TRUE
BD89,3,2014,492500.00758350815,6297499.740193662,0,,FALSE
BD90,3,2014,497500.0588251114,6252499.698183741,2,Periparus ater; Regulus regulus,TRUE
BD91,3,2014,497500.03416951664,6257499.671954378,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BD92,3,2014,497500.0799421015,6262499.6820673505,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BD93,3,2014,497500.07296910265,6267499.728574473,2,Periparus ater; Regulus regulus,TRUE
BD94,3,2014,497500.0748110663,6272499.700105536,0,,FALSE
BD95,3,2014,497500.02420617704,6277499.707981611,0,,FALSE
BD96,3,2014,497500.0438990338,6282499.752103166,1,Regulus regulus,TRUE
BD97,3,2014,497500.0724178304,6287499.721172826,1,Periparus ater,TRUE
BD98,3,2014,497500.04871990596,6292499.726513864,2,Periparus ater; Regulus regulus,TRUE
BD99,3,2014,497500.0340011228,6297499.6567514995,2,Periparus ater; Regulus regulus,TRUE
BE03,3,2014,452500.11633685895,6217499.746191076,2,Periparus ater; Regulus regulus,TRUE
BE04,3,2014,452500.11632998136,6222499.685172294,1,Regulus regulus,TRUE
BE05,3,2014,452500.15106356906,6227499.661355034,3,Periparus ater; Regulus regulus; Columba oenas,TRUE
BE06,3,2014,452500.1590520394,6232499.675403499,3,Periparus ater; Regulus regulus; Columba oenas,TRUE
BE07,3,2014,452500.1397759422,6237499.615993101,1,Regulus regulus,TRUE
BE08,3,2014,452500.095196037,6242499.594395928,2,Periparus ater; Regulus regulus,TRUE
BE09,3,2014,452500.0878081365,6247499.609894695,0,,FALSE
BE11,3,2014,457500.10127285187,6207499.743524788,1,Periparus ater,TRUE
BE12,3,2014,457500.1500305779,6212499.741318243,1,Periparus ater,TRUE
BE13,3,2014,457500.15345753945,6217499.776981724,3,Periparus ater; Regulus regulus; Columba oenas,TRUE
BE14,3,2014,457500.1111617552,6222499.739193365,2,Periparus ater; Regulus regulus,TRUE
BE15,3,2014,457500.1490842873,6227499.737989361,3,Caprimulgus europaeus; Periparus ater; Lullula arborea,TRUE
BE16,3,2014,457500.14241573645,6232499.663280108,3,Periparus ater; Lullula arborea; Regulus regulus,TRUE
BE17,3,2014,457500.0929771521,6237499.626338543,1,Periparus ater,TRUE
BE18,3,2014,457500.12517345103,6242499.625902592,1,Columba oenas,TRUE
BE19,3,2014,457500.1157411464,6247499.663183419,2,Periparus ater; Regulus regulus,TRUE
BE20,3,2014,462500.11838367645,6202499.747712504,0,,FALSE
BE21,3,2014,462500.0952010719,6207499.74191438,2,Periparus ater; Regulus regulus,TRUE
BE22,3,2014,462500.1342590039,6212499.772833126,2,Periparus ater; Regulus regulus,TRUE
BE23,3,2014,462500.11044103146,6217499.730235226,3,Periparus ater; Regulus regulus; Columba oenas,TRUE
BE24,3,2014,462500.1496938069,6222499.724303068,2,Periparus ater; Regulus regulus,TRUE
BE25,3,2014,462500.12816557044,6227499.756101517,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BE26,3,2014,462500.1075739042,6232499.713761374,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BE27,3,2014,462500.0893851709,6237499.708556035,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BE28,3,2014,462500.13495159394,6242499.628613053,3,Caprimulgus europaeus; Periparus ater; Regulus regulus,TRUE
BE29,3,2014,462500.12296665786,6247499.697601233,1,Regulus regulus,TRUE
BE30,3,2014,467500.10730380483,6202499.828305079,2,Periparus ater; Regulus regulus,TRUE
BE31,3,2014,467500.0896561928,6207499.754043788,3,Caprimulgus europaeus; Periparus ater; Regulus regulus,TRUE
BE32,3,2014,467500.1185248302,6212499.827834143,2,Periparus ater; Regulus regulus,TRUE
BE33,3,2014,467500.1294375103,6217499.716232078,3,Periparus ater; Lullula arborea; Regulus regulus,TRUE
BE34,3,2014,467500.1254063341,6222499.7531053685,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BE35,3,2014,467500.1052226283,6227499.715833131,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BE36,3,2014,467500.1322030665,6232499.715216365,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BE37,3,2014,467500.08192916744,6237499.640875189,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BE38,3,2014,467500.0804897086,6242499.714440874,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BE39,3,2014,467500.1255944229,6247499.601982121,3,Caprimulgus europaeus; Periparus ater; Regulus regulus,TRUE
BE40,3,2014,472500.1127389596,6202499.801765352,1,Periparus ater,TRUE
BE41,3,2014,472500.10111836577,6207499.780096917,0,,FALSE
BE42,3,2014,472500.118605587,6212499.79520641,1,Periparus ater,TRUE
BE43,3,2014,472500.102536274,6217499.736171087,1,Periparus ater,TRUE
BE44,3,2014,472500.11623195955,6222499.713864509,2,Periparus ater; Lullula arborea,TRUE
BE45,3,2014,472500.0978888087,6227499.728662689,2,Periparus ater; Lullula arborea,TRUE
BE46,3,2014,472500.10925229813,6232499.668840696,1,Caprimulgus europaeus,TRUE
BE47,3,2014,472500.08938047354,6237499.6460741,2,Periparus ater; Regulus regulus,TRUE
BE48,3,2014,472500.10059309157,6242499.6599383075,2,Lullula arborea; Regulus regulus,TRUE
BE49,3,2014,472500.0806548547,6247499.599506401,2,Periparus ater; Regulus regulus,TRUE
BE50,3,2014,477500.0897044176,6202499.779935578,2,Periparus ater; Regulus regulus,TRUE
BE51,3,2014,477500.0837171829,6207499.820620244,2,Periparus ater; Regulus regulus,TRUE
BE52,3,2014,477500.0896873518,6212499.786792553,2,Periparus ater; Regulus regulus,TRUE
BE53,3,2014,477500.10844758886,6217499.789725573,1,Periparus ater,TRUE
BE54,3,2014,477500.0775276706,6222499.718423463,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BE55,3,2014,477500.12210260506,6227499.683505938,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BE56,3,2014,477500.11822783895,6232499.6856043795,1,Lullula arborea,TRUE
BE57,3,2014,477500.12828789,6237499.724367468,2,Periparus ater; Regulus regulus,TRUE
BE58,3,2014,477500.09009941894,6242499.688796431,1,Periparus ater,TRUE
BE59,3,2014,477500.06649092725,6247499.689840795,2,Periparus ater; Regulus regulus,TRUE
BE60,3,2014,482500.1170935474,6202499.762600222,3,Caprimulgus europaeus; Periparus ater; Regulus regulus,TRUE
BE61,3,2014,482500.11583061574,6207499.764099555,0,,FALSE
BE62,3,2014,482500.11054156657,6212499.802375257,0,,FALSE
BE63,3,2014,482500.1010131544,6217499.766104947,0,,FALSE
BE64,3,2014,482500.08794277866,6222499.766563116,3,Caprimulgus europaeus; Periparus ater; Regulus regulus,TRUE
BE65,3,2014,482500.0711159684,6227499.692425571,3,Caprimulgus europaeus; Periparus ater; Regulus regulus,TRUE
BE66,3,2014,482500.11322061473,6232499.654712963,3,Caprimulgus europaeus; Periparus ater; Regulus regulus,TRUE
BE67,3,2014,482500.0904503339,6237499.653912236,2,Periparus ater; Regulus regulus,TRUE
BE68,3,2014,482500.0651098611,6242499.689744695,3,Periparus ater; Lullula arborea; Regulus regulus,TRUE
BE69,3,2014,482500.0987530567,6247499.650626864,2,Periparus ater; Regulus regulus,TRUE
BE70,3,2014,487500.0865301826,6202499.750414935,1,Regulus regulus,TRUE
BE71,3,2014,487500.08995137503,6207499.722487243,2,Periparus ater; Regulus regulus,TRUE
BE72,3,2014,487500.07277842105,6212499.73131084,1,Regulus regulus,TRUE
BE73,3,2014,487500.09745280247,6217499.776680447,1,Regulus regulus,TRUE
BE74,3,2014,487500.10153235553,6222499.747455017,2,Periparus ater; Regulus regulus,TRUE
BE75,3,2014,487500.08557870064,6227499.754910266,1,Periparus ater,TRUE
BE76,3,2014,487500.0494996909,6232499.6877210885,2,Periparus ater; Regulus regulus,TRUE
BE77,3,2014,487500.0557743558,6237499.656981816,2,Periparus ater; Regulus regulus,TRUE
BE78,3,2014,487500.10442118364,6242499.66266886,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BE79,3,2014,487500.07191723434,6247499.705124563,0,,FALSE
BE80,3,2014,492500.0769083233,6202499.743162796,5,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus; Columba oenas,TRUE
BE81,3,2014,492500.0851086948,6207499.806863972,1,Periparus ater,TRUE
BE82,3,2014,492500.0559510994,6212499.795978415,3,Caprimulgus europaeus; Periparus ater; Regulus regulus,TRUE
BE83,3,2014,492500.0518686798,6217499.710370969,1,Periparus ater,TRUE
BE84,3,2014,492500.07326583227,6222499.77261727,2,Periparus ater; Regulus regulus,TRUE
BE85,3,2014,492500.0576986846,6227499.760204127,2,Periparus ater; Regulus regulus,TRUE
BE86,3,2014,492500.0673832763,6232499.672995943,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BE87,3,2014,492500.0408101817,6237499.733683195,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BE88,3,2014,492500.0396555708,6242499.719527307,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BE89,3,2014,492500.0641284463,6247499.741806999,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BE90,3,2014,497500.0422758438,6202499.741026654,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BE91,3,2014,497500.0549127382,6207499.7948163375,3,Caprimulgus europaeus; Periparus ater; Regulus regulus,TRUE
BE92,3,2014,497500.07603090524,6212499.773925238,5,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus; Columba oenas,TRUE
BE93,3,2014,497500.0434951054,6217499.78966552,2,Periparus ater; Regulus regulus,TRUE
BE94,3,2014,497500.0817259047,6222499.730638592,0,,FALSE
BE95,3,2014,497500.06645494024,6227499.708195655,2,Periparus ater; Regulus regulus,TRUE
BE96,3,2014,497500.0598918972,6232499.722276111,3,Periparus ater; Lullula arborea; Regulus regulus,TRUE
BE97,3,2014,497500.06204059086,6237499.7728568325,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BE98,3,2014,497500.0728370326,6242499.748610737,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BE99,3,2014,497500.0305140985,6247499.6495497795,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BF00,3,2014,452500.16255789786,6152499.84979633,3,Caprimulgus europaeus; Periparus ater; Regulus regulus,TRUE
BF01,3,2014,452500.1443555164,6157499.855121321,3,Caprimulgus europaeus; Periparus ater; Lullula arborea,TRUE
BF02,3,2014,452500.1523084943,6162499.7866961,5,Tringa glareola; Caprimulgus europaeus; Periparus ater; Regulus regulus; Columba oenas,TRUE
BF03,3,2014,452500.1251936091,6167499.75646735,6,Tringa glareola; Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus; Columba oenas,TRUE
BF04,3,2014,452500.1265854016,6172499.763725036,2,Periparus ater; Lullula arborea,TRUE
BF05,3,2014,452500.0929818788,6177499.69784097,5,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus; Columba oenas,TRUE
BF06,3,2014,452500.08902709355,6182499.669392232,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BF07,3,2014,452500.1152225344,6187499.678353518,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BF08,3,2014,452500.10950070026,6192499.7253870675,2,Limosa limosa; Calidris pugnax,TRUE
BF11,3,2014,457500.09805196273,6157499.819878605,3,Caprimulgus europaeus; Periparus ater; Regulus regulus,TRUE
BF12,3,2014,457500.1359493549,6162499.887689657,1,Regulus regulus,TRUE
BF13,3,2014,457500.1204013506,6167499.77104144,2,Periparus ater; Regulus regulus,TRUE
BF14,3,2014,457500.1182257726,6172499.803160674,2,Periparus ater; Regulus regulus,TRUE
BF15,3,2014,457500.127743533,6177499.761444724,2,Periparus ater; Regulus regulus,TRUE
BF16,3,2014,457500.08782064816,6182499.757772771,2,Periparus ater; Regulus regulus,TRUE
BF17,3,2014,457500.1244502372,6187499.790891147,3,Periparus ater; Lullula arborea; Regulus regulus,TRUE
BF18,3,2014,457500.11167777673,6192499.750712315,2,Periparus ater; Regulus regulus,TRUE
BF20,3,2014,462500.0972690694,6152499.858269893,1,Regulus regulus,TRUE
BF21,3,2014,462500.1042798301,6157499.812390076,2,Periparus ater; Regulus regulus,TRUE
BF22,3,2014,462500.1063889781,6162499.804014538,3,Periparus ater; Regulus regulus; Columba oenas,TRUE
BF23,3,2014,462500.1040823032,6167499.833119934,3,Periparus ater; Regulus regulus; Columba oenas,TRUE
BF24,3,2014,462500.0968862839,6172499.788392592,3,Caprimulgus europaeus; Periparus ater; Regulus regulus,TRUE
BF25,3,2014,462500.0862437773,6177499.78109757,2,Periparus ater; Regulus regulus,TRUE
BF26,3,2014,462500.0726415611,6182499.811211206,2,Periparus ater; Regulus regulus,TRUE
BF27,3,2014,462500.11824307253,6187499.766874204,3,Periparus ater; Lullula arborea; Regulus regulus,TRUE
BF28,3,2014,462500.0991430791,6192499.760439191,5,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus; Columba oenas,TRUE
BF29,3,2014,462500.07854237576,6197499.791339589,1,Columba oenas,TRUE
BF30,3,2014,467500.0649177869,6152499.835244867,3,Periparus ater; Regulus regulus; Columba oenas,TRUE
BF31,3,2014,467500.0528761789,6157499.8339712275,2,Periparus ater; Regulus regulus,TRUE
BF32,3,2014,467500.0828731935,6162499.869694816,3,Caprimulgus europaeus; Periparus ater; Regulus regulus,TRUE
