grouping_type,atlas,period,group_pair_type,group_1,group_2,group_pair,n_group_pairs,support_class,observed_prop,null_mean,null_sd,null_lower_95,null_upper_95,observed_minus_null,null_z,empirical_p_upper,empirical_p_lower,empirical_p_two_sided,unstable_small_pair_count,fdr_p,fdr_0_05,display_name
foraging_guild,1,1970s,Between group,Columbids,Open-land insectivores,Columbids | Open-land insectivores,24,Supported negative,0.08333333333333333,0.02540040040040045,0.03725257356483104,0,0.125,0.057932932932932876,1.5551390787031556,0.152,0.964,0.304,FALSE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Orioles,Passerine seedeaters,Orioles | Passerine seedeaters,12,Supported negative,0.08333333333333333,0.02602602602602602,0.05636398978278634,0,0.16666666666666666,0.057307307307307306,1.0167361737193603,0.224,0.937,0.448,FALSE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Diving ducks,Tit-like birds,Diving ducks | Tit-like birds,36,Supported negative,0.08333333333333333,0.026081637192748468,0.032915007484667816,0,0.1111111111111111,0.05725169614058486,1.739379709005181,0.104,0.961,0.208,FALSE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Aquatic pursuers,Columbids,Aquatic pursuers | Columbids,24,Supported negative,0.08333333333333333,0.026985318651985384,0.04043718730212821,0,0.125,0.056348014681347945,1.3934701803154925,0.155,0.949,0.31,FALSE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Passerine seedeaters,Scolopacids,Passerine seedeaters | Scolopacids,108,Supported negative,0.07407407407407407,0.02430207985763565,0.018963685156053504,0,0.07407407407407407,0.04977199421643842,2.624595051376416,0.028,0.985,0.056,FALSE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Open-land insectivores,Scolopacids,Open-land insectivores | Scolopacids,54,Supported negative,0.07407407407407407,0.024524524524524673,0.024986690826295295,0,0.07407407407407407,0.0495495495495494,1.9830376857028558,0.079,0.977,0.158,FALSE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Columbids,Dabbling ducks,Columbids | Dabbling ducks,28,Supported negative,0.07142857142857142,0.02602602602602604,0.035954770881142066,0,0.10714285714285714,0.04540254540254539,1.2627683139084775,0.178,0.945,0.356,FALSE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Passerine seedeaters,Plovers,Passerine seedeaters | Plovers,72,Supported negative,0.06944444444444445,0.025678456234012013,0.023960359950686943,0,0.08333333333333333,0.043765988210432434,1.8265997798241618,0.085,0.966,0.17,FALSE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Gulls,Low flycatching feeders,Gulls | Low flycatching feeders,45,Supported negative,0.06666666666666667,0.023912801690579397,0.028033498658593285,0,0.08888888888888889,0.04275386497608727,1.5250991500121465,0.127,0.948,0.254,FALSE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Within group,Open-land insectivores,Open-land insectivores,Open-land insectivores,15,Supported negative,0.06666666666666667,0.024024024024023972,0.04776315939663019,0,0.13333333333333333,0.0426426426426427,0.8927935919928119,0.257,0.921,0.514,FALSE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Foliage gleaners,Terns,Foliage gleaners | Terns,45,Supported negative,0.06666666666666667,0.024557891224557815,0.0263008754016059,0,0.08888888888888889,0.04210877544210885,1.6010408322582959,0.122,0.954,0.244,FALSE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Buntings,Terns,Buntings | Terns,15,Supported negative,0.06666666666666667,0.0258925592258925,0.04561879675372916,0,0.13333333333333333,0.040774107440774164,0.8938005897194349,0.298,0.927,0.596,FALSE,1,FALSE,Foraging guild
foraging_guild,1,1970s,Between group,Kingfishers,Orioles,Kingfishers | Orioles,1,Supported negative,0,0.03903903903903904,0.1937848875499927,0,1,-0.03903903903903904,-0.20145553934884491,1,0.961,1,TRUE,1,FALSE,Foraging guild
