bootstrap,atlas,period,support_class,n_pairs,prop_pairs
77,1,1970s,Supported negative,304,0.02482443246774457
77,1,1970s,Unsupported,4978,0.40650008165931734
78,1,1970s,Supported positive,6898,0.563285970929283
78,1,1970s,Supported negative,313,0.025559366323697534
78,1,1970s,Unsupported,5035,0.41115466274701945
79,1,1970s,Supported positive,6900,0.5634492895639392
79,1,1970s,Supported negative,307,0.02506941041972889
79,1,1970s,Unsupported,5039,0.4114813000163319
80,1,1970s,Supported positive,6932,0.5660623877184386
80,1,1970s,Supported negative,308,0.025151069737056997
80,1,1970s,Unsupported,5006,0.4087865425445043
81,1,1970s,Supported positive,6951,0.5676139147476728
81,1,1970s,Supported negative,296,0.024171157929119714
81,1,1970s,Unsupported,4999,0.4082149273232076
82,1,1970s,Supported positive,6970,0.5691654417769068
82,1,1970s,Supported negative,310,0.025314388371713212
82,1,1970s,Unsupported,4966,0.40552016985138006
83,1,1970s,Supported positive,6949,0.5674505961130165
83,1,1970s,Supported negative,312,0.025477707006369428
83,1,1970s,Unsupported,4985,0.40707169688061406
84,1,1970s,Supported positive,6942,0.5668789808917197
84,1,1970s,Supported negative,304,0.02482443246774457
84,1,1970s,Unsupported,5000,0.4082965866405357
85,1,1970s,Supported positive,6985,0.5703903315368284
85,1,1970s,Supported negative,313,0.025559366323697534
85,1,1970s,Unsupported,4948,0.4040503021394741
86,1,1970s,Supported positive,6898,0.563285970929283
86,1,1970s,Supported negative,311,0.02539604768904132
86,1,1970s,Unsupported,5037,0.41131798138167563
87,1,1970s,Supported positive,6905,0.5638575861505798
87,1,1970s,Supported negative,311,0.02539604768904132
87,1,1970s,Unsupported,5030,0.4107463661603789
88,1,1970s,Supported positive,6966,0.5688388045075943
88,1,1970s,Supported negative,318,0.02596766291033807
88,1,1970s,Unsupported,4962,0.40519353258206764
89,1,1970s,Supported positive,6952,0.5676955740650008
89,1,1970s,Supported negative,307,0.02506941041972889
89,1,1970s,Unsupported,4987,0.4072350155152703
90,1,1970s,Supported positive,7005,0.5720235178833905
90,1,1970s,Supported negative,310,0.025314388371713212
90,1,1970s,Unsupported,4931,0.4026620937448963
91,1,1970s,Supported positive,6945,0.567123958843704
91,1,1970s,Supported negative,308,0.025151069737056997
91,1,1970s,Unsupported,4993,0.4077249714192389
92,1,1970s,Supported positive,6964,0.5686754858729381
92,1,1970s,Supported negative,317,0.025886003593009962
92,1,1970s,Unsupported,4965,0.40543851053405194
93,1,1970s,Supported positive,6929,0.5658174097664543
93,1,1970s,Supported negative,311,0.02539604768904132
93,1,1970s,Unsupported,5006,0.4087865425445043
94,1,1970s,Supported positive,6946,0.5672056181610322
94,1,1970s,Supported negative,309,0.025232729054385106
94,1,1970s,Unsupported,4991,0.40756165278458273
95,1,1970s,Supported positive,6983,0.5702270129021721
95,1,1970s,Supported negative,319,0.026049322227666177
95,1,1970s,Unsupported,4944,0.4037236648701617
96,1,1970s,Supported positive,6937,0.5664706843050792
96,1,1970s,Supported negative,307,0.02506941041972889
96,1,1970s,Unsupported,5002,0.4084599052751919
97,1,1970s,Supported positive,6961,0.5684305079209537
97,1,1970s,Supported negative,315,0.02572268495835375
97,1,1970s,Unsupported,4970,0.4058468071206925
98,1,1970s,Supported positive,6938,0.5665523436224074
98,1,1970s,Supported negative,309,0.025232729054385106
98,1,1970s,Unsupported,4999,0.4082149273232076
99,1,1970s,Supported positive,6957,0.5681038706516414
99,1,1970s,Supported negative,317,0.025886003593009962
99,1,1970s,Unsupported,4972,0.40601012575534867
100,1,1970s,Supported positive,6989,0.5707169688061408
100,1,1970s,Supported negative,306,0.024987751102400785
100,1,1970s,Unsupported,4951,0.40429528009145843
101,1,1970s,Supported positive,6921,0.5651641352278295
101,1,1970s,Supported negative,314,0.02564102564102564
101,1,1970s,Unsupported,5011,0.40919483913114485
102,1,1970s,Supported positive,6980,0.5699820349501878
102,1,1970s,Supported negative,315,0.02572268495835375
102,1,1970s,Unsupported,4951,0.40429528009145843
103,1,1970s,Supported positive,6922,0.5652457945451576
103,1,1970s,Supported negative,310,0.025314388371713212
103,1,1970s,Unsupported,5014,0.4094398170831292
104,1,1970s,Supported positive,6946,0.5672056181610322
104,1,1970s,Supported negative,321,0.02621264086232239
104,1,1970s,Unsupported,4979,0.40658174097664546
105,1,1970s,Supported positive,6984,0.5703086722195002
105,1,1970s,Supported negative,310,0.025314388371713212
105,1,1970s,Unsupported,4952,0.40437693940878655
106,1,1970s,Supported positive,6941,0.5667973215743917
106,1,1970s,Supported negative,309,0.025232729054385106
106,1,1970s,Unsupported,4996,0.4079699493712233
107,1,1970s,Supported positive,6910,0.5642658827372203
107,1,1970s,Supported negative,315,0.02572268495835375
107,1,1970s,Unsupported,5021,0.41001143230442594
108,1,1970s,Supported positive,6964,0.5686754858729381
108,1,1970s,Supported negative,305,0.024906091785072675
108,1,1970s,Unsupported,4977,0.4064184223419892
109,1,1970s,Supported positive,6952,0.5676955740650008
109,1,1970s,Supported negative,304,0.02482443246774457
109,1,1970s,Unsupported,4990,0.4074799934672546
110,1,1970s,Supported positive,6926,0.56557243181447
110,1,1970s,Supported negative,306,0.024987751102400785
110,1,1970s,Unsupported,5014,0.4094398170831292
111,1,1970s,Supported positive,6889,0.5625510370733301
111,1,1970s,Supported negative,314,0.02564102564102564
111,1,1970s,Unsupported,5043,0.4118079372856443
112,1,1970s,Supported positive,6883,0.5620610811693614
112,1,1970s,Supported negative,308,0.025151069737056997
112,1,1970s,Unsupported,5055,0.41278784909358157
113,1,1970s,Supported positive,6972,0.569328760411563
113,1,1970s,Supported negative,308,0.025151069737056997
113,1,1970s,Unsupported,4966,0.40552016985138006
114,1,1970s,Supported positive,6927,0.5656540911317981
114,1,1970s,Supported negative,306,0.024987751102400785
114,1,1970s,Unsupported,5013,0.4093581577658011
115,1,1970s,Supported positive,6904,0.5637759268332517
115,1,1970s,Supported negative,308,0.025151069737056997
115,1,1970s,Unsupported,5034,0.41107300342969133
116,1,1970s,Supported positive,6946,0.5672056181610322
116,1,1970s,Supported negative,302,0.024661113833088357
116,1,1970s,Unsupported,4998,0.40813326800587946
117,1,1970s,Supported positive,6904,0.5637759268332517
117,1,1970s,Supported negative,314,0.02564102564102564
117,1,1970s,Unsupported,5028,0.41058304752572267
118,1,1970s,Supported positive,6969,0.5690837824595787
118,1,1970s,Supported negative,317,0.025886003593009962
118,1,1970s,Unsupported,4960,0.4050302139474114
119,1,1970s,Supported positive,6971,0.5692471010942348
119,1,1970s,Supported negative,300,0.02449779519843214
119,1,1970s,Unsupported,4975,0.40625510370733303
120,1,1970s,Supported positive,6919,0.5650008165931732
120,1,1970s,Supported negative,315,0.02572268495835375
120,1,1970s,Unsupported,5012,0.40927649844847297
121,1,1970s,Supported positive,6956,0.5680222113343133
121,1,1970s,Supported negative,307,0.02506941041972889
121,1,1970s,Unsupported,4983,0.4069083782459579
122,1,1970s,Supported positive,6919,0.5650008165931732
122,1,1970s,Supported negative,318,0.02596766291033807
122,1,1970s,Unsupported,5009,0.40903152049648867
123,1,1970s,Supported positive,6978,0.5698187163155316
123,1,1970s,Supported negative,311,0.02539604768904132
123,1,1970s,Unsupported,4957,0.4047852359954271
124,1,1970s,Supported positive,6992,0.5709619467581251
124,1,1970s,Supported negative,308,0.025151069737056997
124,1,1970s,Unsupported,4946,0.4038869835048179
125,1,1970s,Supported positive,6967,0.5689204638249225
125,1,1970s,Supported negative,303,0.024742773150416463
125,1,1970s,Unsupported,4976,0.4063367630246611
126,1,1970s,Supported positive,6940,0.5667156622570635
126,1,1970s,Supported negative,304,0.02482443246774457
126,1,1970s,Unsupported,5002,0.4084599052751919
127,1,1970s,Supported positive,6922,0.5652457945451576
127,1,1970s,Supported negative,320,0.026130981544994283
127,1,1970s,Unsupported,5004,0.4086232239098481
128,1,1970s,Supported positive,6928,0.5657357504491263
128,1,1970s,Supported negative,303,0.024742773150416463
128,1,1970s,Unsupported,5015,0.4095214764004573
129,1,1970s,Supported positive,6914,0.5645925200065327
129,1,1970s,Supported negative,307,0.02506941041972889
129,1,1970s,Unsupported,5025,0.41033806957373836
130,1,1970s,Supported positive,6968,0.5690021231422505
130,1,1970s,Supported negative,305,0.024906091785072675
130,1,1970s,Unsupported,4973,0.4060917850726768
131,1,1970s,Supported positive,6936,0.5663890249877511
131,1,1970s,Supported negative,310,0.025314388371713212
131,1,1970s,Unsupported,5000,0.4082965866405357
132,1,1970s,Supported positive,6915,0.5646741793238609
132,1,1970s,Supported negative,311,0.02539604768904132
132,1,1970s,Unsupported,5020,0.4099297729870978
133,1,1970s,Supported positive,6973,0.5694104197288911
133,1,1970s,Supported negative,302,0.024661113833088357
133,1,1970s,Unsupported,4971,0.40592846643802055
134,1,1970s,Supported positive,6999,0.5715335619794218
134,1,1970s,Supported negative,311,0.02539604768904132
134,1,1970s,Unsupported,4936,0.40307039033153685
135,1,1970s,Supported positive,6952,0.5676955740650008
135,1,1970s,Supported negative,311,0.02539604768904132
135,1,1970s,Unsupported,4983,0.4069083782459579
136,1,1970s,Supported positive,6901,0.5635309488812673
136,1,1970s,Supported negative,307,0.02506941041972889
136,1,1970s,Unsupported,5038,0.41139964069900375
137,1,1970s,Supported positive,6938,0.5665523436224074
137,1,1970s,Supported negative,298,0.024334476563775926
137,1,1970s,Unsupported,5010,0.40911317981381673
138,1,1970s,Supported positive,6903,0.5636942675159236
138,1,1970s,Supported negative,308,0.025151069737056997
138,1,1970s,Unsupported,5035,0.41115466274701945
139,1,1970s,Supported positive,6952,0.5676955740650008
139,1,1970s,Supported negative,316,0.025804344275681856
139,1,1970s,Unsupported,4978,0.40650008165931734
140,1,1970s,Supported positive,6964,0.5686754858729381
140,1,1970s,Supported negative,315,0.02572268495835375
140,1,1970s,Unsupported,4967,0.40560182916870813
141,1,1970s,Supported positive,6933,0.5661440470357668
141,1,1970s,Supported negative,311,0.02539604768904132
141,1,1970s,Unsupported,5002,0.4084599052751919
142,1,1970s,Supported positive,6971,0.5692471010942348
142,1,1970s,Supported negative,316,0.025804344275681856
142,1,1970s,Unsupported,4959,0.4049485546300833
143,1,1970s,Supported positive,6923,0.5653274538624857
143,1,1970s,Supported negative,311,0.02539604768904132
143,1,1970s,Unsupported,5012,0.40927649844847297
144,1,1970s,Supported positive,6926,0.56557243181447
144,1,1970s,Supported negative,305,0.024906091785072675
144,1,1970s,Unsupported,5015,0.4095214764004573
145,1,1970s,Supported positive,6970,0.5691654417769068
145,1,1970s,Supported negative,307,0.02506941041972889
145,1,1970s,Unsupported,4969,0.40576514780336437
146,1,1970s,Supported positive,6949,0.5674505961130165
146,1,1970s,Supported negative,310,0.025314388371713212
146,1,1970s,Unsupported,4987,0.4072350155152703
147,1,1970s,Supported positive,6932,0.5660623877184386
147,1,1970s,Supported negative,308,0.025151069737056997
147,1,1970s,Unsupported,5006,0.4087865425445043
148,1,1970s,Supported positive,6906,0.5639392454679079
148,1,1970s,Supported negative,312,0.025477707006369428
148,1,1970s,Unsupported,5028,0.41058304752572267
149,1,1970s,Supported positive,6937,0.5664706843050792
149,1,1970s,Supported negative,308,0.025151069737056997
149,1,1970s,Unsupported,5001,0.4083782459578638
150,1,1970s,Supported positive,6925,0.565490772497142
150,1,1970s,Supported negative,311,0.02539604768904132
150,1,1970s,Unsupported,5010,0.40911317981381673
151,1,1970s,Supported positive,6924,0.5654091131798138
151,1,1970s,Supported negative,309,0.025232729054385106
151,1,1970s,Unsupported,5013,0.4093581577658011
152,1,1970s,Supported positive,6909,0.5641842234198922
152,1,1970s,Supported negative,315,0.02572268495835375
152,1,1970s,Unsupported,5022,0.41009309162175406
153,1,1970s,Supported positive,6889,0.5625510370733301
153,1,1970s,Supported negative,305,0.024906091785072675
153,1,1970s,Unsupported,5052,0.41254287114159727
154,1,1970s,Supported positive,6924,0.5654091131798138
154,1,1970s,Supported negative,311,0.02539604768904132
154,1,1970s,Unsupported,5011,0.40919483913114485
155,1,1970s,Supported positive,6944,0.567042299526376
155,1,1970s,Supported negative,310,0.025314388371713212
155,1,1970s,Unsupported,4992,0.40764331210191085
156,1,1970s,Supported positive,6911,0.5643475420545484
156,1,1970s,Supported negative,312,0.025477707006369428
156,1,1970s,Unsupported,5023,0.4101747509390821
157,1,1970s,Supported positive,6936,0.5663890249877511
157,1,1970s,Supported negative,308,0.025151069737056997
157,1,1970s,Unsupported,5002,0.4084599052751919
158,1,1970s,Supported positive,6882,0.5619794218520333
158,1,1970s,Supported negative,313,0.025559366323697534
158,1,1970s,Unsupported,5051,0.41246121182426915
159,1,1970s,Supported positive,6951,0.5676139147476728
159,1,1970s,Supported negative,313,0.025559366323697534
159,1,1970s,Unsupported,4982,0.40682671892862976
160,1,1970s,Supported positive,6967,0.5689204638249225
160,1,1970s,Supported negative,310,0.025314388371713212
160,1,1970s,Unsupported,4969,0.40576514780336437
161,1,1970s,Supported positive,6953,0.5677772333823289
161,1,1970s,Supported negative,312,0.025477707006369428
161,1,1970s,Unsupported,4981,0.40674505961130164
162,1,1970s,Supported positive,6916,0.564755838641189
162,1,1970s,Supported negative,313,0.025559366323697534
162,1,1970s,Unsupported,5017,0.4096847950351135
163,1,1970s,Supported positive,6946,0.5672056181610322
163,1,1970s,Supported negative,303,0.024742773150416463
163,1,1970s,Unsupported,4997,0.40805160868855134
164,1,1970s,Supported positive,6941,0.5667973215743917
164,1,1970s,Supported negative,306,0.024987751102400785
164,1,1970s,Unsupported,4999,0.4082149273232076
165,1,1970s,Supported positive,6946,0.5672056181610322
165,1,1970s,Supported negative,313,0.025559366323697534
165,1,1970s,Unsupported,4987,0.4072350155152703
166,1,1970s,Supported positive,6941,0.5667973215743917
166,1,1970s,Supported negative,311,0.02539604768904132
166,1,1970s,Unsupported,4994,0.40780663073656703
167,1,1970s,Supported positive,7008,0.5722684958353749
167,1,1970s,Supported negative,300,0.02449779519843214
167,1,1970s,Unsupported,4938,0.40323370896619304
168,1,1970s,Supported positive,6957,0.5681038706516414
168,1,1970s,Supported negative,310,0.025314388371713212
168,1,1970s,Unsupported,4979,0.40658174097664546
169,1,1970s,Supported positive,6907,0.564020904785236
169,1,1970s,Supported negative,310,0.025314388371713212
169,1,1970s,Unsupported,5029,0.4106647068430508
170,1,1970s,Supported positive,6955,0.5679405520169851
170,1,1970s,Supported negative,308,0.025151069737056997
170,1,1970s,Unsupported,4983,0.4069083782459579
171,1,1970s,Supported positive,6868,0.5608361914094399
171,1,1970s,Supported negative,310,0.025314388371713212
171,1,1970s,Unsupported,5068,0.41384942021884696
172,1,1970s,Supported positive,6953,0.5677772333823289
172,1,1970s,Supported negative,306,0.024987751102400785
172,1,1970s,Unsupported,4987,0.4072350155152703
173,1,1970s,Supported positive,6966,0.5688388045075943
173,1,1970s,Supported negative,311,0.02539604768904132
173,1,1970s,Unsupported,4969,0.40576514780336437
174,1,1970s,Supported positive,6955,0.5679405520169851
174,1,1970s,Supported negative,314,0.02564102564102564
174,1,1970s,Unsupported,4977,0.4064184223419892
175,1,1970s,Supported positive,6901,0.5635309488812673
175,1,1970s,Supported negative,311,0.02539604768904132
175,1,1970s,Unsupported,5034,0.41107300342969133
176,1,1970s,Supported positive,6968,0.5690021231422505
176,1,1970s,Supported negative,306,0.024987751102400785
176,1,1970s,Unsupported,4972,0.40601012575534867
177,1,1970s,Supported positive,6954,0.5678588926996571
177,1,1970s,Supported negative,311,0.02539604768904132
177,1,1970s,Unsupported,4981,0.40674505961130164
178,1,1970s,Supported positive,6973,0.5694104197288911
178,1,1970s,Supported negative,301,0.024579454515760248
178,1,1970s,Unsupported,4972,0.40601012575534867
179,1,1970s,Supported positive,6900,0.5634492895639392
179,1,1970s,Supported negative,313,0.025559366323697534
179,1,1970s,Unsupported,5033,0.4109913441123632
180,1,1970s,Supported positive,6919,0.5650008165931732
180,1,1970s,Supported negative,312,0.025477707006369428
180,1,1970s,Unsupported,5015,0.4095214764004573
181,1,1970s,Supported positive,6915,0.5646741793238609
181,1,1970s,Supported negative,304,0.02482443246774457
