atlas,period,guild_pair_type,guild_1,guild_2,guild_pair,n_pairs,mean_omega,median_omega,mean_abs_omega,prop_supported_positive,prop_supported_negative,net_support_prop,atlas_mean_omega,atlas_median_omega,atlas_prop_supported_positive,atlas_prop_supported_negative,atlas_net_support_prop,n_species_guild_1,n_species_guild_2,mean_omega_minus_atlas_average,prop_positive_minus_atlas_average,prop_negative_minus_atlas_average,net_support_minus_atlas_average,unstable_small_pair_count
1,1970s,Between guild,Orioles,Scolopacids,Orioles | Scolopacids,9,0.02054423363874795,-0.1311612513947452,0.36284956273163094,0.2222222222222222,0.3333333333333333,-0.1111111111111111,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,1,9,-0.34425856089131723,-0.34400348413087267,0.3084272415482606,-0.6524307256791333,TRUE
1,1970s,Between guild,Foliage gleaners,Terns,Foliage gleaners | Terns,45,0.0208741890220358,-0.009294668516625679,0.14731002596628057,0.2,0.06666666666666667,0.13333333333333336,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,9,5,-0.3439286055080294,-0.36622570635309487,0.04176057488159399,-0.4079862812346889,FALSE
1,1970s,Between guild,Kingfishers,Scolopacids,Kingfishers | Scolopacids,9,0.023468429987580045,-0.01811042277009906,0.1966867346635816,0.1111111111111111,0.2222222222222222,-0.1111111111111111,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,1,9,-0.34133436454248517,-0.4551145952419838,0.19731613043714955,-0.6524307256791333,TRUE
1,1970s,Between guild,Reedlings,Starlings,Reedlings | Starlings,1,0.02492996807154349,0.02492996807154349,0.02492996807154349,0,0,0,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,1,1,-0.3398728264585217,-0.5662257063530949,-0.024906091785072675,-0.5413196145680222,TRUE
1,1970s,Between guild,Orioles,Starlings,Orioles | Starlings,1,0.693932306137885,0.693932306137885,0.693932306137885,1,0,1,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,1,1,0.32912951160781984,0.4337742936469051,-0.024906091785072675,0.45868038543197776,TRUE
1,1970s,Between guild,Flycatchers,Shrikes,Flycatchers | Shrikes,6,0.6938582578062171,0.679502336289723,0.6938582578062171,0.6666666666666666,0,0.6666666666666666,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,3,2,0.3290554632761519,0.10044096031357175,-0.024906091785072675,0.12534705209864438,TRUE
1,1970s,Between guild,Cuckoos,Foliage gleaners,Cuckoos | Foliage gleaners,9,0.6930405010921376,0.6859016924825246,0.6930405010921376,1,0,1,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,1,9,0.32823770656207235,0.4337742936469051,-0.024906091785072675,0.45868038543197776,TRUE
1,1970s,Between guild,Diving ducks,Kingfishers,Diving ducks | Kingfishers,3,0.040447159993756185,0.3205694750992186,0.4495051963191631,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,3,1,-0.324355634536309,0.10044096031357175,0.3084272415482606,-0.20798628123468893,TRUE
1,1970s,Between guild,Foliage gleaners,Reedlings,Foliage gleaners | Reedlings,9,0.04460913182814828,0.06279403759988013,0.14146780908169343,0.2222222222222222,0,0.2222222222222222,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,9,1,-0.3201936627019169,-0.34400348413087267,-0.024906091785072675,-0.31909739234580003,TRUE
1,1970s,Between guild,Shrikes,Thrushes,Shrikes | Thrushes,8,0.6829759394609745,0.7456388705617734,0.6829759394609745,0.625,0,0.625,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,2,4,0.31817314493090926,0.05877429364690512,-0.024906091785072675,0.08368038543197776,TRUE
1,1970s,Between guild,Cuckoos,Low flycatching feeders,Cuckoos | Low flycatching feeders,9,0.6818187752068369,0.7352697291466729,0.6818187752068369,1,0,1,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,1,9,0.31701598067677167,0.4337742936469051,-0.024906091785072675,0.45868038543197776,TRUE
1,1970s,Between guild,Marsh warblers,Wading birds,Marsh warblers | Wading birds,12,0.6815730767658371,0.713726347072808,0.6815730767658371,1,0,1,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,6,2,0.3167702822357719,0.4337742936469051,-0.024906091785072675,0.45868038543197776,FALSE
1,1970s,Between guild,Passerine seedeaters,Reedlings,Passerine seedeaters | Reedlings,12,0.04880333121876183,0.08182632541561667,0.15362790669512755,0,0,0,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,12,1,-0.31599946331130335,-0.5662257063530949,-0.024906091785072675,-0.5413196145680222,FALSE
1,1970s,Between guild,Columbids,Reedlings,Columbids | Reedlings,4,0.04955506123473763,-0.03781464691117735,0.24376886938229697,0.25,0,0.25,0.3648027945300652,0.37206647904249524,0.5662257063530949,0.024906091785072675,0.5413196145680222,4,1,-0.31524773329532757,-0.3162257063530949,-0.024906091785072675,-0.29131961456802224,TRUE
