model_folder,atlas,period,species_a,species_b,omega_mean,pr_positive,pr_negative,pair_id,support_class,is_supported_positive,is_supported_negative,guild_a,migration_group_a,species_thermal_index_a,guild_b,migration_group_b,species_thermal_index_b,guild_1,guild_2,guild_pair,guild_pair_type
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Mergus_merganser,Lullula_arborea,-0.6213230052576855,0.021,0.979,Mergus_merganser__Lullula_arborea,Supported negative,FALSE,TRUE,Aquatic pursuers,short-distance,7.9118621485,Open-land insectivores,short-distance,13.4719748078,Aquatic pursuers,Open-land insectivores,Aquatic pursuers | Open-land insectivores,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Mergus_merganser,Turdus_pilaris,-0.6200028287524726,0.024,0.976,Mergus_merganser__Turdus_pilaris,Supported negative,FALSE,TRUE,Aquatic pursuers,short-distance,7.9118621485,Thrushes,short-distance,10.0287125382,Aquatic pursuers,Thrushes,Aquatic pursuers | Thrushes,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Calidris_alpina,Columba_oenas,-0.6188834944246274,0,1,Calidris_alpina__Columba_oenas,Supported negative,FALSE,TRUE,Scolopacids,long-distance,7.0663752664,Columbids,short-distance,12.4358174295,Columbids,Scolopacids,Columbids | Scolopacids,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Mergus_merganser,Lophophanes_cristatus,-0.6165038241212292,0.025,0.975,Mergus_merganser__Lophophanes_cristatus,Supported negative,FALSE,TRUE,Aquatic pursuers,short-distance,7.9118621485,Tit-like birds,sedentary,11.7118025203,Aquatic pursuers,Tit-like birds,Aquatic pursuers | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Somateria_mollissima,Alcedo_atthis,-0.6135870544881104,0,1,Somateria_mollissima__Alcedo_atthis,Supported negative,FALSE,TRUE,Diving ducks,short-distance,8.1688294838,Kingfishers,sedentary,13.5319163712,Diving ducks,Kingfishers,Diving ducks | Kingfishers,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Anarhynchus_alexandrinus,Motacilla_cinerea,-0.6034032476261779,0.001,0.999,Anarhynchus_alexandrinus__Motacilla_cinerea,Supported negative,FALSE,TRUE,Plovers,short-and long-distance,16.3071703744,Open-land insectivores,sedentary and short-distance,12.9122079488,Open-land insectivores,Plovers,Open-land insectivores | Plovers,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Recurvirostra_avosetta,Columba_oenas,-0.580579692319921,0,1,Recurvirostra_avosetta__Columba_oenas,Supported negative,FALSE,TRUE,Plovers,short-and long-distance,14.5831200661,Columbids,short-distance,12.4358174295,Columbids,Plovers,Columbids | Plovers,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Acanthis_flammea,Corvus_frugilegus,-0.5802564539738819,0.002,0.998,Acanthis_flammea__Corvus_frugilegus,Supported negative,FALSE,TRUE,Passerine seedeaters,short-distance,8.1923087262,Omnivorous corvids,sedentary,12.7340640684,Omnivorous corvids,Passerine seedeaters,Omnivorous corvids | Passerine seedeaters,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Mergus_merganser,Athene_noctua,-0.5791627507049945,0.037,0.963,Mergus_merganser__Athene_noctua,Supported negative,FALSE,TRUE,Aquatic pursuers,short-distance,7.9118621485,Owls,sedentary,14.2083192272,Aquatic pursuers,Owls,Aquatic pursuers | Owls,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Numenius_arquata,Corvus_corax,-0.5756585142088321,0.004,0.996,Numenius_arquata__Corvus_corax,Supported negative,FALSE,TRUE,Scolopacids,short-distance,10.0493203009,Omnivorous corvids,sedentary,11.7378412998,Omnivorous corvids,Scolopacids,Omnivorous corvids | Scolopacids,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Anarhynchus_alexandrinus,Corvus_corax,-0.5685975172184876,0,1,Anarhynchus_alexandrinus__Corvus_corax,Supported negative,FALSE,TRUE,Plovers,short-and long-distance,16.3071703744,Omnivorous corvids,sedentary,11.7378412998,Omnivorous corvids,Plovers,Omnivorous corvids | Plovers,Between guild
