grouping_type,atlas,period,group_pair_type,group_1,group_2,group_pair,support_class,n_class_pairs,n_group_pairs,observed_prop,atlas_prop,observed_minus_atlas_prop,unstable_small_pair_count,bootstrap_mean,bootstrap_median,bootstrap_lower_80,bootstrap_upper_80,bootstrap_lower_95,bootstrap_upper_95
foraging_guild,2,1990s,Between group,Dabbling ducks,Reedlings,Dabbling ducks | Reedlings,Supported positive,7,7,1,0.6518863302302793,0.3481136697697207,TRUE,1,1,1,1,1,1
foraging_guild,2,1990s,Between group,Dabbling ducks,Scolopacids,Dabbling ducks | Scolopacids,Supported positive,60,63,0.9523809523809523,0.6518863302302793,0.300494622150673,FALSE,0.9455714285714375,0.9523809523809523,0.9365079365079365,0.9523809523809523,0.9206349206349206,0.9523809523809523
foraging_guild,2,1990s,Between group,Dabbling ducks,Shrikes,Dabbling ducks | Shrikes,Supported positive,4,14,0.2857142857142857,0.6518863302302793,-0.3661720445159936,FALSE,0.28549999999999676,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
foraging_guild,2,1990s,Between group,Dabbling ducks,Starlings,Dabbling ducks | Starlings,Supported positive,7,7,1,0.6518863302302793,0.3481136697697207,TRUE,1,1,1,1,1,1
foraging_guild,2,1990s,Between group,Dabbling ducks,Terns,Dabbling ducks | Terns,Supported positive,35,35,1,0.6518863302302793,0.3481136697697207,FALSE,1,1,1,1,1,1
foraging_guild,2,1990s,Between group,Dabbling ducks,Thrushes,Dabbling ducks | Thrushes,Supported positive,15,28,0.5357142857142857,0.6518863302302793,-0.11617204451599361,FALSE,0.5198928571428547,0.5357142857142857,0.5,0.5357142857142857,0.5,0.5714285714285714
foraging_guild,2,1990s,Between group,Dabbling ducks,Tit-like birds,Dabbling ducks | Tit-like birds,Supported positive,48,84,0.5714285714285714,0.6518863302302793,-0.08045775880170791,FALSE,0.5668690476190424,0.5714285714285714,0.5476190476190477,0.5833333333333334,0.5357142857142857,0.5833333333333334
foraging_guild,2,1990s,Between group,Dabbling ducks,Wading birds,Dabbling ducks | Wading birds,Supported positive,14,14,1,0.6518863302302793,0.3481136697697207,FALSE,1,1,1,1,1,1
foraging_guild,2,1990s,Between group,Dabbling ducks,Woodpeckers,Dabbling ducks | Woodpeckers,Supported positive,9,35,0.2571428571428571,0.6518863302302793,-0.3947434730874222,FALSE,0.25714285714286117,0.2571428571428571,0.2571428571428571,0.2571428571428571,0.2571428571428571,0.2571428571428571
foraging_guild,2,1990s,Between group,Dippers,Diurnal raptors,Dippers | Diurnal raptors,Supported positive,0,7,0,0.6518863302302793,-0.6518863302302793,TRUE,0.011714285714285708,0,0,0,0,0.14285714285714285
foraging_guild,2,1990s,Between group,Dippers,Diving ducks,Dippers | Diving ducks,Supported positive,0,3,0,0.6518863302302793,-0.6518863302302793,TRUE,0,0,0,0,0,0
foraging_guild,2,1990s,Between group,Dippers,Flycatchers,Dippers | Flycatchers,Supported positive,0,3,0,0.6518863302302793,-0.6518863302302793,TRUE,0,0,0,0,0,0
foraging_guild,2,1990s,Between group,Dippers,Foliage gleaners,Dippers | Foliage gleaners,Supported positive,0,9,0,0.6518863302302793,-0.6518863302302793,TRUE,0,0,0,0,0,0
foraging_guild,2,1990s,Between group,Dippers,Gallinaceous birds,Dippers | Gallinaceous birds,Supported positive,0,2,0,0.6518863302302793,-0.6518863302302793,TRUE,0,0,0,0,0,0
foraging_guild,2,1990s,Between group,Dippers,Grazing waterfowl,Dippers | Grazing waterfowl,Supported positive,0,2,0,0.6518863302302793,-0.6518863302302793,TRUE,0,0,0,0,0,0
foraging_guild,2,1990s,Between group,Dippers,Gulls,Dippers | Gulls,Supported positive,0,5,0,0.6518863302302793,-0.6518863302302793,TRUE,0,0,0,0,0,0
foraging_guild,2,1990s,Between group,Dippers,Kingfishers,Dippers | Kingfishers,Supported positive,1,1,1,0.6518863302302793,0.3481136697697207,TRUE,1,1,1,1,1,1
foraging_guild,2,1990s,Between group,Dippers,Low flycatching feeders,Dippers | Low flycatching feeders,Supported positive,0,9,0,0.6518863302302793,-0.6518863302302793,TRUE,0,0,0,0,0,0
foraging_guild,2,1990s,Between group,Dippers,Marsh warblers,Dippers | Marsh warblers,Supported positive,0,6,0,0.6518863302302793,-0.6518863302302793,TRUE,0,0,0,0,0,0
foraging_guild,2,1990s,Between group,Dippers,Nigthjars,Dippers | Nigthjars,Supported positive,0,1,0,0.6518863302302793,-0.6518863302302793,TRUE,0,0,0,0,0,0
foraging_guild,2,1990s,Between group,Dippers,Omnivorous corvids,Dippers | Omnivorous corvids,Supported positive,0,7,0,0.6518863302302793,-0.6518863302302793,TRUE,0,0,0,0,0,0
foraging_guild,2,1990s,Between group,Dippers,Open-land insectivores,Dippers | Open-land insectivores,Supported positive,0,6,0,0.6518863302302793,-0.6518863302302793,TRUE,0.0015,0,0,0,0,0
foraging_guild,2,1990s,Between group,Dippers,Orioles,Dippers | Orioles,Supported positive,0,1,0,0.6518863302302793,-0.6518863302302793,TRUE,0,0,0,0,0,0
foraging_guild,2,1990s,Between group,Dippers,Owls,Dippers | Owls,Supported positive,1,5,0.2,0.6518863302302793,-0.4518863302302793,TRUE,0.20019999999999716,0.2,0.2,0.2,0.2,0.2
foraging_guild,2,1990s,Between group,Dippers,Passerine seedeaters,Dippers | Passerine seedeaters,Supported positive,0,12,0,0.6518863302302793,-0.6518863302302793,FALSE,8.333333333333333e-5,0,0,0,0,0
foraging_guild,2,1990s,Between group,Dippers,Plovers,Dippers | Plovers,Supported positive,0,6,0,0.6518863302302793,-0.6518863302302793,TRUE,0,0,0,0,0,0
foraging_guild,2,1990s,Between group,Dippers,Rails,Dippers | Rails,Supported positive,0,5,0,0.6518863302302793,-0.6518863302302793,TRUE,0,0,0,0,0,0
foraging_guild,2,1990s,Between group,Dippers,Reedlings,Dippers | Reedlings,Supported positive,0,1,0,0.6518863302302793,-0.6518863302302793,TRUE,0,0,0,0,0,0
foraging_guild,2,1990s,Between group,Dippers,Scolopacids,Dippers | Scolopacids,Supported positive,0,9,0,0.6518863302302793,-0.6518863302302793,TRUE,0,0,0,0,0,0
foraging_guild,2,1990s,Between group,Dippers,Shrikes,Dippers | Shrikes,Supported positive,0,2,0,0.6518863302302793,-0.6518863302302793,TRUE,0,0,0,0,0,0
foraging_guild,2,1990s,Between group,Dippers,Starlings,Dippers | Starlings,Supported positive,0,1,0,0.6518863302302793,-0.6518863302302793,TRUE,0,0,0,0,0,0
