model_folder,atlas,period,species_a,species_b,omega_mean,pr_positive,pr_negative,pair_id,support_class,is_supported_positive,is_supported_negative,guild_a,migration_group_a,species_thermal_index_a,guild_b,migration_group_b,species_thermal_index_b,guild_1,guild_2,guild_pair,guild_pair_type
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Sternula_albifrons,Sitta_europaea,-0.3058936033639745,0.051,0.949,Sternula_albifrons__Sitta_europaea,Unsupported,FALSE,FALSE,Terns,long-distance,13.6554594356,Tit-like birds,sedentary,12.7946675987,Terns,Tit-like birds,Terns | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Thalasseus_sandvicensis,Sitta_europaea,0.06735673921640113,0.618,0.382,Thalasseus_sandvicensis__Sitta_europaea,Unsupported,FALSE,FALSE,Terns,short-and long-distance,12.309341223,Tit-like birds,sedentary,12.7946675987,Terns,Tit-like birds,Terns | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Tringa_glareola,Sitta_europaea,-0.4988408364012894,0.036,0.964,Tringa_glareola__Sitta_europaea,Supported negative,FALSE,TRUE,Scolopacids,long-distance,7.6706167812,Tit-like birds,sedentary,12.7946675987,Scolopacids,Tit-like birds,Scolopacids | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Tringa_ochropus,Sitta_europaea,0.5188958490615365,0.992,0.008,Tringa_ochropus__Sitta_europaea,Supported positive,TRUE,FALSE,Scolopacids,short-and long-distance,9.8785200822,Tit-like birds,sedentary,12.7946675987,Scolopacids,Tit-like birds,Scolopacids | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Tringa_totanus,Sitta_europaea,-0.228800194747464,0.008,0.992,Tringa_totanus__Sitta_europaea,Supported negative,FALSE,TRUE,Scolopacids,short-distance,11.0359375128,Tit-like birds,sedentary,12.7946675987,Scolopacids,Tit-like birds,Scolopacids | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Vanellus_vanellus,Sitta_europaea,0.143199040331577,0.96,0.04,Vanellus_vanellus__Sitta_europaea,Supported positive,TRUE,FALSE,Plovers,short-distance,11.532605723,Tit-like birds,sedentary,12.7946675987,Plovers,Tit-like birds,Plovers | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Columba_oenas,Sitta_europaea,0.8522940167378051,1,0,Columba_oenas__Sitta_europaea,Supported positive,TRUE,FALSE,Columbids,short-distance,12.4358174295,Tit-like birds,sedentary,12.7946675987,Columbids,Tit-like birds,Columbids | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Columba_palumbus,Sitta_europaea,0.7776462173480071,1,0,Columba_palumbus__Sitta_europaea,Supported positive,TRUE,FALSE,Columbids,sedentary and short-distance,12.2214205187,Tit-like birds,sedentary,12.7946675987,Columbids,Tit-like birds,Columbids | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Streptopelia_decaocto,Sitta_europaea,0.3917035129144151,1,0,Streptopelia_decaocto__Sitta_europaea,Supported positive,TRUE,FALSE,Columbids,sedentary,12.9162282666,Tit-like birds,sedentary,12.7946675987,Columbids,Tit-like birds,Columbids | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Streptopelia_turtur,Sitta_europaea,0.01016095840194005,0.516,0.484,Streptopelia_turtur__Sitta_europaea,Unsupported,FALSE,FALSE,Columbids,long-distance,13.7662137901,Tit-like birds,sedentary,12.7946675987,Columbids,Tit-like birds,Columbids | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Alcedo_atthis,Sitta_europaea,0.689639293387224,1,0,Alcedo_atthis__Sitta_europaea,Supported positive,TRUE,FALSE,Kingfishers,sedentary,13.5319163712,Tit-like birds,sedentary,12.7946675987,Kingfishers,Tit-like birds,Kingfishers | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Cuculus_canorus,Sitta_europaea,0.283704801670366,0.998,0.002,Cuculus_canorus__Sitta_europaea,Supported positive,TRUE,FALSE,Cuckoos,long-distance,12.1394391784,Tit-like birds,sedentary,12.7946675987,Cuckoos,Tit-like birds,Cuckoos | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Falco_tinnunculus,Sitta_europaea,0.5507323400509662,1,0,Falco_tinnunculus__Sitta_europaea,Supported positive,TRUE,FALSE,Diurnal raptors,sedentary and short-distance,12.4263636442,Tit-like birds,sedentary,12.7946675987,Diurnal raptors,Tit-like birds,Diurnal raptors | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Coturnix_coturnix,Sitta_europaea,0.03305575361151025,0.631,0.369,Coturnix_coturnix__Sitta_europaea,Unsupported,FALSE,FALSE,Gallinaceous birds,short-and long-distance,13.6002736383,Tit-like birds,sedentary,12.7946675987,Gallinaceous birds,Tit-like birds,Gallinaceous birds | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Perdix_perdix,Sitta_europaea,0.3250279588580658,1,0,Perdix_perdix__Sitta_europaea,Supported positive,TRUE,FALSE,Gallinaceous birds,sedentary,12.8463889005,Tit-like birds,sedentary,12.7946675987,Gallinaceous birds,Tit-like birds,Gallinaceous birds | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Crex_crex,Sitta_europaea,0.0577312999914067,0.722,0.278,Crex_crex__Sitta_europaea,Unsupported,FALSE,FALSE,Rails,long-distance,11.9688491073,Tit-like birds,sedentary,12.7946675987,Rails,Tit-like birds,Rails | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Fulica_atra,Sitta_europaea,0.3456167488086904,0.999,0.001,Fulica_atra__Sitta_europaea,Supported positive,TRUE,FALSE,Rails,sedentary and short-distance,12.9624637063,Tit-like birds,sedentary,12.7946675987,Rails,Tit-like birds,Rails | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage,3,2010s,Gallinula_chloropus,Sitta_europaea,0.5703463277373737,1,0,Gallinula_chloropus__Sitta_europaea,Supported positive,TRUE,FALSE,Rails,sedentary and short-distance,13.3437206998,Tit-like birds,sedentary,12.7946675987,Rails,Tit-like birds,Rails | Tit-like birds,Between guild
