grouping_type,display_name,group_pair_type,group_1,group_2,group_pair,n_group_pairs,support_class,n_periods,mean_observed_minus_null,min_observed_minus_null,max_observed_minus_null,min_abs_null_z,max_abs_observed_minus_null,n_fdr_0_05,all_above_null,all_below_null,excess_1970s,excess_1990s,excess_2010s,delta_2010s_minus_1970s,sign_flip_1970s_to_2010s,temporal_pattern,unstable_small_pair_count
foraging_guild,Foraging guild,Between group,Diurnal raptors,Plovers,Diurnal raptors | Plovers,42,Supported negative,3,0.1321639099416874,0.08882692216025524,0.21593021593021577,2.1306620819957183,0.21593021593021577,0,TRUE,FALSE,0.21593021593021577,0.08882692216025524,0.09173459173459117,-0.1241956241956246,FALSE,Consistently above null,FALSE
foraging_guild,Foraging guild,Between group,Aquatic pursuers,Buntings,Aquatic pursuers | Buntings,18,Supported negative,3,0.13213213213213196,0.08263819374930476,0.22811700589478331,1.7665528945738393,0.22811700589478331,0,TRUE,FALSE,0.08564119675230777,0.08263819374930476,0.22811700589478331,0.14247580914247554,FALSE,Consistently above null,FALSE
foraging_guild,Foraging guild,Between group,Columbids,Gulls,Columbids | Gulls,20,Supported negative,3,0.1819986653319986,0.07092092092092075,0.2501001001001002,1.630673752788798,0.2501001001001002,0,TRUE,FALSE,0.22497497497497482,0.07092092092092075,0.2501001001001002,0.02512512512512538,FALSE,Consistently above null,FALSE
foraging_guild,Foraging guild,Between group,Columbids,Terns,Columbids | Terns,20,Supported negative,3,0.14673006339673,0.06921921921921907,0.2746246246246245,1.4997237079351111,0.2746246246246245,0,TRUE,FALSE,0.2746246246246245,0.06921921921921907,0.09634634634634646,-0.17827827827827802,FALSE,Consistently above null,FALSE
foraging_guild,Foraging guild,Between group,Aquatic pursuers,Columbids,Aquatic pursuers | Columbids,24,Supported negative,3,0.08971471471471468,0.056348014681347945,0.11632465799132471,1.3934701803154925,0.11632465799132471,0,TRUE,FALSE,0.056348014681347945,0.09647147147147139,0.11632465799132471,0.05997664330997677,FALSE,Consistently above null,FALSE
foraging_guild,Foraging guild,Between group,Passerine seedeaters,Wading birds,Passerine seedeaters | Wading birds,24,Supported negative,3,0.0769658547436325,0.05868368368368364,0.09626292959626286,1.376687672249729,0.09626292959626286,0,TRUE,FALSE,0.05868368368368364,0.09626292959626286,0.07595095095095102,0.017267267267267378,FALSE,Consistently above null,FALSE
foraging_guild,Foraging guild,Between group,Foliage gleaners,Passerine seedeaters,Foliage gleaners | Passerine seedeaters,108,Supported negative,3,-0.03495470779421431,-0.050661772883995655,-0.02444110777444134,1.269863165838003,0.050661772883995655,0,FALSE,TRUE,-0.02444110777444134,-0.029761242724205928,-0.050661772883995655,-0.026220665109554314,FALSE,Consistently below null,FALSE
foraging_guild,Foraging guild,Between group,Foliage gleaners,Tit-like birds,Foliage gleaners | Tit-like birds,108,Supported negative,3,-0.03464884637724179,-0.05131056982908894,-0.023504986467949674,1.2139293505907809,0.05131056982908894,0,FALSE,TRUE,-0.023504986467949674,-0.029130982834686767,-0.05131056982908894,-0.027805583361139263,FALSE,Consistently below null,FALSE
foraging_guild,Foraging guild,Between group,Omnivorous corvids,Tit-like birds,Omnivorous corvids | Tit-like birds,84,Supported negative,3,-0.030355752577975056,-0.03818103818103847,-0.024584107917441495,1.1420469564460414,0.03818103818103847,0,FALSE,TRUE,-0.024584107917441495,-0.028302111635445208,-0.03818103818103847,-0.013596930263596974,FALSE,Consistently below null,FALSE
foraging_guild,Foraging guild,Between group,Foliage gleaners,Low flycatching feeders,Foliage gleaners | Low flycatching feeders,81,Supported negative,3,-0.03508034783754928,-0.0504825813467787,-0.0243206169132093,1.0712272505377995,0.0504825813467787,0,FALSE,TRUE,-0.0243206169132093,-0.030437845252659825,-0.0504825813467787,-0.026161964433569402,FALSE,Consistently below null,FALSE
foraging_guild,Foraging guild,Between group,Columbids,Dabbling ducks,Columbids | Dabbling ducks,28,Supported negative,3,0.05907097573764247,0.04540254540254539,0.07593307593307591,1.0519618389358707,0.07593307593307591,0,TRUE,FALSE,0.04540254540254539,0.07593307593307591,0.055877305877306126,0.010474760474760737,FALSE,Consistently above null,FALSE
foraging_guild,Foraging guild,Between group,Open-land insectivores,Passerine seedeaters,Open-land insectivores | Passerine seedeaters,72,Supported negative,3,-0.02985392800207631,-0.035438215993771546,-0.024218663107552215,1.0294389393949337,0.035438215993771546,0,FALSE,TRUE,-0.024218663107552215,-0.029904904904905168,-0.035438215993771546,-0.011219552886219331,FALSE,Consistently below null,FALSE
foraging_guild,Foraging guild,Between group,Diurnal raptors,Foliage gleaners,Diurnal raptors | Foliage gleaners,63,Supported negative,3,-0.034711960637886695,-0.050971606527162636,-0.02399224621446836,1.019521214190672,0.050971606527162636,0,FALSE,TRUE,-0.02399224621446836,-0.02917202917202908,-0.050971606527162636,-0.026979360312694274,FALSE,Consistently below null,FALSE
foraging_guild,Foraging guild,Between group,Dabbling ducks,Foliage gleaners,Dabbling ducks | Foliage gleaners,63,Supported negative,3,-0.03621081398859187,-0.05303716414827576,-0.025406358739691992,1.0017958940420992,0.05303716414827576,0,FALSE,TRUE,-0.025406358739691992,-0.03018891907780787,-0.05303716414827576,-0.027630805408583765,FALSE,Consistently below null,FALSE
foraging_guild,Foraging guild,Between group,Owls,Passerine seedeaters,Owls | Passerine seedeaters,60,Supported negative,3,-0.0359581804026249,-0.052102102102102046,-0.025792459125792554,0.996097418255812,0.052102102102102046,0,FALSE,TRUE,-0.025792459125792554,-0.02997997997998009,-0.052102102102102046,-0.026309642976309493,FALSE,Consistently below null,FALSE
foraging_guild,Foraging guild,Between group,Foliage gleaners,Omnivorous corvids,Foliage gleaners | Omnivorous corvids,63,Supported negative,3,-0.034706664336294074,-0.05028838362171745,-0.024453024453024375,0.9876530123075913,0.05028838362171745,0,FALSE,TRUE,-0.024453024453024375,-0.029378584934140396,-0.05028838362171745,-0.025835359168693072,FALSE,Consistently below null,FALSE
foraging_guild,Foraging guild,Between group,Passerine seedeaters,Woodpeckers,Passerine seedeaters | Woodpeckers,60,Supported negative,3,-0.03428984540095659,-0.05065065065065067,-0.024224224224224333,0.980815185285282,0.05065065065065067,0,FALSE,TRUE,-0.024224224224224333,-0.027994661327994767,-0.05065065065065067,-0.026426426426426338,FALSE,Consistently below null,FALSE
foraging_guild,Foraging guild,Within group,Tit-like birds,Tit-like birds,Tit-like birds,66,Supported negative,3,-0.03398347842792323,-0.049731549731550286,-0.023402190068856996,0.9659288437025477,0.049731549731550286,0,FALSE,TRUE,-0.023402190068856996,-0.028816695483362405,-0.049731549731550286,-0.02632935966269329,FALSE,Consistently below null,FALSE
foraging_guild,Foraging guild,Within group,Passerine seedeaters,Passerine seedeaters,Passerine seedeaters,66,Supported negative,3,-0.03554564665675812,-0.051369551369551916,-0.025404192070858995,0.9605883957430436,0.051369551369551916,0,FALSE,TRUE,-0.025404192070858995,-0.029863196529863453,-0.051369551369551916,-0.02596535929869292,FALSE,Consistently below null,FALSE
foraging_guild,Foraging guild,Between group,Foliage gleaners,Open-land insectivores,Foliage gleaners | Open-land insectivores,54,Supported negative,3,-0.035133899331430476,-0.050884217550884715,-0.023801579357135047,0.9592524643922238,0.050884217550884715,0,FALSE,TRUE,-0.023801579357135047,-0.030715901086271678,-0.050884217550884715,-0.027082638193749668,FALSE,Consistently below null,FALSE
foraging_guild,Foraging guild,Between group,Gulls,Tit-like birds,Gulls | Tit-like birds,60,Supported positive,3,-0.4790512734957184,-0.5492826159492827,-0.4213546880213544,3.887378972918985,0.5492826159492827,0,FALSE,TRUE,-0.46651651651651804,-0.4213546880213544,-0.5492826159492827,-0.0827660994327647,FALSE,Consistently below null,FALSE
foraging_guild,Foraging guild,Between group,Terns,Woodpeckers,Terns | Woodpeckers,25,Supported positive,3,-0.5665799132465796,-0.5734534534534529,-0.5604804804804802,3.8650268093854607,0.5734534534534529,0,FALSE,TRUE,-0.5604804804804802,-0.565805805805806,-0.5734534534534529,-0.01297297297297273,FALSE,Consistently below null,FALSE
