"survey","site","rarity_score","rarity_percentile","rarity_rank","is_top_decile","tmean_year","tmean_winter","tmean_breeding","prec_year","prec_winter","prec_breeding","hh","unique","perc_urban","perc_cropland","perc_pasture","perc_forest","perc_grass_shrub","perc_fresh_saltwater","hotspot_group","dominant_landcover"
"FH24_3","FH24",0.24274577361422,0.974251182343668,50,TRUE,9.97016900825721,2.46645026027694,9.85868741073164,496.297329031461,118.069380802495,192.200289059384,0.650017128656368,5,0.252695284387627,0.487687505230532,0.0243546651808716,0.0175775881840256,0,0.217684957016943,"Top-decile rarity hotspots","Cropland"
"DB65_3","DB65",0.242295391488953,0.973725696269049,51,TRUE,9.63741082906065,2.61196260661622,9.53158752187441,490.492276311889,138.486869298857,174.846482408305,0.6333873862341,4,0.0668659685768223,0.0996656643066436,0.373046592718702,0.460421774397832,0,0,"Top-decile rarity hotspots","Forest"
"BC94_3","BC94",0.24180897281709,0.97320021019443,52,TRUE,9.76028497939304,2.95462333565936,9.51435552895859,582.99731903506,169.161874498464,205.583478485001,0.689268922180673,7,0.0266401274048868,0.13071391331395,0.488568994729132,0.166714001521737,0.0487093353700269,0.138653627660268,"Top-decile rarity hotspots","Pasture"
"BD07_3","BD07",0.232787486331975,0.972674724119811,53,TRUE,9.91284472499683,3.36895244664358,9.49231411128926,602.42124289611,168.189405586281,192.014200336059,0.370510200648366,4,0.0235230135783356,0,0.181246146368531,0,0,0.795230840053133,"Top-decile rarity hotspots","Fresh/saltwater"
"BG30_3","BG30",0.231919686776266,0.972149238045192,54,TRUE,10.2651025826159,3.26723767239517,9.90589385307486,611.735078827439,145.848806545932,208.11064499615,0.616018918375016,4,0,0,0.145340395889113,0,0.0121773340185866,0.706788413028025,"Top-decile rarity hotspots","Fresh/saltwater"
"EF02_3","EF02",0.229275166098427,0.971623751970573,55,TRUE,9.85984733326354,2.65182974084823,9.70660242800226,473.305524446043,120.534635430828,180.765291953415,0.39910929746746,5,0.07306400025999,0.0526263634181411,0,0,0.0282716966649657,0.846037939656904,"Top-decile rarity hotspots","Fresh/saltwater"
"GE11_3","GE11",0.227832722821423,0.971098265895954,56,TRUE,9.26903156619212,1.29029849974935,9.42003961506662,522.897710940815,125.297296849943,198.527341835086,0.12059583889349,3,0.0331429490393378,0,0,0.936694136099156,0,0.0301629148615064,"Top-decile rarity hotspots","Forest"
"BF43_3","BF43",0.223292370126132,0.970572779821335,57,TRUE,9.94783825092297,2.82715804480319,9.67703918548543,634.235192305062,166.404012280058,213.256904593216,0.730909996137171,5,0.137719935261299,0.37673880778815,0.205959057972134,0.224784197485177,0.0547980014932404,0,"Top-decile rarity hotspots","Cropland"
"DD57_3","DD57",0.222578516685013,0.970047293746716,58,TRUE,9.6177949561068,2.10017242739937,9.69130872337842,500.870059603634,135.628387702512,190.782755448983,0.754940212536592,6,0.0487093336253906,0.342576585849205,0,0.129639154364381,0.132895829003049,0.346179097157974,"Top-decile rarity hotspots","Fresh/saltwater"
"BF29_3","BF29",0.221602408549785,0.969521807672097,59,TRUE,9.95583926532853,2.93331729762239,9.66678019920392,623.753305057953,166.215381429163,208.511085805278,0.641331790713651,4,0,0.415026132930708,0.386470900603441,0,0,0.198502966465852,"Top-decile rarity hotspots","Cropland"
"BD06_3","BD06",0.220431859278361,0.968996321597478,60,TRUE,9.91197164192329,3.3649850514116,9.48803445641184,603.839145661293,167.941536025081,192.071041527756,0.531779448865229,4,0.14080531551933,0,0.000868240509841608,0,0,0.858326443970828,"Top-decile rarity hotspots","Fresh/saltwater"
"GF01_3","GF01",0.219649786168268,0.968470835522859,61,TRUE,9.63767732628938,1.94116995673649,9.62521612195159,485.055569974332,120.204506377793,181.156396457798,0.744547212135753,5,0.321889274426843,0.189906994009869,0.0974186707415182,0,0,0.39078506082177,"Top-decile rarity hotspots","Fresh/saltwater"
"EG26_3","EG26",0.219095391328168,0.96794534944824,62,TRUE,9.88153570519064,2.74786519285803,9.68608921367291,489.800605432344,124.866088038006,184.680697856718,0.655005038661807,6,0.486655232012813,0.298313425112642,0,0.121773330966446,0.00111627630264814,0.0921417356054504,"Top-decile rarity hotspots","Urban"
"GF38_3","GF38",0.214977140777176,0.967419863373621,63,TRUE,9.24762701900553,1.24273915082629,9.37715365728651,526.796227101678,127.961018580924,200.396126803301,0.500952798823691,4,0.215246718171927,0,0.0938019566415381,0.66517826173942,0,0.0257730634471147,"Top-decile rarity hotspots","Forest"
"BG54_3","BG54",0.211411961480209,0.966894377299002,64,TRUE,10.1307636893228,2.91128977678519,9.86882560346186,640.362182413767,158.437097522361,220.614182861959,0.527957650416554,4,0,0.133614170663983,0.198680491653768,0,0,0.667705337682249,"Top-decile rarity hotspots","Fresh/saltwater"
"HA34_3","HA34",0.210559114547323,0.966368891224383,65,TRUE,9.01713874168456,2.06353849147478,8.48662092784028,496.133729390649,121.111488503444,163.437032105713,0.322122851719805,4,0.00577098149679362,0.14511630382615,0,0.809439948946143,0.0396727657309137,0,"Top-decile rarity hotspots","Forest"
