"survey","site","atlas","period","X","Y","species_richness","rarity_score","rarity_percentile","rarity_rank","is_top_decile"
"DC42_3","DC42","3","2010s",572499.817662444,6312499.92703907,83,0.183888187029989,0.952180767209669,92,TRUE
"CD81_3","CD81","3","2010s",542499.908120496,6257499.75566673,91,0.183412797033178,0.95165528113505,93,TRUE
"EF81_3","EF81","3","2010s",642500.207657552,6157499.79439164,73,0.183280888330109,0.951129795060431,94,TRUE
"FG51_3","FG51","3","2010s",677500.276919495,6107499.58995567,73,0.183241079238345,0.950604308985812,95,TRUE
"GE43_3","GE43","3","2010s",722500.456929324,6217499.83337967,88,0.182398780542456,0.950078822911193,96,TRUE
"EH13_3","EH13","3","2010s",607500.249096688,6067499.87679719,73,0.181637715777471,0.949553336836574,97,TRUE
"CG39_3","CG39","3","2010s",517500.085559445,6147499.87573738,85,0.18106104913895,0.949027850761955,98,TRUE
"GH07_3","GH07","3","2010s",702500.205594414,6087499.49148216,89,0.180648905151199,0.948502364687336,99,TRUE
"GE23_3","GE23","3","2010s",712500.44443753,6217499.85027927,101,0.180290972905241,0.947976878612717,100,TRUE
"FG66_3","FG66","3","2010s",682500.271559889,6132499.65912476,87,0.180242415045491,0.947451392538098,101,TRUE
"DE24_3","DE24","3","2010s",562500.006769489,6222499.72282889,74,0.179757004291084,0.946925906463479,102,TRUE
"CC71_3","CC71","3","2010s",537499.821273543,6307499.72602412,89,0.179140274773124,0.94640042038886,103,TRUE
"EG42_3","EG42","3","2010s",622500.177891348,6112499.76297393,70,0.179129147436572,0.945874934314241,104,TRUE
"CH55_3","CH55","3","2010s",527500.122035771,6077499.81282409,59,0.17901928645745,0.945349448239622,105,TRUE
"CE74_3","CE74","3","2010s",537500.059636443,6222499.64840361,81,0.17871796831678,0.944823962165003,106,TRUE
"BG58_3","BG58","3","2010s",477500.024417464,6142499.83759001,72,0.178419641782182,0.944298476090384,107,TRUE
"FH81_3","FH81","3","2010s",692500.024203182,6057499.60869983,61,0.178260320676332,0.943772990015765,108,TRUE
"GE02_3","GE02","3","2010s",702500.433428808,6212499.84805962,82,0.177892843817547,0.943247503941146,109,TRUE
"CD71_3","CD71","3","2010s",537499.900914107,6257499.73950261,103,0.17680675983136,0.942722017866527,110,TRUE
"DB57_3","DB57","3","2010s",577499.537492288,6387499.64755162,84,0.176130848384247,0.942196531791908,111,TRUE
"BE80_3","BE80","3","2010s",492500.076908323,6202499.7431628,73,0.176071369207148,0.941671045717289,112,TRUE
"DB74_3","DB74","3","2010s",587499.440585248,6372499.78416388,66,0.176063464202912,0.94114555964267,113,TRUE
