trait_family,trait_value,n_species,base_site,site_from,site_to,period_from,period_to,probability_from,probability_to,probability_delta,expected_group_richness_from,expected_group_richness_to,expected_group_richness_delta,expected_total_richness_from,expected_total_richness_to
Migratory strategy,long-distance,44,DC22,DC22,DC22,1970s,2010s,0.26220367748040324,0.24724127323913722,-0.01496240424126602,11.164629562365539,12.407804988601805,1.2431754262362666,42.57998846412048,50.18500683986004
Migratory strategy,long-distance,44,DC23,DC23,DC23,1970s,2010s,0.2759784802705887,0.23628200979203506,-0.039696470478553625,19.694063636698747,15.671847347373108,-4.022216289325639,71.3608670407537,66.32687508103885
Migratory strategy,long-distance,44,DC24,DC24,DC24,1970s,2010s,0.2624907534533725,0.2345038258132317,-0.027986927640140824,10.832383734447294,17.940272886433906,7.107889151986612,41.26767740171656,76.50311385845902
Migratory strategy,long-distance,44,DC25,DC25,DC25,1970s,2010s,0.27730170356869455,0.25188744447939415,-0.025414259089300395,13.594785411913485,17.26992907169231,3.6751436597788256,49.02525024894309,68.56208775068616
Migratory strategy,long-distance,44,BD29,BD29,BD29,1970s,2010s,0.19479645428002737,0.2438926574514839,0.04909620317145652,8.422459196723072,13.46061615855125,5.038156961828179,43.23723051249929,55.19073964425883
Migratory strategy,long-distance,44,DC26,DC26,DC26,1970s,2010s,0.2531339225014512,0.2312259370422546,-0.021907985459196616,18.188548316440038,17.654905586837906,-0.533642729602132,71.85346055835626,76.35348271336714
Migratory strategy,long-distance,44,DC27,DC27,DC27,1970s,2010s,0.28356280055574523,0.2519196446721838,-0.031643155883561425,15.395949111590044,15.179821941562222,-0.21612717002782134,54.294671520439344,60.25660270089422
Migratory strategy,long-distance,44,DC28,DC28,DC28,1970s,2010s,0.2621275183677564,0.2498390692622861,-0.012288449105470278,16.51901769537911,14.544726022569082,-1.9742916728100273,63.019013792376676,58.21637930975373
Migratory strategy,long-distance,44,DC30,DC30,DC30,1970s,2010s,0.2509604212666341,0.24067590794102464,-0.010284513325609451,10.41886546989946,15.598814779133113,5.179949309233653,41.51597059533896,64.81253114439463
Migratory strategy,long-distance,44,DC31,DC31,DC31,1970s,2010s,0.25461429651834766,0.2512039397227091,-0.0034103567956385583,11.235491241690125,16.466095703196224,5.230604461506099,44.127495570070984,65.54871600092055
Migratory strategy,long-distance,44,DC32,DC32,DC32,1970s,2010s,0.2686437003647039,0.2612695480878044,-0.007374152276899526,14.884302072561168,14.517504304233803,-0.36679776832736444,55.405364251440155,55.56523678509572
Migratory strategy,long-distance,44,DC33,DC33,DC33,1970s,2010s,0.28006451680091526,0.25813326798803427,-0.021931248812881,16.917115507425308,14.49669537993741,-2.4204201274878976,60.40435147109654,56.15973288886345
Migratory strategy,long-distance,44,DC34,DC34,DC34,1970s,2010s,0.276228415183919,0.2663339596039137,-0.00989445558000529,10.416763370721824,17.028484141771756,6.6117207710499315,37.71068723609087,63.936586108268585
Migratory strategy,long-distance,44,DC35,DC35,DC35,1970s,2010s,0.2629999192404692,0.24674923853503708,-0.016250680705432147,10.272847676981815,15.980985232382741,5.708137555400926,39.06026932118189,64.7660974650324
Migratory strategy,long-distance,44,DC36,DC36,DC36,1970s,2010s,0.25531956729710603,0.253898608100182,-0.001420959196924032,10.702988600015544,17.397619759527746,6.694631159512202,41.91996999415587,68.52191861037333
Migratory strategy,long-distance,44,DC37,DC37,DC37,1970s,2010s,0.22146135583182905,0.2569946539431106,0.03553329811128156,9.325178453482586,16.05715990445744,6.731981450974853,42.10747477119141,62.48052112403832
Migratory strategy,long-distance,44,DC39,DC39,DC39,1970s,2010s,0.2013229054561629,0.23007799356263586,0.028755088106472954,7.168120960829215,14.223519663509617,7.055398702680401,35.60509393895092,61.820426383531725
Migratory strategy,long-distance,44,DC40,DC40,DC40,1970s,2010s,0.2549777940779163,0.25044780688419943,-0.004529987193716889,16.961093666643645,22.795867061667767,5.834773395024122,66.51988549818836,91.02042994614038
Migratory strategy,long-distance,44,DC41,DC41,DC41,1970s,2010s,0.2662064617065337,0.2709374665279089,0.004731004821375173,15.015962737449524,25.109571702386575,10.09360896493705,56.40720605047949,92.67663134290093
Migratory strategy,long-distance,44,DC42,DC42,DC42,1970s,2010s,0.24715933714911392,0.2500692996236102,0.0029099624744962638,15.954971685778276,20.204701828307215,4.249730142528939,64.5533843463598,80.79641066983497
Migratory strategy,long-distance,44,DC43,DC43,DC43,1970s,2010s,0.2618901781441741,0.24715897025495467,-0.014731207889219416,10.557141295118324,14.401123347836814,3.8439820527184896,40.31132961888504,58.26664244871008
Migratory strategy,long-distance,44,DC45,DC45,DC45,1970s,2010s,0.2897410591976086,0.2596399521467819,-0.030101107050826692,10.566112036358724,14.23196663277349,3.665854596414766,36.46743083503552,54.81423993148694
Migratory strategy,long-distance,44,BD31,BD31,BD31,1970s,2010s,0.24627784560022115,0.22033353135148148,-0.025944314248739664,11.006536557546326,13.053204167817887,2.0466676102715606,44.691541501516376,59.242930877348364
Migratory strategy,long-distance,44,DC48,DC48,DC48,1970s,2010s,0.21394784096897224,0.22517071333176716,0.011222872362794928,8.697260608461622,15.234694604329091,6.5374339958674685,40.651312810971255,67.65841960043112
Migratory strategy,long-distance,44,DC49,DC49,DC49,1970s,2010s,0.1864342027440909,0.21872086304842722,0.03228666030433633,7.658012794620021,15.790305144340163,8.132292349720142,41.07622250586605,72.19386813065023
Migratory strategy,long-distance,44,DC50,DC50,DC50,1970s,2010s,0.2173332907323058,0.25368057658921356,0.036347285856907746,9.018575475763582,19.468247445958074,10.449671970194492,41.49652105931603,76.74315356623902
Migratory strategy,long-distance,44,DC51,DC51,DC51,1970s,2010s,0.2405360818627442,0.2537089650183519,0.01317288315560769,8.623558863410775,18.574724488172816,9.95116562476204,35.85141487559272,73.21272422056204
Migratory strategy,long-distance,44,DC52,DC52,DC52,1970s,2010s,0.21493703435783462,0.2418248689576351,0.026887834599800486,4.3274624559170665,14.75782432473008,10.430361868813014,20.133628757120363,61.026909218817686
Migratory strategy,long-distance,44,DC53,DC53,DC53,1970s,2010s,0.24086023851605223,0.2363573736036966,-0.004502864912355631,13.66009335045333,14.679399490318447,1.019306139865117,56.713774903710174,62.10679728964827
Migratory strategy,long-distance,44,BD32,BD32,BD32,1970s,2010s,0.2808797174558161,0.2218557382265114,-0.05902397922930469,9.974062945854206,12.271820818641283,2.297757872787077,35.51008608310488,55.31441700242135
Migratory strategy,long-distance,44,DC56,DC56,DC56,1970s,2010s,0.28158368213797164,0.2543757155841402,-0.027207966553831453,11.076126876734332,15.89189607341965,4.815769196685318,39.335116270364,62.47410857174795
