"","kvadratkod","survey","tmean_breeding"
"BD11","BD11","BD11_3",9.46405798879842
"BD12","BD12","BD12_3",9.3631044442041
"BD13","BD13","BD13_3",9.34184221392785
"BD14","BD14","BD14_3",9.47961303381031
"BD16","BD16","BD16_3",9.45690840160754
"BD17","BD17","BD17_3",9.29726286033277
"BD18","BD18","BD18_3",9.41404941316378
"BD19","BD19","BD19_3",9.43854658681581
"BD20","BD20","BD20_3",9.48309195275869
"BD21","BD21","BD21_3",9.42280217069296
"BD22","BD22","BD22_3",9.36972618417514
"BD23","BD23","BD23_3",9.24941203153204
"BD24","BD24","BD24_3",9.44020322863269
"BD26","BD26","BD26_3",9.46749274992834
"BD27","BD27","BD27_3",9.22283466128752
"BD28","BD28","BD28_3",9.29407289646787
"BD29","BD29","BD29_3",9.39924365650276
"BD30","BD30","BD30_3",9.43382524248643
"BD31","BD31","BD31_3",9.3762896391359
"BD32","BD32","BD32_3",9.38054496427746
"BD33","BD33","BD33_3",9.44057902089683
"BD34","BD34","BD34_3",9.52631912017419
"BD35","BD35","BD35_3",9.50178847436143
"BD36","BD36","BD36_3",9.47642914911674
"BD37","BD37","BD37_3",9.43214800904353
"BD38","BD38","BD38_3",9.42818752418514
"BD39","BD39","BD39_3",9.41232439255192
"BD40","BD40","BD40_3",9.37434788805417
"BD41","BD41","BD41_3",9.41771995067793
"BD42","BD42","BD42_3",9.49501427443925
"BD43","BD43","BD43_3",9.53180216794695
"BD44","BD44","BD44_3",9.54322734154948
"BD45","BD45","BD45_3",9.4514580855704
"BD46","BD46","BD46_3",9.52418787391363
"BD47","BD47","BD47_3",9.51790035631078
"BD48","BD48","BD48_3",9.5206629996119
"BD49","BD49","BD49_3",9.47490395510597
"BD50","BD50","BD50_3",9.39460855330446
"BD51","BD51","BD51_3",9.51133914720811
"BD52","BD52","BD52_3",9.6021595216716
"BD53","BD53","BD53_3",9.5903977194171
"BD54","BD54","BD54_3",9.57929046432224
"BD55","BD55","BD55_3",9.56245008327245
"BD56","BD56","BD56_3",9.54814470413944
"BD57","BD57","BD57_3",9.48080291895908
"BD58","BD58","BD58_3",9.42486503183168
"BD59","BD59","BD59_3",9.52272746012367
"BD60","BD60","BD60_3",9.44743130596678
"BD61","BD61","BD61_3",9.52541621303509
"BD62","BD62","BD62_3",9.62090748135516
"BD63","BD63","BD63_3",9.59715854728651
"BD64","BD64","BD64_3",9.50014252564833
"BD65","BD65","BD65_3",9.57346813339571
"BD66","BD66","BD66_3",9.53543777345847
"BD67","BD67","BD67_3",9.44352470627585
"BD68","BD68","BD68_3",9.34283554808432
"BD69","BD69","BD69_3",9.479448523339
"BD70","BD70","BD70_3",9.36238502311188
"BD71","BD71","BD71_3",9.4206559610653
"BD72","BD72","BD72_3",9.58277654992211
"BD73","BD73","BD73_3",9.58660041941725
"BD74","BD74","BD74_3",9.49079913522016
"BD75","BD75","BD75_3",9.52816593543019
"BD76","BD76","BD76_3",9.57524344330338
"BD77","BD77","BD77_3",9.49968292566108
"BD78","BD78","BD78_3",9.4408608126024
"BD79","BD79","BD79_3",9.46124725334436
"BD80","BD80","BD80_3",9.39007139549119
"BD81","BD81","BD81_3",9.48528849308269
"BD82","BD82","BD82_3",9.56764530779788
"BD83","BD83","BD83_3",9.58148023440699
"BD84","BD84","BD84_3",9.46344519380023
"BD85","BD85","BD85_3",9.46278058116007
"BD86","BD86","BD86_3",9.54653771319353
"BD87","BD87","BD87_3",9.50697026753011
"BD88","BD88","BD88_3",9.55610505531486
"BD89","BD89","BD89_3",9.56363535605128
"BD90","BD90","BD90_3",9.53230843392405
"BD91","BD91","BD91_3",9.58167874095248
"BD92","BD92","BD92_3",9.60215998544151
"BD93","BD93","BD93_3",9.57410763159129
"BD94","BD94","BD94_3",9.43688584545532
"BD95","BD95","BD95_3",9.43077919547986
"BD96","BD96","BD96_3",9.48274736946533
"BD97","BD97","BD97_3",9.45792323386577
"BD98","BD98","BD98_3",9.56833515768222
"BD99","BD99","BD99_3",9.56399038957861
"BE02","BE02","BE02_3",9.62453159796583
"BE03","BE03","BE03_3",9.6032079373974
"BE04","BE04","BE04_3",9.59174520768399
"BE05","BE05","BE05_3",9.58297841359167
"BE06","BE06","BE06_3",9.56660717757408
"BE07","BE07","BE07_3",9.55189398533074
"BE08","BE08","BE08_3",9.55932887968218
"BE09","BE09","BE09_3",9.54851813555081
"BE10","BE10","BE10_3",9.64545625954296
"BE11","BE11","BE11_3",9.63426427045241
"BE12","BE12","BE12_3",9.61970691456021
"BE13","BE13","BE13_3",9.56982582087669
"BE14","BE14","BE14_3",9.55052043493065
"BE15","BE15","BE15_3",9.55506255979347
"BE16","BE16","BE16_3",9.5173017675484
"BE17","BE17","BE17_3",9.52667422485106
"BE18","BE18","BE18_3",9.5621322385634
"BE19","BE19","BE19_3",9.53667492432603
"BE20","BE20","BE20_3",9.63408173614639
"BE21","BE21","BE21_3",9.56472213856616
"BE22","BE22","BE22_3",9.48703535514651
"BE23","BE23","BE23_3",9.46353567626731
"BE24","BE24","BE24_3",9.44990577010241
"BE25","BE25","BE25_3",9.42263568340975
"BE26","BE26","BE26_3",9.41795046097419
"BE27","BE27","BE27_3",9.43581608545893
"BE28","BE28","BE28_3",9.51499445634944
"BE29","BE29","BE29_3",9.53277913089263
"BE30","BE30","BE30_3",9.60773607496784
"BE31","BE31","BE31_3",9.45145608688324
"BE32","BE32","BE32_3",9.30646179686809
"BE33","BE33","BE33_3",9.32380680296494
"BE34","BE34","BE34_3",9.38607315785539
"BE35","BE35","BE35_3",9.39660617550091
"BE36","BE36","BE36_3",9.34187068076197
"BE37","BE37","BE37_3",9.37492600588664
"BE38","BE38","BE38_3",9.43938631882906
"BE39","BE39","BE39_3",9.51238913275892
"BE40","BE40","BE40_3",9.60385306456124
"BE41","BE41","BE41_3",9.48096226163297
"BE42","BE42","BE42_3",9.38912750620914
"BE43","BE43","BE43_3",9.31977192523403
"BE44","BE44","BE44_3",9.32879260008476
"BE45","BE45","BE45_3",9.31148126320648
"BE46","BE46","BE46_3",9.31728319480705
"BE47","BE47","BE47_3",9.34220759846735
"BE48","BE48","BE48_3",9.44300741972734
"BE49","BE49","BE49_3",9.49562420031573
"BE50","BE50","BE50_3",9.57363689221408
"BE51","BE51","BE51_3",9.46296672049185
"BE52","BE52","BE52_3",9.44687190841287
"BE53","BE53","BE53_3",9.43407262851321
"BE54","BE54","BE54_3",9.37924386402473
"BE55","BE55","BE55_3",9.24817085721157
"BE56","BE56","BE56_3",9.24468313388147
"BE57","BE57","BE57_3",9.35043123102092
"BE58","BE58","BE58_3",9.44217444214466
"BE59","BE59","BE59_3",9.46269180960535
"BE60","BE60","BE60_3",9.59056380525771
"BE61","BE61","BE61_3",9.53036170012366
"BE62","BE62","BE62_3",9.48771639423842
"BE63","BE63","BE63_3",9.46901297565654
"BE64","BE64","BE64_3",9.41034294779612
"BE65","BE65","BE65_3",9.35481002038739
"BE66","BE66","BE66_3",9.33511824846825
"BE67","BE67","BE67_3",9.35736813286332
"BE68","BE68","BE68_3",9.45879892301833
"BE69","BE69","BE69_3",9.45274470977156
"BE70","BE70","BE70_3",9.55606671093205
"BE71","BE71","BE71_3",9.49540360668087
"BE72","BE72","BE72_3",9.3934664400682
"BE73","BE73","BE73_3",9.41459381114639
"BE74","BE74","BE74_3",9.38249521570399
"BE75","BE75","BE75_3",9.39637868567827
"BE76","BE76","BE76_3",9.40924143716227
"BE77","BE77","BE77_3",9.43004717043268
"BE78","BE78","BE78_3",9.49769236144742
"BE79","BE79","BE79_3",9.47797284420774
"BE80","BE80","BE80_3",9.56196627301377
"BE81","BE81","BE81_3",9.44521816593619
"BE82","BE82","BE82_3",9.36590541834382
"BE83","BE83","BE83_3",9.39324954740765
"BE84","BE84","BE84_3",9.37957872501138
"BE85","BE85","BE85_3",9.41807581675402
"BE86","BE86","BE86_3",9.46307721029878
"BE87","BE87","BE87_3",9.47947965078391
"BE88","BE88","BE88_3",9.49528387189016
"BE89","BE89","BE89_3",9.4456158199842
"BE90","BE90","BE90_3",9.5405398356847
"BE91","BE91","BE91_3",9.49557947094488
"BE92","BE92","BE92_3",9.38955985842896
"BE93","BE93","BE93_3",9.41640775837133
"BE94","BE94","BE94_3",9.42594188956991
"BE95","BE95","BE95_3",9.42803656265334
"BE96","BE96","BE96_3",9.46220884537974
"BE97","BE97","BE97_3",9.46450288119082
"BE98","BE98","BE98_3",9.47280931594991
"BE99","BE99","BE99_3",9.46735678183981
"BF00","BF00","BF00_3",9.72661455721125
"BF01","BF01","BF01_3",9.68560588778471
"BF02","BF02","BF02_3",9.66449168718774
"BF03","BF03","BF03_3",9.59803651437824
"BF04","BF04","BF04_3",9.67788496240386
"BF05","BF05","BF05_3",9.60471809848754
"BF06","BF06","BF06_3",9.641947612291
"BF07","BF07","BF07_3",9.65480986006531
"BF08","BF08","BF08_3",9.64388893350204
"BF10","BF10","BF10_3",9.72290325594279
"BF11","BF11","BF11_3",9.67028497680524
"BF12","BF12","BF12_3",9.68264936132615
"BF13","BF13","BF13_3",9.63713227075681
"BF14","BF14","BF14_3",9.61965035904895
"BF15","BF15","BF15_3",9.61706773969057
"BF16","BF16","BF16_3",9.63914315541079
"BF17","BF17","BF17_3",9.65154491376076
"BF18","BF18","BF18_3",9.66334635808833
"BF20","BF20","BF20_3",9.69695827301059
"BF21","BF21","BF21_3",9.66298573600519
"BF22","BF22","BF22_3",9.71048423027318
"BF23","BF23","BF23_3",9.63534718606352
"BF24","BF24","BF24_3",9.58247566575447
"BF25","BF25","BF25_3",9.56621715083099
"BF26","BF26","BF26_3",9.58557396944134
"BF27","BF27","BF27_3",9.61242363168859
"BF28","BF28","BF28_3",9.6361597083447
"BF29","BF29","BF29_3",9.66678019920392
"BF30","BF30","BF30_3",9.63920972461978
"BF31","BF31","BF31_3",9.65274553833834
"BF32","BF32","BF32_3",9.6565921696144
"BF33","BF33","BF33_3",9.62738569886506
"BF34","BF34","BF34_3",9.53597764335709
"BF35","BF35","BF35_3",9.50487143443921
"BF36","BF36","BF36_3",9.51470343462185
"BF37","BF37","BF37_3",9.52955919281635
"BF38","BF38","BF38_3",9.57058758283635
"BF39","BF39","BF39_3",9.66130150475658
"BF40","BF40","BF40_3",9.62541805127146
"BF41","BF41","BF41_3",9.63920849167058
"BF42","BF42","BF42_3",9.60795753399149
"BF43","BF43","BF43_3",9.67703918548543
"BF44","BF44","BF44_3",9.62295436911766
"BF45","BF45","BF45_3",9.54076680941254
"BF46","BF46","BF46_3",9.48036166084777
"BF47","BF47","BF47_3",9.48913191545843
"BF48","BF48","BF48_3",9.59521474479002
"BF49","BF49","BF49_3",9.6585627395802
"BF50","BF50","BF50_3",9.69028189092512
"BF51","BF51","BF51_3",9.61268315290434
"BF52","BF52","BF52_3",9.62500509628587
"BF53","BF53","BF53_3",9.64818534157668
"BF54","BF54","BF54_3",9.6235838781261
"BF55","BF55","BF55_3",9.550259020901
"BF56","BF56","BF56_3",9.52220596059291
"BF57","BF57","BF57_3",9.48389737056872
"BF58","BF58","BF58_3",9.58774514059811
"BF59","BF59","BF59_3",9.63996219257174
"BF60","BF60","BF60_3",9.71687748984979
"BF61","BF61","BF61_3",9.64852123794492
"BF62","BF62","BF62_3",9.60124169695714
"BF63","BF63","BF63_3",9.60302078265489
"BF64","BF64","BF64_3",9.61275079824707
"BF65","BF65","BF65_3",9.57379282968861
"BF66","BF66","BF66_3",9.55544564338342
"BF67","BF67","BF67_3",9.56282181473974
"BF68","BF68","BF68_3",9.61093483654295
"BF69","BF69","BF69_3",9.6094600610547
"BF70","BF70","BF70_3",9.66839970523518
"BF71","BF71","BF71_3",9.65655396628471
"BF72","BF72","BF72_3",9.60106070138658
"BF73","BF73","BF73_3",9.57777834195186
"BF74","BF74","BF74_3",9.58634001825503
"BF75","BF75","BF75_3",9.58590056937846
"BF76","BF76","BF76_3",9.58500771722377
"BF77","BF77","BF77_3",9.58419763658291
"BF78","BF78","BF78_3",9.58172928144909
"BF79","BF79","BF79_3",9.60585557573858
"BF80","BF80","BF80_3",9.62920430018672
"BF81","BF81","BF81_3",9.58835160344601
"BF82","BF82","BF82_3",9.54198286156883
"BF83","BF83","BF83_3",9.54407495648185
"BF84","BF84","BF84_3",9.56175265162339
"BF85","BF85","BF85_3",9.55284790299993
"BF86","BF86","BF86_3",9.55421211684458
"BF87","BF87","BF87_3",9.55267788809385
"BF88","BF88","BF88_3",9.52026389243348
"BF89","BF89","BF89_3",9.56262013552458
"BF90","BF90","BF90_3",9.55250094916953
"BF91","BF91","BF91_3",9.47383260651843
"BF92","BF92","BF92_3",9.4923067954536
"BF93","BF93","BF93_3",9.5072827041805
"BF94","BF94","BF94_3",9.46116710985232
"BF95","BF95","BF95_3",9.50929475318216
"BF96","BF96","BF96_3",9.51496552713665
"BF97","BF97","BF97_3",9.51989734406256
"BF98","BF98","BF98_3",9.50798536810406
"BF99","BF99","BF99_3",9.54701049002557
"BG09","BG09","BG09_3",9.74165503193785
"BG19","BG19","BG19_3",9.7545160455078
"BG26","BG26","BG26_3",9.7829746835661
"BG27","BG27","BG27_3",9.75794582736199
"BG28","BG28","BG28_3",9.75932856124125
"BG29","BG29","BG29_3",9.75037162355841
"BG30","BG30","BG30_3",9.90589385307486
"BG31","BG31","BG31_3",9.88248737684629
"BG32","BG32","BG32_3",9.8724738251673
"BG33","BG33","BG33_3",9.85771091422573
"BG36","BG36","BG36_3",9.78541587714085
"BG37","BG37","BG37_3",9.78114939144953
"BG38","BG38","BG38_3",9.77884933979026
"BG39","BG39","BG39_3",9.70089891258722
"BG40","BG40","BG40_3",9.90609155521444
"BG41","BG41","BG41_3",9.8760704655449
"BG42","BG42","BG42_3",9.86579552005762
"BG43","BG43","BG43_3",9.86575458943918
"BG45","BG45","BG45_3",9.84032843170606
"BG48","BG48","BG48_3",9.80069062728149
"BG49","BG49","BG49_3",9.73453631818485
"BG50","BG50","BG50_3",9.90132283994989
"BG51","BG51","BG51_3",9.91057285341188
"BG52","BG52","BG52_3",9.89380412093296
"BG53","BG53","BG53_3",9.87040597070438
"BG54","BG54","BG54_3",9.86882560346186
"BG55","BG55","BG55_3",9.8638386448662
"BG56","BG56","BG56_3",9.85605869037397
"BG57","BG57","BG57_3",9.82190192312984
"BG58","BG58","BG58_3",9.79562290270946
"BG59","BG59","BG59_3",9.76396731687667
"BG60","BG60","BG60_3",9.92037042501925
"BG61","BG61","BG61_3",9.92669483125783
"BG62","BG62","BG62_3",9.89609726881809
"BG63","BG63","BG63_3",9.8776678429514
"BG64","BG64","BG64_3",9.85177504519783
"BG65","BG65","BG65_3",9.83716835486838
"BG66","BG66","BG66_3",9.8514329067143
"BG67","BG67","BG67_3",9.82487158271665
"BG68","BG68","BG68_3",9.76050121302959
"BG69","BG69","BG69_3",9.73604310740581
"BG70","BG70","BG70_3",9.9332179597955
"BG71","BG71","BG71_3",9.92864896652217
"BG72","BG72","BG72_3",9.84170704559408
"BG73","BG73","BG73_3",9.83677200681082
"BG74","BG74","BG74_3",9.82264512271958
"BG75","BG75","BG75_3",9.80947156989591
"BG76","BG76","BG76_3",9.84862178366152
"BG77","BG77","BG77_3",9.80210574237096
"BG78","BG78","BG78_3",9.72474832689347
"BG79","BG79","BG79_3",9.69779454318138
"BG80","BG80","BG80_3",9.9148349943626
"BG81","BG81","BG81_3",9.8336545036844
"BG82","BG82","BG82_3",9.81864067586294
"BG83","BG83","BG83_3",9.80107881963619
"BG84","BG84","BG84_3",9.73937748234196
"BG85","BG85","BG85_3",9.80743142019642
"BG86","BG86","BG86_3",9.82547767990563
"BG87","BG87","BG87_3",9.76936405302596
"BG88","BG88","BG88_3",9.72189939567594
"BG89","BG89","BG89_3",9.61547255477581
"BG90","BG90","BG90_3",9.89359519557846
"BG91","BG91","BG91_3",9.83663333621206
"BG92","BG92","BG92_3",9.75435164125118
"BG93","BG93","BG93_3",9.72076761099461
"BG94","BG94","BG94_3",9.73484538574018
"BG95","BG95","BG95_3",9.783125373151
"BG96","BG96","BG96_3",9.72519761280156
"BG97","BG97","BG97_3",9.68624597334524
"BG98","BG98","BG98_3",9.68997289806552
"BG99","BG99","BG99_3",9.53410752025727
"BH49","BH49","BH49_3",9.92927996317546
"BH57","BH57","BH57_3",9.98420770132908
"BH58","BH58","BH58_3",9.93848409171993
"BH59","BH59","BH59_3",9.90143346989833
"BH66","BH66","BH66_3",10.0185448038522
"BH67","BH67","BH67_3",9.99499507591774
"BH68","BH68","BH68_3",9.95029941624483
"BH69","BH69","BH69_3",9.91383910770857
"BH76","BH76","BH76_3",10.0332405684583
"BH77","BH77","BH77_3",9.9995397090198
"BH78","BH78","BH78_3",9.92442392709511
"BH79","BH79","BH79_3",9.913205184288
"BH86","BH86","BH86_3",10.0403702168449
"BH87","BH87","BH87_3",10.0223843710634
"BH88","BH88","BH88_3",9.94604351287417
"BH89","BH89","BH89_3",9.91221360608425
"BH96","BH96","BH96_3",10.0282533690224
"BH97","BH97","BH97_3",10.0130653484958
"BH98","BH98","BH98_3",9.96075440598479
"BH99","BH99","BH99_3",9.89883837989563
"CB70","CB70","CB70_3",9.5652005431037
"CB80","CB80","CB80_3",9.56076627596218
"CB81","CB81","CB81_3",9.6013226448273
"CB82","CB82","CB82_3",9.58222739479219
"CB90","CB90","CB90_3",9.6076714028058
"CB91","CB91","CB91_3",9.56406061019991
"CB92","CB92","CB92_3",9.52962957355169
"CB93","CB93","CB93_3",9.46517848230174
"CB94","CB94","CB94_3",9.53574504769082
"CC01","CC01","CC01_3",9.60194738142098
"CC03","CC03","CC03_3",9.57406124950901
"CC04","CC04","CC04_3",9.54331718747262
"CC05","CC05","CC05_3",9.53751469103255
"CC06","CC06","CC06_3",9.46840853449192
"CC10","CC10","CC10_3",9.63317854079538
"CC11","CC11","CC11_3",9.62002178288294
"CC14","CC14","CC14_3",9.58337166830387
"CC15","CC15","CC15_3",9.55836819880687
"CC16","CC16","CC16_3",9.51090318949201
"CC20","CC20","CC20_3",9.62599692113018
"CC21","CC21","CC21_3",9.5312388208482
"CC22","CC22","CC22_3",9.61526695168522
"CC23","CC23","CC23_3",9.61388707094453
"CC24","CC24","CC24_3",9.58323183437854
"CC25","CC25","CC25_3",9.5621733879741
"CC26","CC26","CC26_3",9.53789598164176
"CC30","CC30","CC30_3",9.58448462921784
"CC31","CC31","CC31_3",9.56941864292452
"CC32","CC32","CC32_3",9.51751405998889
"CC33","CC33","CC33_3",9.60574943677464
"CC34","CC34","CC34_3",9.52470635603896
"CC35","CC35","CC35_3",9.4560651798106
"CC36","CC36","CC36_3",9.45155474317649
"CC40","CC40","CC40_3",9.50948121567532
"CC41","CC41","CC41_3",9.53667563921448
"CC42","CC42","CC42_3",9.58042972924237
"CC43","CC43","CC43_3",9.63432105840358
"CC44","CC44","CC44_3",9.57669417863765
"CC45","CC45","CC45_3",9.41054678613036
"CC46","CC46","CC46_3",9.43004392866704
"CC47","CC47","CC47_3",9.61429584591482
"CC50","CC50","CC50_3",9.47839701245404
"CC51","CC51","CC51_3",9.48672869821003
"CC52","CC52","CC52_3",9.54749920605169
"CC53","CC53","CC53_3",9.59984589307089
"CC54","CC54","CC54_3",9.62110326022279
"CC55","CC55","CC55_3",9.5123148474283
"CC56","CC56","CC56_3",9.50752041749636
"CC57","CC57","CC57_3",9.60434308398377
"CC60","CC60","CC60_3",9.53752990219146
"CC61","CC61","CC61_3",9.5399222654289
"CC62","CC62","CC62_3",9.58964303940248
"CC63","CC63","CC63_3",9.60497994351389
"CC64","CC64","CC64_3",9.66363663102003
"CC65","CC65","CC65_3",9.6409421969574
"CC66","CC66","CC66_3",9.62879567876727
"CC67","CC67","CC67_3",9.57143685413072
"CC68","CC68","CC68_3",9.60033217940069
"CC70","CC70","CC70_3",9.50567683625731
"CC71","CC71","CC71_3",9.51470149291623
"CC72","CC72","CC72_3",9.57105133206391
"CC73","CC73","CC73_3",9.68791004753285
"CC74","CC74","CC74_3",9.67773583799924
"CC75","CC75","CC75_3",9.65630078062298
"CC76","CC76","CC76_3",9.64970888953269
"CC77","CC77","CC77_3",9.61032410351677
"CC78","CC78","CC78_3",9.59457408670678
"CC79","CC79","CC79_3",9.5713727702057
"CC80","CC80","CC80_3",9.4593734310039
"CC81","CC81","CC81_3",9.40594699655539
"CC82","CC82","CC82_3",9.3917465943304
"CC83","CC83","CC83_3",9.60831902359916
"CC84","CC84","CC84_3",9.67195575602056
"CC85","CC85","CC85_3",9.66865469944739
"CC86","CC86","CC86_3",9.67728181650929
"CC87","CC87","CC87_3",9.64505978533041
"CC88","CC88","CC88_3",9.6403590431087
"CC89","CC89","CC89_3",9.56707177509197
"CC90","CC90","CC90_3",9.35029873553716
"CC91","CC91","CC91_3",9.39558116045054
"CC92","CC92","CC92_3",9.45767520357996
"CC93","CC93","CC93_3",9.5420525635985
"CC94","CC94","CC94_3",9.69161032319187
"CC95","CC95","CC95_3",9.69566836485603
"CC96","CC96","CC96_3",9.66911465193039
"CC97","CC97","CC97_3",9.63419084626283
"CC98","CC98","CC98_3",9.64148592483379
"CC99","CC99","CC99_3",9.63677740627957
"CD00","CD00","CD00_3",9.52326788980779
"CD01","CD01","CD01_3",9.50058868722782
"CD02","CD02","CD02_3",9.5608481474259
"CD03","CD03","CD03_3",9.6129906069824
"CD04","CD04","CD04_3",9.57243374318477
"CD05","CD05","CD05_3",9.52411043674985
"CD06","CD06","CD06_3",9.42754017099808
"CD07","CD07","CD07_3",9.51440525720309
"CD08","CD08","CD08_3",9.5494497854466
"CD09","CD09","CD09_3",9.56608985491419
"CD10","CD10","CD10_3",9.45174960288946
"CD11","CD11","CD11_3",9.48729863996206
"CD12","CD12","CD12_3",9.5050214426799
"CD13","CD13","CD13_3",9.5996514969287
"CD14","CD14","CD14_3",9.61574737297825
"CD15","CD15","CD15_3",9.63582720229043
"CD16","CD16","CD16_3",9.54764342376989
"CD17","CD17","CD17_3",9.5458835207612
"CD18","CD18","CD18_3",9.60164051797529
"CD20","CD20","CD20_3",9.43337653269402
"CD21","CD21","CD21_3",9.47974431627778
"CD22","CD22","CD22_3",9.58932974709687
"CD23","CD23","CD23_3",9.5787768119297
"CD24","CD24","CD24_3",9.50976850337726
"CD25","CD25","CD25_3",9.65684453308198
"CD26","CD26","CD26_3",9.59953488620448
"CD27","CD27","CD27_3",9.64356633200334
"CD28","CD28","CD28_3",9.61823485033517
"CD29","CD29","CD29_3",9.57401548564816
"CD30","CD30","CD30_3",9.40025796637305
"CD31","CD31","CD31_3",9.54309577512953
"CD32","CD32","CD32_3",9.55879982417161
"CD33","CD33","CD33_3",9.62186761624697
"CD34","CD34","CD34_3",9.63376574141821
"CD35","CD35","CD35_3",9.6766647486563
"CD36","CD36","CD36_3",9.65630721581001
"CD37","CD37","CD37_3",9.54685107671833
"CD38","CD38","CD38_3",9.53167786705486
"CD39","CD39","CD39_3",9.55661645431385
"CD40","CD40","CD40_3",9.55523737275897
"CD41","CD41","CD41_3",9.50548634771819
"CD42","CD42","CD42_3",9.47648787893909
"CD43","CD43","CD43_3",9.67087324826904
"CD44","CD44","CD44_3",9.54532446929148
"CD45","CD45","CD45_3",9.52885174542003
"CD46","CD46","CD46_3",9.57507837624577
"CD47","CD47","CD47_3",9.56129218296761
"CD48","CD48","CD48_3",9.52968920973258
"CD49","CD49","CD49_3",9.54985659899678
"CD50","CD50","CD50_3",9.57395402847566
"CD51","CD51","CD51_3",9.50227507121442
"CD52","CD52","CD52_3",9.47808210420005
"CD53","CD53","CD53_3",9.61166226724623
