"","kvadratkod","survey","prec_year"
"BG80","BG80","BG80_3",685.851908891818
"BG81","BG81","BG81_3",714.40339564387
"BG82","BG82","BG82_3",695.550860598009
"BG83","BG83","BG83_3",692.316253463314
"BG84","BG84","BG84_3",707.122278303158
"BG85","BG85","BG85_3",670.724837322168
"BG86","BG86","BG86_3",687.553899745647
"BG87","BG87","BG87_3",696.319308997751
"BG88","BG88","BG88_3",699.819519341924
"BG89","BG89","BG89_3",716.99257064499
"BG90","BG90","BG90_3",691.301982518502
"BG91","BG91","BG91_3",686.014767920527
"BG92","BG92","BG92_3",707.208361986498
"BG93","BG93","BG93_3",710.760852178509
"BG94","BG94","BG94_3",686.480084901315
"BG95","BG95","BG95_3",686.143428376045
"BG96","BG96","BG96_3",720.977850107857
"BG97","BG97","BG97_3",717.380574715845
"BG98","BG98","BG98_3",703.454484802436
"BG99","BG99","BG99_3",726.411916194829
"BH49","BH49","BH49_3",615.884002685547
"BH57","BH57","BH57_3",635.725497191662
"BH58","BH58","BH58_3",649.287835811315
"BH59","BH59","BH59_3",654.906839263141
"BH66","BH66","BH66_3",643.580868910901
"BH67","BH67","BH67_3",644.86428624898
"BH68","BH68","BH68_3",651.807605269483
"BH69","BH69","BH69_3",644.959769682208
"BH76","BH76","BH76_3",656.018444107929
"BH77","BH77","BH77_3",663.331371190066
"BH78","BH78","BH78_3",678.015093371713
"BH79","BH79","BH79_3",667.26211536911
"BH86","BH86","BH86_3",672.051518406219
"BH87","BH87","BH87_3",671.335280929432
"BH88","BH88","BH88_3",678.807302685413
"BH89","BH89","BH89_3",677.912752290339
"BH96","BH96","BH96_3",684.598696769908
"BH97","BH97","BH97_3",693.534587844412
"BH98","BH98","BH98_3",692.187593753349
"BH99","BH99","BH99_3",693.099265467465
"CB70","CB70","CB70_3",555.847101225352
"CB80","CB80","CB80_3",535.309909795721
"CB81","CB81","CB81_3",533.702354194214
"CB82","CB82","CB82_3",541.260535948054
"CB90","CB90","CB90_3",522.720999443067
"CB91","CB91","CB91_3",535.087133673589
"CB92","CB92","CB92_3",538.73136827349
"CB93","CB93","CB93_3",551.843522566405
"CB94","CB94","CB94_3",531.485140560557
"CC01","CC01","CC01_3",576.645524874685
"CC03","CC03","CC03_3",575.753904022212
"CC04","CC04","CC04_3",576.049472700116
"CC05","CC05","CC05_3",571.243417364984
"CC06","CC06","CC06_3",590.761301777868
"CC10","CC10","CC10_3",564.414583150096
"CC11","CC11","CC11_3",565.522572853177
"CC14","CC14","CC14_3",566.525348046044
"CC15","CC15","CC15_3",572.75333087901
"CC16","CC16","CC16_3",574.410063885568
"CC20","CC20","CC20_3",567.967549820398
"CC21","CC21","CC21_3",588.207249039322
"CC22","CC22","CC22_3",563.465696176098
"CC23","CC23","CC23_3",562.474140901287
"CC24","CC24","CC24_3",567.246341136896
"CC25","CC25","CC25_3",566.240675997403
"CC26","CC26","CC26_3",563.858907456884
"CC30","CC30","CC30_3",563.692061603355
"CC31","CC31","CC31_3",562.317339387534
"CC32","CC32","CC32_3",573.728906725113
"CC33","CC33","CC33_3",559.095488280097
"CC34","CC34","CC34_3",580.364502262861
"CC35","CC35","CC35_3",589.534756201175
"CC36","CC36","CC36_3",582.978189029668
"CC40","CC40","CC40_3",567.547408736576
"CC41","CC41","CC41_3",563.536107677799
"CC42","CC42","CC42_3",541.253528176332
"CC43","CC43","CC43_3",540.779877179114
"CC44","CC44","CC44_3",559.70214360981
"CC45","CC45","CC45_3",579.460732330345
"CC46","CC46","CC46_3",556.25975763538
"CC47","CC47","CC47_3",529.493485380232
"CC50","CC50","CC50_3",569.110265181895
"CC51","CC51","CC51_3",567.356483023081
"CC52","CC52","CC52_3",561.884467759309
"CC53","CC53","CC53_3",557.079676525579
"CC54","CC54","CC54_3",551.844407153346
"CC55","CC55","CC55_3",546.916263250175
"CC56","CC56","CC56_3",537.452203420998
"CC57","CC57","CC57_3",546.326109415582
"CC60","CC60","CC60_3",533.728158549434
"CC61","CC61","CC61_3",538.74638930897
"CC62","CC62","CC62_3",531.488986766548
"CC63","CC63","CC63_3",538.188114623749
"CC64","CC64","CC64_3",540.166394877486
"CC65","CC65","CC65_3",533.899643627221
"CC66","CC66","CC66_3",531.485486978764
"CC67","CC67","CC67_3",553.547992361664
"CC68","CC68","CC68_3",552.22259955041
"CC70","CC70","CC70_3",553.036698933429
"CC71","CC71","CC71_3",556.738031531546
"CC72","CC72","CC72_3",549.696020651662
"CC73","CC73","CC73_3",525.45158960643
"CC74","CC74","CC74_3",539.305766393185
"CC75","CC75","CC75_3",538.596290366144
"CC76","CC76","CC76_3",541.97986953269
"CC77","CC77","CC77_3",541.9473809278
"CC78","CC78","CC78_3",544.398176432889
"CC79","CC79","CC79_3",552.623398931794
"CC80","CC80","CC80_3",554.365630045024
"CC81","CC81","CC81_3",566.513975749128
"CC82","CC82","CC82_3",566.4321245832
"CC83","CC83","CC83_3",538.947646306504
"CC84","CC84","CC84_3",539.551527750712
"CC85","CC85","CC85_3",540.593656679894
"CC86","CC86","CC86_3",537.527678239813
"CC87","CC87","CC87_3",533.235192976865
"CC88","CC88","CC88_3",527.704290676805
"CC89","CC89","CC89_3",542.284732676036
"CC90","CC90","CC90_3",545.55494566052
"CC91","CC91","CC91_3",536.309823371088
"CC92","CC92","CC92_3",519.626218532316
"CC93","CC93","CC93_3",527.397319440284
"CC94","CC94","CC94_3",518.667371414855
"CC95","CC95","CC95_3",527.106508711167
"CC96","CC96","CC96_3",537.354072264018
"CC97","CC97","CC97_3",535.732379511115
"CC98","CC98","CC98_3",530.832924720346
"CC99","CC99","CC99_3",524.285237920634
"CD00","CD00","CD00_3",617.91321525189
"CD01","CD01","CD01_3",626.19475758014
"CD02","CD02","CD02_3",601.504302573189
"CD03","CD03","CD03_3",579.492124739793
"CD04","CD04","CD04_3",564.835474953695
"CD05","CD05","CD05_3",573.443899778793
"CD06","CD06","CD06_3",598.848947730718
"CD07","CD07","CD07_3",564.702921532106
"CD08","CD08","CD08_3",578.445069511248
"CD09","CD09","CD09_3",577.048607979991
"CD10","CD10","CD10_3",613.948390476416
"CD11","CD11","CD11_3",592.719242646075
"CD12","CD12","CD12_3",587.691369164496
"CD13","CD13","CD13_3",583.084717866127
"CD14","CD14","CD14_3",577.303679278444
"CD15","CD15","CD15_3",556.941530700193
"CD16","CD16","CD16_3",562.834022374689
"CD17","CD17","CD17_3",561.27194678629
"CD18","CD18","CD18_3",557.365709902468
"CD20","CD20","CD20_3",591.378197121642
"CD21","CD21","CD21_3",582.007536063
"CD22","CD22","CD22_3",558.276854750209
"CD23","CD23","CD23_3",575.094889757964
"CD24","CD24","CD24_3",589.825988090673
"CD25","CD25","CD25_3",559.570301243074
"CD26","CD26","CD26_3",570.467061657861
"CD27","CD27","CD27_3",549.417170324286
"CD28","CD28","CD28_3",568.390595548131
"CD29","CD29","CD29_3",579.693025920452
"CD30","CD30","CD30_3",577.111976006191
"CD31","CD31","CD31_3",562.090538302062
"CD32","CD32","CD32_3",578.13010435428
"CD33","CD33","CD33_3",558.963200102577
"CD34","CD34","CD34_3",555.572202253332
"CD35","CD35","CD35_3",549.368499840962
"CD36","CD36","CD36_3",558.361298521158
"CD37","CD37","CD37_3",580.131810930114
"CD38","CD38","CD38_3",583.839652953079
"CD39","CD39","CD39_3",562.132254432258
"CD40","CD40","CD40_3",540.582156925681
"CD41","CD41","CD41_3",581.090975035128
"CD42","CD42","CD42_3",579.30179589728
"CD43","CD43","CD43_3",545.973894684183
"CD44","CD44","CD44_3",583.941920209678
"CD45","CD45","CD45_3",586.581451547934
"CD46","CD46","CD46_3",575.95058701814
"CD47","CD47","CD47_3",569.554411624656
"CD48","CD48","CD48_3",555.548470000392
"CD49","CD49","CD49_3",555.797769061005
"CD50","CD50","CD50_3",560.79367559017
"CD51","CD51","CD51_3",572.857769468043
"CD52","CD52","CD52_3",569.822727637051
"CD53","CD53","CD53_3",556.710182623627
"CD54","CD54","CD54_3",561.604827374284
"CD55","CD55","CD55_3",559.133881989381
"CD56","CD56","CD56_3",551.751513133709
"CD57","CD57","CD57_3",558.639963130241
"CD58","CD58","CD58_3",554.553611095724
"CD59","CD59","CD59_3",571.186595549596
"CD60","CD60","CD60_3",571.514633494842
"CD61","CD61","CD61_3",576.994369457924
"CD62","CD62","CD62_3",555.886260270089
"CD63","CD63","CD63_3",538.595077631268
"CD64","CD64","CD64_3",564.051308128882
"CD65","CD65","CD65_3",560.970213813041
"CD66","CD66","CD66_3",549.71513770434
"CD67","CD67","CD67_3",549.048158284475
"CD68","CD68","CD68_3",549.761737205074
"CD69","CD69","CD69_3",549.409248210958
"CD70","CD70","CD70_3",563.720867804599
"CD71","CD71","CD71_3",542.044356407735
"CD72","CD72","CD72_3",552.897147567162
"CD73","CD73","CD73_3",542.900754968855
"CD74","CD74","CD74_3",546.138473523415
"CD75","CD75","CD75_3",557.419411399443
"CD76","CD76","CD76_3",542.469519735798
"CD77","CD77","CD77_3",561.373408964108
"CD78","CD78","CD78_3",550.224862353077
"CD79","CD79","CD79_3",549.096562457241
