"","kvadratkod","survey","prec_year"
"BD50","BD50","BD50_2",854.168444678044
"BD51","BD51","BD51_2",794.081368857894
"BD52","BD52","BD52_2",783.87821039718
"BD53","BD53","BD53_2",798.867367006279
"BD54","BD54","BD54_2",795.613389963781
"BD55","BD55","BD55_2",779.437033485339
"BD56","BD56","BD56_2",786.826871425413
"BD57","BD57","BD57_2",810.281851669388
"BD58","BD58","BD58_2",815.817291087588
"BD59","BD59","BD59_2",768.983453198817
"BD60","BD60","BD60_2",821.187357156972
"BD61","BD61","BD61_2",800.924708399446
"BD62","BD62","BD62_2",802.33084784123
"BD63","BD63","BD63_2",806.230826489385
"BD64","BD64","BD64_2",836.152284379873
"BD65","BD65","BD65_2",786.343746814419
"BD66","BD66","BD66_2",795.278360352879
"BD67","BD67","BD67_2",813.500160449225
"BD68","BD68","BD68_2",805.848041694935
"BD69","BD69","BD69_2",781.511177344939
"BD70","BD70","BD70_2",868.063636362857
"BD71","BD71","BD71_2",838.301190385644
"BD72","BD72","BD72_2",807.311417966087
"BD73","BD73","BD73_2",793.121960264946
"BD74","BD74","BD74_2",801.187130038611
"BD75","BD75","BD75_2",788.631866669672
"BD76","BD76","BD76_2",768.375486690127
"BD77","BD77","BD77_2",776.705236211854
"BD78","BD78","BD78_2",764.170356906142
"BD79","BD79","BD79_2",779.71959764682
"BD80","BD80","BD80_2",814.188828110029
"BD81","BD81","BD81_2",766.051232956066
"BD82","BD82","BD82_2",787.024987017478
"BD83","BD83","BD83_2",783.673739206204
"BD84","BD84","BD84_2",814.062361359576
"BD85","BD85","BD85_2",787.619206573521
"BD86","BD86","BD86_2",767.63176264911
"BD87","BD87","BD87_2",784.532541264515
"BD88","BD88","BD88_2",744.575001212759
"BD89","BD89","BD89_2",743.141364164065
"BD90","BD90","BD90_2",756.708834359134
"BD91","BD91","BD91_2",754.944545108011
"BD92","BD92","BD92_2",761.553757906191
"BD93","BD93","BD93_2",772.216830970805
"BD94","BD94","BD94_2",798.465047882784
"BD95","BD95","BD95_2",763.819005993386
"BD96","BD96","BD96_2",774.809182790155
"BD97","BD97","BD97_2",776.871446025508
"BD98","BD98","BD98_2",744.960423224117
"BD99","BD99","BD99_2",765.624432967533
"BE02","BE02","BE02_2",765.019742152881
"BE03","BE03","BE03_2",772.792359248368
"BE04","BE04","BE04_2",769.474464251166
"BE05","BE05","BE05_2",777.43950514611
"BE06","BE06","BE06_2",785.733129275051
"BE07","BE07","BE07_2",782.657774547853
"BE08","BE08","BE08_2",777.144773313919
"BE09","BE09","BE09_2",790.368802113192
"BE10","BE10","BE10_2",778.395020783654
"BE11","BE11","BE11_2",781.377579774019
"BE12","BE12","BE12_2",791.592900917053
"BE13","BE13","BE13_2",799.187373192219
"BE14","BE14","BE14_2",806.865040065368
"BE15","BE15","BE15_2",808.937133166932
"BE16","BE16","BE16_2",819.168472824047
"BE17","BE17","BE17_2",805.434657105518
"BE18","BE18","BE18_2",801.977059089208
"BE19","BE19","BE19_2",815.15515966989
"BE20","BE20","BE20_2",811.999916378613
"BE21","BE21","BE21_2",835.965212690628
"BE22","BE22","BE22_2",857.457007710389
"BE23","BE23","BE23_2",844.468109537364
"BE24","BE24","BE24_2",846.775670020715
"BE25","BE25","BE25_2",854.795542985936
"BE26","BE26","BE26_2",854.108589858776
"BE27","BE27","BE27_2",845.706234213521
"BE28","BE28","BE28_2",827.514602454661
"BE29","BE29","BE29_2",823.186152984911
"BE30","BE30","BE30_2",833.836194127465
"BE31","BE31","BE31_2",856.686620432919
"BE32","BE32","BE32_2",877.167811768135
"BE33","BE33","BE33_2",860.724506716014
"BE34","BE34","BE34_2",846.329415567295
"BE35","BE35","BE35_2",826.714108040182
"BE36","BE36","BE36_2",861.889509522352
"BE37","BE37","BE37_2",847.653151527353
"BE38","BE38","BE38_2",845.648585325703
"BE39","BE39","BE39_2",832.896230691775
"BE40","BE40","BE40_2",853.165168298063
"BE41","BE41","BE41_2",860.448074090478
"BE42","BE42","BE42_2",845.352180944737
"BE43","BE43","BE43_2",854.800283591475
"BE44","BE44","BE44_2",872.078419893578
"BE45","BE45","BE45_2",875.735154052214
"BE46","BE46","BE46_2",864.331805578612
"BE47","BE47","BE47_2",858.663295384117
"BE48","BE48","BE48_2",838.255604978873
"BE49","BE49","BE49_2",840.67666324484
"BE50","BE50","BE50_2",871.805522223239
"BE51","BE51","BE51_2",871.244332079988
"BE52","BE52","BE52_2",843.535810957754
"BE53","BE53","BE53_2",826.778200318911
"BE54","BE54","BE54_2",849.369134233528
"BE55","BE55","BE55_2",895.987546924401
"BE56","BE56","BE56_2",878.509069378451
"BE57","BE57","BE57_2",836.094356408969
"BE58","BE58","BE58_2",835.479063904258
"BE59","BE59","BE59_2",858.614004847779
"BE60","BE60","BE60_2",866.14383006258
"BE61","BE61","BE61_2",852.809311042088
"BE62","BE62","BE62_2",859.23811627295
"BE63","BE63","BE63_2",852.030152389037
"BE64","BE64","BE64_2",852.744559767821
"BE65","BE65","BE65_2",826.363124700146
"BE66","BE66","BE66_2",833.008759687896
"BE67","BE67","BE67_2",857.607422602879
"BE68","BE68","BE68_2",827.259889000935
"BE69","BE69","BE69_2",849.2401259497
"BE70","BE70","BE70_2",879.223609100092
"BE71","BE71","BE71_2",886.115869886748
"BE72","BE72","BE72_2",897.656601418744
"BE73","BE73","BE73_2",883.765824710785
"BE74","BE74","BE74_2",887.078085799703
"BE75","BE75","BE75_2",855.611084896033
"BE76","BE76","BE76_2",836.638665040599
"BE77","BE77","BE77_2",823.986171164839
"BE78","BE78","BE78_2",818.857778500225
"BE79","BE79","BE79_2",833.240106007495
"BE80","BE80","BE80_2",868.449692129829
"BE81","BE81","BE81_2",886.903686333863
"BE82","BE82","BE82_2",889.320796932795
"BE83","BE83","BE83_2",851.386482427986
"BE84","BE84","BE84_2",843.163097178606
"BE85","BE85","BE85_2",833.44836454615
"BE86","BE86","BE86_2",817.116595249055
"BE87","BE87","BE87_2",815.291839297388
"BE88","BE88","BE88_2",820.267216761344
"BE89","BE89","BE89_2",841.036263626603
"BE90","BE90","BE90_2",865.772143625496
"BE91","BE91","BE91_2",851.367654974244
"BE92","BE92","BE92_2",850.943887976815
"BE93","BE93","BE93_2",839.259112005002
"BE94","BE94","BE94_2",826.47532180477
"BE95","BE95","BE95_2",821.910057358518
"BE96","BE96","BE96_2",823.257941146749
"BE97","BE97","BE97_2",825.781001134343
"BE98","BE98","BE98_2",812.931313954827
"BE99","BE99","BE99_2",800.058205412977
"BF00","BF00","BF00_2",727.79098619469
"BF01","BF01","BF01_2",724.15561026007
"BF02","BF02","BF02_2",734.386939830713
"BF03","BF03","BF03_2",757.209419000907
"BF04","BF04","BF04_2",730.36940665429
"BF05","BF05","BF05_2",762.49845223884
"BF06","BF06","BF06_2",741.9677116572
"BF07","BF07","BF07_2",745.477006363686
"BF08","BF08","BF08_2",752.025790119523
"BF10","BF10","BF10_2",755.622079437644
"BF11","BF11","BF11_2",772.931109270091
"BF12","BF12","BF12_2",754.50535872607
"BF13","BF13","BF13_2",753.643899916497
"BF14","BF14","BF14_2",778.345421799509
"BF15","BF15","BF15_2",775.723892125644
"BF16","BF16","BF16_2",768.129887560152
"BF17","BF17","BF17_2",775.738619525892
"BF18","BF18","BF18_2",772.197534949224
"BF20","BF20","BF20_2",785.204986781083
"BF21","BF21","BF21_2",777.402824648506
"BF22","BF22","BF22_2",762.611453984462
"BF23","BF23","BF23_2",787.170344691704
"BF24","BF24","BF24_2",805.68779953852
"BF25","BF25","BF25_2",807.406358467784
"BF26","BF26","BF26_2",800.30918924494
"BF27","BF27","BF27_2",803.076553936108
"BF28","BF28","BF28_2",801.907480359547
"BF29","BF29","BF29_2",792.115108089134
"BF30","BF30","BF30_2",807.85180306803
"BF31","BF31","BF31_2",786.777089336515
"BF32","BF32","BF32_2",806.381475677928
"BF33","BF33","BF33_2",813.313226387434
"BF34","BF34","BF34_2",826.457451890394
"BF35","BF35","BF35_2",828.319207687616
"BF36","BF36","BF36_2",832.502766221011
"BF37","BF37","BF37_2",840.276011108761
"BF38","BF38","BF38_2",827.135049597364
"BF39","BF39","BF39_2",809.883405352475
"BF40","BF40","BF40_2",812.428529013231
"BF41","BF41","BF41_2",806.988236607467
"BF42","BF42","BF42_2",819.609601981361
"BF43","BF43","BF43_2",792.746379102749
"BF44","BF44","BF44_2",805.117641024879
"BF45","BF45","BF45_2",825.04828156248
"BF46","BF46","BF46_2",848.845057529631
"BF47","BF47","BF47_2",837.258967163528
"BF48","BF48","BF48_2",819.341592268971
"BF49","BF49","BF49_2",827.490815819627
"BF50","BF50","BF50_2",802.116077907138
"BF51","BF51","BF51_2",824.13672250555
"BF52","BF52","BF52_2",818.592507067673
"BF53","BF53","BF53_2",823.730813078827
"BF54","BF54","BF54_2",837.174915966689
"BF55","BF55","BF55_2",842.391715675373
"BF56","BF56","BF56_2",830.431297118
"BF57","BF57","BF57_2",849.108339614212
"BF58","BF58","BF58_2",829.806770607733
"BF59","BF59","BF59_2",843.603431365985
"BF60","BF60","BF60_2",818.610962429728
"BF61","BF61","BF61_2",823.925071401853
"BF62","BF62","BF62_2",843.862271123337
"BF63","BF63","BF63_2",842.113039864177
"BF64","BF64","BF64_2",845.755527447897
"BF65","BF65","BF65_2",843.939827332548
"BF66","BF66","BF66_2",843.91542368418
"BF67","BF67","BF67_2",832.948234506069
"BF68","BF68","BF68_2",837.10384008392
"BF69","BF69","BF69_2",859.638989826007
"BF70","BF70","BF70_2",854.455138134323
"BF71","BF71","BF71_2",846.1285149091
"BF72","BF72","BF72_2",850.988423413072
"BF73","BF73","BF73_2",858.579050318284
"BF74","BF74","BF74_2",854.363110340892
"BF75","BF75","BF75_2",856.055826146958
"BF76","BF76","BF76_2",850.863948037941
"BF77","BF77","BF77_2",848.841962914921
"BF78","BF78","BF78_2",868.912914543469
"BF79","BF79","BF79_2",859.616819462554
"BF80","BF80","BF80_2",856.378362787783
"BF81","BF81","BF81_2",881.135247227777
"BF82","BF82","BF82_2",878.039501834642
"BF83","BF83","BF83_2",868.514185021924
"BF84","BF84","BF84_2",867.061429791687
"BF85","BF85","BF85_2",874.460954981573
"BF86","BF86","BF86_2",872.23953993266
"BF87","BF87","BF87_2",871.935310638222
"BF88","BF88","BF88_2",886.70608689489
"BF89","BF89","BF89_2",867.321283931729
"BF90","BF90","BF90_2",876.11711904708
"BF91","BF91","BF91_2",890.93086212714
"BF92","BF92","BF92_2",873.934382925967
"BF93","BF93","BF93_2",879.287982113238
"BF94","BF94","BF94_2",898.826607924203
"BF95","BF95","BF95_2",877.366953871384
"BF96","BF96","BF96_2",876.805417955091
"BF97","BF97","BF97_2",872.496079960975
"BF98","BF98","BF98_2",867.186099534584
"BF99","BF99","BF99_2",853.629719409728
"BG09","BG09","BG09_2",732.049293681229
"BG19","BG19","BG19_2",739.944200664849
"BG26","BG26","BG26_2",766.110321724386
"BG27","BG27","BG27_2",768.26427215312
"BG28","BG28","BG28_2",758.253925714429
"BG29","BG29","BG29_2",764.929345018221
"BG30","BG30","BG30_2",731.876122681402
"BG31","BG31","BG31_2",738.851944858895
"BG32","BG32","BG32_2",739.748936708451
"BG33","BG33","BG33_2",742.138883586417
"BG36","BG36","BG36_2",760.523540076628
"BG37","BG37","BG37_2",750.476947912559
"BG38","BG38","BG38_2",751.387892404341
"BG39","BG39","BG39_2",799.198679514687
"BG40","BG40","BG40_2",740.781046259497
"BG41","BG41","BG41_2",747.354238757571
"BG42","BG42","BG42_2",747.13749685092
"BG43","BG43","BG43_2",749.952112606516
"BG45","BG45","BG45_2",761.962182145811
"BG48","BG48","BG48_2",785.263706630786
"BG49","BG49","BG49_2",795.670597713026
"BG50","BG50","BG50_2",776.885732518074
"BG51","BG51","BG51_2",764.639825733653
"BG52","BG52","BG52_2",766.992548381205
"BG53","BG53","BG53_2",772.374586154088
"BG54","BG54","BG54_2",776.255043650183
"BG55","BG55","BG55_2",783.027228792042
"BG56","BG56","BG56_2",784.935440743125
"BG57","BG57","BG57_2",791.48791975959
"BG58","BG58","BG58_2",802.495740813413
"BG59","BG59","BG59_2",797.649284060744
"BG60","BG60","BG60_2",766.787479833399
"BG61","BG61","BG61_2",772.855934613526
"BG62","BG62","BG62_2",788.757479647387
"BG63","BG63","BG63_2",791.038461081237
"BG64","BG64","BG64_2",800.415189308683
"BG65","BG65","BG65_2",803.15830781754
"BG66","BG66","BG66_2",794.970626158782
"BG67","BG67","BG67_2",809.243776461355
"BG68","BG68","BG68_2",830.937045417881
"BG69","BG69","BG69_2",824.568258470752
"BG70","BG70","BG70_2",786.659888699319
"BG71","BG71","BG71_2",797.023724058929
"BG72","BG72","BG72_2",824.8773231311
"BG73","BG73","BG73_2",814.258244782839
"BG74","BG74","BG74_2",825.284170607077
"BG75","BG75","BG75_2",817.36212671576
"BG76","BG76","BG76_2",807.424777408948
"BG77","BG77","BG77_2",826.25409940638
"BG78","BG78","BG78_2",837.178726962338
"BG79","BG79","BG79_2",843.487957912561
"BG80","BG80","BG80_2",816.902745184248
"BG81","BG81","BG81_2",854.211195429163
"BG82","BG82","BG82_2",834.452846437404
"BG83","BG83","BG83_2",833.119441747271
"BG84","BG84","BG84_2",853.721412457574
"BG85","BG85","BG85_2",810.376089676693
"BG86","BG86","BG86_2",834.838758134351
"BG87","BG87","BG87_2",848.457472818263
"BG88","BG88","BG88_2",856.166142181447
"BG89","BG89","BG89_2",879.27219361117
"BG90","BG90","BG90_2",821.664780393407
"BG91","BG91","BG91_2",819.044562048214
"BG92","BG92","BG92_2",847.21986829747
"BG93","BG93","BG93_2",853.197515496671
"BG94","BG94","BG94_2",826.912640460873
"BG95","BG95","BG95_2",828.292394208319
"BG96","BG96","BG96_2",874.243700333218
"BG97","BG97","BG97_2",872.653804186492
"BG98","BG98","BG98_2",859.304983231444
"BG99","BG99","BG99_2",890.200387958041
"BH49","BH49","BH49_2",734.700256347656
"BH57","BH57","BH57_2",754.351479276433
"BH58","BH58","BH58_2",772.79429996279
"BH59","BH59","BH59_2",781.464160153905
"BH66","BH66","BH66_2",760.591259353362
"BH67","BH67","BH67_2",764.208372560785
"BH68","BH68","BH68_2",775.279733984403
"BH69","BH69","BH69_2",768.722521604393
"BH76","BH76","BH76_2",773.386775049715
"BH77","BH77","BH77_2",784.326173076272
"BH78","BH78","BH78_2",804.460564355901
"BH79","BH79","BH79_2",794.56281961013
"BH86","BH86","BH86_2",788.702289163486
"BH87","BH87","BH87_2",791.746492886613
"BH88","BH88","BH88_2",804.257584452768
"BH89","BH89","BH89_2",804.466765823711
"BH96","BH96","BH96_2",798.948936424149
"BH97","BH97","BH97_2",814.591121751539
"BH98","BH98","BH98_2",816.944569020359
"BH99","BH99","BH99_2",820.33739697988
"CB70","CB70","CB70_2",729.019946859967
"CB80","CB80","CB80_2",705.212546476888
"CB81","CB81","CB81_2",703.024611056186
"CB82","CB82","CB82_2",714.202820458074
"CB90","CB90","CB90_2",692.794455315473
"CB91","CB91","CB91_2",709.406300112975
"CB92","CB92","CB92_2",714.457427763177
"CB93","CB93","CB93_2",732.55579349487
"CB94","CB94","CB94_2",705.70659580371
"CC01","CC01","CC01_2",752.748902852749
"CC03","CC03","CC03_2",750.884203206254
"CC04","CC04","CC04_2",750.994433409623
"CC05","CC05","CC05_2",743.606880194304
"CC06","CC06","CC06_2",767.227079999836
"CC10","CC10","CC10_2",734.643824077836
"CC11","CC11","CC11_2",738.003673575439
"CC14","CC14","CC14_2",739.157230576749
"CC15","CC15","CC15_2",745.516137288565
"CC16","CC16","CC16_2",746.717357474775
"CC20","CC20","CC20_2",738.491397297706
"CC21","CC21","CC21_2",765.581110529834
"CC22","CC22","CC22_2",733.905469311991
"CC23","CC23","CC23_2",733.157865823958
"CC24","CC24","CC24_2",738.851248940344
"CC25","CC25","CC25_2",736.465343313336
"CC26","CC26","CC26_2",733.469251169336
"CC30","CC30","CC30_2",731.750121000278
"CC31","CC31","CC31_2",731.581665199647
"CC32","CC32","CC32_2",746.310147624916
"CC33","CC33","CC33_2",727.641506649524
"CC34","CC34","CC34_2",755.633892869657
"CC35","CC35","CC35_2",766.379128284502
"CC36","CC36","CC36_2",757.26151759663
"CC40","CC40","CC40_2",735.84778955286
"CC41","CC41","CC41_2",732.049365956866
"CC42","CC42","CC42_2",704.599669970662
"CC43","CC43","CC43_2",703.967366769177
"CC44","CC44","CC44_2",729.771194034298
"CC45","CC45","CC45_2",755.122232446498
"CC46","CC46","CC46_2",724.597458029831
"CC47","CC47","CC47_2",688.442833692215
"CC50","CC50","CC50_2",737.386913855305
"CC51","CC51","CC51_2",735.921185197231
"CC52","CC52","CC52_2",729.208656776131
"CC53","CC53","CC53_2",723.936225174492
"CC54","CC54","CC54_2",718.597567512689
"CC55","CC55","CC55_2",714.910204936394
"CC56","CC56","CC56_2",702.273075084817
"CC57","CC57","CC57_2",711.651017915153
"CC60","CC60","CC60_2",692.228823679711
"CC61","CC61","CC61_2",699.970759053338
"CC62","CC62","CC62_2",691.600553454568
"CC63","CC63","CC63_2",701.230336571193
"CC64","CC64","CC64_2",704.579859520818
"CC65","CC65","CC65_2",697.838424118122
"CC66","CC66","CC66_2",694.891503132111
"CC67","CC67","CC67_2",723.180692535397
"CC68","CC68","CC68_2",720.611449219043
"CC70","CC70","CC70_2",716.201157414002
"CC71","CC71","CC71_2",721.558182646567
"CC72","CC72","CC72_2",713.54575841208
"CC73","CC73","CC73_2",684.894835577244
"CC74","CC74","CC74_2",704.327222019418
"CC75","CC75","CC75_2",704.26772998204
"CC76","CC76","CC76_2",709.043165960908
"CC77","CC77","CC77_2",710.654950456541
"CC78","CC78","CC78_2",713.480078108656
"CC79","CC79","CC79_2",724.313109587264
"CC80","CC80","CC80_2",716.95308023334
"CC81","CC81","CC81_2",734.496460897429
"CC82","CC82","CC82_2",735.845141537483
"CC83","CC83","CC83_2",701.238064761272
"CC84","CC84","CC84_2",704.943273080733
"CC85","CC85","CC85_2",707.872931551067
"CC86","CC86","CC86_2",704.852358959628
"CC87","CC87","CC87_2",701.263894254786
"CC88","CC88","CC88_2",694.443962979975
"CC89","CC89","CC89_2",714.918478259588
"CC90","CC90","CC90_2",706.845742408495
"CC91","CC91","CC91_2",696.647918026634
"CC92","CC92","CC92_2",677.08263282187
"CC93","CC93","CC93_2",687.859022244862
"CC94","CC94","CC94_2",678.701977004765
"CC95","CC95","CC95_2",691.70261505505
"CC96","CC96","CC96_2",706.246246493687
"CC97","CC97","CC97_2",706.035421058874
"CC98","CC98","CC98_2",700.758977222452
"CC99","CC99","CC99_2",693.811745996061
"CD00","CD00","CD00_2",793.292404059007
"CD01","CD01","CD01_2",804.293329937994
"CD02","CD02","CD02_2",774.226142818697
"CD03","CD03","CD03_2",747.943661232513
"CD04","CD04","CD04_2",730.995174441681
"CD05","CD05","CD05_2",742.892306480043
"CD06","CD06","CD06_2",776.379507607481
"CD07","CD07","CD07_2",732.971026152144
"CD08","CD08","CD08_2",751.338336466396
"CD09","CD09","CD09_2",751.600220704235
"CD10","CD10","CD10_2",786.994702469418
"CD11","CD11","CD11_2",761.174638894039
"CD12","CD12","CD12_2",754.727623292293
"CD13","CD13","CD13_2",749.535732508858
"CD14","CD14","CD14_2",743.685523891184
"CD15","CD15","CD15_2",719.473978925319
"CD16","CD16","CD16_2",729.557427217782
"CD17","CD17","CD17_2",727.807648324141
"CD18","CD18","CD18_2",724.089355700529
"CD20","CD20","CD20_2",756.333902066655
"CD21","CD21","CD21_2",745.381611993103
"CD22","CD22","CD22_2",716.404201291797
"CD23","CD23","CD23_2",738.791665989391
"CD24","CD24","CD24_2",758.354111873414
"CD25","CD25","CD25_2",720.437823477949
"CD26","CD26","CD26_2",737.101550568419
"CD27","CD27","CD27_2",710.620977800048
"CD28","CD28","CD28_2",736.981522803743
"CD29","CD29","CD29_2",752.519078223491
"CD30","CD30","CD30_2",737.139189431779
"CD31","CD31","CD31_2",718.626635269611
"CD32","CD32","CD32_2",739.996823223451
"CD33","CD33","CD33_2",716.789135533049
"CD34","CD34","CD34_2",713.661352783879
"CD35","CD35","CD35_2",706.176391635469
"CD36","CD36","CD36_2",719.68204834162
"CD37","CD37","CD37_2",749.232680871663
"CD38","CD38","CD38_2",755.150135650255
"CD39","CD39","CD39_2",728.645694154546
"CD40","CD40","CD40_2",690.354212204063
"CD41","CD41","CD41_2",742.531280967646
"CD42","CD42","CD42_2",740.112730048604
"CD43","CD43","CD43_2",698.63762295
"CD44","CD44","CD44_2",749.809427572297
"CD45","CD45","CD45_2",753.25775349469
"CD46","CD46","CD46_2",740.475978710587
"CD47","CD47","CD47_2",734.615397398233
"CD48","CD48","CD48_2",718.212768785154
"CD49","CD49","CD49_2",719.955649752787
"CD50","CD50","CD50_2",714.463908149539
"CD51","CD51","CD51_2",731.567874707417
"CD52","CD52","CD52_2",727.974046857889
"CD53","CD53","CD53_2",711.441850942862
"CD54","CD54","CD54_2",720.13506231156
"CD55","CD55","CD55_2",718.408638726683
"CD56","CD56","CD56_2",709.424149359684
"CD57","CD57","CD57_2",720.114242645468
"CD58","CD58","CD58_2",716.080525522339
"CD59","CD59","CD59_2",738.423056236962
"CD60","CD60","CD60_2",727.019721713883
"CD61","CD61","CD61_2",735.732760636283
"CD62","CD62","CD62_2",709.990911987948
"CD63","CD63","CD63_2",688.6371422056
"CD64","CD64","CD64_2",722.525566481166
"CD65","CD65","CD65_2",719.630826882787
"CD66","CD66","CD66_2",705.999724279111
"CD67","CD67","CD67_2",707.17524901581
"CD68","CD68","CD68_2",709.899422247917
"CD69","CD69","CD69_2",710.942047240359
"CD70","CD70","CD70_2",717.39900770715
"CD71","CD71","CD71_2",690.797714346655
"CD72","CD72","CD72_2",705.642442712735
"CD73","CD73","CD73_2",693.274253511483
"CD74","CD74","CD74_2",700.068890272832
"CD75","CD75","CD75_2",715.429181688435
"CD76","CD76","CD76_2",696.496842051898
"CD77","CD77","CD77_2",721.921208444419
"CD78","CD78","CD78_2",708.789275196934
"CD79","CD79","CD79_2",709.629580308426
"CD80","CD80","CD80_2",734.266398910415
