"","kvadratkod","survey","hh","unique","LULC_0","LULC_11","LULC_22","LULC_33","LULC_44","LULC_55","LULC_66","LULC_77"
"BD53","BD53","BD53_2",0.403432603303611,5,0.743731789415731,0,0.000820300934374004,0,0.0243546680107576,0.205364648508015,0,0.0257285931311226
"BD54","BD54","BD54_2",0.0799333466872476,4,0.958769847957083,0,0.000418548841695311,0.00125564652508593,0,0.0152012886666495,0,0.0243546680094867
"BD55","BD55","BD55_2",0.541377064700164,6,0.653839217613913,0.0730640040325817,0.0287448570901998,0.025159909165561,0,0.121773340054303,0,0.0974186720434422
"BD56","BD56","BD56_2",0.58971871376105,6,0.562543096829391,0.00855788797354995,0.279722512716375,0.121773340046478,0,0.0260292373139863,0,0.00137392512021957
"BD57","BD57","BD57_2",0.579598666935769,5,0.122810964820602,0.0487093360192388,0.597724049156443,0,0,0.20502705687381,0,0.0257285931299071
"BD58","BD58","BD58_2",0.469084296599981,5,0,0,0.708712045309252,0.0694046197757962,0.0329125559845247,0.143920827165065,0,0.0450499517653623
"BD59","BD59","BD59_2",0.621770110850443,6,0.579571850490188,0.123092335958638,0.044482535852777,0.101078056281914,0,0.117488738827246,0,0.0342864825892372
"BD60","BD60","BD60_2",0.164124261030408,4,0,0.0369794062383672,0.912183821457842,0.0143047708323284,0,0.036532001471462,0,0
"BD61","BD61","BD61_2",0.694912732833106,5,0.225881981452515,0.0829958182106958,0.464326986986621,0.0951731511944021,0,0.131622062155767,0,0
"BD62","BD62","BD62_2",0.214334147034161,4,0.881403612450235,0,0.0768092383903411,0.00011808235946416,0,0.0416690667999594,0,0
"BD63","BD63","BD63_2",0.186288152759437,4,0.900011397928891,0,0.0445194927134917,0.0369794062383435,0,0.0184897031192738,0,0
"BD64","BD64","BD64_2",0.560606603858683,5,0.324428233315421,0.0243546676463976,0.574654457341433,0,0.0522079740503507,0.0243546676463976,0,0
"BD65","BD65","BD65_2",0.347588355983974,5,0.799379900423793,0,0.0755856260602767,0.0243546676477705,0.0821901027489252,0.018489703119235,0,0
"BD66","BD66","BD66_2",0.58863094820278,4,0.30592552481276,0.0157967798003142,0.548300447757242,0,0,0.129977247629684,0,0
"BD67","BD67","BD67_2",0.195161990660303,3,0,0,0.888354021228804,0,0.0107634689982005,0.100882509772996,0,0
"BD68","BD68","BD68_2",0.3286243038813,4,0,0.0243546676474782,0.810635262420721,0,0.0780973137224035,0.0869127562093975,0,0
