"survey","site","atlas","period","warbler_richness"
"DE21_1","DE21","1","1970s",8
"DE22_1","DE22","1","1970s",7
"BD44_1","BD44","1","1970s",7
"DE23_1","DE23","1","1970s",8
"DE24_1","DE24","1","1970s",12
"DE25_1","DE25","1","1970s",10
"DE26_1","DE26","1","1970s",8
"DE27_1","DE27","1","1970s",8
"DE28_1","DE28","1","1970s",0
"DE29_1","DE29","1","1970s",5
"DE30_1","DE30","1","1970s",12
"DE31_1","DE31","1","1970s",7
"DE32_1","DE32","1","1970s",10
"BD45_1","BD45","1","1970s",8
"DE33_1","DE33","1","1970s",9
"DE34_1","DE34","1","1970s",13
"DE35_1","DE35","1","1970s",7
"DE36_1","DE36","1","1970s",10
"DE37_1","DE37","1","1970s",9
"DE38_1","DE38","1","1970s",9
"DE39_1","DE39","1","1970s",3
"DE40_1","DE40","1","1970s",11
"DE41_1","DE41","1","1970s",8
"DE42_1","DE42","1","1970s",8
"BD46_1","BD46","1","1970s",5
"DE43_1","DE43","1","1970s",10
"DE44_1","DE44","1","1970s",13
"DE45_1","DE45","1","1970s",7
"DE46_1","DE46","1","1970s",9
"DE47_1","DE47","1","1970s",10
"DE48_1","DE48","1","1970s",9
"DE49_1","DE49","1","1970s",3
"DE50_1","DE50","1","1970s",8
"DE51_1","DE51","1","1970s",10
"DE52_1","DE52","1","1970s",11
"BD47_1","BD47","1","1970s",7
"DE53_1","DE53","1","1970s",10
"DE54_1","DE54","1","1970s",8
"DE55_1","DE55","1","1970s",6
"DE56_1","DE56","1","1970s",5
"DE57_1","DE57","1","1970s",7
"DE58_1","DE58","1","1970s",7
"DE59_1","DE59","1","1970s",2
"DE65_1","DE65","1","1970s",1
"DE66_1","DE66","1","1970s",8
"DE67_1","DE67","1","1970s",11
"BD48_1","BD48","1","1970s",7
"DE68_1","DE68","1","1970s",10
"DE69_1","DE69","1","1970s",11
"DE70_1","DE70","1","1970s",8
"DE75_1","DE75","1","1970s",7
"DE76_1","DE76","1","1970s",1
"DE77_1","DE77","1","1970s",2
"DE78_1","DE78","1","1970s",10
"DE79_1","DE79","1","1970s",11
"DE80_1","DE80","1","1970s",6
"DE83_1","DE83","1","1970s",8
"BD49_1","BD49","1","1970s",9
"DE84_1","DE84","1","1970s",9
"DE85_1","DE85","1","1970s",6
"DE86_1","DE86","1","1970s",8
"DE87_1","DE87","1","1970s",11
"DE88_1","DE88","1","1970s",7
"DE89_1","DE89","1","1970s",6
"DE90_1","DE90","1","1970s",6
"DE91_1","DE91","1","1970s",6
"DE93_1","DE93","1","1970s",6
"DE94_1","DE94","1","1970s",8
"AE92_1","AE92","1","1970s",5
"BD50_1","BD50","1","1970s",7
"DE95_1","DE95","1","1970s",6
"DE96_1","DE96","1","1970s",9
"DE97_1","DE97","1","1970s",11
"DE98_1","DE98","1","1970s",11
"DE99_1","DE99","1","1970s",9
"DF00_1","DF00","1","1970s",8
"DF01_1","DF01","1","1970s",8
"DF02_1","DF02","1","1970s",5
"DF04_1","DF04","1","1970s",9
"DF05_1","DF05","1","1970s",7
"BD51_1","BD51","1","1970s",10
"DF06_1","DF06","1","1970s",6
"DF07_1","DF07","1","1970s",11
"DF08_1","DF08","1","1970s",9
"DF09_1","DF09","1","1970s",8
"DF10_1","DF10","1","1970s",10
"DF14_1","DF14","1","1970s",11
"DF15_1","DF15","1","1970s",10
"DF16_1","DF16","1","1970s",11
"DF17_1","DF17","1","1970s",11
"DF18_1","DF18","1","1970s",9
"BD52_1","BD52","1","1970s",5
"DF19_1","DF19","1","1970s",8
"DF20_1","DF20","1","1970s",11
"DF21_1","DF21","1","1970s",7
"DF24_1","DF24","1","1970s",8
"DF25_1","DF25","1","1970s",11
"DF26_1","DF26","1","1970s",9
"DF27_1","DF27","1","1970s",5
"DF28_1","DF28","1","1970s",11
"DF29_1","DF29","1","1970s",7
"DF30_1","DF30","1","1970s",9
"BD53_1","BD53","1","1970s",5
"DF31_1","DF31","1","1970s",5
"DF32_1","DF32","1","1970s",0
"DF36_1","DF36","1","1970s",7
"DF37_1","DF37","1","1970s",10
"DF38_1","DF38","1","1970s",11
"DF39_1","DF39","1","1970s",9
"DF40_1","DF40","1","1970s",10
"DF41_1","DF41","1","1970s",9
"DF42_1","DF42","1","1970s",9
"DF43_1","DF43","1","1970s",6
"BD54_1","BD54","1","1970s",2
"DF47_1","DF47","1","1970s",4
"DF48_1","DF48","1","1970s",6
"DF49_1","DF49","1","1970s",8
"DF50_1","DF50","1","1970s",2
"DF51_1","DF51","1","1970s",8
"DF52_1","DF52","1","1970s",8
"DF55_1","DF55","1","1970s",5
"DF58_1","DF58","1","1970s",0
"DF59_1","DF59","1","1970s",9
"DF60_1","DF60","1","1970s",7
"BD55_1","BD55","1","1970s",8
"DF61_1","DF61","1","1970s",8
"DF62_1","DF62","1","1970s",8
"DF65_1","DF65","1","1970s",7
"DF66_1","DF66","1","1970s",8
"DF69_1","DF69","1","1970s",0
"DF70_1","DF70","1","1970s",7
"DF71_1","DF71","1","1970s",9
"DF72_1","DF72","1","1970s",2
"DF77_1","DF77","1","1970s",0
"DF80_1","DF80","1","1970s",10
"BD56_1","BD56","1","1970s",8
"DF81_1","DF81","1","1970s",10
"DF90_1","DF90","1","1970s",8
"DF91_1","DF91","1","1970s",7
"DF96_1","DF96","1","1970s",10
"DF97_1","DF97","1","1970s",7
"DF98_1","DF98","1","1970s",5
"DG00_1","DG00","1","1970s",9
"DG05_1","DG05","1","1970s",10
"DG06_1","DG06","1","1970s",6
"DG07_1","DG07","1","1970s",11
"BD57_1","BD57","1","1970s",8
"DG08_1","DG08","1","1970s",11
"DG09_1","DG09","1","1970s",10
"DG14_1","DG14","1","1970s",8
"DG15_1","DG15","1","1970s",8
"DG16_1","DG16","1","1970s",11
"DG17_1","DG17","1","1970s",7
"DG18_1","DG18","1","1970s",7
"DG19_1","DG19","1","1970s",7
"DG21_1","DG21","1","1970s",1
"DG22_1","DG22","1","1970s",9
"BD58_1","BD58","1","1970s",8
"DG23_1","DG23","1","1970s",11
"DG24_1","DG24","1","1970s",9
"DG25_1","DG25","1","1970s",9
"DG26_1","DG26","1","1970s",8
"DG27_1","DG27","1","1970s",11
"DG28_1","DG28","1","1970s",10
"DG29_1","DG29","1","1970s",10
"DG30_1","DG30","1","1970s",3
"DG31_1","DG31","1","1970s",4
"DG32_1","DG32","1","1970s",7
"BD59_1","BD59","1","1970s",10
"DG33_1","DG33","1","1970s",11
"DG34_1","DG34","1","1970s",9
"DG35_1","DG35","1","1970s",11
"DG36_1","DG36","1","1970s",6
"DG37_1","DG37","1","1970s",9
"DG38_1","DG38","1","1970s",8
"DG39_1","DG39","1","1970s",7
"DG40_1","DG40","1","1970s",8
"DG41_1","DG41","1","1970s",4
"DG42_1","DG42","1","1970s",9
"AE93_1","AE93","1","1970s",3
"BD60_1","BD60","1","1970s",8
"DG43_1","DG43","1","1970s",4
"DG44_1","DG44","1","1970s",8
"DG45_1","DG45","1","1970s",6
"DG46_1","DG46","1","1970s",8
"DG47_1","DG47","1","1970s",10
"DG48_1","DG48","1","1970s",8
"DG49_1","DG49","1","1970s",11
"DG50_1","DG50","1","1970s",7
"DG51_1","DG51","1","1970s",10
"DG52_1","DG52","1","1970s",11
"BD61_1","BD61","1","1970s",8
"DG53_1","DG53","1","1970s",9
"DG54_1","DG54","1","1970s",8
"DG55_1","DG55","1","1970s",4
