"survey","site","atlas","period","model_year","species_richness","raw_species_pool_size","analysis_set"
"BG60_1","BG60","1","1970s",1971,65,201,"All model-included surveys"
"BG60_2","BG60","2","1990s",1992,58,201,"All model-included surveys"
"BG60_3","BG60","3","2010s",2014,59,201,"All model-included surveys"
"BG61_1","BG61","1","1970s",1971,60,201,"All model-included surveys"
"BG61_2","BG61","2","1990s",1992,49,201,"All model-included surveys"
"BG61_3","BG61","3","2010s",2014,61,201,"All model-included surveys"
"BG62_1","BG62","1","1970s",1971,69,201,"All model-included surveys"
"BG62_2","BG62","2","1990s",1992,60,201,"All model-included surveys"
"BG62_3","BG62","3","2010s",2014,70,201,"All model-included surveys"
"BG63_1","BG63","1","1970s",1971,74,201,"All model-included surveys"
"BG63_2","BG63","2","1990s",1992,54,201,"All model-included surveys"
"BG63_3","BG63","3","2010s",2014,67,201,"All model-included surveys"
"BG64_1","BG64","1","1970s",1971,60,201,"All model-included surveys"
"BG64_2","BG64","2","1990s",1992,66,201,"All model-included surveys"
"BG64_3","BG64","3","2010s",2014,50,201,"All model-included surveys"
"BG65_1","BG65","1","1970s",1971,60,201,"All model-included surveys"
"BG65_2","BG65","2","1990s",1992,73,201,"All model-included surveys"
"BG65_3","BG65","3","2010s",2014,74,201,"All model-included surveys"
"BG66_1","BG66","1","1970s",1971,65,201,"All model-included surveys"
"BG66_2","BG66","2","1990s",1992,73,201,"All model-included surveys"
"BG66_3","BG66","3","2010s",2014,57,201,"All model-included surveys"
"BG67_1","BG67","1","1970s",1971,37,201,"All model-included surveys"
"BG67_2","BG67","2","1990s",1992,55,201,"All model-included surveys"
"BG67_3","BG67","3","2010s",2014,59,201,"All model-included surveys"
"BG68_1","BG68","1","1970s",1971,33,201,"All model-included surveys"
"BG68_2","BG68","2","1990s",1992,56,201,"All model-included surveys"
"BG68_3","BG68","3","2010s",2014,54,201,"All model-included surveys"
"BG69_1","BG69","1","1970s",1971,40,201,"All model-included surveys"
"BG69_2","BG69","2","1990s",1992,45,201,"All model-included surveys"
"BG69_3","BG69","3","2010s",2014,56,201,"All model-included surveys"
"BG70_1","BG70","1","1970s",1971,50,201,"All model-included surveys"
"BG70_2","BG70","2","1990s",1992,57,201,"All model-included surveys"
"BG70_3","BG70","3","2010s",2014,53,201,"All model-included surveys"
"BG71_1","BG71","1","1970s",1971,52,201,"All model-included surveys"
"BG71_2","BG71","2","1990s",1992,49,201,"All model-included surveys"
"BG71_3","BG71","3","2010s",2014,59,201,"All model-included surveys"
"BG72_1","BG72","1","1970s",1971,62,201,"All model-included surveys"
"BG72_2","BG72","2","1990s",1992,54,201,"All model-included surveys"
"BG72_3","BG72","3","2010s",2014,64,201,"All model-included surveys"
"BG73_1","BG73","1","1970s",1971,66,201,"All model-included surveys"
"BG73_2","BG73","2","1990s",1992,72,201,"All model-included surveys"
"BG73_3","BG73","3","2010s",2014,79,201,"All model-included surveys"
"BG74_1","BG74","1","1970s",1971,55,201,"All model-included surveys"
