"site","richness_1970s","richness_1990s","richness_2010s","delta_1990s_minus_1970s","delta_2010s_minus_1990s","delta_2010s_minus_1970s"
"BG76",82,70,79,-12,9,-3
"BG79",47,70,56,23,-14,9
"BG80",59,42,66,-17,24,7
"BG81",51,42,53,-9,11,2
"BG82",51,60,74,9,14,23
"BG83",65,57,75,-8,18,10
"BG84",56,55,52,-1,-3,-4
"BG85",74,71,68,-3,-3,-6
"BG86",52,61,51,9,-10,-1
"BG87",40,64,51,24,-13,11
"BG89",38,38,49,0,11,11
"BG90",62,66,59,4,-7,-3
"BG91",52,48,69,-4,21,17
"BG92",57,64,80,7,16,23
"BG93",66,65,84,-1,19,18
"BG94",43,45,69,2,24,26
"BG95",48,79,76,31,-3,28
"BG96",45,54,46,9,-8,1
"BG98",43,60,51,17,-9,8
"BG99",50,52,45,2,-7,-5
"BH57",68,69,49,1,-20,-19
"BH58",58,41,59,-17,18,1
"BH59",55,30,59,-25,29,4
"BH66",58,44,44,-14,0,-14
"BH67",67,65,49,-2,-16,-18
"BH68",57,60,65,3,5,8
"BH69",63,70,66,7,-4,3
"BH76",76,46,47,-30,1,-29
"BH77",87,95,72,8,-23,-15
"BH78",64,66,54,2,-12,-10
"BH79",63,78,69,15,-9,6
"BH86",47,82,73,35,-9,26
"BH87",86,86,82,0,-4,-4
"BH88",63,50,59,-13,9,-4
"BH89",60,85,76,25,-9,16
"BH96",51,47,37,-4,-10,-14
"BH97",63,45,63,-18,18,0
"BH98",48,70,61,22,-9,13
"BH99",95,102,76,7,-26,-19
"CB80",28,53,62,25,9,34
"CB81",25,40,70,15,30,45
"CB93",27,46,59,19,13,32
"CC04",68,101,97,33,-4,29
"CC05",48,90,79,42,-11,31
"CC06",63,78,74,15,-4,11
"CC14",40,84,66,44,-18,26
"CC15",39,62,52,23,-10,13
"CC16",51,63,57,12,-6,6
"CC20",40,52,68,12,16,28
"CC23",58,51,38,-7,-13,-20
"CC24",55,54,60,-1,6,5
"CC25",45,57,48,12,-9,3
"CC26",40,56,50,16,-6,10
"CC30",47,67,71,20,4,24
"CC31",55,43,79,-12,36,24
"CC33",48,61,57,13,-4,9
"CC34",32,71,50,39,-21,18
"CC35",43,79,58,36,-21,15
"CC36",59,74,67,15,-7,8
"CC40",44,57,56,13,-1,12
"CC41",52,58,62,6,4,10
"CC44",38,65,54,27,-11,16
"CC45",38,52,51,14,-1,13
"CC46",73,83,81,10,-2,8
"CC50",55,52,59,-3,7,4
"CC52",40,60,55,20,-5,15
"CC53",71,78,56,7,-22,-15
"CC54",63,73,62,10,-11,-1
"CC56",73,54,58,-19,4,-15
"CC57",50,41,53,-9,12,3
"CC60",55,53,70,-2,17,15
"CC61",75,76,86,1,10,11
"CC62",65,68,70,3,2,5
"CC63",42,68,64,26,-4,22
"CC64",57,73,53,16,-20,-4
"CC65",48,72,54,24,-18,6
"CC66",44,66,55,22,-11,11
"CC67",49,71,62,22,-9,13
"CC68",43,55,45,12,-10,2
"CC70",72,54,68,-18,14,-4
"CC71",43,53,90,10,37,47
"CC72",65,59,79,-6,20,14
"CC75",98,91,86,-7,-5,-12
"CC76",43,57,53,14,-4,10
"CC77",61,83,62,22,-21,1
"CC80",83,81,88,-2,7,5
"CC81",34,41,64,7,23,30
"CC82",51,41,62,-10,21,11
"CC83",59,49,55,-10,6,-4
"CC84",41,40,39,-1,-1,-2
"CC85",85,87,65,2,-22,-20
"CC86",50,72,62,22,-10,12
"CC88",47,47,57,0,10,10
"CC89",44,51,55,7,4,11
"CC90",45,49,81,4,32,36
"CC91",46,61,100,15,39,54
"CC92",58,67,65,9,-2,7
"CC93",62,58,63,-4,5,1
"CC94",63,69,61,6,-8,-2
"CC95",30,69,61,39,-8,31
"CC96",60,67,76,7,9,16
"CC97",80,60,70,-20,10,-10
"CC98",55,53,72,-2,19,17
"CC99",39,45,53,6,8,14
"CD00",54,38,53,-16,15,-1
"CD01",47,38,56,-9,18,9
"CD02",51,42,58,-9,16,7
"CD03",73,77,88,4,11,15
"CD04",61,73,66,12,-7,5
"CD05",35,42,63,7,21,28
"CD06",36,34,49,-2,15,13
"CD07",36,40,53,4,13,17
"CD08",60,43,59,-17,16,-1
"CD09",55,56,58,1,2,3
"CD10",42,47,61,5,14,19
"CD11",61,56,62,-5,6,1
"CD13",48,73,57,25,-16,9
"CD14",53,35,62,-18,27,9
"CD15",47,35,61,-12,26,14
"CD16",50,76,42,26,-34,-8
"CD17",46,68,68,22,0,22
"CD18",43,56,50,13,-6,7
"CD21",54,78,69,24,-9,15
"CD22",57,38,52,-19,14,-5
"CD23",45,65,75,20,10,30
"CD24",45,74,62,29,-12,17
"CD26",46,67,58,21,-9,12
"CD29",41,65,56,24,-9,15
"CD31",46,75,62,29,-13,16
"CD32",45,73,70,28,-3,25
"CD33",74,62,72,-12,10,-2
"CD34",45,83,64,38,-19,19
"CD36",42,34,63,-8,29,21
"CD40",68,70,70,2,0,2
"CD41",40,79,77,39,-2,37
"CD42",59,74,55,15,-19,-4
"CD43",59,69,91,10,22,32
"CD44",39,49,56,10,7,17
"CD45",43,45,55,2,10,12
"CD47",60,53,65,-7,12,5
"CD49",48,53,51,5,-2,3
"CD50",52,80,77,28,-3,25
"CD51",56,67,67,11,0,11
"CD52",41,70,70,29,0,29
"CD53",48,45,59,-3,14,11
"CD54",60,66,77,6,11,17
"CD57",47,63,61,16,-2,14
"CD58",40,42,42,2,0,2
"CD59",43,39,53,-4,14,10
"CD60",65,67,86,2,19,21
"CD61",37,55,75,18,20,38
"CD62",69,68,65,-1,-3,-4
"CD63",55,73,69,18,-4,14
"CD64",50,46,52,-4,6,2
"CD66",51,57,69,6,12,18
"CD67",57,81,69,24,-12,12
"CD68",35,60,45,25,-15,10
"CD69",52,55,61,3,6,9
"CD70",52,49,73,-3,24,21
"CD71",61,61,109,0,48,48
"CD72",51,50,78,-1,28,27
"CD73",72,65,69,-7,4,-3
"CD74",70,69,66,-1,-3,-4
"CD75",56,59,62,3,3,6
"CD76",38,72,57,34,-15,19
"CD77",46,43,51,-3,8,5
"CD78",38,40,51,2,11,13
"CD80",52,45,72,-7,27,20
"CD81",49,75,95,26,20,46
"CD82",56,64,58,8,-6,2
"CD83",68,64,69,-4,5,1
"CD84",74,69,77,-5,8,3
"CD85",60,43,54,-17,11,-6
"CD86",44,56,53,12,-3,9
"CD89",62,34,66,-28,32,4
"CD90",62,69,70,7,1,8
"CD91",53,79,95,26,16,42
"CD92",63,74,74,11,0,11
"CD94",27,57,60,30,3,33
"CD95",71,75,90,4,15,19
"CD98",56,72,68,16,-4,12
"CD99",49,63,72,14,9,23
"CE00",67,47,77,-20,30,10
"CE01",26,52,73,26,21,47
"CE02",57,75,83,18,8,26
"CE03",43,44,53,1,9,10
"CE04",37,45,52,8,7,15
"CE05",29,48,52,19,4,23
"CE06",32,54,46,22,-8,14
"CE07",43,40,50,-3,10,7
"CE09",50,43,56,-7,13,6
"CE10",61,54,66,-7,12,5
"CE11",42,69,84,27,15,42
"CE12",26,28,74,2,46,48
"CE13",17,38,78,21,40,61
"CE14",35,43,60,8,17,25
"CE15",41,66,48,25,-18,7
"CE16",35,55,58,20,3,23
"CE17",68,64,61,-4,-3,-7
"CE18",64,43,71,-21,28,7
"CE19",56,49,55,-7,6,-1
"CE20",51,77,54,26,-23,3
"CE21",39,79,76,40,-3,37
"CE22",60,73,73,13,0,13
"CE23",26,58,61,32,3,35
"CE24",31,69,63,38,-6,32
"CE25",44,35,51,-9,16,7
"CE26",39,39,53,0,14,14
"CE27",48,39,64,-9,25,16
"CE29",45,32,58,-13,26,13
"CE30",75,65,73,-10,8,-2
"CE31",71,71,64,0,-7,-7
"CE32",46,46,64,0,18,18
"CE33",41,56,64,15,8,23
"CE34",40,39,49,-1,10,9
"CE35",55,47,68,-8,21,13
"CE37",40,44,57,4,13,17
"CE38",61,67,75,6,8,14
"CE39",36,42,60,6,18,24
"CE40",38,37,74,-1,37,36
"CE41",41,53,49,12,-4,8
"CE42",48,65,66,17,1,18
"CE45",51,45,73,-6,28,22
"CE46",38,43,52,5,9,14
"CE47",55,49,53,-6,4,-2
"CE48",42,61,65,19,4,23
"CE49",73,72,79,-1,7,6
"CE50",46,56,64,10,8,18
"CE51",85,76,72,-9,-4,-13
"CE52",66,81,82,15,1,16
"CE54",44,77,50,33,-27,6
"CE55",43,62,65,19,3,22
"CE56",35,60,60,25,0,25
"CE57",47,49,49,2,0,2
"CE58",44,46,56,2,10,12
"CE59",41,37,52,-4,15,11
"CE60",81,72,75,-9,3,-6
"CE61",60,68,80,8,12,20
"CE62",65,73,94,8,21,29
"CE63",51,74,71,23,-3,20
"CE64",72,92,82,20,-10,10
"CE65",44,65,77,21,12,33
"CE66",50,47,55,-3,8,5
"CE67",57,57,61,0,4,4
"CE68",57,52,51,-5,-1,-6
"CE69",48,70,58,22,-12,10
"CE70",58,60,65,2,5,7
"CE71",57,40,54,-17,14,-3
"CE72",84,78,80,-6,2,-4
"CE74",54,77,82,23,5,28
"CE75",55,74,84,19,10,29
"CE76",48,48,45,0,-3,-3
"CE77",56,64,54,8,-10,-2
"CE78",65,84,60,19,-24,-5
"CE79",60,31,61,-29,30,1
"CE80",68,67,87,-1,20,19
"CE81",75,59,95,-16,36,20
"CE82",74,94,101,20,7,27
"CE83",55,68,70,13,2,15
"CE84",53,76,62,23,-14,9
"CE85",51,70,71,19,1,20
"CE86",56,60,82,4,22,26
"CE87",55,55,55,0,0,0
"CE88",70,91,55,21,-36,-15
"CE89",45,77,60,32,-17,15
"CE90",69,59,65,-10,6,-4
"CE91",76,65,55,-11,-10,-21
"CE92",71,69,66,-2,-3,-5
"CE93",45,79,54,34,-25,9
"CE94",41,67,50,26,-17,9
"CE96",50,56,81,6,25,31
"CE97",54,35,66,-19,31,12
"CE98",49,51,51,2,0,2
"CE99",51,82,67,31,-15,16
"CF02",35,65,66,30,1,31
"CF03",57,60,60,3,0,3
"CF04",57,44,76,-13,32,19
"CF05",37,48,51,11,3,14
"CF06",36,57,60,21,3,24
"CF07",49,41,55,-8,14,6
"CF08",45,49,73,4,24,28
"CF09",39,49,61,10,12,22
"CF10",70,75,77,5,2,7
"CF13",76,78,76,2,-2,0
"CF14",56,61,56,5,-5,0
"CF15",58,64,44,6,-20,-14
"CF16",47,56,61,9,5,14
"CF17",41,39,45,-2,6,4
"CF18",48,40,65,-8,25,17
"CF19",62,61,50,-1,-11,-12
"CF21",41,68,50,27,-18,9
"CF23",57,63,69,6,6,12
"CF25",39,56,66,17,10,27
"CF26",30,49,65,19,16,35
"CF27",30,54,58,24,4,28
"CF28",42,53,51,11,-2,9
"CF29",62,82,78,20,-4,16
"CF30",58,69,60,11,-9,2
"CF31",48,72,69,24,-3,21
"CF32",62,88,80,26,-8,18
"CF33",73,81,76,8,-5,3
"CF34",74,75,78,1,3,4
"CF35",68,56,67,-12,11,-1
"CF37",37,42,54,5,12,17
"CF38",56,62,56,6,-6,0
"CF39",53,69,70,16,1,17
"CF40",66,75,82,9,7,16
"CF41",60,69,79,9,10,19
"CF42",38,56,58,18,2,20
"CF43",54,64,62,10,-2,8
"CF44",63,75,73,12,-2,10
"CF45",62,54,72,-8,18,10
"CF47",36,61,72,25,11,36
"CF48",32,42,56,10,14,24
"CF49",71,71,86,0,15,15
"CF50",72,90,79,18,-11,7
"CF51",76,84,91,8,7,15
"CF52",56,69,62,13,-7,6
"CF54",66,86,77,20,-9,11
"CF55",62,80,80,18,0,18
"CF56",35,65,70,30,5,35
"CF57",42,55,70,13,15,28
"CF58",52,52,68,0,16,16
"CF59",65,60,59,-5,-1,-6
"CF60",74,78,72,4,-6,-2
"CF61",61,80,68,19,-12,7
"CF62",51,73,77,22,4,26
"CF63",46,72,68,26,-4,22
"CF64",68,87,81,19,-6,13
"CF65",61,69,69,8,0,8
"CF66",37,64,59,27,-5,22
"CF67",60,47,79,-13,32,19
"CF68",60,62,66,2,4,6
"CF69",66,73,68,7,-5,2
"CF70",67,79,74,12,-5,7
"CF71",55,53,63,-2,10,8
"CF72",39,62,64,23,2,25
"CF73",50,69,76,19,7,26
"CF74",39,59,79,20,20,40
"CF75",52,55,72,3,17,20
"CF76",52,49,56,-3,7,4
"CF77",35,51,53,16,2,18
"CF78",79,74,76,-5,2,-3
"CF79",58,56,61,-2,5,3
"CF80",34,49,67,15,18,33
"CF81",33,63,48,30,-15,15
"CF82",76,93,72,17,-21,-4
"CF83",42,72,74,30,2,32
"CF84",67,51,72,-16,21,5
"CF85",62,47,50,-15,3,-12
"CF86",63,57,66,-6,9,3
"CF87",66,66,63,0,-3,-3
"CF88",55,41,52,-14,11,-3
"CF89",68,66,73,-2,7,5
"CF90",57,53,60,-4,7,3
"CF91",53,60,70,7,10,17
"CF92",68,58,81,-10,23,13
"CF93",34,75,73,41,-2,39
"CF94",55,41,53,-14,12,-2
"CF95",70,64,75,-6,11,5
"CF96",65,45,62,-20,17,-3
"CF97",66,43,60,-23,17,-6
"CF98",65,68,74,3,6,9
"CF99",69,56,64,-13,8,-5
"CG00",48,33,43,-15,10,-5
"CG01",45,39,45,-6,6,0
"CG02",59,34,50,-25,16,-9
"CG03",47,44,60,-3,16,13
"CG04",55,29,61,-26,32,6
"CG05",61,78,92,17,14,31
"CG06",60,52,66,-8,14,6
"CG07",68,74,65,6,-9,-3
"CG08",66,33,59,-33,26,-7
"CG09",73,74,74,1,0,1
"CG10",48,45,48,-3,3,0
"CG11",58,38,51,-20,13,-7
"CG12",49,40,57,-9,17,8
"CG13",55,55,63,0,8,8
"CG14",50,39,54,-11,15,4
"CG15",59,53,85,-6,32,26
"CG17",47,67,56,20,-11,9
"CG18",74,19,50,-55,31,-24
"CG19",62,50,70,-12,20,8
"CG20",49,35,49,-14,14,0
"CG21",48,39,43,-9,4,-5
"CG23",53,55,70,2,15,17
"CG24",49,41,64,-8,23,15
"CG25",53,49,63,-4,14,10
"CG26",45,49,59,4,10,14
"CG27",75,38,61,-37,23,-14
"CG28",65,26,56,-39,30,-9
"CG29",61,47,72,-14,25,11
"CG30",39,59,54,20,-5,15
"CG31",54,50,54,-4,4,0
"CG32",46,45,52,-1,7,6
"CG33",45,40,79,-5,39,34
"CG34",47,60,81,13,21,34
"CG37",53,49,64,-4,15,11
"CG39",68,82,89,14,7,21
"CG40",71,87,73,16,-14,2
"CG41",58,48,63,-10,15,5
"CG42",61,65,71,4,6,10
"CG43",47,70,72,23,2,25
"CG44",65,94,85,29,-9,20
"CG45",52,51,59,-1,8,7
"CG46",68,50,86,-18,36,18
"CG47",65,75,77,10,2,12
"CG48",83,76,78,-7,2,-5
"CG49",65,67,74,2,7,9
"CG50",58,74,73,16,-1,15
"CG51",80,90,73,10,-17,-7
"CG52",48,82,67,34,-15,19
"CG53",66,76,74,10,-2,8
"CG54",52,95,101,43,6,49
"CG55",41,55,74,14,19,33
"CG56",50,64,59,14,-5,9
"CG57",53,72,59,19,-13,6
"CG58",86,82,66,-4,-16,-20
"CG59",77,80,75,3,-5,-2
"CG60",51,60,54,9,-6,3
"CG61",67,70,55,3,-15,-12
"CG62",53,43,82,-10,39,29
"CG63",47,62,61,15,-1,14
"CG64",52,56,69,4,13,17
"CG65",62,54,85,-8,31,23
"CG66",55,68,63,13,-5,8
"CG67",67,54,60,-13,6,-7
"CG68",69,75,47,6,-28,-22
"CG69",82,71,66,-11,-5,-16
