"site","richness_1970s","richness_1990s","richness_2010s","delta_1990s_minus_1970s","delta_2010s_minus_1990s","delta_2010s_minus_1970s"
"FH02",25,51,51,26,0,26
"FH04",35,61,55,26,-6,20
"FH05",52,62,70,10,8,18
"FH06",40,59,61,19,2,21
"FH07",31,66,73,35,7,42
"FH08",35,57,73,22,16,38
"FH11",62,76,87,14,11,25
"FH12",55,56,62,1,6,7
"FH13",30,52,59,22,7,29
"FH14",52,57,58,5,1,6
"FH15",54,58,59,4,1,5
"FH16",49,61,58,12,-3,9
"FH18",36,36,61,0,25,25
"FH21",74,76,77,2,1,3
"FH22",49,52,52,3,0,3
"FH23",79,92,76,13,-16,-3
"FH24",73,86,99,13,13,26
"FH25",77,64,63,-13,-1,-14
"FH29",41,59,47,18,-12,6
"FH32",84,76,68,-8,-8,-16
"FH33",74,91,80,17,-11,6
"FH34",55,63,56,8,-7,1
"FH35",68,53,70,-15,17,2
"FH36",59,61,74,2,13,15
"FH42",81,74,57,-7,-17,-24
"FH43",64,72,57,8,-15,-7
"FH44",83,72,69,-11,-3,-14
"FH45",73,49,61,-24,12,-12
"FH46",69,59,78,-10,19,9
"FH52",72,71,70,-1,-1,-2
"FH53",37,52,34,15,-18,-3
"FH54",63,75,69,12,-6,6
"FH55",36,63,59,27,-4,23
"FH56",86,55,74,-31,19,-12
"FH57",46,48,71,2,23,25
"FH58",86,75,68,-11,-7,-18
"FH62",59,73,81,14,8,22
"FH63",48,77,79,29,2,31
"FH64",58,83,73,25,-10,15
"FH65",15,68,49,53,-19,34
"FH71",45,67,81,22,14,36
"FH72",48,52,56,4,4,8
"FH73",46,52,69,6,17,23
"FH74",59,75,79,16,4,20
"FH75",62,67,63,5,-4,1
"FH76",54,64,59,10,-5,5
"FH79",48,60,75,12,15,27
"FH80",66,62,67,-4,5,1
"FH81",54,67,64,13,-3,10
"FH83",31,69,66,38,-3,35
"FH84",45,59,56,14,-3,11
"FH85",54,78,59,24,-19,5
"FH86",55,75,73,20,-2,18
"FH87",57,65,66,8,1,9
"FH88",53,61,64,8,3,11
"FH89",49,77,74,28,-3,25
"FH95",64,69,56,5,-13,-8
"FH96",51,52,55,1,3,4
"FH98",78,57,66,-21,9,-12
"FH99",48,66,76,18,10,28
"GE00",61,74,78,13,4,17
"GE01",69,108,108,39,0,39
"GE02",63,86,83,23,-3,20
"GE03",68,76,67,8,-9,-1
"GE04",53,74,51,21,-23,-2
"GE10",74,86,86,12,0,12
"GE11",86,88,100,2,12,14
"GE12",65,78,87,13,9,22
"GE13",71,84,97,13,13,26
"GE14",46,64,68,18,4,22
"GE20",62,75,78,13,3,16
"GE21",68,75,92,7,17,24
"GE22",45,72,76,27,4,31
"GE23",53,84,105,31,21,52
"GE24",61,66,66,5,0,5
"GE30",89,86,90,-3,4,1
"GE31",54,62,71,8,9,17
"GE32",68,94,96,26,2,28
"GE33",48,87,82,39,-5,34
"GE34",42,58,40,16,-18,-2
"GE42",54,54,67,0,13,13
"GE43",68,85,91,17,6,23
"GF00",74,82,88,8,6,14
"GF01",60,67,71,7,4,11
"GF02",52,70,61,18,-9,9
"GF03",38,63,82,25,19,44
"GF04",54,61,58,7,-3,4
"GF05",37,68,70,31,2,33
"GF06",67,78,71,11,-7,4
"GF07",66,69,75,3,6,9
"GF08",68,78,84,10,6,16
"GF09",65,76,80,11,4,15
"GF12",37,54,32,17,-22,-5
"GF13",44,55,72,11,17,28
"GF14",48,60,56,12,-4,8
"GF15",60,75,67,15,-8,7
"GF16",53,67,77,14,10,24
"GF17",72,83,93,11,10,21
"GF18",58,89,85,31,-4,27
"GF19",63,76,77,13,1,14
"GF23",63,79,76,16,-3,13
"GF24",41,60,65,19,5,24
"GF25",50,75,81,25,6,31
"GF26",59,79,76,20,-3,17
"GF27",73,79,84,6,5,11
"GF28",58,76,80,18,4,22
"GF29",72,84,75,12,-9,3
"GF33",51,64,62,13,-2,11
"GF34",57,61,70,4,9,13
"GF35",62,56,71,-6,15,9
"GF36",65,72,70,7,-2,5
"GF37",67,74,77,7,3,10
"GF38",80,71,93,-9,22,13
"GF39",73,66,85,-7,19,12
"GF43",58,73,81,15,8,23
"GF44",60,60,65,0,5,5
"GF45",52,48,53,-4,5,1
"GF46",61,83,69,22,-14,8
"GF47",95,70,68,-25,-2,-27
"GF48",72,72,67,0,-5,-5
"GF49",69,59,59,-10,0,-10
"GF52",76,85,81,9,-4,5
"GF53",69,74,65,5,-9,-4
"GF54",57,70,61,13,-9,4
"GF55",36,54,55,18,1,19
"GF63",41,53,52,12,-1,11
"GF74",48,63,41,15,-22,-7
"GG00",28,58,74,30,16,46
"GG02",31,54,62,23,8,31
"GG05",61,64,34,3,-30,-27
"GG06",60,64,44,4,-20,-16
"GG07",42,69,37,27,-32,-5
"GG08",63,83,53,20,-30,-10
"GG09",82,80,73,-2,-7,-9
"GG10",74,81,77,7,-4,3
"GG15",55,74,37,19,-37,-18
"GG16",59,47,61,-12,14,2
"GG17",36,57,62,21,5,26
"GG18",45,80,67,35,-13,22
"GG20",42,63,60,21,-3,18
"GG25",66,82,71,16,-11,5
"GG26",34,58,60,24,2,26
"GG27",53,70,69,17,-1,16
"GG28",72,88,70,16,-18,-2
"GG30",59,67,54,8,-13,-5
"GG36",57,51,61,-6,10,4
"GG37",46,68,75,22,7,29
"GG40",54,61,55,7,-6,1
"GH06",59,62,38,3,-24,-21
"GH07",65,69,91,4,22,26
"GH08",62,66,55,4,-11,-7
"GH09",52,55,56,3,1,4
"GH17",54,55,61,1,6,7
"GH18",50,56,57,6,1,7
"GH19",52,61,76,9,15,24
"GH29",47,38,64,-9,26,17
"GH39",52,60,57,8,-3,5
"GH49",84,93,81,9,-12,-3
"GH59",83,82,77,-1,-5,-6
"HA03",52,60,69,8,9,17
"HA04",67,66,60,-1,-6,-7
"HA05",50,71,80,21,9,30
"HA06",46,63,58,17,-5,12
"HA07",58,57,94,-1,37,36
"HA13",51,73,65,22,-8,14
"HA14",49,44,56,-5,12,7
"HA15",41,37,53,-4,16,12
"HA16",30,54,60,24,6,30
"HA17",51,64,62,13,-2,11
"HA22",31,47,49,16,2,18
"HA23",35,62,67,27,5,32
"HA24",67,68,83,1,15,16
"HA25",68,72,70,4,-2,2
"HA26",67,72,73,5,1,6
"HA32",53,64,76,11,12,23
"HA33",49,43,56,-6,13,7
"HA34",68,76,87,8,11,19
"HA35",57,62,57,5,-5,0
"HA36",65,69,50,4,-19,-15
"HA42",43,42,63,-1,21,20
"HA43",57,61,67,4,6,10
"HA44",63,88,63,25,-25,0
"HA45",41,62,50,21,-12,9
"HA52",68,80,72,12,-8,4
"HA53",71,68,66,-3,-2,-5
"HA54",67,90,73,23,-17,6
