species,comparison,n_common_sites,occupied_cells_1970s,occupied_cells_1990s,gained_cells,lost_cells,retained_cells,absent_in_both_cells,changed_cells,turnover_fraction_of_common_sites,net_cell_change,absolute_net_cell_change,occupancy_fraction_1970s,occupancy_fraction_1990s,sorensen_dissimilarity,direction,foraging_guild,migration_strategy,species_thermal_index,species_label
Coccothraustes_coccothraustes,1970s to 1990s,1726,317,547,374,144,173,1035,518,0.30011587485515645,230,230,0.18366164542294322,0.3169177288528389,0.599537037037037,More occupied cells in 1990s,Passerine seedeaters,sedentary,12.9763477132,Coccothraustes coccothraustes
Periparus_ater,1970s to 1990s,1726,1142,1290,330,182,960,254,512,0.2966396292004635,148,148,0.6616454229432214,0.7473928157589803,0.21052631578947367,More occupied cells in 1990s,Tit-like birds,sedentary,11.9045668053,Periparus ater
Lophophanes_cristatus,1970s to 1990s,1726,680,748,289,221,459,757,510,0.2954808806488992,68,68,0.3939745075318656,0.43337195828505215,0.3571428571428571,More occupied cells in 1990s,Tit-like birds,sedentary,11.7118025203,Lophophanes cristatus
Hippolais_icterina,1970s to 1990s,1726,1425,1390,235,270,1155,66,505,0.2925840092699884,-35,35,0.8256083429895713,0.8053302433371958,0.17939609236234455,Fewer occupied cells in 1990s,Foliage gleaners,long-distance,11.3916568563,Hippolais icterina
Regulus_regulus,1970s to 1990s,1726,1251,1330,288,209,1042,187,497,0.28794901506373116,79,79,0.7247972190034763,0.7705677867902665,0.19256102285935683,More occupied cells in 1990s,Tit-like birds,short-distance,10.8075146552,Regulus regulus
Astur_gentilis,1970s to 1990s,1726,197,561,426,62,135,1103,488,0.2827346465816918,364,364,0.11413673232908458,0.3250289687137891,0.6437994722955145,More occupied cells in 1990s,Diurnal raptors,sedentary,11.8007973825,Astur gentilis
Cygnus_olor,1970s to 1990s,1726,784,851,277,210,574,665,487,0.28215527230590964,67,67,0.4542294322132097,0.49304750869061414,0.2978593272171254,More occupied cells in 1990s,Grazing waterfowl,sedentary and short-distance,12.1899516659,Cygnus olor
Anas_platyrhynchos,1970s to 1990s,1726,1243,1555,399,87,1156,84,486,0.28157589803012745,312,312,0.720162224797219,0.9009269988412515,0.17369549678341678,More occupied cells in 1990s,Dabbling ducks,sedentary and short-distance,11.8110548425,Anas platyrhynchos
Aegithalos_caudatus,1970s to 1990s,1726,424,550,300,174,250,1002,474,0.2746234067207416,126,126,0.24565469293163383,0.3186558516801854,0.48665297741273106,More occupied cells in 1990s,Tit-like birds,sedentary,12.6607518772,Aegithalos caudatus
Corvus_cornix,1970s to 1990s,1726,1337,1558,344,123,1214,45,467,0.2705677867902665,221,221,0.7746234067207416,0.9026651216685979,0.16131260794473234,More occupied cells in 1990s,Omnivorous corvids,sedentary,12.1293990446,Corvus cornix
Fulica_atra,1970s to 1990s,1726,1168,1445,370,93,1075,188,463,0.2682502896871379,277,277,0.6767091541135574,0.8371958285052143,0.17719096823574432,More occupied cells in 1990s,Rails,sedentary and short-distance,12.9624637063,Fulica atra
Oenanthe_oenanthe,1970s to 1990s,1726,422,207,116,331,91,1188,447,0.2589803012746234,-215,215,0.24449594438006952,0.11993047508690614,0.7106518282988872,Fewer occupied cells in 1990s,Low flycatching feeders,long-distance,11.6202368597,Oenanthe oenanthe
Luscinia_luscinia,1970s to 1990s,1726,800,996,319,123,677,607,442,0.25608342989571264,196,196,0.46349942062572425,0.5770567786790266,0.24610244988864138,More occupied cells in 1990s,Low flycatching feeders,long-distance,11.8425102806,Luscinia luscinia
Emberiza_schoeniclus,1970s to 1990s,1726,1378,1368,213,223,1155,135,436,0.2526071842410197,-10,10,0.7983777520278099,0.7925840092699884,0.15877640203932997,Fewer occupied cells in 1990s,Buntings,sedentary and short-distance,11.2704483494,Emberiza schoeniclus
Sitta_europaea,1970s to 1990s,1726,672,857,310,125,547,744,435,0.25202780996523755,185,185,0.38933951332560834,0.49652375434530704,0.28449967298888157,More occupied cells in 1990s,Tit-like birds,sedentary,12.7946675987,Sitta europaea
Chroicocephalus_ridibundus,1970s to 1990s,1726,521,337,125,309,212,1080,434,0.2514484356894554,-184,184,0.3018539976825029,0.19524913093858634,0.5058275058275059,Fewer occupied cells in 1990s,Gulls,short-distance,11.0679667544,Chroicocephalus ridibundus
Motacilla_flava,1970s to 1990s,1726,468,295,124,297,171,1134,421,0.24391657010428738,-173,173,0.2711471610660487,0.17091541135573582,0.5517693315858454,Fewer occupied cells in 1990s,Open-land insectivores,long-distance,12.136968586,Motacilla flava
Curruca_curruca,1970s to 1990s,1726,1462,1514,225,173,1289,39,398,0.23059096176129779,52,52,0.847045191193511,0.87717265353418306,0.133736559139785,More occupied cells in 1990s,Foliage gleaners,long-distance,11.6399285102,Curruca curruca
Corvus_frugilegus,1970s to 1990s,1726,303,518,306,91,212,1117,397,0.23001158748551565,215,215,0.17555040556199306,0.30011587485515645,0.48355663824604145,More occupied cells in 1990s,Omnivorous corvids,sedentary,12.7340640684,Corvus frugilegus
Locustella_naevia,1970s to 1990s,1726,217,386,281,112,105,1228,393,0.22769409038238703,169,169,0.1257242178447277,0.22363847045191193,0.6517412935323383,More occupied cells in 1990s,Marsh warblers,long-distance,11.7684221003,Locustella naevia
Corvus_corax,1970s to 1990s,1726,128,445,350,33,95,1248,383,0.22190034762456548,317,317,0.07415990730011587,0.2578215527230591,0.668411867364747,More occupied cells in 1990s,Omnivorous corvids,sedentary,11.7378412998,Corvus corax
Prunella_modularis,1970s to 1990s,1726,1456,1541,234,149,1307,36,383,0.22190034762456548,85,85,0.8435689455388181,0.8928157589803013,0.12779446112779447,More occupied cells in 1990s,Low flycatching feeders,sedentary and short-distance,10.9083374064,Prunella modularis
Loxia_curvirostra,1970s to 1990s,1726,138,394,318,62,76,1270,380,0.220162224797219,256,256,0.07995365005793743,0.22827346465816917,0.7142857142857143,More occupied cells in 1990s,Passerine seedeaters,sedentary and short-distance,10.4943181045,Loxia curvirostra
Haematopus_ostralegus,1970s to 1990s,1726,497,649,265,113,384,964,378,0.2190034762456547,152,152,0.28794901506373116,0.3760139049826188,0.32984293193717273,More occupied cells in 1990s,Plovers,short-distance,10.4739718085,Haematopus ostralegus
Pica_pica,1970s to 1990s,1726,1450,1474,200,176,1274,76,376,0.21784472769409038,24,24,0.8400926998841252,0.8539976825028969,0.12859097127222985,More occupied cells in 1990s,Omnivorous corvids,sedentary,12.155826028,Pica pica
Rallus_aquaticus,1970s to 1990s,1726,226,384,265,107,119,1235,372,0.21552723059096177,158,158,0.13093858632676708,0.22247972190034762,0.6098360655737705,More occupied cells in 1990s,Rails,sedentary and short-distance,13.3215188918,Rallus aquaticus
Phoenicurus_ochruros,1970s to 1990s,1726,106,419,342,29,77,1278,371,0.2149478563151796,313,313,0.06141367323290846,0.24275782155272305,0.7066666666666667,More occupied cells in 1990s,Low flycatching feeders,sedentary and short-distance,13.2394438706,Phoenicurus ochruros
Podiceps_grisegena,1970s to 1990s,1726,257,471,289,75,182,1180,364,0.21089223638470453,214,214,0.14889918887601392,0.2728852838933951,0.5,More occupied cells in 1990s,Aquatic pursuers,short-distance,11.9386619385,Podiceps grisegena
Sylvia_atricapilla,1970s to 1990s,1726,1381,1583,280,78,1303,65,358,0.2074159907300116,202,202,0.8001158748551565,0.9171494785631518,0.12078272604588391,More occupied cells in 1990s,Foliage gleaners,short-distance,12.6192368528,Sylvia atricapilla
Turdus_pilaris,1970s to 1990s,1726,56,347,323,32,24,1347,355,0.20567786790266512,291,291,0.03244495944380069,0.2010428736964079,0.8808933002481389,More occupied cells in 1990s,Thrushes,short-distance,10.0287125382,Turdus pilaris
Sylvia_borin,1970s to 1990s,1726,1482,1545,205,142,1340,39,347,0.2010428736964079,63,63,0.8586326767091541,0.8951332560834299,0.11463495209778662,More occupied cells in 1990s,Foliage gleaners,long-distance,11.3163422901,Sylvia borin
Motacilla_alba,1970s to 1990s,1726,1425,1646,281,60,1365,20,341,0.19756662804171496,221,221,0.8256083429895713,0.9536500579374276,0.11103874959296645,More occupied cells in 1990s,Open-land insectivores,short-distance,11.9859302219,Motacilla alba
Athene_noctua,1970s to 1990s,1726,308,92,62,278,30,1356,340,0.1969872537659328,-216,216,0.17844727694090382,0.05330243337195829,0.85,Fewer occupied cells in 1990s,Owls,sedentary,14.2083192272,Athene noctua
Spinus_spinus,1970s to 1990s,1726,119,291,254,82,37,1353,336,0.19466975666280417,172,172,0.06894553881807648,0.16859791425260717,0.8195121951219513,More occupied cells in 1990s,Passerine seedeaters,sedentary and short-distance,10.2425165856,Spinus spinus
Passer_montanus,1970s to 1990s,1726,1451,1604,241,88,1363,34,329,0.19061413673232908,153,153,0.8406720741599073,0.929316338354577,0.10769230769230764,More occupied cells in 1990s,Passerine seedeaters,sedentary,13.070887931,Passer montanus
Chloris_chloris,1970s to 1990s,1726,1429,1643,270,56,1373,27,326,0.18887601390498263,214,214,0.8279258400926999,0.9519119351100811,0.10611979166666663,More occupied cells in 1990s,Passerine seedeaters,sedentary and short-distance,12.6006224966,Chloris chloris
Cuculus_canorus,1970s to 1990s,1726,1461,1561,213,113,1348,52,326,0.18887601390498263,100,100,0.8464658169177288,0.9044032444959443,0.10787557908669754,More occupied cells in 1990s,Cuckoos,long-distance,12.1394391784,Cuculus canorus
Tringa_totanus,1970s to 1990s,1726,582,495,119,206,376,1025,325,0.18829663962920046,-87,87,0.33719582850521435,0.2867902665121669,0.3017641597028784,Fewer occupied cells in 1990s,Scolopacids,short-distance,11.0359375128,Tringa totanus
Aythya_fuligula,1970s to 1990s,1726,119,335,270,54,65,1337,324,0.18771726535341832,216,216,0.06894553881807648,0.194090382387022,0.7136563876651982,More occupied cells in 1990s,Diving ducks,short-distance,10.1385920012,Aythya fuligula
Circus_aeruginosus,1970s to 1990s,1726,90,367,300,23,67,1336,323,0.18713789107763615,277,277,0.05214368482039398,0.21263035921205098,0.7067833698030634,More occupied cells in 1990s,Diurnal raptors,short-and long-distance,13.2259231132,Circus aeruginosus
Anser_anser,1970s to 1990s,1726,192,407,266,51,141,1268,317,0.18366164542294322,215,215,0.11123986095017381,0.2358053302433372,0.5292153589315526,More occupied cells in 1990s,Grazing waterfowl,sedentary and short-distance,11.1956416463,Anser anser
Erithacus_rubecula,1970s to 1990s,1726,1474,1617,222,79,1395,30,301,0.17439165701042875,143,143,0.8539976825028969,0.9368482039397451,0.09737948883856362,More occupied cells in 1990s,Low flycatching feeders,sedentary,11.998445823500001,Erithacus rubecula
Scolopax_rusticola,1970s to 1990s,1726,212,325,204,91,121,1310,295,0.17091541135573582,113,113,0.12282734646581692,0.18829663962920046,0.5493482309124766,More occupied cells in 1990s,Scolopacids,sedentary and short-distance,10.6010955955,Scolopax rusticola
Picus_viridis,1970s to 1990s,1726,336,405,182,113,223,1208,295,0.17091541135573582,69,69,0.19466975666280417,0.23464658169177288,0.398110661268556,More occupied cells in 1990s,Woodpeckers,sedentary,12.9413688865,Picus viridis
Podiceps_cristatus,1970s to 1990s,1726,405,530,208,83,322,1113,291,0.16859791425260717,125,125,0.23464658169177288,0.3070683661645423,0.3112299465240642,More occupied cells in 1990s,Aquatic pursuers,short-distance,12.6860788894,Podiceps cristatus
