atlas,period,survey,site,X,Y,PC1,PC2,PC3,PC4,PC5,bioregion,pca_cluster,pca_cluster_silhouette
1,1970s,DB21_1,DB21,562499.6778171846,6357499.774650563,-0.029491049912028892,0.12666333926760626,0.08766157165795187,0.21421789929396207,-0.07206204282476938,Cluster 3,PCA cluster 2,0.39378832593736157
1,1970s,DB22_1,DB22,562499.6515363256,6362499.764446196,-0.24093856557584017,0.102800847216068,0.03860334504478446,0.21596496899458545,0.05115502606625574,Cluster 1,PCA cluster 1,0.3937326093619077
1,1970s,DB23_1,DB23,562499.6400820935,6367499.792328508,0.001953345683036952,0.12115272937821517,0.08399852555295413,0.021517788591298295,0.2112844203532103,Cluster 3,PCA cluster 2,0.393071690839809
1,1970s,DB24_1,DB24,562499.6441820732,6372499.746949654,0.08686700340409505,0.08180870350038595,0.02370359515141246,0.022837542508945104,0.057713623677853765,Cluster 3,PCA cluster 2,0.39274284356292055
1,1970s,DB25_1,DB25,562499.6611575983,6377499.739594084,0.13383379164855794,0.09525911409737547,0.02968274078380079,0.004522951334217795,0.05841635238398919,Cluster 3,PCA cluster 2,0.39274270783646836
1,1970s,DB26_1,DB26,562499.6900292314,6382499.770230629,-0.008711966474224099,0.10546683739387662,-0.0024117004853926333,-0.0663507096399259,0.041272513862523515,Cluster 3,PCA cluster 2,0.39259056311666873
1,1970s,DB31_1,DB31,567499.6497347835,6357499.773935058,0.06910787866783735,0.12892149265300704,0.04718334271910235,0.14396028791490215,-0.0718461060207389,Cluster 3,PCA cluster 2,0.3922722145833333
1,1970s,DB32_1,DB32,567499.649767541,6362499.788996397,0.07317804521167937,0.10357541150796079,0.06307645085600236,0.10250021648954874,-0.03864814822620057,Cluster 3,PCA cluster 2,0.39189741272501977
1,1970s,BD21_1,BD21,462500.04652625887,6257499.613366459,0.17332208673645524,0.1504528903889332,-0.16729453528816018,-0.022151686924779274,-0.0571950978753653,Cluster 3,PCA cluster 2,0.39132862204939245
1,1970s,DB33_1,DB33,567499.6483663965,6367499.730884405,-0.06526668917627702,0.03943146137995708,-0.03450247599324017,0.07373368064631133,0.15257129781825243,Cluster 1,PCA cluster 1,0.3908787883408781
1,1970s,DB34_1,DB34,567499.6427126657,6372499.710880268,0.2264581936704976,0.027541612906047844,-0.08317304962903284,-0.05825488446779409,0.03180770045114318,Cluster 2,PCA cluster 2,0.39086151081647147
1,1970s,DB35_1,DB35,567499.6318198992,6377499.728951592,0.18124979259203552,0.11339038085496206,0.04708992474292578,-0.03279989663382359,0.03721185083225511,Cluster 3,PCA cluster 2,0.3902870954377138
1,1970s,DB36_1,DB36,567499.676348217,6382499.674741831,0.03529247731842633,0.16464471674642273,0.03872422398224914,-0.05929428849867261,0.03644421976040656,Cluster 3,PCA cluster 2,0.38989450748939825
1,1970s,DB40_1,DB40,572499.6344654928,6352499.8530826,0.22140521033573105,-6.99227788544917e-4,-0.08828806960524353,-0.06861728363593493,0.05928504664065821,Cluster 2,PCA cluster 2,0.3898188224953414
1,1970s,DB41_1,DB41,572499.6216895938,6357499.864695008,0.14741988080509308,0.11761478991405627,0.10309685766540894,0.054712507135726555,-0.004315790686328336,Cluster 3,PCA cluster 2,0.3892472482293994
1,1970s,DB42_1,DB42,572499.5906535387,6362499.80320541,0.20487900297140124,0.035301751796066816,-0.06836727907942994,0.038341039367493536,0.00957659773888354,Cluster 2,PCA cluster 2,0.3891428926590307
1,1970s,DB43_1,DB43,572499.5984189146,6367499.780956781,0.07883055244362032,0.11103683212971978,0.026273330879626567,0.023325085675102695,0.03654130094886913,Cluster 3,PCA cluster 2,0.38906787935773346
1,1970s,DB44_1,DB44,572499.5838254265,6372499.796851205,0.24094790063509913,0.04043832061113211,-0.028981146537204693,-0.06568367693386312,0.002282290464535225,Cluster 2,PCA cluster 2,0.3890210289305155
1,1970s,DB45_1,DB45,572499.6077339851,6377499.740606079,0.0903258284648405,0.13508317597903577,0.04792578344464907,-0.0081320291978439,0.09884114926219734,Cluster 3,PCA cluster 2,0.3886549826736606
1,1970s,BD22_1,BD22,462500.04672205047,6262499.682150681,0.17439879245530307,0.23319201550196694,-0.04570421720768375,-0.047919410545926855,-0.09240039197743516,Cluster 3,PCA cluster 2,0.3884782650288314
1,1970s,DB46_1,DB46,572499.6071544627,6382499.722435604,-0.11883378025381165,0.21550295958190446,0.01607461010661915,0.03464009733861912,0.1447303479793776,Cluster 3,PCA cluster 2,0.38811057983427677
1,1970s,DB52_1,DB52,577499.5523310879,6362499.807698655,0.06143479863217385,0.16116189615659696,0.10186731423903905,0.07771533554776516,0.047071227374787854,Cluster 3,PCA cluster 2,0.38810364117495133
1,1970s,DB53_1,DB53,577499.5700187528,6367499.831857608,0.14254178439085194,0.17295457455355212,0.01690298022269297,-0.01682970538221396,0.03268704249085199,Cluster 3,PCA cluster 2,0.38795756621212407
1,1970s,DB54_1,DB54,577499.5493575014,6372499.782863706,0.25728715618029546,0.09497062065305377,-0.05589541993949475,-0.11970321965727201,-0.014635796877294771,Cluster 3,PCA cluster 2,0.387619743323099
1,1970s,DB55_1,DB55,577499.5492296974,6377499.66181914,0.05458515350091561,0.08498215133928741,-0.11429045658080439,-0.061019395389812645,0.060602790526152,Cluster 3,PCA cluster 2,0.38742933985597994
1,1970s,DB56_1,DB56,577499.5641771164,6382499.691316109,-0.016026029339350174,0.13332328484684844,-0.06419857095881999,-0.06811813982110965,0.024744555922634047,Cluster 3,PCA cluster 2,0.38737419925771677
1,1970s,DB57_1,DB57,577499.537492288,6387499.64755162,0.002284333544272267,0.1748301625591869,-0.04539990240383602,-0.09346990926318938,-0.019871469281954105,Cluster 3,PCA cluster 2,0.3870983488318319
1,1970s,DB60_1,DB60,582499.5631405126,6352499.870773819,0.11508427047089817,0.08778929662146383,0.05952853575494687,0.02600078412747197,0.03473424151589843,Cluster 3,PCA cluster 2,0.38658889411763675
1,1970s,DB62_1,DB62,582499.4927491389,6362499.801014301,0.13172114635644158,0.11066683563244231,0.061833742568158774,0.03514975195452821,0.02374297836759786,Cluster 3,PCA cluster 2,0.38616391962428864
1,1970s,DB63_1,DB63,582499.5234498292,6367499.770816479,0.19087154213096003,0.09206724889228937,0.03813541807556121,-0.03820815878298249,0.10579038268429296,Cluster 3,PCA cluster 2,0.386144013662576
1,1970s,DB64_1,DB64,582499.4955886239,6372499.778775646,0.15055945905087667,0.05783848407327747,-0.06632453193107005,-0.0636956719247782,0.10567725516971338,Cluster 3,PCA cluster 2,0.3846589627599848
1,1970s,DB65_1,DB65,582499.4702860015,6377499.714756137,-0.0834751431691636,0.17025484635106392,-0.07143805762179734,-0.04079415422223574,0.056058916770206996,Cluster 3,PCA cluster 2,0.3846510427511499
1,1970s,DB66_1,DB66,582499.5038627629,6382499.691246823,0.08077960235699667,0.23578411323173523,-0.03242286804335349,-0.11164231649671455,-0.031806104232732106,Cluster 3,PCA cluster 2,0.38429683794283676
1,1970s,DB67_1,DB67,582499.4776775325,6387499.594470724,-0.10992751903599966,0.1708319643806756,-0.1119375182227312,-0.03999534679351291,-0.016566174140229546,Cluster 3,PCA cluster 2,0.38416264187929194
1,1970s,DB68_1,DB68,582499.4481154357,6392499.536917151,-0.3154399185618343,0.2154394904052212,-0.01486736061443917,-0.03160093440711288,0.016170623176530133,Cluster 1,PCA cluster 1,0.3840030238830118
1,1970s,DB70_1,DB70,587499.5384229121,6352499.942973814,-0.028769801632519576,0.046126504481770005,0.06352691047576409,0.16784591748720995,-0.0016915798735049187,Cluster 1,PCA cluster 2,0.3833576240328439
1,1970s,DB71_1,DB71,587499.4899705768,6357499.898755164,0.14861555675184973,0.104661954988813,0.09360263394001524,0.055841000873733934,0.03903237728572872,Cluster 3,PCA cluster 2,0.382861267542123
1,1970s,DB72_1,DB72,587499.4900431393,6362499.784009084,0.12714518696931418,0.02226746894072993,-0.059531018801369955,0.017036139849168044,0.03410172250186468,Cluster 2,PCA cluster 2,0.3823159746333715
1,1970s,DB73_1,DB73,587499.4724052523,6367499.8200299665,0.19629597032361476,0.08883890445790801,0.0475647900475856,-0.10455104049536508,0.0738885716046848,Cluster 3,PCA cluster 2,0.3823066443400467
1,1970s,DB74_1,DB74,587499.4405852477,6372499.784163884,-0.01463629601502099,0.1270925198604679,-0.004216883668520038,-0.08941270392755256,0.0030620373945941144,Cluster 3,PCA cluster 2,0.38204172852113727
1,1970s,DB75_1,DB75,587499.4508390957,6377499.788968703,-0.20896555550519386,0.1759293582620999,0.06180171414681094,-0.17555882494765154,-0.0013424805786461042,Cluster 3,PCA cluster 2,0.3818754969956497
1,1970s,DB77_1,DB77,587499.4197526195,6387499.582648063,0.023097696304358328,0.21162735419150705,-0.002819934024465098,-0.11255312769176433,-0.02033578956992133,Cluster 3,PCA cluster 2,0.38182391912551605
1,1970s,DB78_1,DB78,587499.3735523641,6392499.482754864,-0.09156506318502175,0.1602527433521109,-0.106134203462839,-0.022218263411386465,-0.014642819498020843,Cluster 3,PCA cluster 2,0.381767239018163
1,1970s,DB79_1,DB79,587499.3020525747,6397499.533405255,0.02022299586024043,0.25580629713351255,0.009075358282597713,-0.11588878709281347,-0.012188257511782786,Cluster 3,PCA cluster 2,0.38127940968568275
