"site","lat","lon","atlas","survey"
"BC34",57.042922,8.463049,1,"BC34_1"
"BC40",56.863584,8.547631,1,"BC40_1"
"BC41",56.908501,8.547088,1,"BC41_1"
"BC42",56.953417,8.546543,1,"BC42_1"
"BC43",56.998333,8.545997,1,"BC43_1"
"BC44",57.043249,8.545449,1,"BC44_1"
"BC45",57.088164,8.544899,1,"BC45_1"
"BC50",56.863854,8.629636,1,"BC50_1"
"BC51",56.908771,8.629191,1,"BC51_1"
"BC52",56.953688,8.628745,1,"BC52_1"
"BC53",56.998604,8.628298,1,"BC53_1"
"BC54",57.04352,8.62785,1,"BC54_1"
"BC55",57.088436,8.6274,1,"BC55_1"
"BC56",57.133352,8.62695,1,"BC56_1"
"BC60",56.864071,8.711643,1,"BC60_1"
"BC61",56.908988,8.711296,1,"BC61_1"
"BC62",56.953905,8.710949,1,"BC62_1"
"BC63",56.998822,8.710601,1,"BC63_1"
"BC64",57.043738,8.710252,1,"BC64_1"
"BC65",57.088654,8.709901,1,"BC65_1"
"BC70",56.864233,8.79365,1,"BC70_1"
"BC71",56.909151,8.793402,1,"BC71_1"
"BC72",56.954068,8.793154,1,"BC72_1"
"BC73",56.998985,8.792904,1,"BC73_1"
"BC74",57.043902,8.792654,1,"BC74_1"
"BC75",57.088818,8.792404,1,"BC75_1"
"BC80",56.864342,8.875658,1,"BC80_1"
"BC81",56.90926,8.875509,1,"BC81_1"
"BC82",56.954177,8.875359,1,"BC82_1"
"BC83",56.999094,8.875208,1,"BC83_1"
"BC84",57.044011,8.875058,1,"BC84_1"
"BC85",57.088927,8.874907,1,"BC85_1"
"BC86",57.133844,8.874756,1,"BC86_1"
"BC91",56.909314,8.957616,1,"BC91_1"
"BC92",56.954232,8.957564,1,"BC92_1"
"BC93",56.999149,8.957513,1,"BC93_1"
"BC94",57.044066,8.957462,1,"BC94_1"
"BC95",57.088982,8.95741,1,"BC95_1"
"BC96",57.133899,8.957358,1,"BC96_1"
"BD00",56.412807,8.228849,1,"BD00_1"
"BD01",56.457725,8.227939,1,"BD01_1"
"BD02",56.502642,8.227026,1,"BD02_1"
"BD03",56.547558,8.22611,1,"BD03_1"
"BD04",56.592475,8.225192,1,"BD04_1"
"BD05",56.637391,8.224271,1,"BD05_1"
"BD06",56.682307,8.223348,1,"BD06_1"
"BD07",56.727222,8.222422,1,"BD07_1"
"BD08",56.772137,8.221493,1,"BD08_1"
"BD09",56.817052,8.220562,1,"BD09_1"
"BD10",56.413285,8.309878,1,"BD10_1"
"BD11",56.458203,8.309063,1,"BD11_1"
"BD12",56.503121,8.308246,1,"BD12_1"
"BD13",56.548038,8.307427,1,"BD13_1"
"BD14",56.592956,8.306605,1,"BD14_1"
"BD16",56.682789,8.304955,1,"BD16_1"
"BD17",56.727705,8.304126,1,"BD17_1"
"BD18",56.772621,8.303295,1,"BD18_1"
"BD19",56.817536,8.302462,1,"BD19_1"
"BD20",56.41371,8.390909,1,"BD20_1"
"BD21",56.458628,8.39019,1,"BD21_1"
"BD22",56.503547,8.389469,1,"BD22_1"
"BD23",56.548465,8.388746,1,"BD23_1"
"BD24",56.593383,8.388021,1,"BD24_1"
"BD26",56.683218,8.386564,1,"BD26_1"
"BD27",56.728135,8.385832,1,"BD27_1"
"BD28",56.773051,8.385099,1,"BD28_1"
"BD29",56.817967,8.384363,1,"BD29_1"
"BD30",56.414081,8.471943,1,"BD30_1"
"BD31",56.459,8.471319,1,"BD31_1"
