survey,site,bioregion,variable,value_raw,variable_label,national_mean,national_median,national_sd,value_relative_to_national
DC43_1,DC43,Cluster 3,tmean_breeding,8.59009939765607,Temperature,8.395019836554825,8.416934228376359,0.19201524932505465,0.9018302967519367
DC43_1,DC43,Cluster 3,prec_breeding,120.832649578375,Precipitation,128.35983028092753,126.2008668289715,12.290676940288781,-0.4367714875817385
DC43_1,DC43,Cluster 3,hh,0.741137581815268,Land-use heterogeneity,0.434204235075491,0.480924881210568,0.22882328977267316,1.1371775174773993
DC43_1,DC43,Cluster 3,perc_urban,0.147056266002084,Urban,0.09872583206978074,0.04870933595651575,0.14084422666790042,0.6982673864045741
DC43_1,DC43,Cluster 3,perc_cropland,0.387282080725517,Cropland,0.5584718573694387,0.6239454337793555,0.32723748714239265,-0.7232158977888065
DC43_1,DC43,Cluster 3,perc_pasture,0,Pasture,0.05130629633513138,0,0.0993572956234167,0
DC43_1,DC43,Cluster 3,perc_forest,0.00242502644039459,Forest,0.10401747817882706,0.0299214147800638,0.16236497160786373,-0.16934926337484416
DC43_1,DC43,Cluster 3,perc_grass_shrub,0.126623394728781,Grass/Shrubland,0.05440721034042868,0.0243127664128194,0.0765990783954602,1.3356639591374675
DC45_1,DC45,Cluster 3,tmean_breeding,8.50085831187654,Temperature,8.395019836554825,8.416934228376359,0.19201524932505465,0.43706988791348056
DC45_1,DC45,Cluster 3,prec_breeding,123.59190125726,Precipitation,128.35983028092753,126.2008668289715,12.290676940288781,-0.21227191833179804
DC45_1,DC45,Cluster 3,hh,0.199442568526814,Land-use heterogeneity,0.434204235075491,0.480924881210568,0.22882328977267316,-1.2301296470450866
DC45_1,DC45,Cluster 3,perc_urban,0.0954838392976613,Urban,0.09872583206978074,0.04870933595651575,0.14084422666790042,0.3321009632253947
DC45_1,DC45,Cluster 3,perc_cropland,0.889502591706266,Cropland,0.5584718573694387,0.6239454337793555,0.32723748714239265,0.8115120313564721
DC45_1,DC45,Cluster 3,perc_pasture,0,Pasture,0.05130629633513138,0,0.0993572956234167,0
DC45_1,DC45,Cluster 3,perc_forest,0.015013568996072,Forest,0.10401747817882706,0.0299214147800638,0.16236497160786373,-0.09181688412446823
DC45_1,DC45,Cluster 3,perc_grass_shrub,0,Grass/Shrubland,0.05440721034042868,0.0243127664128194,0.0765990783954602,-0.3174028581296919
BD31_1,BD31,Cluster 3,tmean_breeding,8.30752583789895,Temperature,8.395019836554825,8.416934228376359,0.19201524932505465,-0.5697901123061111
BD31_1,BD31,Cluster 3,prec_breeding,141.770392841805,Precipitation,128.35983028092753,126.2008668289715,12.290676940288781,1.2667753036284497
BD31_1,BD31,Cluster 3,hh,0.495589795438939,Land-use heterogeneity,0.434204235075491,0.480924881210568,0.22882328977267316,0.06408838122614191
BD31_1,BD31,Cluster 3,perc_urban,0,Urban,0.09872583206978074,0.04870933595651575,0.14084422666790042,-0.3458383570905503
BD31_1,BD31,Cluster 3,perc_cropland,0.365681246668798,Cropland,0.5584718573694387,0.6239454337793555,0.32723748714239265,-0.7892255540948389
BD31_1,BD31,Cluster 3,perc_pasture,0,Pasture,0.05130629633513138,0,0.0993572956234167,0
BD31_1,BD31,Cluster 3,perc_forest,0.608284169479602,Forest,0.10401747817882706,0.0299214147800638,0.16236497160786373,3.562115331725446
BD31_1,BD31,Cluster 3,perc_grass_shrub,0.0260345838516002,Grass/Shrubland,0.05440721034042868,0.0243127664128194,0.0765990783954602,0.022478304894107546
