comparison,transition,source_cluster,target_cluster,species,n_sites,mean_probability_from,mean_probability_to,mean_probability_delta,median_probability_delta,q10_probability_delta,q90_probability_delta,mean_probability_gain,mean_probability_loss,prop_sites_increase,thermal_group,migratory_strategy,foraging_guild,species_thermal_index,driver_direction,species_label
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Muscicapa_striata,142,0.2536210134968893,0.5599366887225361,0.30631567522564684,0.3156864265943624,0.017878117566150424,0.5797936708708926,0.31592174708004345,-0.009606071854396622,0.9014084507042254,medium,long-distance,Flycatchers,12.1492223917,Gain,Muscicapa striata
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Turdus_viscivorus,142,0.1569926334402235,0.46897313830680715,0.3119805048665837,0.29089258343631197,0.033126189922736235,0.6108296716774564,0.31349490105830546,-0.0015143961917218217,0.9577464788732394,medium,short-distance,Thrushes,11.9147042629,Gain,Turdus viscivorus
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Carduelis_carduelis,142,0.4453780099200448,0.762773620515327,0.31739561059528226,0.32049517673234124,0.030541601793565437,0.6067159420746016,0.32685763102163123,-0.009462020426348952,0.9366197183098591,very warm,sedentary and short-distance,Passerine seedeaters,13.4542440183,Gain,Carduelis carduelis
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Falco_tinnunculus,142,0.3790291756552671,0.718951040644986,0.3399218649897189,0.36068929303806463,0.04741966689587668,0.6366732634229243,0.3480446954928802,-0.008122830503161326,0.9295774647887324,warm,sedentary and short-distance,Diurnal raptors,12.4263636442,Gain,Falco tinnunculus
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Acanthis_flammea,142,0.07005478490231473,0.4284987010945523,0.3584439161922376,0.33008103471379047,0.04673049164730443,0.7003187986528672,0.3584439161922376,0,1,very cold,short-distance,Passerine seedeaters,8.1923087262,Gain,Acanthis flammea
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Certhia_familiaris,142,0.12828300600726442,0.5033669011660011,0.37508389515873675,0.3485107864238991,0.08060529544219093,0.7542697349794067,0.38000673743666974,-0.004922842277933013,0.9577464788732394,cold,sedentary,Tit-like birds,11.119463211,Gain,Certhia familiaris
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Garrulus_glandarius,142,0.327705172100084,0.7085521849388733,0.38084701283878925,0.3516692937497859,0.05185197679448468,0.7415286384976839,0.39200409200056197,-0.011157079161772715,0.9225352112676056,warm,sedentary,Omnivorous corvids,12.466780849,Gain,Garrulus glandarius
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Pyrrhula_pyrrhula,142,0.1878159551034437,0.5713730090455734,0.38355705394212974,0.3402247927476567,0.0504962427389254,0.7559910615633618,0.3896033274682504,-0.00604627352612063,0.9436619718309859,very cold,short-distance,Passerine seedeaters,10.756294956,Gain,Pyrrhula pyrrhula
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Dendrocopos_major,142,0.4310223397932955,0.8666007653821496,0.43557842558885407,0.4557081387380649,0.10274445008485664,0.7593070183190725,0.4439027083981989,-0.008324282809344859,0.9507042253521126,medium,sedentary,Woodpeckers,12.1154284266,Gain,Dendrocopos major
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Accipiter_nisus,142,0.1833313667477405,0.6488635423461575,0.4655321755984171,0.46450519934249795,0.2129706631884044,0.7376788922825291,0.46691614901377687,-0.001383973415359778,0.9929577464788732,medium,sedentary and short-distance,Diurnal raptors,11.9162821341,Gain,Accipiter nisus
