site,survey_from,survey_to,bioregion_1,bioregion_3,atlas.x,atlas.y,variable,from,to,delta_raw,variable_label,national_mean_delta,national_median_delta,national_sd_delta,delta_relative_to_national
EG88,EG88_1,EG88_3,Cluster 1,Cluster 1,1,3,hh,0.22717765036501,0.228201951627812,0.0010243012628020076,Land-use heterogeneity,0.062003502519162035,0.020709709646520247,0.12453054756068756,-0.15807694392514363
EG88,EG88_1,EG88_3,Cluster 1,Cluster 1,1,3,perc_urban,0,0,0,Urban,0.018701331002944264,0,0.04401874318659405,0
EG88,EG88_1,EG88_3,Cluster 1,Cluster 1,1,3,perc_cropland,0.876677680430032,0.873121537113466,-0.0035561433165660628,Cropland,-0.056888334729859956,-0.025302527806218,0.11283135998622783,0.19273351391232274
EG88,EG88_1,EG88_3,Cluster 1,Cluster 1,1,3,perc_pasture,0.0359098907222271,0.083110323563712,0.047200432841484896,Pasture,-0.0030859163253946125,0,0.06411020342686834,0.7362390121773249
EG88,EG88_1,EG88_3,Cluster 1,Cluster 1,1,3,perc_forest,0,0,0,Forest,0.027693910910736398,0,0.07188363908141222,0
EG88,EG88_1,EG88_3,Cluster 1,Cluster 1,1,3,perc_grass_shrub,0.0436442895249193,0,-0.0436442895249193,Grass/Shrubland,0.012991395739266822,0,0.09111115912383148,-0.47902243747773243
EG89,EG89_1,EG89_3,Cluster 1,Cluster 2,1,3,tmean_breeding,8.40290466637028,9.65861312563128,1.255708459261001,Temperature,1.166075574822343,1.1432688239924493,0.08658277654253788,1.2986374398990363
EG89,EG89_1,EG89_3,Cluster 1,Cluster 2,1,3,prec_breeding,110.647808021302,182.165385953843,71.51757793254102,Precipitation,76.22566845605704,75.44205569385801,10.600787063580594,-0.3702062627783257
EG89,EG89_1,EG89_3,Cluster 1,Cluster 2,1,3,hh,0.028753059542115,0.0706055488424913,0.0418524893003763,Land-use heterogeneity,0.062003502519162035,0.020709709646520247,0.12453054756068756,0.16977986580804624
EG89,EG89_1,EG89_3,Cluster 1,Cluster 2,1,3,perc_urban,0.0145893797732249,0.0145893797732249,0,Urban,0.018701331002944264,0,0.04401874318659405,0
EG89,EG89_1,EG89_3,Cluster 1,Cluster 2,1,3,perc_cropland,0.985410620226775,0.963526550566826,-0.021884069659948935,Cropland,-0.056888334729859956,-0.025302527806218,0.11283135998622783,0.030297057012220022
EG89,EG89_1,EG89_3,Cluster 1,Cluster 2,1,3,perc_pasture,0,0.0218840696599495,0.0218840696599495,Pasture,-0.0030859163253946125,0,0.06411020342686834,0.34135080673879087
EG89,EG89_1,EG89_3,Cluster 1,Cluster 2,1,3,perc_forest,0,0,0,Forest,0.027693910910736398,0,0.07188363908141222,0
EG89,EG89_1,EG89_3,Cluster 1,Cluster 2,1,3,perc_grass_shrub,0,0,0,Grass/Shrubland,0.012991395739266822,0,0.09111115912383148,0
EG94,EG94_1,EG94_3,Cluster 1,Cluster 1,1,3,tmean_breeding,8.46390809666139,9.74343137991916,1.2795232832577703,Temperature,1.166075574822343,1.1432688239924493,0.08658277654253788,1.57369011143203
EG94,EG94_1,EG94_3,Cluster 1,Cluster 1,1,3,prec_breeding,109.876910614506,180.13452303842,70.25761242391401,Precipitation,76.22566845605704,75.44205569385801,10.600787063580594,-0.48906210820471524
