atlas,period,bioregion,trait_family,trait_value,expected_group_richness,mean_probability,n_species,n_sites,expected_total_richness_known_trait,proportion,percent
1,1970s,Cluster 2,Migratory strategy,short-distance,10244.198339190592,0.2988302073799063,39,879,51968.26746185086,0.19712410745096914,19.712410745096914
1,1970s,Cluster 2,Migratory strategy,short-and long-distance,200.7325358374551,0.028545582456976148,8,879,51968.26746185086,0.0038625981900360616,0.3862598190036062
1,1970s,Cluster 3,Migratory strategy,sedentary,7075.952246185945,0.40760093584020335,35,496,21994.070171491832,0.3217209089092395,32.17209089092395
1,1970s,Cluster 3,Migratory strategy,long-distance,5433.839302211305,0.24898457213211717,44,496,21994.070171491832,0.24705928733711655,24.705928733711655
1,1970s,Cluster 3,Migratory strategy,sedentary and short-distance,4950.150270604356,0.32194005401952963,31,496,21994.070171491832,0.22506749464774453,22.506749464774455
1,1970s,Cluster 3,Migratory strategy,short-distance,4506.181129911389,0.23294981027250905,39,496,21994.070171491832,0.20488163831322995,20.488163831322996
1,1970s,Cluster 3,Migratory strategy,short-and long-distance,27.947222578836946,0.007043150851521433,8,496,21994.070171491832,0.0012706707926694461,0.1270670792669446
2,1990s,Cluster 1,Migratory strategy,short-distance,4126.123601956032,0.41166552947780255,39,257,15716.623308626007,0.2625324486648112,26.25324486648112
2,1990s,Cluster 1,Migratory strategy,sedentary and short-distance,3958.8265654476286,0.4969030457446483,31,257,15716.623308626007,0.251887857061182,25.1887857061182
2,1990s,Cluster 1,Migratory strategy,long-distance,3751.3703903891924,0.33174481697817515,44,257,15716.623308626007,0.23868806401501444,23.868806401501445
2,1990s,Cluster 1,Migratory strategy,sedentary,3597.9041312597346,0.39998934199663416,35,257,15716.623308626007,0.22892348188335335,22.892348188335333
2,1990s,Cluster 1,Migratory strategy,short-and long-distance,282.3986195734181,0.13735341418940597,8,257,15716.623308626007,0.017968148375638978,1.7968148375638977
2,1990s,Cluster 2,Migratory strategy,sedentary,24289.466775047913,0.5605692770608796,35,1238,80834.19583932971,0.30048504253480707,30.048504253480708
2,1990s,Cluster 2,Migratory strategy,sedentary and short-distance,19848.243605314237,0.5171776435800304,31,1238,80834.19583932971,0.2455426617314985,24.55426617314985
2,1990s,Cluster 2,Migratory strategy,long-distance,19142.427889742055,0.35141775388717433,44,1238,80834.19583932971,0.23681101408852448,23.68110140885245
2,1990s,Cluster 2,Migratory strategy,short-distance,16931.92053596381,0.3506880521926144,39,1238,80834.19583932971,0.20946482315007606,20.946482315007607
